orcid,orcidFam,orcidGiven,eraCreator,resource
0000-0001-9993-6383,Islam,Md Saiful ,"Islam,Md Saiful",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/q2/37/hv/82/q237hv82c
0000-0003-1444-4828,Joner Wiest,Matheus,"Joner Wiest, Matheus",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cz/c7/7s/q2/czc77sq200
0000-0003-0396-2574,Forcier,Eric,"Forcier, Eric",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/7h/14/9p/88/7h149p88r
0000-0003-0328-4291,Zhang,Junfeng,"Zhang, Junfeng",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cf/t8/48/q7/cft848q790
0000-0002-5279-3239,Shi,Yi,"Shi, Yi",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/dn/39/x2/21/dn39x2213
0000-0002-0484-2163,Reyes-Galaviz,Orion Fausto,"Reyes-Galaviz, Orion Fausto",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cq/r4/6r/08/cqr46r084p
0000-0002-1089-3872,Mohammadi,Alireza,"Mohammadi, Alireza",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/3r/07/4v/27/3r074v27v
0000-0003-4874-540X,Najar,Ahmed,"Najar, Ahmed",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/28/01/pj/03/2801pj03b
0000-0002-6802-2068,Hodgetts,Sandra,"Hodgetts, Sandra",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/sn/00/9z/10/sn009z10p
0000-0002-0521-3131,Liu,Sibiao,"Liu,Sibiao",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/7s/75/dd/32/7s75dd322
0000-0002-8990-8247,Hamilton,Trevor,"Hamilton, Trevor",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/31/97/xn/35/3197xn35r
0000-0003-0766-7708,Wells,Kristopher,"Wells, Kristopher",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/v4/05/sc/24/v405sc24n
0000-0002-7408-3764,Nabi,Saleh,"Nabi, Saleh",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/hx/11/xh/92/hx11xh923
0000-0003-1604-7471,Zhang,Wenqing,"Zhang,Wenqing",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bz/60/cz/91/bz60cz911
0000-0002-0254-9000,Yang,Fan,"Yang, Fan",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/w0/89/2b/69/w0892b699
,Yang,Fan,"Yang, Fan",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/fx/71/9m/90/fx719m90m
,Yang,Fan,"Yang,Fan",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/ct/m7/0m/v1/ctm70mv18c
0000-0002-2497-1296,LeBlanc,Aaron,"LeBlanc, Aaron",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/pr/76/f4/35/pr76f435x
0000-0003-1215-1669,Jung,Jennifer,"Jung, Jennifer",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/kd/17/ct/42/kd17ct42v
0000-0001-8782-0615,Fan,Rongfei,"Fan, Rongfei",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/70/79/59/22/70795922z
0000-0001-9933-5414,Miar,Younes,"Miar, Younes",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/4b/29/b9/12/4b29b912n
0000-0003-3315-1772,Harrison,Adam,"Harrison, Adam",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/td/96/k3/30/td96k330p
0000-0001-6764-1089,Sigaeva,Taisiya,"Sigaeva, Taisiya",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/4q/77/ft/92/4q77ft926
0000-0002-3519-2802,Chen,Ke,"Chen, Ke",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cc/08/hg/94/cc08hg940
,Chen,Ke,"Chen, Ke",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/n8/70/zs/37/n870zs375
0000-0003-1357-4567,Hatami,Sarvenaz,"Hatami, Sarvenaz",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c0/r9/67/38/c0r967385v
0000-0003-4953-4751,Zhang,Xiaoming,"Zhang, Xiaoming",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/f4/75/2j/03/f4752j03m
0000-0002-4184-0730,Cheng,Tao,"Cheng, Tao",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/dv/13/zv/30/dv13zv30c
0000-0001-9643-0408,Shardt,Orest,"Shardt, Orest",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/x9/20/fz/54/x920fz543
0000-0003-3690-3378,Shamseer,Larissa,"Shamseer, Larissa",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/z6/03/qx/56/z603qx56v
0000-0003-0894-6557,Li,Chen,"Li, Chen",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/44/55/8h/09/44558h09k
,Li,Chen,"Li, Chen",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/st/74/cq/44/st74cq441
0000-0002-3757-808X,Cresswell,James,"Cresswell, James",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/44/55/8f/47/44558f47k
0000-0003-4049-3607,Yanez Jaramillo,Lina Maria,"Yanez Jaramillo, Lina Maria",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c9/p2/90/93/c9p290935f
0000-0001-9787-9952,Olstad,Dana Lee,"Olstad, Dana Lee",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cv/43/nz/48/cv43nz485
0000-0003-4274-6313,Islam,Md Zahurul,"Islam, Md Zahurul",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/ms/35/tb/12/ms35tb126
0000-0002-6828-6944,Rao,Fujie,"Rao, Fujie",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/9c/67/wp/38/9c67wp386
0000-0002-1943-8542,Zhao,Shuang,"Zhao, Shuang",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/3t/94/5s/06/3t945s06h
0000-0002-4265-4243,Beaulieu,Suzie,"Beaulieu, Suzie",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/63/95/w7/64/6395w764h
0000-0003-4117-0279,Shen,Yi,"Shen, Yi",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c9/z9/02/z8/c9z902z87p
0000-0002-6508-7296,Davey,Christina,"Davey, Christina",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/vx/02/1g/19/vx021g19s
0000-0001-9655-7791,Chu,Man-Wai,"Chu, Man-Wai",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/v4/05/s9/65/v405s965g
0000-0002-1688-9452,Wang,Rui,"Wang, Rui",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/t7/22/h9/78/t722h9784
0000-0001-6446-6676,Sabbagh,Reza,"Sabbagh, Reza",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/0r/96/76/35/0r967635t
0000-0002-4178-2905,Selzler,Anne-Marie,"Selzler, Anne-Marie",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cv/43/nz/19/cv43nz19q
0000-0003-2016-7337,Bonyad,Marziyeh,"Bonyad, Marziyeh",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/5x/21/tj/15/5x21tj15f
0000-0003-3058-2833,Lou,Kangyi,"Lou, Kangyi",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/vm/40/xv/35/vm40xv35f
0000-0003-3320-3392,Huang,Zedu,"Huang, Zedu",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/zp/38/wd/10/zp38wd10z
0000-0001-8882-1812,Papadopoulos,Georgina Paulette Maria,"Papadopoulos, Georgina Paulette Maria",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/0z/70/8x/48/0z708x48s
0000-0002-1039-7289,Cummins,Jim,"Cummins, Jim",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/nk/32/2g/58/nk322g582
0000-0003-0050-4594,Miyashita,Tetsuto,"Miyashita, Tetsuto",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/pn/89/d8/07/pn89d807q
0000-0003-2213-5638,Wang,Chengjin,"Wang, Chengjin",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/ct/q5/7n/r0/ctq57nr08t
0000-0003-1853-7490,Binkhathlan,Ziyad,"Binkhathlan, Ziyad",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/08/61/2n/95/08612n954
0000-0002-0210-7982,Thomas,Javix,"Thomas, Javix",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/m0/39/k7/14/m039k714w
0000-0002-7731-5823,Momeni Taheri,Mohammad Reza,"Momeni Taheri, Mohammad Reza",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cg/73/2d/91/cg732d910r
0000-0001-9384-8067,Pakan,Janelle,"Pakan, Janelle",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/v1/18/rf/57/v118rf57r
0000-0003-3011-9216,Kong,Linglong,"Kong, Linglong",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cc/08/hf/89/cc08hf89x
0000-0002-3845-9090,Castro de la Guardia,Laura,"Castro de la Guardia, Laura",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/1g/05/fb/77/1g05fb77m
0000-0002-7369-677X,Wang,Xu,"Wang, Xu",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c8/g8/4m/m3/c8g84mm36x
0000-0003-3551-6069,Mobarok,Md Hosnay,"Mobarok, Md Hosnay",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/0v/83/80/94/0v838094m
0000-0001-6936-4468,Ito,Kenichi,"Ito, Kenichi",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/w6/63/44/70/w6634470j
,Ito,Kenichi,"Ito, Kenichi",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/ns/06/46/78/ns064678w
0000-0002-5087-3761,Pradhan,Ekadashi,"Pradhan,Ekadashi",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c5/42/5k/97/c5425k978c
0000-0001-9068-7157,Ryan,Geoffrey,"Ryan, Geoffrey",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/hh/63/sx/20/hh63sx20m
0000-0001-5679-8654,Hashemi,Seyyed Ali,"Hashemi, Seyyed Ali",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/gt/54/kn/61/gt54kn61s
0000-0003-0613-1768,Pei,Lei,"Pei, Lei",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cz/g6/4t/m0/czg64tm00k
0000-0003-3410-5620,Liu,Jing,"Liu, Jing",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/28/01/ph/74/2801ph743
0000-0001-8877-5369,Luig,Thea,"Luig,Thea",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/hh/63/sz/25/hh63sz256
0000-0002-3810-9103,Wang,Ran,"Wang, Ran",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/79/40/80/96/79408096g
0000-0001-5366-0641,Currie,Cheryl,"Currie, Cheryl",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/ff/36/56/64/ff3656644
,Currie,Cheryl,"Currie, Cheryl",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/86/23/hz/00/8623hz00p
0000-0003-1206-2471,Zewdie,Ephrem Takele,"Zewdie, Ephrem Takele",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/3t/94/5t/28/3t945t28r
0000-0002-2616-5343,Li,Feng,"Li, Feng",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/fx/71/9n/27/fx719n272
0000-0002-7390-7979,Zou,Bin,"Zou, Bin",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/0v/83/82/97/0v838297v
0000-0002-3916-442X,Ma,Lifen,"Ma, Lifen",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/v6/92/t6/87/v692t687q
0000-0002-7009-2065,Shekhar,Prashant,"Shekhar, Prashant",http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/5q/47/rn/82/5q47rn826
