Department of Pharmacy and Pharmaceutical Sciences	8
Division of Health Services Administration	3
Faculty of Library Science	2
English and Film Studies and Women’s Studies	1
Faculty of Laws	2
Public Health Sciences	10
Faculty of Medicine and Denistry	1
Physics	1
Department of Health Services Administration	1
Department of Agriculture, Food and Nutritional Science	5
Alberta Department of the Environment. Design and Construction Division	1
School of Library and Information Studies	25
Department of Earth & Atmospheric Sciences	1
Department of Educational Studies	2
Department of Electrical & Computer Engineering	3
Department of Marketing, Business Economics and Law	1
Medical Sciences-Shantou in Laboratory Medicine and Pathology	2
Department of Adult, Career & Technology Education	6
Department of Comparative Literature, Film, Religious and Media Studies	1
Interdepartmental Committee in Community Development	3
Department of Modern Languages and Cultural Studies: Germanic, Romance, Slavic	6
Medical Sciences- Obstetrics and Gynecology	2
Department of Paediatrics	1
Faculty of Extension	6
Humanities Computing - Library and Information Studies	2
Department of Rural Economy and the Faculty of Native Studies	1
Medical Sciences - Orthodontics	3
Department of Microbiology and Immunology	1
Department of Agricultural, Food and Nutritional Sciences	5
Department of Secondary Education and Department of Physics	1
Medical Sciences-Dental Hygiene	5
Neuroscience	15
Faculty of Kinesiology, Sport, Recreation	4
Kinesiology, Sport and Recreation	7
Medical Sciences-Oral Medicine	2
Faculty of Kinesiology, Sport, and Recreation	9
Department of Health Promotion Studies	1
Medical Sciences-Obstetrics and Gynecology	3
Medical Sciences-Ophthalmology and Visual Sciences	2
Faculty of Pharmaceutical Sciences	3
Modern Languages and Cultural Studies	1
Department of Women's and Gender Studies	1
Department of Educational Foundation	3
Department of Mining and Metallurgy	2
Department of Modern Languages and Cultural Studies and Department of East Asian Studies	1
Department of Educational Policy Studies and Anthropology	1
Department of Chemical and Materials Engineering, Medical Sciences - Biomedical Engineering	1
Adult, Career and Technology Division	2
Medical Sciences-Biomedical Engineering	2
Department of Mechanical
                  Engineering	1
Department of Interdisciplinary Studies	1
Department of Agricultural Economics	2
Department of Medical Microbiology	1
Department of Home Economics	5
Department of Psychology and the School of Library and Information Studies	1
Computing Science	1
Canada. Department of Energy, Mines and Resources	1
Medical Sciences - Biomedical Engineering	3
Department of Education Administration	4
Department of Earth and Atmospheric Science	4
Economics	1
Political Science, Public Health Sciences	1
Department of Chemical and Materials Engineering and Biological Sciences	1
Interdepartmental Committee of Community Development	1
Centre of Health Promotion Studies	1
Faculty of Graduate Studies	1
Department of Electrical and Computing Engineering	1
School of Library and Information Studies and Humanities Computing	1
Rural Sociology	1
Department of Pharmaceutical Sciences	1
Faculty of Physical Education and Recreation / Department of Sociology	1
Department of Education Policy and Studies	1
Department of History & Classics	1
Faculty of Medicine and Dentistry	2
Department of Civil	1
Department of Agriculture, Food and Nutritional Sciences	1
Philosophy	1
Medical Sciences-Radiology and Diagnostic Imaging	2
Department of Agricultural, Food and Nutritional Studies	1
Department of Electrical and Computer Engineering and Department of Biomedical Engineering	1
Drama Department	1
Department of Business Administration and Commerce	1
Department of Physics & Department of Biomedical Engineering	1
Medical Sciences – Orthodontics	1
Department of Career and Technology Education	1
Humanities Computing and Library and Information Studies	1
Faculty of Education	1
Department of Electrical Engineers	1
Biological Sciences	3
Mechanical Engineering	1
Anthropology	1
Department of Special Education	1
Digital Humanities	2
Office of Interdisciplinary Studies	1
Department of Comparative Literature & Film Studies	1
Faculty of Medicine and Oral Health Sciences	2
Department of Physics and Department of Biomedical Engineering	1
Medical Sciences - Ophthalmology	1
Department of Mathematical & Statistical Sciences / Department of Earth & Atmospheric Sciences	1
Alberta Department of the Environment. Technical Services Division	1
Faculty of Physical Education	1
Medical Sciences-Pediatrics	1
Department of Applied Sciences in Medicine (Bio-medical Engineering)	1
Agricultural, Food and Nutritional Science	1
Department of Chemical & Materials Engineering	1
Department of Industrial & Vocational Education	1
Faculty of Pharmacy and Pharmaceutical Sciences, University of Alberta.	1
Department of Law	2
Department of Electrical Engineering and Computer Engineering	1
Humanities Computing - Anthropology	1
Civil and Environmental Engineering	2
Medical Sciences - Paediatrics	1
Department of Chemical and Material Engineering	1
Department of Educational Psychology in Special Education	1
Department of Rural Sociology	1
Department of Biomedical Engineering, Department of Electrical and Computer Engineering	1
Speech-Language Pathology and Audiology	1
Medical Sciences - Public Health Sciences	1
Medical Science - Dentistry	1
Department of Obstetrics and Gynaecology	1
Medical Sciences – Laboratory Medicine and Pathology	1
Linguistics	1
Medical Sciences - Obstetrics and Gynaecology	1
Medical Sciences-Ophthalmology	2
Comparative Literature Program, Office of Interdisciplinary Studies	1
Surgery	1
Department of Mining Engineering	1
Department of Religious Studies	1
Department of Electric Engineering	1
Department of Chemical & Materials Engineering and Department of Mechanical Engineering	1
Centre for Health Promotion Studies, School of Public Health	1
Chemical and Materials Engineering Department	1
Center for Neuroscience and the Faculty of Physical Education and Recreation	1
Department of Educational Policy	1
Department of Early Childhood Education	1
Faculty of pharmacy and pharmaceutical sciences	1
Department of Eudcational Psychology	1
Department of Sociology and Department of Art and Design	1
Division of East European and Soviet studies	1
Department of International/Intercultural Education	1
Alberta Parks Division	1
Electrical & Computer Engineering	1
Transport Canada. Road and Motor Vehicle Traffic Safety Branch	1
Department of Agricultural, Food & Nutritional Science	1
Department of Comparative Literature, Religion, and Film and Media Studies	1
Telecommunications Research Laboratories	1
Medical Sciences-Shantou in Medicine	1
