Twain, Mark, 1835-1910.	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Twain,%20Mark,%201835-1910.	file:/home/mparedes/metadata_work/MARC/1985Imprint-BIBFRAME-2/merged-file.xml
Moser, Barry.	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Moser,%20Barry.	file:/home/mparedes/metadata_work/MARC/1985Imprint-BIBFRAME-2/merged-file.xml
Fischer, Victor, 1942-	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Fischer,%20Victor,%201942-	file:/home/mparedes/metadata_work/MARC/1985Imprint-BIBFRAME-2/merged-file.xml
Speculum Musicae (Musical group)	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Speculum%20Musicae%20(Musical%20group)	file:/home/mparedes/metadata_work/MARC/1985Imprint-BIBFRAME-2/merged-file.xml
Obichere, Boniface I.	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Obichere,%20Boniface%20I.	file:/home/mparedes/metadata_work/MARC/1985Imprint-BIBFRAME-2/merged-file.xml
Simon Fraser University. Library.	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Simon%20Fraser%20University.%20Library.	file:/home/mparedes/metadata_work/MARC/1985Imprint-BIBFRAME-2/merged-file.xml
Duckworth, Marilyn, 1935-	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Duckworth,%20Marilyn,%201935-	file:/home/mparedes/metadata_work/MARC/1985Imprint-BIBFRAME-2/merged-file.xml
Commission of the European Communities.	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Commission%20of%20the%20European%20Communities.	file:/home/mparedes/metadata_work/MARC/1985Imprint-BIBFRAME-2/merged-file.xml
Rouillard, Jacques, 1945-	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Rouillard,%20Jacques,%201945-	file:/home/mparedes/metadata_work/MARC/1985Imprint-BIBFRAME-2/merged-file.xml
Hajnal, László Gábor.	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hajnal,%20László%20Gábor.	file:/home/mparedes/metadata_work/MARC/1985Imprint-BIBFRAME-2/merged-file.xml
Butler, Sheila, 1938-	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Butler,%20Sheila,%201938-	file:/home/mparedes/metadata_work/MARC/1985Imprint-BIBFRAME-2/merged-file.xml
Bruning, Alex, 1937-	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bruning,%20Alex,%201937-	file:/home/mparedes/metadata_work/MARC/1985Imprint-BIBFRAME-2/merged-file.xml
Gallery 111.	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Gallery%20111.	file:/home/mparedes/metadata_work/MARC/1985Imprint-BIBFRAME-2/merged-file.xml
Hindle, Brooke.	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hindle,%20Brooke.	file:/home/mparedes/metadata_work/MARC/1985Imprint-BIBFRAME-2/merged-file.xml
Rozman, Gilbert.	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Rozman,%20Gilbert.	file:/home/mparedes/metadata_work/MARC/1985Imprint-BIBFRAME-2/merged-file.xml
Nizon, Paul.	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Nizon,%20Paul.	file:/home/mparedes/metadata_work/MARC/1985Imprint-BIBFRAME-2/merged-file.xml
Bluemel, Nancy Larson.	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bluemel,%20Nancy%20Larson.	file:/home/mparedes/metadata_work/MARC/1985Imprint-BIBFRAME-2/merged-file.xml
McGill University. Institute of Air and Space Law.	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22McGill%20University.%20Institute%20of%20Air%20and%20Space%20Law.	file:/home/mparedes/metadata_work/MARC/1985Imprint-BIBFRAME-2/merged-file.xml
