Column 1	LC-ID	Column 2	Column 3	LC-ID1	Column 4	blank
20th century organ fireworks		Herrick, Christopher.	Herrick, Christopher. | 20th century organ fireworks		http://example.org/1373015#Work	
Twentieth century organ fireworks.			 | Twentieth century organ fireworks.		http://example.org/1373015#Work740-29	
Romantic madrigals.		Hannah, Ronald, 1945-	Hannah, Ronald, 1945- | Romantic madrigals.		http://example.org/1373745#Work	
69th session, Grand Igloo Pioneers of Alaska, Valdez, Alaska, September 25, 26, 27, 28 1985.		Grand Igloo Pioneers of Alaska.	Grand Igloo Pioneers of Alaska. | 69th session, Grand Igloo Pioneers of Alaska, Valdez, Alaska, September 25, 26, 27, 28 1985.		http://example.org/1394444#Work	
AYP News.			 | AYP News.		http://example.org/1394444#Work730-24	
7000 dana u Sibiru /		Štajner, Karlo, 1902-	Štajner, Karlo, 1902- | 7000 dana u Sibiru. | Czech	n92100556	http://example.org/1368838#Work	
Plava ptica	n2002043951	Štajner, Karlo, 1902-	Štajner, Karlo, 1902- | Plava biblioteka.		http://example.org/1368838#Work830-21	
A, b, c, play with me a read 'n play learning set /		Paré, Roger, 1929-	Paré, Roger, 1929- | A, b, c, play with me a read 'n play learning set /		http://example.org/1315694#Work	
Read 'n play learning set.			 | Read 'n play learning set.		http://example.org/1315694#Work740-23	
A Canadian directory of programs and services for women in conflict with the law /		Adelberg, Ellen.	Adelberg, Ellen. | A Canadian directory of programs and services for women in conflict with the law /		http://example.org/1364476#Work	
Programmes et services d'association destinés aux femmes ayant des démélés avec la justice.			 | Programmes et services d'association destinés aux femmes ayant des démélés avec la justice.		http://example.org/1364476#Work740-27	
User report	n95023759	Adelberg, Ellen.	Adelberg, Ellen. | User report ;		http://example.org/1364476#Work830-28	
A catalogue of the holdings of the map collection /		Parkop, Kametan.	Parkop, Kametan. | A catalogue of the holdings of the map collection /		http://example.org/1312008#Work	
A concise catalogue of paintings in the Yale Center for British Art /		Yale Center for British Art.	Yale Center for British Art. | A concise catalogue of paintings in the Yale Center for British Art /		http://example.org/1303635#Work	
A dark side of the sun		Jones, Shirley, 1934 November 14-	Jones, Shirley, 1934 November 14- | A dark side of the sun		http://example.org/1346560#Work	
A Day in the life of Japan /		Smolan, Rick.	Smolan, Rick. | A Day in the life of Japan /		http://example.org/1369133#Work	
A downstream perspective : Dene concerns with the environmental assessment, monitoring and surveillance of the Norman Wells Project, with particular reference to fish and water quality /		Dene Nation.	Dene Nation. | A downstream perspective : Dene concerns with the environmental assessment, monitoring and surveillance of the Norman Wells Project, with particular reference to fish and water quality /		http://example.org/1355410#Work	
Advanced manufacturing equipment in the Community : Commission communication to the Council transmitted on 22 March 1985 (based on COM (85) 112 final).		Commission of the European Communities.	Commission of the European Communities. | Advanced manufacturing equipment in the Community : Commission communication to the Council transmitted on 22 March 1985 (based on COM (85) 112 final).		http://example.org/1348435#Work	
Bulletin of the European Union. Supplement	n95051057	Commission of the European Communities.	Commission of the European Communities. | Bulletin of the European Communities. Supplement ;		http://example.org/1348435#Work830-22	
Advances in medicinal plant research : plenary lectures of the 32nd International Congress on Medicinal Plant Research, Antwerp, July 23-28, 1984 /		International Congress on Medicinal Plant Research (32nd : 1984 : Antwerp, Belgium)	International Congress on Medicinal Plant Research (32nd : 1984 : Antwerp, Belgium) | Advances in medicinal plant research : plenary lectures of the 32nd International Congress on Medicinal Plant Research, Antwerp, July 23-28, 1984 /		http://example.org/1352079#Work	
