Column 1	LC-ID-Per	LC-ID-names	org	url	LC-ID-Cor	u1
Sommerro, Henning	n91081525	n91081525	Person	http://example.org/1299630#Agent700-39		
Nordby, Ben.			Person	http://example.org/1299630#Agent700-40		
Wildlife Agreement Workshop (1985 : Yellowknife, N.W.T.)			Organization	http://example.org/1397429#Agent110-11		
Cheezie, Gerry.			Person	http://example.org/1397429#Agent700-25		
Trip-de-Roch, Emil.			Person	http://example.org/1397429#Agent700-26		
Dene/Metis Negotiations Secretariat.			Organization	http://example.org/1397429#Agent710-27		
Metis Association of the Northwest Territories.		n77005373	Organization	http://example.org/1397429#Agent710-28	n77005373	
Dalhart, Vernon, 1883-1948	no91007920	no91007920	Person	http://example.org/1304336#Agent100-13	n2002073936	
Macintyre, Sally	n85383076	n85383076	Person	http://example.org/1304336#Agent700-25		
Frank, Bruno, 1887-1945.	n50025400	n50025400	Person	http://example.org/1304336#Agent700-26		
Bodley, John H.	n81050749	n81050749	Person	http://example.org/1387601#Agent100-15		
Giles, W. H., 1930-	n91033820	n91033820	Person	http://example.org/1336071#Agent100-13		
Hallstein, Walter, 1901-1982.	n50018469	n2004153355	Organization	http://example.org/1348441#Agent610-19	n2004153355	http://example.org/1348441#Agent610-19
Laidler, David E. W.	n50039414	n82239575	Organization	http://example.org/1348441#Agent710-20	no95038119	
Cummins, Maureen	n94069416	n94069416	Person	http://example.org/1330813#Agent100-9		
Cummins, Maureen	n94069416	n94069416	Person	http://example.org/1330813#Agent600-18		http://example.org/1330813#Agent600-18
Owechko, Iwan	n84230180	n84230180	Person	http://example.org/1325902#Agent700-24		
Kukhar, Roman V. (Roman Volodymyr), 1920-2007	no92018637	no92018637	Person	http://example.org/1325902#Agent700-25		
Tatchyn, Roman Orest	n79134442	n79134442	Person	http://example.org/1325902#Agent700-26		
Schömel, Wolfgang	n85159951	n85159951	Person	http://example.org/1348752#Agent100-12		
Keyfitz, Nathan, 1913-2010	n80015604	n80015604	Person	http://example.org/1401909#Agent100-12		
Gerald, Curtis F., 1915-....	n83005326	n83005326	Person	http://example.org/1340362#Agent100-10		
Wheatley, Patrick O.	n83005325	n83005325	Person	http://example.org/1340362#Agent700-23		
Bruce, C. J. (Christopher J.)	n89613390	n89613390	Person	http://example.org/1359382#Agent100-13		
Madison, James, 1751-1836	n80067022	n80067022	Person	http://example.org/1359382#Agent700-29		
University of Calgary. Dept. of Economics.		no95027226	Organization	http://example.org/1359382#Agent710-30	no95027226	
Dixit, Avinash K.	n85310808	n85310808	Person	http://example.org/1345912#Agent700-22		
