Column 1	LC-ID-Per	LC-ID-names	org	url	LC-ID-Cor	u1
Charles X, King of France, 1757-1836	n84200136	n84200136	Person	http://example.org/1373780#Agent700-39	nr94003709	
Scriabin, Aleksandr Nikolayevich, 1872-1915	n80086161	n80086161	Person	http://example.org/1373780#Agent700-40	n82005813	
Cherubini, Luigi, 1760-1842.	n79046131	n79046131	Person	http://example.org/1373780#Agent700-41	no2014048021	
Mahler, Gustav, 1860-1911.	n80067106	n82101533	Organization	http://example.org/1373780#Agent710-42	n81015501	
Grieg, Edvard, 1843-1907.	n79046495	n82101533	Organization	http://example.org/1373780#Agent710-43	n81015501	
Franks, Julian R.	n84148175	n84148175	Person	http://example.org/1002457#Agent100-12		
Broyles, J. E.	n79080898	n79080898	Person	http://example.org/1002457#Agent700-22		
Carleton, Willard T.	n84148176	n84148176	Person	http://example.org/1002457#Agent700-23		
Ross, Robert R., 1933-	n81043878	n81043878	Person	http://example.org/1327137#Agent100-11		
Fabiano, Elizabeth	n85804775	n85804775	Person	http://example.org/1327137#Agent700-24		
Canada. Ministry of the Solicitor General. Programs Branch.		n82119823	Jurisdiction	http://example.org/1327137#Agent710-25	n82119823	
Clark, Joe, 1939-	n78064599	n80126017	Jurisdiction	http://example.org/1392658#Agent710-24	n80126017	
Abe, Shintarō, 1924-	n83146234	n83146234	Person	http://example.org/1337827#Agent100-12		
Yu, Xintun	n86057485	n80044917	Jurisdiction	http://example.org/1337827#Agent710-22	n80044917	
Brillon, Yves	n78030950	n78030950	Person	http://example.org/1353613#Agent100-11		
Brott, Alexander, 1915-2005	n86864426	n86864426	Person	http://example.org/1300482#Agent100-17		
Charbonneau, Louis (Percussionist)	no00003989	no00003989	Person	http://example.org/1300482#Agent700-35		
Mahler, Gustav, 1860-1911.	n80067106	n80067106	Person	http://example.org/1300482#Agent700-36		
Brott, Alexander, 1915-2005	n86864426	n86864426	Person	http://example.org/1300482#Agent700-37		
Orford String Quartet.		n78062574	Organization	http://example.org/1300482#Agent710-38	n78062574	
Attwood, P. J.	n84080690	n84080690	Person	http://example.org/1360828#Agent700-23		
Canada. Tariff Board.		n79135079	Jurisdiction	http://example.org/1353511#Agent710-23	n79135079	
Laufer, Heinz, 1933-....	n81133507	n81133507	Person	http://example.org/1321850#Agent100-13		
Wright, Willard Huntington, 1888-1939	no99033877	no99033877	Person	http://example.org/1370731#Agent100-14		
Radin, Paul, 1883-1959	n50052440	n79043163	Organization	http://example.org/1370731#Agent710-31	n88620752	
Deneuve, Catherine, 1943-....	n81065181	n81065181	Person	http://example.org/1374668#Agent100-12		
Laymon, Richard	n85230823	n85230823	Person	http://example.org/1326250#Agent100-12		
Belanger, Noël	n2002100539	n2002100539	Person	http://example.org/1326250#Agent700-27		
Vaillancourt, François.	n79022556	n2005066934	Jurisdiction	http://example.org/1326250#Agent710-28	n2005066934	
Georgiev, Vladimir Ivanov, 1908-1986	n82058564	n82058564	Person	http://example.org/1398879#Agent100-12		
Koen, B. V.	n84108497	n84108497	Person	http://example.org/1356575#Agent100-12		
Petrovič, Veljko, 1884-1967	n85238984	n85238984	Person	http://example.org/1312010#Agent600-16		http://example.org/1312010#Agent600-16
Jerkovič, Jovan	n82119279	n82119279	Person	http://example.org/1312010#Agent700-17		
Aurifaber, Andreas, 1512?-1559	n88091064	n88091064	Person	http://example.org/1002122#Agent100-11		
Ferdinand III, Holy Roman Emperor, 1608-1657	n82136813	n82136813	Person	http://example.org/1353845#Agent100-11		
Belli͡ustin, Ī. S. (Īoann Stefanovich), approximately 1820-1890.			Person	http://example.org/1319379#Agent100-18		
Belli͡ustin, Ī. S. (Īoann Stefanovich), approximately 1820-1890			Person	http://example.org/1319379#Agent600-28		http://example.org/1319379#Agent600-28
Matfeĭ, Archimandrite	nr90004604	n80004099	Organization	http://example.org/1319379#Agent610-29	n80004099	http://example.org/1319379#Agent610-29
Mykhaïl, Metropolitan of Winnipeg and All Canada, 1885-1977	n2002098586	n50000556	Organization	http://example.org/1319379#Agent610-30	n50000556	http://example.org/1319379#Agent610-30
Freeze, Gregory L., 1945-....	n83048605	n83048605	Person	http://example.org/1319379#Agent700-33		
Eisfeld, Alfred	n85154881	n85154881	Person	http://example.org/1316981#Agent100-15		
Guli︠a︡ev, A. V. (Anatoliĭ Viktorovich)	n85127199	n85127199	Person	http://example.org/1324345#Agent100-9		
Makarov-Zemli︠a︡nskiĭ, N. V. (Nikolaĭ Vikulovich)	n85178301	n85178301	Person	http://example.org/1324345#Agent700-21		
Mashechkin, I. V. (Igorʹ Valerʹevich)	n85178302	n85178302	Person	http://example.org/1324345#Agent700-22		
Korolev, L. N. (Lev Nikolaevich)	n85178303	n85178303	Person	http://example.org/1324345#Agent700-23		
Dudek, Gerd	no98022771	no98022771	Person	http://example.org/1306446#Agent100-11		
Dostoyevsky, Fyodor, 1821-1881	n79029930	n79029930	Person	http://example.org/1306446#Agent600-21		
Salisbury, R. A. (Richard Anthony), 1761-1829	n89642370	n89642370	Person	http://example.org/1305090#Agent700-24		
Avenell, Alison	n88604049	n88604049	Person	http://example.org/1305090#Agent700-25		
Burley, Victoria J.			Person	http://example.org/1305090#Agent700-26		
Boyd-Orr, John Boyd Orr, Baron, 1880-1971	n50065108	n80004214	Organization	http://example.org/1369249#Agent710-21	n79005639	
Frank, Bruno, 1887-1945.	n50025400	n50025400	Person	http://example.org/1328553#Agent100-10		
Canada. Health and Welfare Canada.		n81073378	Jurisdiction	http://example.org/1328553#Agent710-23	n84092358	
National Native Alcohol and Drug Abuse Program (Canada)		n2004119749	Organization	http://example.org/1328553#Agent710-24	n2004119749	
Pierrel, Jean-Marie.	n2003051721	n2003051721	Person	http://example.org/1296421#Agent700-24		
Université de Nancy II. Centre de recherches et d'applications pédagogiques en langues.		nb2006018818	Organization	http://example.org/1296421#Agent710-25	nb2006018818	
Colletti, V.	n84205513	n84205513	Person	http://example.org/1310646#Agent700-26		
Stephens, Dafydd	n85156507	n85156507	Person	http://example.org/1310646#Agent700-27		
Agamben, Giorgio, 1942-....	n81077118	n79032067	Organization	http://example.org/1310646#Agent710-28	n79032067	
International Association of Physicians in Audiology.		n84205518	Organization	http://example.org/1310646#Agent710-29	n84205518	
International Symposium on Audiological Medicine. (2nd : 1983 : Sirmione, Italy)			Meeting	http://example.org/1310646#Agent711-30		
Frederick II, King of Prussia, 1712-1786	n80056902	n79063273	Jurisdiction	http://example.org/1370971#Agent110-9	n79063273	
Vladykov, Vadim D. (Vadim Dmitrij), 1898-1986	n85154808	n85154808	Person	http://example.org/1387517#Agent100-11		
National Museum of Natural Sciences (Canada)		n79043166	Organization	http://example.org/1387517#Agent710-24	n79043167	
Massey, Vincent, 1887-1967	n82101630	n79043164	Organization	http://example.org/1387517#Agent710-25	n79043161	
Geller, Daniel S.	n85025474	n85025474	Person	http://example.org/1319372#Agent100-12		
Henden, Neil.			Person	http://example.org/1336099#Agent100-10		
Griffith, D.W. David Wark 1875-1948	n79083582	n79083582	Person	http://example.org/1380019#Agent600-23	n50057783	http://example.org/1380019#Agent600-23
Biograph Company.		n50070038	Organization	http://example.org/1380019#Agent610-24	n50070038	http://example.org/1380019#Agent610-24
Graham, Cooper C., 1938-....	n84214740	n84214740	Person	http://example.org/1380019#Agent700-25		
Somby, Áslak A.			Person	http://example.org/1330790#Agent100-14		
Somby, Karen K.			Person	http://example.org/1330790#Agent700-30		
National Academy of Early Childhood Programs (U.S.)		n84199456	Organization	http://example.org/1347059#Agent710-18	n84199456	
Kim, Chong-chʻŏl, 1923-	n82257859	n82257859	Person	http://example.org/1385419#Agent100-10		
Kamat, A. R., 1912-....	n50045084	n50045084	Person	http://example.org/1303997#Agent100-13		
Woods, Ngaire.	no96036999	n79150416	Organization	http://example.org/1323221#Agent710-23	n79150416	
Wooster, Warren S. (Warren Scriver), 1921-2008	n83175698	n83175698	Person	http://example.org/1001639#Agent700-23	no2016145780	
Fluharty, David L., 1946-	n85040493	n85040493	Person	http://example.org/1001639#Agent700-24		
Washington Sea Grant Program.		n50062754	Organization	http://example.org/1001639#Agent710-25	n50062754	
International Recruitment Investigations in the Subarctic (Group)		n85272892	Organization	http://example.org/1001639#Agent710-26	n85272892	
García Méndez, Javier, 1945-2006	n88665823	n88665823	Person	http://example.org/1326228#Agent100-12		
García Márquez, Gabriel, 1927-2014	n79063441	n79063441	Person	http://example.org/1326228#Agent600-23		
Síndico, Doménico	n82013747	n82013747	Person	http://example.org/1334445#Agent700-27		
Cerutti, Mario	n82163567	n82163567	Person	http://example.org/1334445#Agent700-28		
Kun, Miklós, 1946-	n86026255	n86026255	Person	http://example.org/1329424#Agent100-9		
Austen, Jane, 1775-1817.	n79032879	n79032879	Person	http://example.org/1339375#Agent100-9		
Squires, Darlene C.			Person	http://example.org/1328919#Agent100-9		
Arrom, José Juan, 1910-2007	n50001571	n50001571	Person	http://example.org/1361037#Agent100-12		
Bautista, Renato G.	n84168368	n84168368	Person	http://example.org/1344332#Agent700-20		
Wesely, Rolf J.	n86112595	n86112595	Person	http://example.org/1344332#Agent700-21		
Metallurgical Society of AIME. Electrolytic Processes Committee.		n83187469	Organization	http://example.org/1344332#Agent710-22	n83187469	
AIME Meeting. (114th : 1985 : New York, N.Y.)			Meeting	http://example.org/1344332#Agent711-23		
Bach, Johann Sebastian, 1685-1750.	n79021425	n79021425	Person	http://example.org/1338676#Agent100-16	n86080304	
Fletcher, John Gould, 1886-1950	n79034407	n79034407	Person	http://example.org/1338676#Agent700-29		
Drovetti, Bernardino, 1776-1852	n86107465	n86107465	Person	http://example.org/1000231#Agent100-13		
Drovetti, Bernardino, 1776-1852	n86107465	n86107465	Person	http://example.org/1000231#Agent600-25		http://example.org/1000231#Agent600-25
Curto, Silvio	n82040905	n82040905	Person	http://example.org/1000231#Agent700-29		
Donatelli, Laura.	n86107467	n86107467	Person	http://example.org/1000231#Agent700-30		
Sábato, Ernesto R.	n80028392	n80028392	Person	http://example.org/1403173#Agent600-22		http://example.org/1403173#Agent600-22
Maturo, Graciela, 1928-	n84008792	n84008792	Person	http://example.org/1403173#Agent700-23		
Centro de Estudios Latinoamericanos (Argentina)		n79067991	Organization	http://example.org/1403173#Agent710-24	n79067991	
Pärt, Arvo	n82003117	n82003117	Person	http://example.org/1372606#Agent100-15	no95014731	
Arnim, Bettina von 1785-1859	n50001544	n50001544	Person	http://example.org/1372606#Agent600-25		http://example.org/1372606#Agent600-25
Arnim, Bettina von 1785-1859	n50001544	n50001544	Person	http://example.org/1372606#Agent700-28		
Dahmen, Wolfgang, 1949-....	n89126157	n89126157	Person	http://example.org/1327805#Agent100-14		
Québec (Province). Assemblée nationale. Commission permanente de la culture.		n86125618	Jurisdiction	http://example.org/1298184#Agent710-24	n86125618	
Rachmaninoff, Sergei, 1873-1943	n50054908	n50054908	Person	http://example.org/1317439#Agent100-12		
Donohoe, Peter	n84172811	n84172811	Person	http://example.org/1317439#Agent700-24	n81014580	
Rachmaninoff, Sergei, 1873-1943	n50054908	n50054908	Person	http://example.org/1317439#Agent700-25		
EUROGRAPHICS '85 (1985 ; Nice, France)			Meeting	http://example.org/1339335#Agent111-12		
Vandoni, C. E.	n80104490	n80104490	Person	http://example.org/1339335#Agent700-22		
European Association for Computer Graphics.		n80105702	Organization	http://example.org/1339335#Agent710-23	n80105702	
EUROGRAPHICS '85.			Meeting	http://example.org/1339335#Agent711-24		
World Eagle, Inc.		n82235245	Organization	http://example.org/1303935#Agent110-14	n82235245	
Saunders, Duane	n87842975	n87842975	Person	http://example.org/1316903#Agent100-12		
Gourse, Leslie.	n83071567	n83071567	Person	http://example.org/1349670#Agent100-12		
Williams, Joe, 1918-1999	n83051519	n83051519	Person	http://example.org/1349670#Agent600-25	n82026471	http://example.org/1349670#Agent600-25
Rosson, Philip J.	n86124130	n86124130	Person	http://example.org/1342180#Agent700-21		
Clark, Joe, 1939-	n78064599	n80126017	Jurisdiction	http://example.org/1342180#Agent710-22	n80126017	
Dalhousie University. Centre for International Business Studies.		n78058170	Organization	http://example.org/1342180#Agent710-23	n78058170	
Londeix, Jean-Marie, 1932-....	n85178829	n85178829	Person	http://example.org/1328517#Agent100-12		
Henak, Richard M.	n79067946	n79067946	Person	http://example.org/1301990#Agent100-12		
Bede, the Venerable, Saint, 673-735	n80039744	n80039744	Person	http://example.org/1301983#Agent100-12		
Bede, the Venerable, Saint, 673-735	n80039744	n80039744	Person	http://example.org/1301987#Agent100-12		
Henak, Richard M.	n79067946	n79067946	Person	http://example.org/1301987#Agent700-26		
Larrain, Gilles	n84132143	n84132143	Person	http://example.org/1371885#Agent700-21		
Clyne, Jim	n84132144	n84132144	Person	http://example.org/1371885#Agent700-22		
Sitwell, Edith, 1887-1964	n79018072	n79018072	Person	http://example.org/1373011#Agent100-13		
Sitwell, Edith, 1887-1964	n79018072	n79018072	Person	http://example.org/1373011#Agent700-32		
Wilde, Oscar, 1854-1900.	n79042038	n79042038	Person	http://example.org/1373011#Agent700-33	n81139912	
Scriabin, Aleksandr Nikolayevich, 1872-1915	n80086161	n80086161	Person	http://example.org/1373011#Agent700-34		
Nielsen, Carl, 1865-1931.	n83017365	n83017365	Person	http://example.org/1373011#Agent700-35		
Kapp, Richard	n82047878	n90658256	Organization	http://example.org/1373011#Agent710-36	n90658256	
Deepak, B.R.	no2001053118	no2001053118	Person	http://example.org/1295879#Agent100-16		
Romaniuk, Anatole.	n90721210	n90721210	Person	http://example.org/1295879#Agent700-30		
Canada. Indian and Northern Affairs Canada. Corporate Policy. Research Branch.		n86816212	Jurisdiction	http://example.org/1295879#Agent710-31	n86816212	
Canada. Dept. of Indian Affairs and Northern Development.		n82014965	Jurisdiction	http://example.org/1295879#Agent710-32	n81066121	
Corak, Miles	n95102452	n82068132	Organization	http://example.org/1295879#Agent710-33	n82068132	
Yang, Emoretta	n2001060643	n2001060643	Person	http://example.org/1346663#Agent100-10		
Korf, Kumi	n2001060644	n2001060644	Person	http://example.org/1346663#Agent600-20		http://example.org/1346663#Agent600-20
Korf, Kumi	n2001060644	n2001060644	Person	http://example.org/1346663#Agent700-22		
Weis, Elisabeth, 1944-....	n50022781	n50022781	Person	http://example.org/1375638#Agent700-26		
Belton, John.	n82103059	n82103059	Person	http://example.org/1375638#Agent700-27		
Franck, Irène M.	n79017204	n79017204	Person	http://example.org/1000802#Agent100-12		
Brownstone, David M.	n79053617	n79053617	Person	http://example.org/1000802#Agent700-29		
Grunsell, Rob	n78024485	n78024485	Person	http://example.org/1309360#Agent100-14		
Great Britain. School Curriculum Development Committee.		n85129883	Jurisdiction	http://example.org/1309360#Agent710-26	n85129883	
Fraser, George Macdonald, 1925-2008	n50025462	n50025462	Person	http://example.org/1348705#Agent100-13		
Kobayashi, Terry, 1939-....	n83181186	n83181186	Person	http://example.org/1386728#Agent100-13		
Bird, Michael S., 1941-....	n78011734	n78011734	Person	http://example.org/1386728#Agent700-25		
Sheridan, Richard Brinsley, 1751-1816.	n79089813	n79089813	Person	http://example.org/1386728#Agent700-26		
Stagg, Ronald John, 1942-	n86844688	n79067576	Organization	http://example.org/1386728#Agent710-27	n79067576	
McGill, Judith, 1959-	n90655916	n80051797	Jurisdiction	http://example.org/1386728#Agent710-28	n80051797	
Luke, Alexandra, 1901-1967	nr91037259	n82222358	Organization	http://example.org/1386728#Agent710-29	n82222358	
Alberta. Home Economics Branch.		n83233048	Jurisdiction	http://example.org/1358427#Agent710-21	n83233048	
Saskatchewan Society for Education Through Art			Organization	http://example.org/1373735#Agent610-21		http://example.org/1373735#Agent610-21
Messer, Margaret	no2010086653	no2010086653	Person	http://example.org/1373735#Agent700-25		
Saskatchewan Society for Education Through Art.			Organization	http://example.org/1373735#Agent710-26		
Brainerd, Walter S.	n82105386	n82105386	Person	http://example.org/1309894#Agent100-13		
Goldberg, Charles H.	n78035102	n78035102	Person	http://example.org/1309894#Agent700-24		
Gross, Jonathan L.	n82105387	n82105387	Person	http://example.org/1309894#Agent700-25		
Rosenberg, M. R. (Marilyn R.)	n88639762	n88639762	Person	http://example.org/1375302#Agent100-10		
Rosenberg, M. R. (Marilyn R.)	n88639762	n88639762	Person	http://example.org/1375302#Agent600-19		http://example.org/1375302#Agent600-19
Hibbert, Joyce, 1923-....	n79007537	n79007537	Person	http://example.org/1373592#Agent100-15		
Caplan, Jay	n84167821	n84167821	Person	http://example.org/1001394#Agent100-15		
Holbach, Paul Henri Thiry, baron d', 1723-1789	n80106712	n80106712	Person	http://example.org/1001394#Agent600-26		http://example.org/1001394#Agent600-26
Holbach, Paul Henri Thiry, baron d', 1723-1789	n80106712	n80106712	Person	http://example.org/1001394#Agent600-27		
Peyton, K.M.	n79086499	n79086499	Person	http://example.org/1001989#Agent100-13		
Sendak, Maurice	n80015694	n80015694	Person	http://example.org/1001989#Agent700-24		
Bakunin, Mikhail Aleksandrovich, 1814-1876	n79056734	n79056734	Person	http://example.org/1318946#Agent100-14		
Cutler, Robert M.	n84057550	n84057550	Person	http://example.org/1318946#Agent700-26		
Vaillant, Janet G.	n88670099	n88670099	Person	http://example.org/1329058#Agent100-11		
Gastech LNG &amp; LPG Conference. (10th : 1984 : Amsterdam, Holland)			Meeting	http://example.org/1002810#Agent111-10		
Gastech Ltd.		n83068668	Organization	http://example.org/1002810#Agent710-25	n83068668	
Ecole polytechnique (France). Centre de recherche sur l'épistémologie et l'autonomie.		n85309907	Organization	http://example.org/1383488#Agent710-21	n85309907	
Knox, Wilfred L. (Wilfred Lawrence), 1886-1950	n85822370	n85822370	Person	http://example.org/1309985#Agent700-22		
New Zealand. Dept. of Scientific and Industrial Research.		n80044901	Jurisdiction	http://example.org/1309985#Agent710-23	n80044901	
EUCARPIA Meeting of the Cereal Section on Triticale (1984 : Clermont-Ferrand, France)			Meeting	http://example.org/1359151#Agent111-10		
Thomas, Aquinas, Saint, 1225?-1274	n78095790	n78095790	Person	http://example.org/1359151#Agent700-22	n81032523	
Rousseau, Jean-Jacques, 1712-1778.	n79008220	n79008220	Person	http://example.org/1359151#Agent700-23		
Chisci, G.	n88065357	n50079561	Organization	http://example.org/1359151#Agent710-24	n50079561	
Scholl, David W.	n82107688	n82107688	Person	http://example.org/1319655#Agent700-24		
Vallier, Tracy L. (Tracy Lowell), 1936-	n77012851	n77012851	Person	http://example.org/1319655#Agent700-25		
Circum-Pacific Council for Energy and Mineral Resources.		n82003044	Organization	http://example.org/1319655#Agent710-26	n82003044	
Compton, Robert Harold	no97054018	no97054018	Person	http://example.org/1350201#Agent100-13		
Rössing, Karl, 1897-1987	n82025209	n82025209	Person	http://example.org/1371328#Agent700-20		
Baselitz, Georg, 1938-....	n50018431	n80089854	Organization	http://example.org/1371328#Agent710-21	n80089854	
Ashley, Gail M. (Gail Mowry)	n88640906	n88640906	Person	http://example.org/1298265#Agent700-21		
Tubb, E. C.	n86838800	n86838800	Person	http://example.org/1298265#Agent700-22		
Smith, Norman Kemp, 1872-1958	n81063044	n81063044	Person	http://example.org/1298265#Agent700-23		
Davis, Richard A., Jr., 1937-	n83002007	n79055482	Organization	http://example.org/1298265#Agent710-24	n79055482	
Kyle, Hedi	n83073661	n83073661	Person	http://example.org/1339679#Agent100-10		
Tisdell, C. A. (Clement Allan)	n50012738	n50012738	Person	http://example.org/1339768#Agent100-11		
Minnick, William H.	n84135289	n84135289	Person	http://example.org/1298603#Agent100-12		
Boudinot, André	no94014143	no94014143	Person	http://example.org/1392757#Agent700-25		
Wheble, B. S. (Bernard S.)	n83126745	n83126745	Person	http://example.org/1392757#Agent700-26		
Vlavianos-Arvanitis, Agni.	n84115787	n79039832	Organization	http://example.org/1392757#Agent710-27	n79039832	
Ha, Tae-hŭng	n50077570	n50077570	Person	http://example.org/1385543#Agent100-12		
Grass, Günter, 1927-2015.	n80085270	n80085270	Person	http://example.org/1002120#Agent600-21		http://example.org/1002120#Agent600-21
Grass, Günter, 1927-2015.	n80085270	n80085270	Person	http://example.org/1002120#Agent700-22		
Fulgentius, Saint, Bishop of Ruspa, 468-533	n86028302	n86028302	Person	http://example.org/1002120#Agent700-23	n82166062	
Koniecko, Edward S., 1913-	n84238076	n84238076	Person	http://example.org/1298993#Agent100-12		
Koniecko, Edward S., 1913-	n84238076	n84238076	Person	http://example.org/1298993#Agent700-25		
Sulitzer, Paul-Loup, 1946-....	n83122472	n83122472	Person	http://example.org/1400896#Agent100-12		
Harbach, Barbara	n87832451	n87832451	Person	http://example.org/1312517#Agent100-15		
Adler, Samuel, 1928-....	n79077371	n79077371	Person	http://example.org/1312517#Agent700-31		
Albright, William Foxwell, 1891-1971	n50041030	n50041030	Person	http://example.org/1312517#Agent700-32	n80087704	
Shostakovich, Dmitriĭ Dmitrievich, 1906-1975.	n79140959	n79140959	Person	http://example.org/1312517#Agent700-33		
Persichetti, Vincent, 1915-1987	n80097322	n80097322	Person	http://example.org/1312517#Agent700-34		
Templeton, Alec, 1910-1963	n88144484	n88144484	Person	http://example.org/1312517#Agent700-35		
Paikowsky, Sandra	n87104679	n87104679	Person	http://example.org/1337589#Agent100-14		
Klunder, Harold, 1943-	nr2003035267	nr2003035267	Person	http://example.org/1337589#Agent600-25		http://example.org/1337589#Agent600-25
Lerner, Loren R. (Loren Ruth), 1948-	n84049612	n96047091	Organization	http://example.org/1337589#Agent710-26	n96047091	
Sampara, Paul	n90653455	n90653455	Person	http://example.org/1372123#Agent100-13		
Canadian Centre for Occupational Health and Safety.		n85160029	Organization	http://example.org/1372123#Agent710-28	n85160029	
World Health Organization. Regional Office for Africa.		n50067632	Organization	http://example.org/1348121#Agent710-25	n50067632	
Study Group on Health-Related Population Issues (1985 : Brazzaville, Congo)		n85156863	Meeting	http://example.org/1348121#Agent711-26	n85156863	
Löhr, Helmut, 1955-2010	n97054196	n97054196	Person	http://example.org/1333615#Agent600-21		http://example.org/1333615#Agent600-21
Löhr, Helmut, 1955-2010	n97054196	n97054196	Person	http://example.org/1333615#Agent700-23		
Pilling, Ann.	n88271628	n88271628	Person	http://example.org/1001724#Agent100-13		
Pilling, Ann.	n88271628	n88271628	Person	http://example.org/1001724#Agent700-23		
Santmyer, Helen Hooven, 1895-1986	n81147573	n81147573	Person	http://example.org/1321220#Agent100-12		
Kasper, Walter, 1933-....	n79135502	n79135502	Person	http://example.org/1408285#Agent700-25		
Donovan, 1946-	nr89010731	nr89010731	Person	http://example.org/1336681#Agent700-24		
Caudet Yarza, Francisco, 1939-	n94017884	n94017884	Person	http://example.org/1336681#Agent700-25		
Simone, Sam P., 1945-....	n84181015	n84181015	Person	http://example.org/1378225#Agent100-12		
Maugham, W. Somerset (William Somerset), 1874-1965	n79036830	n79036830	Person	http://example.org/1378225#Agent600-24		http://example.org/1378225#Agent600-24
Wilshere, E. R.	n77004249	n77004249	Person	http://example.org/1313298#Agent700-28		
Lydon, John, 1956-....	n94113308	n94113308	Person	http://example.org/1313298#Agent700-29		
Oxfordshire Area Health Authority.		nb2009010597	Organization	http://example.org/1313298#Agent710-30	nb2009010597	
Shook, E. Victoria	n85138835	n85138835	Person	http://example.org/1382918#Agent100-12		
Hersch, Fred	nr91020464	no96011528	Organization	http://example.org/1369450#Agent110-12	no96011528	
Hersch, Fred	nr91020464	nr91020464	Person	http://example.org/1369450#Agent700-24	n83155716	
Abercrombie, John, 1944-....	n78091426	n78091426	Person	http://example.org/1369450#Agent700-25	n81059983	
Frith, Fred	nr91038281	nr91038281	Person	http://example.org/1369450#Agent700-26	n80100097	
Halton, David M. (David Michael), 1948-	n86866040	n86866040	Person	http://example.org/1372115#Agent100-13		
Canadian Centre for Occupational Health and Safety.		n85160029	Organization	http://example.org/1372115#Agent710-24	n85160029	
Cardano, Girolamo, 1501-1576	n50058796	n50058796	Person	http://example.org/1365454#Agent100-12		
Liu, An, 179 B.C.-122 B.C.	n83001392	n83001392	Person	http://example.org/1365454#Agent600-23		
Liu, An, 179 B.C.-122 B.C.	n83001392	n83001392	Person	http://example.org/1365454#Agent700-24		
Pâclişanu, Zenobius	n85281222	n85281222	Person	http://example.org/1379603#Agent100-14		
Le Magnen, Jacques.	n80096758	n80096758	Person	http://example.org/1353902#Agent100-17		
Jones, Everett L.	n50039974	n50039974	Person	http://example.org/1367064#Agent700-24		
Finamore, John F., 1951-....	n85025348	n85025348	Person	http://example.org/1401638#Agent100-12		
Iamblichus, approximately 250-approximately 330	n50053655	n50053655	Person	http://example.org/1401638#Agent600-22		http://example.org/1401638#Agent600-22
McDonald, Donna, 1942-….	n89672861	n89672861	Person	http://example.org/1373720#Agent100-14		
Ewing, Juliana Horatia, 1841-1885	n50010906	n50010906	Person	http://example.org/1373720#Agent600-23		http://example.org/1373720#Agent600-23
Ewing, Juliana Horatia, 1841-1885	n50010906	n50010906	Person	http://example.org/1373720#Agent700-25		
Monteverdi, Claudio, 1567-1643.	n79074370	n79074370	Person	http://example.org/1345144#Agent100-15	n91025712	
Jacobsen, Karin	n88602229	n88602229	Person	http://example.org/1345144#Agent700-28		
Jacobsen, J.P. (Jens Peter), 1847-1885	n80019602	n80019602	Person	http://example.org/1345144#Agent700-29	n85228532	
Commendone, Giovanni Francesco, 1524-1584	no91011092	no91011092	Person	http://example.org/1349153#Agent700-24		
Olmi, Giuseppe.	n78007200	n78007200	Person	http://example.org/1349153#Agent700-25		
Convegno di studi storici (1984 : Trento, Italy)		n86127872	Meeting	http://example.org/1349153#Agent711-26	n86127872	
Convegno di studi storici.		n80102681	Meeting	http://example.org/1349153#Agent711-27	n80102681	
Plautus, Titus Maccius	n80014980	n80014980	Person	http://example.org/1306245#Agent100-12		
Plautus, Titus Maccius	n80014980	n80014980	Person	http://example.org/1306245#Agent600-24		http://example.org/1306245#Agent600-24
Uberti, Maria Luisa.	n83049572	n83049572	Person	http://example.org/1306245#Agent700-25		
Alberta. Settlement Services.		no90001885	Jurisdiction	http://example.org/1385748#Agent710-26	no90001885	
Alberta. Immigration and Settlement Branch.		no90001885	Jurisdiction	http://example.org/1385748#Agent710-27	no90001885	
Honadle, George	n79122336	n79122336	Person	http://example.org/1401550#Agent100-13		
VanSant, Jerry	n84201479	n84201479	Person	http://example.org/1401550#Agent700-24		
Dukelow, Sam G., 1917-2003	n86102685	n86102685	Person	http://example.org/1353280#Agent100-10		
Blazuk, Julia.			Person	http://example.org/1372937#Agent100-10		
Soper, Judy.			Person	http://example.org/1372937#Agent700-23		
Patterson, Cynthia.	n81013005	n81013005	Person	http://example.org/1372937#Agent700-24		
Brenner, Everett H.	n79046906	n79046906	Person	http://example.org/1335775#Agent100-9		
Saračević, Tefko	n80063369	n80063369	Person	http://example.org/1335775#Agent700-26		
Cornog, Martha.	n82160126	n82160126	Person	http://example.org/1335775#Agent700-27		
National Federation of Abstracting and Information Services (U.S.)		n83138929	Organization	http://example.org/1335775#Agent710-28	n83138929	
Gammage, Richard B.	n85028710	n85028710	Person	http://example.org/1398455#Agent700-30		
Kaye, Stephen V.	n85028711	n85028711	Person	http://example.org/1398455#Agent700-31		
Jacobs, Vivian A.	n83171382	n83171382	Person	http://example.org/1398455#Agent700-32		
Lin, Hua-Tay.	no2004073559	n81018718	Organization	http://example.org/1398455#Agent710-33	n81018718	
Life Sciences Symposium. (7th : 1984 : Knoxville, Tenn.)			Meeting	http://example.org/1398455#Agent711-34		
Poe, Edgar Allan, 1809-1849.	n79029745	n79029745	Person	http://example.org/1352960#Agent700-20		
Rueter, William, 1940-	n78005507	n93111900	Organization	http://example.org/1352960#Agent710-21	n93111900	
Shakespeare, William, 1564-1616.	n78095332	n78095332	Person	http://example.org/1352966#Agent700-21	n81024624	
Middleton, R. Hunter (Robert Hunter), 1898-1985	n85184730	n85184730	Person	http://example.org/1352966#Agent700-22		
Rueter, William, 1940-	n78005507	n93111900	Organization	http://example.org/1352966#Agent710-23	n93111900	
