Column 1	Column 2	Column 3	VIAF-ID	Column 4	blank
20th century organ fireworks	Herrick, Christopher.	Herrick, Christopher. | 20th century organ fireworks		http://example.org/1373015#Work	blank
Twentieth century organ fireworks.		 | Twentieth century organ fireworks.		http://example.org/1373015#Work740-29	blank
Romantic madrigals.	Hannah, Ronald, 1945-	Hannah, Ronald, 1945- | Romantic madrigals.		http://example.org/1373745#Work	blank
69th session, Grand Igloo Pioneers of Alaska, Valdez, Alaska, September 25, 26, 27, 28 1985.	Grand Igloo Pioneers of Alaska.	Grand Igloo Pioneers of Alaska. | 69th session, Grand Igloo Pioneers of Alaska, Valdez, Alaska, September 25, 26, 27, 28 1985.		http://example.org/1394444#Work	blank
AYP News.		 | AYP News.		http://example.org/1394444#Work730-24	blank
7000 dana u Sibiru /	Štajner, Karlo, 1902-	Štajner, Karlo 1902- | 7000 dana u Sibiru	211741821	http://example.org/1368838#Work	blank
Plava biblioteka.	Štajner, Karlo, 1902-	Štajner, Karlo, 1902- | Plava biblioteka.		http://example.org/1368838#Work830-21	blank
A, b, c, play with me a read 'n play learning set /	Paré, Roger, 1929-	Paré, Roger, 1929- | A, b, c, play with me a read 'n play learning set /		http://example.org/1315694#Work	blank
Read 'n play learning set.		 | Read 'n play learning set.		http://example.org/1315694#Work740-23	blank
A Canadian directory of programs and services for women in conflict with the law /	Adelberg, Ellen.	Adelberg, Ellen. | A Canadian directory of programs and services for women in conflict with the law /		http://example.org/1364476#Work	blank
Programmes et services d'association destinés aux femmes ayant des démélés avec la justice.		 | Programmes et services d'association destinés aux femmes ayant des démélés avec la justice.		http://example.org/1364476#Work740-27	blank
User report ;	Adelberg, Ellen.	Adelberg, Ellen. | User report ;		http://example.org/1364476#Work830-28	blank
A catalogue of the holdings of the map collection /	Parkop, Kametan.	Parkop, Kametan. | A catalogue of the holdings of the map collection /		http://example.org/1312008#Work	blank
A concise catalogue of paintings in the Yale Center for British Art /	Yale Center for British Art.	Yale Center for British Art. | A concise catalogue of paintings in the Yale Center for British Art /		http://example.org/1303635#Work	blank
A dark side of the sun	Jones, Shirley, 1934 November 14-	Jones, Shirley, 1934 November 14- | A dark side of the sun		http://example.org/1346560#Work	blank
A Day in the life of Japan /	Smolan, Rick.	Smolan, Rick. | A Day in the life of Japan /		http://example.org/1369133#Work	blank
A downstream perspective : Dene concerns with the environmental assessment, monitoring and surveillance of the Norman Wells Project, with particular reference to fish and water quality /	Dene Nation.	Dene Nation. | A downstream perspective : Dene concerns with the environmental assessment, monitoring and surveillance of the Norman Wells Project, with particular reference to fish and water quality /		http://example.org/1355410#Work	blank
Advanced manufacturing equipment in the Community : Commission communication to the Council transmitted on 22 March 1985 (based on COM (85) 112 final).	Commission of the European Communities.	Commission of the European Communities. | Advanced manufacturing equipment in the Community : Commission communication to the Council transmitted on 22 March 1985 (based on COM (85) 112 final).		http://example.org/1348435#Work	blank
Bulletin of the European Communities. Supplement ;	Commission of the European Communities.	Bulletin of the European Union. Supplement	180327393	http://example.org/1348435#Work830-22	blank
Advances in medicinal plant research : plenary lectures of the 32nd International Congress on Medicinal Plant Research, Antwerp, July 23-28, 1984 /	International Congress on Medicinal Plant Research (32nd : 1984 : Antwerp, Belgium)	International Congress on Medicinal Plant Research (32nd : 1984 : Antwerp, Belgium) | Advances in medicinal plant research : plenary lectures of the 32nd International Congress on Medicinal Plant Research, Antwerp, July 23-28, 1984 /		http://example.org/1352079#Work	blank
New natural products and plant drugs with chemotherapeutical activity.		 | New natural products and plant drugs with chemotherapeutical activity.		http://example.org/1352079#Work740-31	blank
Progress in isolation techniques for natural products.		 | Progress in isolation techniques for natural products.		http://example.org/1352079#Work740-32	blank
Adventures of Huckleberry Finn /	Twain, Mark, 1835-1910.	Twain, Mark, 1835-1910. | Adventures of Huckleberry Finn	178806136	http://example.org/1325565#Work	blank
A fifteenth anniversary album	Speculum Musicae (Musical group)	Speculum Musicae (Musical group) | A fifteenth anniversary album		http://example.org/1312511#Work	blank
Lalita.	Lieberson, Peter, 1946-2011.	Lieberson, Peter, 1946-2011. | Lalita	180042967	http://example.org/1312511#Work700-34	blank
Spinoff.	Wuorinen, Charles.	Wuorinen, Charles 1938- | Spinoff	179642296	http://example.org/1312511#Work700-35	blank
Nick of time.	Shifrin, Seymour, 1926-1979.	Shifrin, Seymour, 1926-1979. | Nick of time	179237852	http://example.org/1312511#Work700-36	blank
15th anniversary album.		 | 15th anniversary album.		http://example.org/1312511#Work740-37	blank
African literature.	Obichere, Boniface I.	Obichere, Boniface I. | African literature.		http://example.org/1297008#Work	blank
Journal of African studies.		 | Journal of African studies.		http://example.org/1297008#Work730-21	blank
Africa reference bibliography.	Simon Fraser University. Library.	Simon Fraser University. Library. | Africa reference bibliography.		http://example.org/1328381#Work	blank
A gap in the spectrum.	Duckworth, Marilyn, 1935-	Duckworth, Marilyn, 1935- | A gap in the spectrum.		http://example.org/1332090#Work	blank
A general system for the recognition of higher education diplomas.	Commission of the European Communities.	Commission of the European Communities. | A general system for the recognition of higher education diplomas.		http://example.org/1348442#Work	blank
Bulletin of the European Communities. Supplement ;	Commission of the European Communities.	Bulletin of the European Union. Supplement	180327393	http://example.org/1348442#Work830-24	blank
Ah les Etats! : les travailleurs canadiens-français dans l'industrie textile de la Nouvelle-Angleterre d'après le témoignage des derniers migrants /	Rouillard, Jacques, 1945-	Rouillard, Jacques, 1945- | Ah les Etats! : les travailleurs canadiens-français dans l'industrie textile de la Nouvelle-Angleterre d'après le témoignage des derniers migrants /		http://example.org/1301789#Work	blank
A júdásidő árvái-- /	Hajnal, László Gábor.	Hajnal, László Gábor. | A júdásidő árvái-- /		http://example.org/1320597#Work	blank
Alex Bruning, sabbatical paintings and ideas for paintings : Gallery 1.1.1., School of Art, University of Manitoba, February 4-27, 1985.	Butler, Sheila, 1938-	Butler, Sheila, 1938- | Alex Bruning, sabbatical paintings and ideas for paintings : Gallery 1.1.1., School of Art, University of Manitoba, February 4-27, 1985.		http://example.org/1405481#Work	blank
America's wooden age : aspects of its early technology /	Hindle, Brooke.	Hindle, Brooke. | America's wooden age : aspects of its early technology /		http://example.org/1375834#Work	blank
A mirror for socialism : Soviet criticisms of China /	Rozman, Gilbert.	Rozman, Gilbert. | A mirror for socialism : Soviet criticisms of China /		http://example.org/1379745#Work	blank
Am Schreiben gehen : Frankfurter Vorlesungen /	Nizon, Paul.	Nizon, Paul. | Am Schreiben gehen : Frankfurter Vorlesungen	306909563	http://example.org/1305141#Work	blank
An analysis of the effects of a differentiated program on the library experience of gifted students /	Bluemel, Nancy Larson.	Bluemel, Nancy Larson. | An analysis of the effects of a differentiated program on the library experience of gifted students /		http://example.org/1375404#Work	blank
An arms race in outer space : could treaties prevent it? : proceedings of the symposium held on October 30 and November 1, 1985 = Des traités pourraient-ils éviter la course aux armements dans l'espace extra-atmosphérique? : rapports du symposium tenu les 30 octobre et 1er novembre 1985.	McGill University. Institute of Air and Space Law.	McGill University. Institute of Air and Space Law. | An arms race in outer space : could treaties prevent it? : proceedings of the symposium held on October 30 and November 1, 1985 = Des traités pourraient-ils éviter la course aux armements dans l'espace extra-atmosphérique? : rapports du symposium tenu les 30 octobre et 1er novembre 1985.		http://example.org/1366684#Work	blank
Des traités pourraient-ils éviter la course aux armements dans l'espace extra-atmosphérique?		 | Des traités pourraient-ils éviter la course aux armements dans l'espace extra-atmosphérique?		http://example.org/1366684#Work740-22	blank
Ancient civilizations and ruins of Turkey : from prehistoric times until the end of the Roman Empire /	Akurgal, Ekrem.	Akurgal, Ekrem. | Ancient civilizations and ruins of Turkey : from prehistoric times until the end of the Roman Empire /		http://example.org/1321997#Work	blank
Ancient ruins of Turkey.		 | Ancient ruins of Turkey.		http://example.org/1321997#Work740-25	blank
Ancient civilizations and the middle ages	Camilleri, Gérard.	Camilleri, Gérard. | Ancient civilizations and the middle ages		http://example.org/1297869#Work	blank
Ancient Greece.		 | Ancient Greece.		http://example.org/1297869#Work740-30	blank
Ancient Rome.		 | Ancient Rome.		http://example.org/1297869#Work740-31	blank
World history on computer series.	Camilleri, Gérard.	Camilleri, Gérard. | World history on computer series.		http://example.org/1297869#Work830-32	blank
An expedition to the Cooper, Tanana, and Koyukuk rivers in 1885 /	Allen, Henry T. (Henry Tureman), 1859-1930.	Allen, Henry T. (Henry Tureman), 1859-1930. | An expedition to the Cooper, Tanana, and Koyukuk rivers in 1885 /		http://example.org/1319468#Work	blank
Report of an expedition to the Copper, Tananá and Koyukuk rivers, in the territory of Alaska, in the year 1885. Selections.		Allen, Henry T. (Henry Tureman), 1859-1930. | Report of an expedition to the Copper, Tananá, and Koyukuk rivers, in the territory of Alaska, in the year 1885. Selections	185118525	http://example.org/1319468#Work740-29	blank
Northern history library.	Allen, Henry T. (Henry Tureman), 1859-1930.	Allen, Henry T. (Henry Tureman), 1859-1930. | Northern history library.		http://example.org/1319468#Work830-30	blank
An historical analysis of victims of homicide in Canadian penitentiaries /	Porporino, Frank John, 1951-	Porporino, Frank John, 1951- | An historical analysis of victims of homicide in Canadian penitentiaries /		http://example.org/1326706#Work	blank
User report ;	Porporino, Frank John, 1951-	Porporino, Frank John, 1951- | User report ;		http://example.org/1326706#Work830-26	blank
Ankomst Utstein Kloster	Alsvik, Rønnaug Foss.	Alsvik, Rønnaug Foss. | Ankomst Utstein Kloster		http://example.org/1299630#Work	blank
Annual Wildlife Agreement Workshop report /	Wildlife Agreement Workshop (1985 : Yellowknife, N.W.T.)	Wildlife Agreement Workshop (1985 : Yellowknife, N.W.T.) | Annual Wildlife Agreement Workshop report /		http://example.org/1397429#Work	blank
Antenatal care assessed : a case study of an innovation in Aberdeen /	Hall, Marion.	Hall, Marion. | Antenatal care assessed : a case study of an innovation in Aberdeen /		http://example.org/1304336#Work	blank
Anthropology and contemporary human problems /	Bodley, John H.	Bodley, John H. | Anthropology and contemporary human problems /		http://example.org/1387601#Work	blank
A paean for love : poems /	Giles, W. H., 1930-	Giles, W. H., 1930- | A paean for love : poems /		http://example.org/1336071#Work	blank
A people's Europe : reports from the ad hoc Committee.	Commission of the European Communities.	Commission of the European Communities. | A people's Europe : reports from the ad hoc Committee.		http://example.org/1348441#Work	blank
Bulletin of the European Communities. Supplement ;	Commission of the European Communities.	Bulletin of the European Union. Supplement	180327393	http://example.org/1348441#Work830-21	blank
Aphrodisiacs from A to Z	Cummins, Maureen.	Cummins, Maureen. | Aphrodisiacs from A to Z		http://example.org/1330813#Work	blank
A Pocketbook guide to Ukraine &amp; Ukrainians : questions and answers /	Owechko, Iwan.	Owechko, Iwan. | A Pocketbook guide to Ukraine &amp; Ukrainians : questions and answers /		http://example.org/1325902#Work	blank
Ukraine &amp; Ukrainians.		 | Ukraine &amp; Ukrainians.		http://example.org/1325902#Work740-27	blank
Ukraine and Ukrainians.		 | Ukraine and Ukrainians.		http://example.org/1325902#Work740-28	blank
A Pocketbook guide to Ukraine and Ukrainians.		 | A Pocketbook guide to Ukraine and Ukrainians.		http://example.org/1325902#Work740-29	blank
Apokalyptische Reiter sind in der Luft : zum Irrationalismus und Pessimismus in Literatur und Philosophie zwischen Nachmärz und Jahrhundertwende /	Schömel, Wolfgang.	Schömel, Wolfgang. | Apokalyptische Reiter sind in der Luft : zum Irrationalismus und Pessimismus in Literatur und Philosophie zwischen Nachmärz und Jahrhundertwende /		http://example.org/1348752#Work	blank
Zum Irrationalismus und Pessimismus in Literatur und Philosophie zwischen Nachmärz und Jahrhundertwende.		 | Zum Irrationalismus und Pessimismus in Literatur und Philosophie zwischen Nachmärz und Jahrhundertwende.		http://example.org/1348752#Work740-24	blank
Applied mathematical demography /	Keyfitz, Nathan, 1913-2010.	Keyfitz, Nathan, 1913-2010. | Applied mathematical demography /		http://example.org/1401909#Work	blank
Springer texts in statistics.	Keyfitz, Nathan, 1913-2010.	Keyfitz, Nathan, 1913-2010. | Springer texts in statistics.		http://example.org/1401909#Work830-25	blank
Applied numerical analysis /	Gerald, Curtis F., 1915-	Gerald, Curtis F. (1915- ). | Applied numerical analysis	313748276	http://example.org/1340362#Work	blank
A proposed arbitration mechanism to ensure free trade between Canada and the U.S. in livestock and meat products /	Bruce, C. J. (Christopher J.), 1948-	Bruce, C. J. (Christopher J.), 1948- | A proposed arbitration mechanism to ensure free trade between Canada and the U.S. in livestock and meat products /		http://example.org/1359382#Work	blank
Discussion papers series (University of Calgary. Department of Economics)	Bruce, C. J. (Christopher J.), 1948-	Bruce, C. J. (Christopher J.), 1948- | Discussion papers series (University of Calgary. Department of Economics)		http://example.org/1359382#Work830-31	blank
Archaeological perspective of India since independence /	Dikshit, K. N.	Dikshit, K. N. | Archaeological perspective of India since independence /		http://example.org/1345912#Work	blank
Archaeology of Heceta Island : a survey of 16 timber harvest units in the Tongass national Forest, southeastern Alaska /	Ackerman, Robert E.	Ackerman, Robert E. | Archaeology of Heceta Island : a survey of 16 timber harvest units in the Tongass national Forest, southeastern Alaska /		http://example.org/1338625#Work	blank
Survey of 16 timber harvest units in the Tongass National Forest, Southeastern Alaska.		 | Survey of 16 timber harvest units in the Tongass National Forest, Southeastern Alaska.		http://example.org/1338625#Work740-25	blank
Project report (Washington State University. Center for Northwest Anthropology) ;	Ackerman, Robert E.	Ackerman, Robert E. | Project report (Washington State University. Center for Northwest Anthropology) ;		http://example.org/1338625#Work830-26	blank
A record for time : an exhibition of decorated family and individual records, memorials, tokens of friendship and embroidered memorials and samplers produced in Nova Scotia prior to 1900 /	Young, Deborah A.	Young, Deborah A. | A record for time : an exhibition of decorated family and individual records, memorials, tokens of friendship and embroidered memorials and samplers produced in Nova Scotia prior to 1900 /		http://example.org/1405299#Work	blank
Sinfonie in E-Dur, 1825	Schubert, Franz, 1797-1828.	Sinfonie in E-Dur, 1825	181903005	http://example.org/1345022#Work	blank
Art de l'ancien Japon. English	Elisseeff, Danielle.	Elisseeff, Danielle. | Art de l'ancien Japon. English		http://example.org/1001312#Work	blank
A sacred farce from medieval Bohemia--Mastičkář /	Veltruský, Jarmila F.	Veltruský, Jarmila F. | A sacred farce from medieval Bohemia--Mastičkář /		http://example.org/1300143#Work	blank
Mastičkář.		 | Mastičkář.		http://example.org/1300143#Work630-25	blank
Mastičkář. English. c1985.		 | Mastičkář. English. c1985.		http://example.org/1300143#Work730-27	blank
Michigan studies in the humanities. ;	Veltruský, Jarmila F.	Veltruský, Jarmila F. | Michigan studies in the humanities. ;		http://example.org/1300143#Work830-28	blank
A spelling handbook : grades 1-6.	Edmonton Public School Board. Instructional Services Division.	Edmonton Public School Board. Instructional Services Division. | A spelling handbook : grades 1-6.		http://example.org/1375614#Work	blank
A survey of treatment programs for sexual offenders in Canada /	Wormith, J. S.	Wormith, J. S. | A survey of treatment programs for sexual offenders in Canada /		http://example.org/1343658#Work	blank
User report ;	Wormith, J. S.	Wormith, J. S. | User report ;		http://example.org/1343658#Work830-27	blank
At any cost : corporate greed, women, and the Dalkon Shield /	Mintz, Morton.	Mintz, Morton. | At any cost : corporate greed, women, and the Dalkon Shield /		http://example.org/1001376#Work	blank
A Terminological dictionary of algebraic linguistics /	Polański, Kazimierz, 1929-	Polański, Kazimierz, 1929- | A Terminological dictionary of algebraic linguistics /		http://example.org/1370972#Work	blank
Prace naukowe Uniwersytetu Śląskiego w Katowicach ;	Polański, Kazimierz, 1929-	Polański, Kazimierz, 1929- | Prace naukowe Uniwersytetu Śląskiego w Katowicach ;		http://example.org/1370972#Work830-27	blank
Atlas of Oregon lakes /	Johnson, Daniel M. (Daniel Morgan), 1945-	Johnson, Daniel M. (Daniel Morgan), 1945- | Atlas of Oregon lakes /		http://example.org/1371462#Work	blank
Atmospheric sciences program field operations and experiment plan, 1985.	Alberta Research Council. Atmospheric Sciences Department.	Alberta Research Council. Atmospheric Sciences Department. | Atmospheric sciences program field operations and experiment plan, 1985.		http://example.org/1402306#Work	blank
Aubrey Beardsley, 1872-1898 : Roma 13 marzo-28 aprile 1985 /	Beardsley, Aubrey, 1872-1898.	Beardsley, Aubrey, 1872-1898. | Aubrey Beardsley, 1872-1898 : Roma 13 marzo-28 aprile 1985 /		http://example.org/1405075#Work	blank
Beardsley. 1967. Italian.	Reade, Brian.	Reade, Brian. | Beardsley. 1967. Italian.		http://example.org/1405075#Work700-24	blank
Cataloghi (Fratelli Palombi editori)	Beardsley, Aubrey, 1872-1898.	Beardsley, Aubrey, 1872-1898. | Cataloghi (Fratelli Palombi editori)		http://example.org/1405075#Work830-28	blank
Australian grass genera : anatomy, morphology, keys, and classification /	Watson, Leslie.	Watson, Leslie. | Australian grass genera : anatomy, morphology, keys, and classification /		http://example.org/1319662#Work	blank
Availability of federally owned minerals for exploration and development in western states : Nevada, 1985 /	Hamilton, Michael M.	Hamilton, Michael M. | Availability of federally owned minerals for exploration and development in western states : Nevada, 1985 /		http://example.org/1400868#Work	blank
Bureau of Mines special report.	Hamilton, Michael M.	Hamilton, Michael M. | Bureau of Mines special report.		http://example.org/1400868#Work830-28	blank
Bakke &amp; the politics of equality : friends and foes in the classroom of litigation /	O'Neill, Timothy J.	O'Neill, Timothy J. | Bakke &amp; the politics of equality : friends and foes in the classroom of litigation /		http://example.org/1341994#Work	blank
Bakke and the politics of equality.		 | Bakke and the politics of equality.		http://example.org/1341994#Work740-30	blank
Basic biogeography /	Pears, Nigel.	Pears, Nigel. | Basic biogeography /		http://example.org/1302718#Work	blank
Being had : historians, evidence, and the Irish in North America /	Akenson, Donald H.	Akenson, Donald H. | Being had : historians, evidence, and the Irish in North America /		http://example.org/1355182#Work	blank
Benevento, l'arco e la città /	Adamo Muscettola, Stefania.	Adamo Muscettola, Stefania. | Benevento, l'arco e la città /		http://example.org/1332563#Work	blank
Berceuse pour Rémi pour saxophone alto et piano /	Robert, Lucie.	Robert, Lucie. | Berceuse pour Rémi pour saxophone alto et piano /		http://example.org/1399470#Work	blank
Enseignement moderne du saxophone.	Robert, Lucie.	Robert, Lucie. | Enseignement moderne du saxophone.		http://example.org/1399470#Work830-24	blank
Best games : 188 active and quiet, simple and sophisticated, games for preschoolers through adults /	Jennings, Linda, 1946-	Jennings, Linda, 1946- | Best games : 188 active and quiet, simple and sophisticated, games for preschoolers through adults /		http://example.org/1397874#Work	blank
Bibliography of biography, 1970-1984	British Library. Bibliographic Services Division.	British Library. Bibliographic Services Division. | Bibliography of biography, 1970-1984		http://example.org/1299654#Work	blank
Birds of Eucalypt forests and woodlands : ecology, conservation, management /	Keast, Allen.	Keast, Allen. | Birds of Eucalypt forests and woodlands : ecology, conservation, management /		http://example.org/1001399#Work	blank
Black bears and grizzlies of the Northwest Territories /	Britton, Barbara.	Britton, Barbara. | Black bears and grizzlies of the Northwest Territories /		http://example.org/1350666#Work	blank
Arctic wildlife sketches	Britton, Barbara.	Britton, Barbara. | Arctic wildlife sketches		http://example.org/1350666#Work830-27	blank
Blasting explosives : a guide to safety.	Canada. Energy, Mines and Resources Canada.	Canada. Energy, Mines and Resources Canada. | Blasting explosives : a guide to safety.		http://example.org/1334974#Work	blank
Boevoĭ pochin rossiĭskogo proletariata : k 100-letii͡u Morozovskoĭ stachki 1885 g. /	Laverychev, V. I͡A. (Vladimir I͡Akovlevich)	Laverychev, V. I͡A. (Vladimir I͡Akovlevich) | Boevoĭ pochin rossiĭskogo proletariata : k 100-letii͡u Morozovskoĭ stachki 1885 g. /		http://example.org/1341592#Work	blank
Bolshevism and the Russian Revolution : a debate /	Jenness, Doug.	Jenness, Doug. | Bolshevism and the Russian Revolution : a debate /		http://example.org/1310571#Work	blank
On the fourth anniversary of the Russian Revolution.	Lenin, Vladimir Ilʹich, 1870-1924.	Lenin, Vladimir Ilʹich, 1870-1924. | On the fourth anniversary of the Russian Revolution.		http://example.org/1310571#Work700-24	blank
Education for socialists.	Jenness, Doug.	Jenness, Doug. | Education for socialists.		http://example.org/1310571#Work830-25	blank
Border crossings (Winnipeg, Man.)	Arts Manitoba.	Arts Manitoba. | Border crossings (Winnipeg, Man.)		http://example.org/1399611#Work	blank
		 | 		http://example.org/1399611#Work780-35	blank
Brasszination	Rekkenze Ensemble.,	Rekkenze Ensemble., | Brasszination		http://example.org/1300457#Work	blank
Danses hongroises du 17e siècle.	Farkas, Ferenc, 1905-2000.	Farkas, Ferenc, 1905-2000. | Danses hongroises du 17e siècle.		http://example.org/1300457#Work700-30	blank
When David heard; arranged.	Tomkins, Thomas, 1572-1656.	Tomkins, Thomas, 1572-1656. | When David heard; arranged.		http://example.org/1300457#Work700-31	blank
Instrumental music. Selections; arranged.	Handel, George Frideric, 1685-1759.	Handel, George Frideric, 1685-1759. | Instrumental music. Selections; arranged.		http://example.org/1300457#Work700-32	blank
Diversimento, orchestra; arranged.	Bernstein, Leonard, 1918-1990.	Bernstein, Leonard, 1918-1990. | Diversimento, orchestra; arranged.		http://example.org/1300457#Work700-33	blank
Solace; arranged.	Joplin, Scott, 1868-1917.	Joplin, Scott, 1868-1917. | Solace; arranged.		http://example.org/1300457#Work700-34	blank
Breaking the land : the transformation of cotton, tobacco, and rice cultures since 1880 /	Daniel, Pete.	Daniel, Pete. | Breaking the land : the transformation of cotton, tobacco, and rice cultures since 1880 /		http://example.org/1353065#Work	blank
Transformation of cotton, tobacco, and rice cultures since 1880.		 | Transformation of cotton, tobacco, and rice cultures since 1880.		http://example.org/1353065#Work740-25	blank
Breastfeeding and related aspects of post-partum reproductive behaviour /	United Nations. Dept. of International Economic and Social Affairs. Population Division.	United Nations. Dept. of International Economic and Social Affairs. Population Division. | Breastfeeding and related aspects of post-partum reproductive behaviour /		http://example.org/1335619#Work	blank
Brief history of the Jews of Drohobycz and Boryslaw /	Fern, William.	Fern, William. | Brief history of the Jews of Drohobycz and Boryslaw /		http://example.org/1378132#Work	blank
Builders /	Franck, Irene M.	Franck, Irene M. | Builders /		http://example.org/1000809#Work	blank
Work throughout history.	Franck, Irene M.	Franck, Irene M. | Work throughout history.		http://example.org/1000809#Work830-29	blank
Canada, energy and minerals	Canada. Geographical Services Division.	Canada. Geographical Services Division. | Canada, energy and minerals		http://example.org/1333823#Work	blank
National atlas of Canada. 41.1	Canada. Geographical Services Division.	Canada. Geographical Services Division. | National atlas of Canada. 41.1		http://example.org/1333823#Work830-31	blank
Canada, the first parliament	Canada. Geographical Services Division.	Canada. Geographical Services Division. | Canada, the first parliament		http://example.org/1333821#Work	blank
First parliament		 | First parliament		http://example.org/1333821#Work740-36	blank
1st parliament		 | 1st parliament		http://example.org/1333821#Work740-37	blank
1st Parliament of Canada.		 | 1st Parliament of Canada.		http://example.org/1333821#Work740-38	blank
First parliament of Canada.		 | First parliament of Canada.		http://example.org/1333821#Work740-39	blank
National atlas of Canada. 13.7	Canada. Geographical Services Division.	Canada. Geographical Services Division. | National atlas of Canada. 13.7		http://example.org/1333821#Work830-40	blank
Canute and the Vikings /	May, Robin.	May, Robin. | Canute and the Vikings /		http://example.org/1363812#Work	blank
Life and times.	May, Robin.	May, Robin. | Life and times.		http://example.org/1363812#Work830-32	blank
Cape Breton at 200, historical essays in honour of the Island's bicentennial, 1785-1985 /	Donovan, Kenneth Joseph, 1950-	Donovan, Kenneth Joseph, 1950- | Cape Breton at 200, historical essays in honour of the Island's bicentennial, 1785-1985 /		http://example.org/1372777#Work	blank
Cardinal Richelieu : power and the pursuit of wealth /	Bergin, Joseph, 1948-	Bergin, Joseph, 1948- | Cardinal Richelieu : power and the pursuit of wealth /		http://example.org/1354896#Work	blank
Caribbean plays for playing /	Noel, Keith.	Noel, Keith. | Caribbean plays for playing /		http://example.org/1001365#Work	blank
Caring for children : child care needs associated with hydrocarbon development in the Beaufort region /	Erickson, Diane.	Erickson, Diane. | Caring for children : child care needs associated with hydrocarbon development in the Beaufort region /		http://example.org/1351414#Work	blank
Carnaval da vitória, 1985 : entre a tradição e a modernidade.	Angola. Comissão Nacional Preparatória do Carnaval da Vitória.	Angola. Comissão Nacional Preparatória do Carnaval da Vitória. | Carnaval da vitória, 1985 : entre a tradição e a modernidade.		http://example.org/1322198#Work	blank
Carpentry /	Koel, Leonard.	Koel, Leonard. | Carpentry /		http://example.org/1304554#Work	blank
Catálogo de catálogos colectivos de publicaciones periódicas y seriadas publicadas en América Latina y el Caribe /	Román Umaña, Lina.	Román Umaña, Lina. | Catálogo de catálogos colectivos de publicaciones periódicas y seriadas publicadas en América Latina y el Caribe /		http://example.org/1313819#Work	blank
Documentación e información agrícola ;	Román Umaña, Lina.	Román Umaña, Lina. | Documentación e información agrícola ;		http://example.org/1313819#Work830-20	blank
Yami no shukusai. English	Yoshioka, Minoru, 1919-1990.	Yoshioka, Minoru, 1919-1990. | Yami no shukusai. English		http://example.org/1299746#Work	blank
Tanin no sora. English.	Iijima, Kōichi, 1930-2013.	Iijima, Kōichi, 1930-2013. | Tanin no sora. English.		http://example.org/1299746#Work700-31	blank
Strangers' sky.		 | Strangers' sky.		http://example.org/1299746#Work740-32	blank
Asian poetry in translation. Japan. ;	Yoshioka, Minoru, 1919-1990.	Yoshioka, Minoru, 1919-1990. | Asian poetry in translation. Japan. ;		http://example.org/1299746#Work830-33	blank
Changing order : replication and induction in scientific practice /	Collins, H. M. (Harry M.), 1943-	Collins, H. M. (Harry M.), 1943- | Changing order : replication and induction in scientific practice /		http://example.org/1330469#Work	blank
Characteristics of inmates involved in prison incidents : phase 1 /	Campbell, Gayle.	Campbell, Gayle. | Characteristics of inmates involved in prison incidents : phase 1 /		http://example.org/1316728#Work	blank
User report ;	Campbell, Gayle.	Campbell, Gayle. | User report ;		http://example.org/1316728#Work830-25	blank
Check it out! : the book about libraries /	Gibbons, Gail.	Gibbons, Gail. | Check it out! : the book about libraries /		http://example.org/1373688#Work	blank
China, issues and prospects in education.	World Bank.	World Bank. | China, issues and prospects in education.		http://example.org/1360247#Work	blank
China.		 | China.		http://example.org/1360247#Work740-27	blank
World Bank country study.	World Bank.	World Bank country study	177396119	http://example.org/1360247#Work830-28	blank
Annex ... to China, long-term development issues and options ;	World Bank.	Annex ... to China, long-term development issues and options	178641211	http://example.org/1360247#Work830-29	blank
China's cultural values /	Schwartz, Benjamin I. (Benjamin Isadore), 1916-1999.	Schwartz, Benjamin I. (Benjamin Isadore), 1916-1999. | China's cultural values /		http://example.org/1378260#Work	blank
Occasional paper (Arizona State University. Center for Asian Studies) ;	Schwartz, Benjamin I. (Benjamin Isadore), 1916-1999.	Schwartz, Benjamin I. (Benjamin Isadore), 1916-1999. | Occasional paper (Arizona State University. Center for Asian Studies) ;		http://example.org/1378260#Work830-23	blank
Choral varié op. 55 /	Indy, Vincent d', 1851-1931.	Indy, Vincent d' 1851-1931 | Choral varié	174881732	http://example.org/1400996#Work	blank
CIPSH.	International Council for Philosophy and Humanistic Studies.	International Council for Philosophy and Humanistic Studies. | CIPSH.		http://example.org/1352685#Work	blank
C I P S H.		 | C I P S H.		http://example.org/1352685#Work740-19	blank
Civilizations East and West : a memorial volume for Benjamin Nelson /	Nelson, Benjamin, 1911-1977.	Nelson, Benjamin, 1911-1977. | Civilizations East and West : a memorial volume for Benjamin Nelson /		http://example.org/1371097#Work	blank
Class conflict and the crisis of feudalism : essays in medieval social history /	Hilton, R. H. (Rodney Howard), 1916-2002.	Hilton, R. H. (Rodney Howard), 1916-2002. | Class conflict and the crisis of feudalism : essays in medieval social history /		http://example.org/1318950#Work	blank
History series (Hambledon Press) ;	Hilton, R. H. (Rodney Howard), 1916-2002.	Hilton, R. H. (Rodney Howard), 1916-2002. | History series (Hambledon Press) ;		http://example.org/1318950#Work830-29	blank
Engishiki. English.	Bock, Felicia Gressitt.	Bock, Felicia Gressitt. | Engishiki. English.		http://example.org/1378244#Work	blank
Engishiki. Maki 20. English.		 | Engishiki. Maki 20. English.		http://example.org/1378244#Work730-28	blank
