Column 1	Column 2	Column 3	VIAF-ID	Column 4	blank
Proposed improvements to the Trans Canada Highway in Banff National Park, Sunshine Rd. to Jasper Highway : initial assessment.	Canada. Public Works Canada.	Canada. Public Works Canada. | Proposed improvements to the Trans Canada Highway in Banff National Park, Sunshine Rd. to Jasper Highway : initial assessment.		http://example.org/1369122#Work	blank
Protection of the environment in Austria.	Austria. Bundespressedienst.	Austria. Bundespressedienst. | Protection of the environment in Austria.		http://example.org/1298371#Work	blank
Austria documentation.	Austria. Bundespressedienst.	Austria documentation	181049365	http://example.org/1298371#Work830-20	blank
Public education in autonomous districts of the north /	Arsenov, V. G.	Arsenov, V. G. | Public education in autonomous districts of the north /		http://example.org/1398366#Work	blank
Narodnoe obrazovanie v avtonomykh okrugakh severa.		 | Narodnoe obrazovanie v avtonomykh okrugakh severa.		http://example.org/1398366#Work740-23	blank
PUDs in practice /	Moore, Colleen Grogan.	Moore, Colleen Grogan. | PUDs in practice /		http://example.org/1404483#Work	blank
Pure saxophone	Dirlam, Richard.,	Dirlam, Richard., | Pure saxophone		http://example.org/1351231#Work	blank
Hanblecheyapi.	Aubart, Michael, 1952-	Aubart, Michael, 1952- | Hanblecheyapi	184746639	http://example.org/1351231#Work700-34	blank
Tag.	Stokes, Eric.	Stokes, Eric, 1930-1999. | Tag	174801965	http://example.org/1351231#Work700-35	blank
Pièce brève.	Masuda, Kozo, 1934-	Masuda, Kozo, 1934- | Pièce brève	184900893	http://example.org/1351231#Work700-36	blank
Tierkreis; arranged.	Stockhausen, Karlheinz, 1928-2007.	Stockhausen, Karlheinz, 1928-2007. | Tierkreis; arranged.		http://example.org/1351231#Work700-37	blank
Minnesota Composers Forum presents Pure saxophone.		 | Minnesota Composers Forum presents Pure saxophone.		http://example.org/1351231#Work740-38	blank
Putting people first : sociological variables in rural development /	Cernea, Michael M.	Cernea, Michael M. | Putting people first sociological variables in rural development	312343362	http://example.org/1339833#Work	blank
Quatuor de saxophones de Montréal	Quatuor de saxophones de Montréal.	Quatuor de saxophones de Montréal. | Quatuor de saxophones de Montréal		http://example.org/1312515#Work	blank
Pulau dewata.	Vivier, Claude, 1948-1983.	Vivier, Claude, 1948-1983. | Pulau dewata	174397897	http://example.org/1312515#Work700-29	blank
Vue sur les jardins interdits.	Pousseur, Henri.	Pousseur, Henri 1929-2009 Quatrième vue sur les jardins interdits	292523592	http://example.org/1312515#Work700-30	blank
Variations, saxophones (4), op. 84.	Leibowitz, René, 1913-1972.	Leibowitz, René, 1913-1972 | Variations, saxophones (4), op. 84	186902692	http://example.org/1312515#Work700-31	blank
Improvisations.	Woods, Phil.	Woods, Phil. | Improvisations, saxophones (4)	182068570	http://example.org/1312515#Work700-32	blank
Vue sur les jardins interdits.		 | Vue sur les jardins interdits.		http://example.org/1312515#Work740-33	blank
Quebec's forest /	Québec (Province). Ministère de l'énergie et des ressources.	Québec (Province). Ministère de l'énergie et des ressources. | Quebec's forest /		http://example.org/1300857#Work	blank
Quebec's forest: our growing wealth.		 | Quebec's forest: our growing wealth.		http://example.org/1300857#Work740-21	blank
Le Québec forestier.		 | Le Québec forestier.		http://example.org/1300857#Work740-22	blank
Razvitie sot͡sialʹnoĭ struktury obshchestva v SSSR : aktualʹnye problemy sot͡siologicheskikh issledovaniĭ /	Ivanov, V. N. (Vilen Nikolaevich), 1934-	Ivanov, V. N. (Vilen Nikolaevich), 1934- | Razvitie sot͡sialʹnoĭ struktury obshchestva v SSSR : aktualʹnye problemy sot͡siologicheskikh issledovaniĭ /		http://example.org/1341604#Work	blank
Readalong rhythms		 | Readalong rhythms		http://example.org/1354433#Work	blank
Reader's Digest illustrated guide to Southern Africa /	Bulpin, Thomas Victor.	Bulpin, Thomas Victor. | Reader's Digest illustrated guide to Southern Africa /		http://example.org/1380237#Work	blank
Reading Lacan /	Gallop, Jane, 1952-	Gallop, Jane, 1952-. | Reading Lacan	306896408	http://example.org/1001292#Work	blank
Recent experiences in the coordination of education, employment and technology in Latin America and the Caribbean : a state of the art review and annotated bibliography /	McGinn, Noel F., 1934-	McGinn, Noel F., 1934- | Recent experiences in the coordination of education, employment and technology in Latin America and the Caribbean : a state of the art review and annotated bibliography /		http://example.org/1330842#Work	blank
Reports/studies ;	McGinn, Noel F., 1934-	McGinn, Noel F., 1934- | Reports/studies ;		http://example.org/1330842#Work830-29	blank
