Column 1	LC-ID-Per	LC-ID-names	org	Column 3	Column 4	LC-ID-Cor	Column 5
Scherf, Walter, 1920-....	n83058792	n85264925	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Goethe-Institut%20(Munich,%20Germany)	http://example.org/1407999#Agent710-26	n85264925	
Rüden, Peter von	n81022831	n81035934	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Adolf-Grimme-Institut.	http://example.org/1407999#Agent710-27	n81035934	
Arzamendi, Jesús	nr88002998	nr88002998	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Arzamendi,%20Jesús.	http://example.org/1323188#Agent100-12		
Whybray, R. N. (Roger Norman)	n50016170	n50016170	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Whybray,%20R.%20N.%20(Roger%20Norman)	http://example.org/1364650#Agent100-16		
Kiely, Benedict	n79150453	n79150453	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Kiely,%20Benedict.	http://example.org/1347192#Agent100-12		
Wetzel, Gregory F., 1950-	n84165385	n84165385	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Wetzel,%20Gregory%20F.,%201950-	http://example.org/1389789#Agent100-12		
Bulgren, William G.	n81139658	n81139658	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bulgren,%20William%20G.	http://example.org/1389789#Agent700-26		
Vito, Gennaro F.	n85113780	n85113780	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Vito,%20Gennaro%20F.	http://example.org/1311100#Agent100-15		
Wilson, Deborah G., Ph. D.	n88293632	n88293632	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Wilson,%20Deborah%20G.,%20Ph.%20D.	http://example.org/1311100#Agent700-29		
Moyer, Sharon	n78073422	n78073422	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Moyer,%20Sharon.	http://example.org/1343667#Agent100-10		
Frederick II, King of Prussia, 1712-1786	n80056902	n79063273	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.	http://example.org/1343667#Agent610-19	n79063273	
Carrington, Peter J., 1946-....	n2004102494	n2004102494	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Carrington,%20Peter%20J.	http://example.org/1343667#Agent700-22		
Canada. Ministry of the Solicitor General.		n80152367	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Ministry%20of%20the%20Solicitor%20General.	http://example.org/1343667#Agent710-23	n80152367	
Canada. Ministry of the Solicitor General. Programs Branch.		n82119823	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Ministry%20of%20the%20Solicitor%20General.%20Programs %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Branch.	http://example.org/1343667#Agent710-24	n82119823	
Banff Centre.		n84116689	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Banff%20Centre.	http://example.org/1405518#Agent110-11	n84116689	
Banff Centre		n84116689	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Banff%20Centrehttp://www.loc.gov/mads/rdf/v1#ComplexSubject	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Banff%20Centre	n84116689	http://example.org/1405518#Agent610-20
Vallianatos, Helen	no00008768	n83200010	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Alberta.%20Alberta%20Culture.	http://example.org/1405518#Agent710-22	n83200010	
Alberta. Visual Arts.		n82134659	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Alberta.%20Visual%20Arts.	http://example.org/1405518#Agent710-23	n82134659	
Walter J. Phillips Gallery.		n84116689	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Walter%20J.%20Phillips%20Gallery.	http://example.org/1405518#Agent710-24	n84116689	
Brontë, Charlotte, 1816-1855.	n79054114	n79054114	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Patrick,%20G.%20C.	http://example.org/1396440#Agent700-21	n91096829	
Petroleum Association for Conservation of the Canadian Environment.		n84135027	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Petroleum%20Association%20for%20Conservation%20of%20the%20Canadian %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Environment.	http://example.org/1396440#Agent710-22	n84135027	
McQuillen, Michael J., 1944-....	n85176588	n85176588	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22McQuillen,%20Michael%20J.,%201944-	http://example.org/1303604#Agent100-13		
Hammermill Paper Company		n50020008	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Hammermill%20Paper%20Companyhttp://www.loc.gov/mads/rdf/v1#ComplexSubject	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Hammermill%20Paper%20Company	n50020008	http://example.org/1303604#Agent610-21
Garvey, William P., 1935-....	n85176589	n85176589	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Garvey,%20William%20P.,%201935-	http://example.org/1303604#Agent700-23		
Albright, Horace M. (Horace Marden), 1890-1987	n50040185	n50040185	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Albright,%20Horace%20M.%20(Horace%20Marden),%201890-1987.	http://example.org/1328943#Agent100-13		
Albright, Horace M. (Horace Marden), 1890-1987	n50040185	n50040185	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Albright,%20Horace%20M.%20(Horace%20Marden),%201890-1987.http://www.loc.gov/mads/rdf/v1#Name	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Albright,%20Horace%20M.%20(Horace%20Marden),%201890-1987.		http://example.org/1328943#Agent600-23
Gould, Lewis L.	n80065567	n79022809	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22United%20States.%20National%20Park%20Servicehttp://www.loc.gov/mads/rdf/v1#ComplexSubject	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22United%20States.%20National%20Park%20Service	n79022809	http://example.org/1328943#Agent610-24
