Column 1	LC-ID-Per	LC-ID-names	org	Column 3	Column 4	LC-ID-Cor	Column 5
Herrick, Christopher	n82136834	n82136834	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Herrick,%20Christopher.	http://example.org/1373015#Agent700-28		
Hannah, Ronald, 1945-	nr99022480	nr99022480	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hannah,%20Ronald,%201945-	http://example.org/1373745#Agent100-9		
Grand Igloo Pioneers of Alaska.			Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Grand%20Igloo%20Pioneers%20of%20Alaska.	http://example.org/1394444#Agent110-11		
Štajner, Karlo, 1902-	n83048278	n83048278	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Štajner,%20Karlo,%201902-	http://example.org/1368838#Agent100-10		
Paré, Roger, 1929-	n80000745	n80000745	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Paré,%20Roger,%201929-	http://example.org/1315694#Agent100-10		
Adelberg, Ellen	nr88006374	nr88006374	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Adelberg,%20Ellen.	http://example.org/1364476#Agent100-10		
Laprairie, Carol	n88608782	n88608782	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22LaPrairie,%20Carol.	http://example.org/1364476#Agent700-24		
Canada. Ministry of the Solicitor General. Programs Branch.		n82119823	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Ministry%20of%20the%20Solicitor%20General.%20Programs %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Branch.	http://example.org/1364476#Agent710-25	n82119823	
Canada. Ministry of the Solicitor General.		n80152367	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Ministry%20of%20the%20Solicitor%20General.	http://example.org/1364476#Agent710-26	n80152367	
Parkop, Kametan	n90622573	n90622573	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Parkop,%20Kametan.	http://example.org/1312008#Agent100-9		
University of Papua New Guinea. Michael Somare Library Map Collections			Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22University%20of%20Papua%20New%20Guinea.%20Michael%20Somare%20Library%20Map %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Collectionshttp://www.loc.gov/mads/rdf/v1#ComplexSubject	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22University%20of%20Papua%20New%20Guinea.%20Michael%20Somare%20Library%20Map %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Collections		http://example.org/1312008#Agent610-17
University of Papua New Guinea. Michael Somare Library Map Collection.			Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22University%20of%20Papua%20New%20Guinea.%20Michael%20Somare%20Library%20Map%20Collection.	http://example.org/1312008#Agent710-20		
Fry, Roger Eliot, 1866-1934	n79072847	n77005277	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Yale%20Center%20for%20British%20Art.	http://example.org/1303635#Agent110-13	n77005277	
Fry, Roger Eliot, 1866-1934	n79072847	n77005277	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Yale%20Center%20for%20British%20Arthttp://www.loc.gov/mads/rdf/v1#ComplexSubject	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Yale%20Center%20for%20British%20Art	n77005277	http://example.org/1303635#Agent610-21
Cormack, Malcolm.	n50016401	n50016401	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Cormack,%20Malcolm.	http://example.org/1303635#Agent700-25		
Jones, Shirley, 1934 November 14-	nb2003112430	nb2003112430	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Jones,%20Shirley,%201934%20November%2014-	http://example.org/1346560#Agent100-10		
Smolan, Rick.	n82064182	n82064182	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Smolan,%20Rick.	http://example.org/1369133#Agent700-22		
Coen, Joel	n87871864	n87871864	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Cohen,%20David,%201955-	http://example.org/1369133#Agent700-23		
Norman Wells Oilfield Expansion and Pipeline Project			Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Norman%20Wells%20Oilfield%20Expansion%20and%20Pipeline%20Projecthttp://www.loc.gov/mads/rdf/v1#ComplexSubject	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Norman%20Wells%20Oilfield%20Expansion%20and%20Pipeline%20Project		http://example.org/1355410#Agent610-19
Dene Nation.		n84222796	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Dene%20Nation.	http://example.org/1355410#Agent710-26	n84222796	
Laidler, David E. W.	n50039414	no95038119	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Commission%20of%20the%20European%20Communities.	http://example.org/1348435#Agent110-11	no95038119	
Viet, Jean.	n79006575	no95038119	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Council%20of%20the%20European%20Communities.	http://example.org/1348435#Agent710-21	no95038119	
International Congress on Medicinal Plant Research (32nd : 1984 : Antwerp, Belgium)			Meeting	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22International%20Congress%20on%20Medicinal%20Plant%20Research%20(32nd%20:%201984%20: %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Antwerp,%20Belgium)	http://example.org/1352079#Agent111-13		
Vlietinck, Arnold J.	n87894802	n87894802	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Vlietinck,%20Arnold%20J.	http://example.org/1352079#Agent700-28		
Dommisse, Roger A.	n87894803	n87894803	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Dommisse,%20Roger%20A.	http://example.org/1352079#Agent700-29		
International Congress on Medicinal Plant Research.		n85140789	Meeting	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22International%20Congress%20on%20Medicinal%20Plant%20Research.	http://example.org/1352079#Agent711-30	n85140789	
Twain, Mark, 1835-1910	n79021164	n79021164	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Twain,%20Mark,%201835-1910.	http://example.org/1325565#Agent100-11		
Moser, Barry.	n81053810	n81053810	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Moser,%20Barry.	http://example.org/1325565#Agent700-24	n85820260	
Fischer, Victor, 1942-	n80043031	n80043031	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Fischer,%20Victor,%201942-	http://example.org/1325565#Agent700-25		
Purvis, William	n89674052	n81119296	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Speculum%20Musicae%20(Musical%20group)	http://example.org/1312511#Agent110-17	n81119296	
Lieberson, Peter, 1946-2011	n84220602	n84220602	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Lieberson,%20Peter,%201946-2011.	http://example.org/1312511#Agent700-34		
Wuorinen, Charles	n81014048	n81014048	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Wuorinen,%20Charles.	http://example.org/1312511#Agent700-35		
Shifrin, Seymour, 1926-1979	n82111777	n82111777	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Shifrin,%20Seymour,%201926-1979.	http://example.org/1312511#Agent700-36		
Obichere, Boniface I.	n80005121	n80005121	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Obichere,%20Boniface%20I.	http://example.org/1297008#Agent700-20		
Simon Fraser University. Library.		n77000268	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Simon%20Fraser%20University.%20Library.	http://example.org/1328381#Agent110-10	n77000268	
Simon Fraser University. Library		n77000268	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Simon%20Fraser%20University.%20Libraryhttp://www.loc.gov/mads/rdf/v1#ComplexSubject	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Simon%20Fraser%20University.%20Library	n77000268	http://example.org/1328381#Agent610-22
Duckworth, Marilyn, 1935-	n87127799	n87127799	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Duckworth,%20Marilyn,%201935-	http://example.org/1332090#Agent100-12		
Laidler, David E. W.	n50039414	no95038119	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Commission%20of%20the%20European%20Communities.	http://example.org/1348442#Agent110-11	no95038119	
Rouillard, Jacques, 1945-....	n81029848	n81029848	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Rouillard,%20Jacques,%201945-	http://example.org/1301789#Agent100-13		
Kun, Miklós, 1946-	n86026255	n86026255	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hajnal,%20László%20Gábor.	http://example.org/1320597#Agent100-11		
Butler, Sheila, 1938-	n82140687	n82140687	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Butler,%20Sheila,%201938-	http://example.org/1405481#Agent100-14		
Bruning, Alex, 1937-			Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bruning,%20Alex,%201937-http://www.loc.gov/mads/rdf/v1#ComplexSubject	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Bruning,%20Alex,%201937-		http://example.org/1405481#Agent600-24
Bruning, Alex, 1937-			Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bruning,%20Alex,%201937-	http://example.org/1405481#Agent700-25		
Butler, Sheila, 1938-	n82140687	n83011156	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Gallery%20111.	http://example.org/1405481#Agent710-26	n83011156	
Hindle, Brooke	n79128975	n79128975	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hindle,%20Brooke.	http://example.org/1375834#Agent100-12		
Rozman, Gilbert	n81062238	n81062238	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Rozman,%20Gilbert.	http://example.org/1379745#Agent100-13		
Nizon, Paul	n83318387	n83318387	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Nizon,%20Paul.	http://example.org/1305141#Agent100-11		
Nizon, Paul	n83318387	n83318387	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Nizon,%20Paulhttp://www.loc.gov/mads/rdf/v1#ComplexSubject	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Nizon,%20Paul		http://example.org/1305141#Agent600-22
Bluemel, Nancy Larson.			Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bluemel,%20Nancy%20Larson.	http://example.org/1375404#Agent100-9		
McGill University. Institute of Air and Space Law.		n81003539	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22McGill%20University.%20Institute%20of%20Air%20and%20Space%20Law.	http://example.org/1366684#Agent110-11	n81003539	
Akurgal, Ekrem	n50040162	n50040162	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Akurgal,%20Ekrem.	http://example.org/1321997#Agent100-11		
Camilleri, Gérard	n92084365	n92084365	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Camilleri,%20Gérard.	http://example.org/1297869#Agent700-28		
Rosenfeld, Lotty	n87100470	n81034203	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Focus%20Media.	http://example.org/1297869#Agent710-29	n81034203	
Allen, Henry T. (Henry Tureman), 1859-1930	n85062962	n85062962	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Allen,%20Henry%20T.%20(Henry%20Tureman),%201859-1930.	http://example.org/1319468#Agent100-13		
Allen, Henry T. (Henry Tureman), 1859-1930	n85062962	n85062962	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Allen,%20Henry%20T.%20(Henry%20Tureman),%201859-1930.http://www.loc.gov/mads/rdf/v1#Name	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Allen,%20Henry%20T.%20(Henry%20Tureman),%201859-1930.		http://example.org/1319468#Agent600-23
Porporino, Frank J.	n87945129	n87945129	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Porporino,%20Frank%20John,%201951-	http://example.org/1326706#Agent100-9		
Moore, Patrick	n79082203	n79082203	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Doherty,%20P.%20(Paul)	http://example.org/1326706#Agent700-22		
Sawatsky, T.	n90703694	n90703694	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Sawatsky,%20T.	http://example.org/1326706#Agent700-23		
Correctional Service Canada Preventive Security Division.			Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Correctional%20Service%20Canada%20Preventive%20Security %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Division.	http://example.org/1326706#Agent710-24		
Canada. Ministry of the Solicitor General. Research Division.		n78024279	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Ministry%20of%20the%20Solicitor%20General.%20Research %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Division.	http://example.org/1326706#Agent710-25	n78024279	
Alsvik, Rønnaug Foss.			Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Alsvik,%20Rønnaug%20Foss.	http://example.org/1299630#Agent100-14		
Brorson, Hans Adolf, 1694-1764	n83137374	n83137374	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Brorson,%20Hans%20Adolf,%201694-1764.	http://example.org/1299630#Agent700-32		
Vige, Bjørn E.			Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Vige,%20Bjørn%20E.	http://example.org/1299630#Agent700-33		
Dagsland, Sigvart	no98012044	no98012044	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Dagsland,%20Sigvart.	http://example.org/1299630#Agent700-34		
Hovland, Per Egil.			Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hovland,%20Per%20Egil.	http://example.org/1299630#Agent700-35		
Fenriz, 1971-	no2015048025	no2015048025	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Rygg,%20Leif.	http://example.org/1299630#Agent700-36		
Endresen, Stein.			Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Endresen,%20Stein.	http://example.org/1299630#Agent700-37		
Odland, Nils.			Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Odland,%20Nils.	http://example.org/1299630#Agent700-38		
Sommerro, Henning	n91081525	n91081525	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Sommerro,%20Henning.	http://example.org/1299630#Agent700-39		
Nordby, Ben.			Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Nordby,%20Ben.	http://example.org/1299630#Agent700-40		
Wildlife Agreement Workshop (1985 : Yellowknife, N.W.T.)			Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Wildlife%20Agreement%20Workshop%20(1985%20:%20Yellowknife, %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20N.W.T.)	http://example.org/1397429#Agent110-11		
Cheezie, Gerry.			Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Cheezie,%20Gerry.	http://example.org/1397429#Agent700-25		
Trip-de-Roch, Emil.			Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Trip-de-Roch,%20Emil.	http://example.org/1397429#Agent700-26		
Dene/Metis Negotiations Secretariat.			Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Dene/Metis%20Negotiations%20Secretariat.	http://example.org/1397429#Agent710-27		
Metis Association of the Northwest Territories.		n77005373	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Metis%20Association%20of%20the%20Northwest%20Territories.	http://example.org/1397429#Agent710-28	n77005373	
Dalhart, Vernon, 1883-1948	no91007920	no91007920	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hall,%20Marion.	http://example.org/1304336#Agent100-13	n2002073936	
Macintyre, Sally	n85383076	n85383076	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Macintyre,%20Sally.	http://example.org/1304336#Agent700-25		
Frank, Bruno, 1887-1945.	n50025400	n50025400	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Porter,%20Maureen.	http://example.org/1304336#Agent700-26		
Bodley, John H.	n81050749	n81050749	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bodley,%20John%20H.	http://example.org/1387601#Agent100-15		
Giles, W. H., 1930-	n91033820	n91033820	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Giles,%20W.%20H.,%201930-	http://example.org/1336071#Agent100-13		
Hallstein, Walter, 1901-1982.	n50018469	n2004153355	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22European%20Economic%20Community.http://www.loc.gov/mads/rdf/v1#CorporateName	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22European%20Economic%20Community.	n2004153355	http://example.org/1348441#Agent610-19
Laidler, David E. W.	n50039414	no95038119	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Commission%20of%20the%20European%20Communities.	http://example.org/1348441#Agent710-20	no95038119	
Cummins, Maureen	n94069416	n94069416	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Cummins,%20Maureen.	http://example.org/1330813#Agent100-9		
Cummins, Maureen	n94069416	n94069416	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Cummins,%20Maureen.http://www.loc.gov/mads/rdf/v1#Name	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Cummins,%20Maureen.		http://example.org/1330813#Agent600-18
Owechko, Iwan	n84230180	n84230180	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Owechko,%20Iwan.	http://example.org/1325902#Agent700-24		
Kukhar, Roman V. (Roman Volodymyr), 1920-2007	no92018637	no92018637	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Volodymyr,%20R.,%201920-2007	http://example.org/1325902#Agent700-25		
Tatchyn, Roman Orest	n79134442	n79134442	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Tatchyn,%20Roman%20Orest.	http://example.org/1325902#Agent700-26		
Schömel, Wolfgang	n85159951	n85159951	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Schömel,%20Wolfgang.	http://example.org/1348752#Agent100-12		
Keyfitz, Nathan, 1913-2010	n80015604	n80015604	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Keyfitz,%20Nathan,%201913-2010.	http://example.org/1401909#Agent100-12		
Gerald, Curtis F., 1915-....	n83005326	n83005326	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Gerald,%20Curtis%20F.,%201915-	http://example.org/1340362#Agent100-10		
Wheatley, Patrick O.	n83005325	n83005325	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Wheatley,%20Patrick%20O.	http://example.org/1340362#Agent700-23		
Bruce, C. J. (Christopher J.)	n89613390	n89613390	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bruce,%20C.%20J.%20(Christopher%20J.),%201948-	http://example.org/1359382#Agent100-13		
Madison, James, 1751-1836	n80067022	n80067022	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Kerr,%20William%20A.%20(William%20Alexander)	http://example.org/1359382#Agent700-29		
University of Calgary. Dept. of Economics.		no95027226	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22University%20of%20Calgary.%20Dept.%20of%20Economics.	http://example.org/1359382#Agent710-30	no95027226	
Dixit, Avinash K.	n85310808	n85310808	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Dikshit,%20K.%20N.	http://example.org/1345912#Agent700-22		
Dikshit, K. N.	n85299345	n81071755	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Indian%20Archaeological%20Society.	http://example.org/1345912#Agent710-23	n81071755	
Wranitzky, Paul, 1756-1808	n84046776	n84046776	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Ackerman,%20Robert%20E.	http://example.org/1338625#Agent700-24		
Young, Deborah A.	n91060659	n91060659	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Young,%20Deborah%20A.	http://example.org/1405299#Agent100-11		
Art Gallery of Nova Scotia.		n84183559	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Art%20Gallery%20of%20Nova%20Scotia.	http://example.org/1405299#Agent710-27	n84183559	
Museum Assistance Programmes (Canada)		n80026448	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Museum%20Assistance%20Programmes%20(Canada)	http://example.org/1405299#Agent710-28	n80026448	
Tchaikovsky, Peter Ilich, 1840-1893	n79072979	n79072979	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Schubert,%20Franz,%201797-1828.	http://example.org/1345022#Agent100-14	n85119689	
Maser, Werner, 1922-2007	n79119013	n79119013	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Maser,%20Werner,%201922-2007.	http://example.org/1345022#Agent700-25		
