Column 1	id	Column 2	Column 3	Column 4	Column 1
European Commission.	213728962	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Commission%20of%20the%20European%20Communities.	http://example.org/1348442#Agent110-11	European Commission.
Rouillard, Jacques, 1945-		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Rouillard,%20Jacques,%201945-	http://example.org/1301789#Agent100-13	Rouillard, Jacques, 1945-
Hajnal, László Gábor.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hajnal,%20László%20Gábor.	http://example.org/1320597#Agent100-11	Hajnal, László Gábor.
Art and Cold Cash Collective	102878126	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Butler,%20Sheila,%201938-	http://example.org/1405481#Agent100-14	Art and Cold Cash Collective
Bruning, Alex, 1937-		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bruning,%20Alex,%201937-	http://example.org/1405481#Agent700-25	Bruning, Alex, 1937-
Gallery 111	130132018	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Gallery%20111.	http://example.org/1405481#Agent710-26	Gallery 111
Hindle, Brooke.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hindle,%20Brooke.	http://example.org/1375834#Agent100-12	Hindle, Brooke.
Rozman, Gilbert.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Rozman,%20Gilbert.	http://example.org/1379745#Agent100-13	Rozman, Gilbert.
Nizon, Paul.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Nizon,%20Paul.	http://example.org/1305141#Agent100-11	Nizon, Paul.
Bluemel, Nancy Larson.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bluemel,%20Nancy%20Larson.	http://example.org/1375404#Agent100-9	Bluemel, Nancy Larson.
McGill University. Institute of Air and Space Law.	141839140	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22McGill%20University.%20Institute%20of%20Air%20and%20Space%20Law.	http://example.org/1366684#Agent110-11	McGill University. Institute of Air and Space Law.
Akurgal, Ekrem.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Akurgal,%20Ekrem.	http://example.org/1321997#Agent100-11	Akurgal, Ekrem.
Camilleri, Gérard.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Camilleri,%20Gérard.	http://example.org/1297869#Agent700-28	Camilleri, Gérard.
Focus:media	147753869	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Focus%20Media.	http://example.org/1297869#Agent710-29	Focus:media
Allen, Henry T. (Henry Tureman), 1859-1930.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Allen,%20Henry%20T.%20(Henry%20Tureman),%201859-1930.	http://example.org/1319468#Agent100-13	Allen, Henry T. (Henry Tureman), 1859-1930.
Porporino, Frank John, 1951-		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Porporino,%20Frank%20John,%201951-	http://example.org/1326706#Agent100-9	Porporino, Frank John, 1951-
Doherty, P. (Paul)		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Doherty,%20P.%20(Paul)	http://example.org/1326706#Agent700-22	Doherty, P. (Paul)
Sawatsky, T.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Sawatsky,%20T.	http://example.org/1326706#Agent700-23	Sawatsky, T.
Correctional Service Canada Preventive Security Division.		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Correctional%20Service%20Canada%20Preventive%20Security %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Division.	http://example.org/1326706#Agent710-24	Correctional Service Canada Preventive Security Division.
Canada. Ministry of the Solicitor General. Research Division	134409833	Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Ministry%20of%20the%20Solicitor%20General.%20Research %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Division.	http://example.org/1326706#Agent710-25	Canada. Ministry of the Solicitor General. Research Division
Alsvik, Rønnaug Foss.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Alsvik,%20Rønnaug%20Foss.	http://example.org/1299630#Agent100-14	Alsvik, Rønnaug Foss.
Brorson, Hans Adolf, 1694-1764.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Brorson,%20Hans%20Adolf,%201694-1764.	http://example.org/1299630#Agent700-32	Brorson, Hans Adolf, 1694-1764.
Vige, Bjørn E.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Vige,%20Bjørn%20E.	http://example.org/1299630#Agent700-33	Vige, Bjørn E.
Dagsland, Sigvart.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Dagsland,%20Sigvart.	http://example.org/1299630#Agent700-34	Dagsland, Sigvart.
Hovland, Per Egil.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hovland,%20Per%20Egil.	http://example.org/1299630#Agent700-35	Hovland, Per Egil.
Rygg, Leif.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Rygg,%20Leif.	http://example.org/1299630#Agent700-36	Rygg, Leif.
Endresen, Stein.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Endresen,%20Stein.	http://example.org/1299630#Agent700-37	Endresen, Stein.
Odland, Nils.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Odland,%20Nils.	http://example.org/1299630#Agent700-38	Odland, Nils.
Sommerro, Henning.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Sommerro,%20Henning.	http://example.org/1299630#Agent700-39	Sommerro, Henning.
Nordby, Ben.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Nordby,%20Ben.	http://example.org/1299630#Agent700-40	Nordby, Ben.
Wildlife Agreement Workshop (1985 : Yellowknife, N.W.T.)		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Wildlife%20Agreement%20Workshop%20(1985%20:%20Yellowknife, %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20N.W.T.)	http://example.org/1397429#Agent110-11	Wildlife Agreement Workshop (1985 : Yellowknife, N.W.T.)
Cheezie, Gerry.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Cheezie,%20Gerry.	http://example.org/1397429#Agent700-25	Cheezie, Gerry.
Trip-de-Roch, Emil.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Trip-de-Roch,%20Emil.	http://example.org/1397429#Agent700-26	Trip-de-Roch, Emil.
Dene/Metis Negotiations Secretariat.		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Dene/Metis%20Negotiations%20Secretariat.	http://example.org/1397429#Agent710-27	Dene/Metis Negotiations Secretariat.
Metis Association of the Northwest Territories	142525134	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Metis%20Association%20of%20the%20Northwest%20Territories.	http://example.org/1397429#Agent710-28	Metis Association of the Northwest Territories
Seattle Center Opera House	143262138	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hall,%20Marion.	http://example.org/1304336#Agent100-13	Seattle Center Opera House
Macintyre, Sally.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Macintyre,%20Sally.	http://example.org/1304336#Agent700-25	Macintyre, Sally.
Porter, Maureen.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Porter,%20Maureen.	http://example.org/1304336#Agent700-26	Porter, Maureen.
Bodley, John H.		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bodley,%20John%20H.	http://example.org/1387601#Agent100-15	Bodley, John H.
Giles, W. H., 1930-		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Giles,%20W.%20H.,%201930-	http://example.org/1336071#Agent100-13	Giles, W. H., 1930-
European Commission.	213728962	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Commission%20of%20the%20European%20Communities.	http://example.org/1348441#Agent710-20	European Commission.
