Column 1	fname	lname	ID	Column 2	Column 3
Hindle, Brooke	 Brooke	Hindle	167366606	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Hindle,%20Brooke.
Rozman, Gilbert	 Gilbert	Rozman	108174758	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Rozman,%20Gilbert.
Nizon, Paul, 1929-....	 Paul	Nizon	39391021	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Nizon,%20Paul.
Bluemel, Nancy Larson.	 Nancy Larson	Bluemel		Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Bluemel,%20Nancy%20Larson.
Ahmad, Tanveer		McGill University Institute of Air and Space Law	305321651	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22McGill%20University.%20Institute%20of%20Air%20and%20Space%20Law.
Akurgal, Ekrem	 Ekrem	Akurgal	3268374	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Akurgal,%20Ekrem.
Camilleri, Gérard	 Gérard	Camilleri	46816263	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Camilleri,%20Gérard.
Rosenfeld, Lotty, 1943-....		Focus Media	87034125	Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Focus%20Media.
Allen, Henry T. (Henry Tureman), 1859-1930	 Henry T (Henry Tureman)	Allen	42610461	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Allen,%20Henry%20T.%20(Henry%20Tureman),%201859-1930.
Porporino, Frank John, 1951-	 Frank John	Porporino	47401273	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Porporino,%20Frank%20John,%201951-
Moore, Patrick	 P (Paul)	Doherty	32062500	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Doherty,%20P.%20(Paul)
Sawatsky, T.	 T	Sawatsky	4099533	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Sawatsky,%20T.
Correctional Service Canada Preventive Security Division.		Correctional Service Canada Preventive Security Division		Organization	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Correctional%20Service%20Canada%20Preventive%20Security %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Division.
Canada. Ministry of the Solicitor General. Research Division.		Canada Ministry of the Solicitor General Research Division		Jurisdiction	http://www.viaf.org/viaf/search?query=local.corporateNames%20all%20%22Canada.%20Ministry%20of%20the%20Solicitor%20General.%20Research %20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20%20Division.
Alsvik, Rønnaug Foss	 Rønnaug Foss	Alsvik	100149106013668490738	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Alsvik,%20Rønnaug%20Foss.
Brorson, Hans Adolph, 1694-1764	 Hans Adolf	Brorson	59242257	Person	http://www.viaf.org/viaf/search?query=local.personalNames%20all%20%22Brorson,%20Hans%20Adolf,%201694-1764.
