Column 1	mach_ID_Per	VIAF-ID	score	VIAF	match_ID-cor	score-c	org	Column 3	Column 4
Unterkircher, Franz			;	Unterkircher, Franz			Person		http://example.org/1087071#Agent700-20
Verdross, Alfred, 1890-1980	108580972	108580972	1.0	Verdross, Alfred, 1890-1980			Person		http://example.org/1043705#Agent100-10
Messner, Stephen D	164041514	164041514	0.9473684210526315	Messner, Stephen D			Person		http://example.org/1030489#Agent100-11
Miller, Joan B			;	Miller, Joan B			Person		http://example.org/1069291#Agent100-12
Seixas, Carlos, 1704-1742	12492861	12492861	1.0	Seixas, Carlos, 1704-1742			Person		http://example.org/1053039#Agent100-10
Salzmann, Pierre			;	Salzmann, Pierre			Person		http://example.org/1053039#Agent700-21
Reid, John Phillip	92445734	92445734	1.0	Reid, John Phillip			Person		http://example.org/105001#Agent100-11
Herodian	87614586	87614586	1.0	Herodian			Person		http://example.org/1090485#Agent100-11
Marcus Aurelius, Emperor of Rome, 121-180	102895066	102895066	1.0	Marcus Aurelius, Emperor of Rome, 121-180			Person		http://example.org/1090485#Agent600-19
Stavenhagen, Kurt, 1884-1951	188014428	188014428	1.0	Stavenhagen, Kurt, 1884-1951			Person		http://example.org/1090485#Agent700-21
Heisler, Philipp Jakob, 1718-1781	52045637	52045637	1.0	Heisler, Philipp Jakob, 1718-1781			Person		http://example.org/1061163#Agent100-10
Biener, Friedrich August, 1787-1861	37660062	37660062	1.0	Biener, Friedrich August, 1787-1861			Person		http://example.org/1047472#Agent100-11
Dernburg, Heinrich, 1829-1907	59146281	59146281	1.0	Dernburg, Heinrich, 1829-1907			Person		http://example.org/1057816#Agent100-11
Glaser, Julius Anton, 1831-1885	62356844	62356844	0.8064516129032258	Glaser, Julius Anton, 1831-1885			Person		http://example.org/10538#Agent100-11
Lustkandl, Wenzel, 1832-1906	52464144	52464144	1.0	Lustkandl, Wenzel, 1832-1906			Person		http://example.org/1048250#Agent100-9
Juridisch-Politischer Leseverein (Vienna, Austria)			;	Juridisch-Politischer Leseverein (Vienna, Austria)			Organization		http://example.org/1048250#Agent710-22
Gspan, Peter Erasmus			;	Gspan, Peter Erasmus			Person		http://example.org/1056645#Agent100-9
