Yaśomitra.	Person		http://example.org/1062996#Agent700-18
Dwarikadas Shastri, Swami.,	Person		http://example.org/1062996#Agent700-19
Hyde, Douglas, 1860-1949,	Person		http://example.org/1092619#Agent100-16
Schoolcraft, Henry Rowe, 1793-1864.	Person		http://example.org/1043554#Agent100-9
Palfrey, Thomas Rossman, 1895-1973.	Person		http://example.org/1093034#Agent100-11
Fucilla, Joseph Guerin, 1897-1981,	Person		http://example.org/1093034#Agent700-22
Holbrook, William Collar, 1899- ,	Person		http://example.org/1093034#Agent700-23
Wise, Thomas James, 1859-1937.	Person		http://example.org/101394#Agent100-9
Swinburne, Algernon Charles, 1837-1909	Person		http://example.org/101394#Agent600-19
Morley, William F. E.	Person		http://example.org/1044324#Agent100-10
Richardson, Major (John), 1796-1852	Person		http://example.org/1044324#Agent600-18
Hopkinson, Cecil.	Person		http://example.org/1082003#Agent100-10
Field, John, 1782-1837	Person		http://example.org/1082003#Agent600-18
Schwartz, Eugene S., 1917-	Person		http://example.org/1013237#Agent100-9
Illinois Library Materials Processing Center.	Organization		http://example.org/1013237#Agent610-18
Saxe, Henry I.,	Person		http://example.org/1013237#Agent700-20
Shaw, Robert Baldwin, 1945-.	Person		http://example.org/1025841#Agent100-11
Sklar, Richard L.	Person		http://example.org/1025841#Agent700-24
Cowley, J. D. (John Duncan), 1897-1944.	Person		http://example.org/105738#Agent100-11
Selden Society.	Organization		http://example.org/105738#Agent710-21
International African Institute.	Organization		http://example.org/1081267#Agent110-11
Gaskin, L. J. P.,	Person		http://example.org/1081267#Agent700-21
Matthes, H. (Hubert)	Person		http://example.org/107676#Agent100-12
Food and Agriculture Organization of the United Nations.	Organization		http://example.org/107676#Agent710-22
Cordasco, Francesco, 1920-2001.	Person		http://example.org/109852#Agent700-20
Brickman, William W.	Person		http://example.org/109852#Agent700-21
Binder, Frederick M.	Person		http://example.org/109852#Agent700-22
Aristotle	Person		http://example.org/1090047#Agent600-23
Cranz, F. Edward (Ferdinand Edward)	Person		http://example.org/1090047#Agent700-24
Dotan, Uri.	Person		http://example.org/1051012#Agent100-13
Crew, Vernon.	Person		http://example.org/1071019#Agent100-13
National Library of Australia.	Organization		http://example.org/1071019#Agent710-22
Australian Association of Adult Education.	Organization		http://example.org/1071019#Agent710-23
Barden, E. S.	Person		http://example.org/1077821#Agent700-17
Shields, Allan.	Person		http://example.org/105890#Agent100-9
Lowther, Barbara J.	Person		http://example.org/104218#Agent100-13
Gross, Charles, 1857-1909.	Person		http://example.org/1070508#Agent100-12
Ottley, George.	Person		http://example.org/1007138#Agent100-14
Delancey, Virginia H. (Virginia Helen)	Person		http://example.org/1026518#Agent100-11
DeLancey, Mark,	Person		http://example.org/1026518#Agent700-21
African Studies Association. Literature Committee.	Organization		http://example.org/1026518#Agent810-22
Smith, Albert Henry, 1909-	Person		http://example.org/1055789#Agent100-11
Monty, Vivienne.	Person		http://example.org/1054762#Agent100-12
Canada. Taxation	Jurisdiction		http://example.org/1054762#Agent610-21
Marantz, Kenneth A.	Person		http://example.org/1076675#Agent100-11
Hammer, John H.,	Person		http://example.org/1089108#Agent100-12
Gage, William W.	Person		http://example.org/1089108#Agent700-23
Rice, Frank A.,	Person		http://example.org/1089108#Agent700-24
Center for Applied Linguistics.	Organization		http://example.org/1089108#Agent710-25
Roueche, John E.	Person		http://example.org/1066693#Agent100-13
American Association of Junior Colleges.	Organization		http://example.org/1066693#Agent710-24
Little, Lawrence Calvin, 1897-	Person		http://example.org/1071722#Agent100-13
Sonneck, O. G. (Oscar George), 1873-1928.	Person		http://example.org/1074110#Agent100-15
Upton, William Treat, 1870-1961,	Person		http://example.org/1074110#Agent700-27
Cross, Lowell M.,	Person		http://example.org/1074130#Agent100-14
Tarr, Rodger L.	Person		http://example.org/1070841#Agent100-9
Carlyle, Thomas, 1795-1881	Person		http://example.org/1070841#Agent600-19
Dana, Richard E.,	Person		http://example.org/1070841#Agent700-20
Masui, Mitsuzō, 1885-1967.	Person		http://example.org/1015460#Agent100-11
Massé, Gerturde C. E.	Person		http://example.org/1085000#Agent100-10
Crane, Walter, 1845-1915	Person		http://example.org/1085000#Agent600-18
Keynes, Geoffrey, 1887-1982.	Person		http://example.org/103112#Agent100-10
Berkeley, George, 1685-1753	Person		http://example.org/103112#Agent600-19
Jessop, T. E. (Thomas Edmund), 1896-1980.	Person		http://example.org/1012430#Agent100-12
Berkeley, George, 1685-1753	Person		http://example.org/1012430#Agent600-22
Luce, A. A. (Arthur Aston), 1882-1977.	Person		http://example.org/1012430#Agent700-23
Packard, David W.	Person		http://example.org/101575#Agent100-11
Homer	Person		http://example.org/101575#Agent600-20
Meyers, Tania.	Person		http://example.org/101575#Agent700-21
University of British Columbia. Asian Studies Division.	Organization		http://example.org/1011501#Agent110-11
University of British Columbia. Asian Studies Division.	Jurisdiction		http://example.org/1011501#Agent810-24
Waheed, K. Abdul.	Person		http://example.org/1099022#Agent100-10
Iqbal, Muhammad, Sir, 1877-1938	Person		http://example.org/1099022#Agent600-19
D'Elia, Alberto (Alberto Leo)	Person		http://example.org/1092786#Agent100-10
Russo, Anthony J., -1940.	Person		http://example.org/10141#Agent100-11
Riley, James Whitcomb, 1849-1916	Person		http://example.org/10141#Agent600-20
Russo, Dorothy R. (Dorothy Ritter), 1900- ,	Person		http://example.org/10141#Agent700-21
Merriam, Alan P., 1923-1980.	Person		http://example.org/1081953#Agent100-13
Doran, Jennie Elliot.	Person		http://example.org/1013902#Agent100-9
Muir, John, 1838-1914	Person		http://example.org/1013902#Agent600-19
Bradley, Cornelius Beach, 1843-1936.	Person		http://example.org/1013902#Agent700-20
Sierra Club.	Organization		http://example.org/1013902#Agent710-21
Gropp, Arthur E., 1902-1997.	Person		http://example.org/109136#Agent100-10
Tollers, Vincent L.	Person		http://example.org/1056688#Agent100-12
Arnold, Matthew, 1822-1888	Person		http://example.org/1056688#Agent600-20
Munro, William Bennett, 1875-1957.	Person		http://example.org/1052783#Agent100-11
Gushue, W. J.	Person		http://example.org/107737#Agent100-10
Singh, A.	Person		http://example.org/107737#Agent700-19
Ward, Jack H.	Person		http://example.org/1099410#Agent100-12
Gerber, Douglas E., 1933-	Person		http://example.org/1091354#Agent100-13
Pindar	Person		http://example.org/1091354#Agent600-22
American Philological Association.	Organization		http://example.org/1091354#Agent710-23
Cordeaux, E. H. (Edward Harold)	Person		http://example.org/1072738#Agent100-14
University of Oxford	Organization		http://example.org/1072738#Agent610-22
Merry, D. H. (Denis Harry),	Person		http://example.org/1072738#Agent700-23
