Texte en franÃ§ais ou en anglais.	8
Text in Ukrainian; includes some text in English.	8
Includes abstracts in French.	2
Includes some text in English.	2
Text in English and French on inverted pages.	1
Texte en franÃ§ais et en anglais.	1
Sung in German with optional subtitles in English, French, German, Spanish, Italian, and Catalan.	1
Includes some text in French.	1
English version: Principal quality practice guideline : promoting successful school leadership in Alberta.	1
Available in French under title: Tracer la voie vers une restructuration du systÃ¨me, guide de discussion.	1
French version: Guide pour une pratique de qualitÃ© Ã  l'intention de la direction d'Ã©cole : pour encourager le leadership scolaire en Alberta.	1
