Includes bibliographical references.	713
Comprend des r̩f. bibliogr.	36
Includes bibliographic references.	23
Includes bibliographies.	20
Includes bibliographical references and index.	10
Includes bibliographical references and glossary.	9
Includes bibliographical references and appendices.	9
Includes bibliography.	7
Bibliography: p. 12.	7
Bibliography: v. 2, p. 371-385.	6
Includes bibliographies	4
Includes bibliographic references and index.	4
Includes bibliographical references (p. 22).	3
Bibliography: p. 14.	3
Includes bibliographical references	3
Includes bibliographical references (p. 18).	3
Bibliography: p. 11.	3
Bibliography: p. 9.	3
Bibliography: p. 22-24.	3
Includes bibliographical references (v.3 p. 135-138).	3
Bibliography: p. 25.	2
Bibliography: p. 43.	2
Bibliography: p. 268-279.	2
Includes index.	2
Includes bibliographical references (p. 85-90).	2
Comprend des r̩f. bibliogr.: p. 14-15.	2
Bibliography: p. 19-20.	2
Bibliography: p. 17-19.	2
Includes bibliographical references and appendix.	2
Bibliography: p. 52-53.	2
Includes bibliographical references (p. 75-77).	2
Bibliography: p. 21.	2
Bibliography: p. 65-69.	2
Includes bibliographical references (p. 32-34).	2
Bibliography: p. 58-60.	2
Bibliography: p. 57.	2
Bibliography: p. 60.	2
Bibliography: p. 48.	2
Includes bibliographical references (p. 12).	2
Comprend des r̩f. bibliogr.: p. 21-23.	2
Includes bibliographical references (p. 31).	2
Bibliography: p. 58-61.	2
Includes bibliographical references (p. 17).	2
Bibliography: p. 28.	2
Bibliography: p. 65	2
Includes bibliographic references	2
Includes bibliographical references and index (Appendix 21)	2
Bibliography: p. 51-54.	2
Bibliography: p. 37.	2
Bibliography: p. 52-55.	2
Includes bibliographical references (p. 61).	2
Bibliography: p. 49-51.	2
Bibliography: p. 63-64.	2
Bibliography : p. 61.	2
Comprend des r̩f. bibliogr.: p. 20-22.	2
Bibliography: p. 53.	2
Bibliography: p. 351-363.	2
Comprend des r̩f. bibliogr.: p. 18.	2
Includes bibliography in main report	2
Bibliography: p. 16.	2
Bibliography: p. 25-26.	2
Bibliography: p. 27.	2
Bibliography: p. 139-140.	2
Bibliography: p. 66-67.	2
Bibliography: p. 3.	2
Includes bibliographical references (p. 106-142).	1
Bibliography: leaf 51.	1
Bibliography: p. 65-66.	1
Bibliography: p. 79-89	1
Bibliography: p. 68-76.	1
Includes bibliographical references (p. 27-34).	1
Bibliography: p. 52.	1
Comprend des r̩f. bibliogr.: p. 207-213.	1
Includes bibliographical references (p. 20-21).	1
Includes bibliographical references (p. 34-43).	1
Comprend des r̩f. bibliogr.: p. 19-21.	1
Bibliography: p. 41-44.	1
Includes bibliographical references (p. 23).	1
Includes bibliographical references (p. 29-41).	1
Bibliography: p. 148-149.	1
Bibliography: p. 30.	1
Includes bibliographical references (p. 71-78)	1
Includes bibliographical references: p. 27-29.	1
Bibliography : p. 29-30.	1
Includes bibliographical references (p. 31-32).	1
Bibliogr. p. 40.	1
Includes bibliographical references (p. 21-23).	1
Bibliography: p. 230.	1
Includes bibliographical references (p. 45-46).	1
Bibliography: p. 31-32.	1
Bibliography: p. 71.	1
Bibliography: p. 46.	1
Includes bibliographical references (p. 90-97) and indexes.	1
Bibliography: p. 16	1
Bibliography: p. 9-11.	1
Bibliography: pp.70-71.	1
Includes bibliographical references (p. 13-17)	1
Includes bibliographic references and indexes	1
Bibliography: p. 95-97.	1
Comprend des r̩f. bibliogr.: p. 25.	1
Comprend des r̩f. bibliogr. (p. 42) et un index.	1
Includes bibliographical references: p. 21.	1
Includes bibliographical references (p. 31-32)	1
