title	duplicates	num
Grade 12 diploma examination.	430	grade12diplomae001albe_21
Grade 12 diploma examination.	430	grade12diplomae2001albe_6
Grade 12 diploma examination.	430	grade12diplomae992albe_18
Grade 12 diploma examination.	430	grade12diplomae993albe_12
Grade 12 diploma examination.	430	grade12diplomae1997albe_3
Grade 12 diploma examination.	430	grade12diplomae1999albe_4
Grade 12 diploma examination.	430	grade12diplomae986albe_17
Grade 12 diploma examination.	430	grade12diplomae1987albe_8
Grade 12 diploma examination.	430	grade12diplomae1994albe_0
Grade 12 diploma examination.	430	grade12diplomae984albe_14
Grade 12 diploma examination.	430	grade12diplomae2001albe_9
Grade 12 diploma examination.	430	grade12diplomae985albe_16
Grade 12 diploma examination.	430	grade12diplomae984albe_17
Grade 12 diploma examination.	430	grade12diplomae1998albe_7
Grade 12 diploma examination.	430	grade12diplomae993albe_14
Grade 12 diploma examination.	430	grade12diplomae989albe_20
Grade 12 diploma examination.	430	grade12diplomae998albe_19
Grade 12 diploma examination.	430	grade12diplomae999albe_12
Grade 12 diploma examination.	430	grade12diplomae1993albe_6
Grade 12 diploma examination.	430	grade12diplomae1990albe_7
Grade 12 diploma examination.	430	grade12diplomaex1988albe
Grade 12 diploma examination.	430	grade12diplomaex1996albe
Grade 12 diploma examination.	430	grade12diplomae1985albe_1
Grade 12 diploma examination.	430	grade12diplomae1992albe_9
Grade 12 diploma examination.	430	grade12diplomae1997albe_5
Grade 12 diploma examination.	430	grade12diplomae990albe_17
Grade 12 diploma examination.	430	grade12diplomae1996albe_3
Grade 12 diploma examination.	430	grade12diplomae988albe_11
Grade 12 diploma examination.	430	grade12diplomae1989albe_1
Grade 12 diploma examination.	430	grade12diplomae998albe_23
Grade 12 diploma examination.	430	grade12diplomae1995albe_6
Grade 12 diploma examination.	430	grade12diplomae1984albe_5
Grade 12 diploma examination.	430	grade12diplomae2000albe_7
Grade 12 diploma examination.	430	grade12diplomae1986albe_8
Grade 12 diploma examination.	430	grade12diplomaex1989albe
Grade 12 diploma examination.	430	grade12diplomae996albe_12
Grade 12 diploma examination.	430	grade12diplomae1985albe_6
Grade 12 diploma examination.	430	grade12diplomae1996albe_7
Grade 12 diploma examination.	430	grade12diplomae000albe_23
Grade 12 diploma examination.	430	grade12diplomae1994albe_6
Grade 12 diploma examination.	430	grade12diplomae992albe_14
Grade 12 diploma examination.	430	grade12diplomae1991albe_0
Grade 12 diploma examination.	430	grade12diplomae986albe_15
Grade 12 diploma examination.	430	grade12diplomae999albe_20
Grade 12 diploma examination.	430	grade12diplomae992albe_15
Grade 12 diploma examination.	430	grade12diplomae988albe_20
Grade 12 diploma examination.	430	grade12diplomae990albe_10
Grade 12 diploma examination.	430	grade12diplomaex1991albe
Grade 12 diploma examination.	430	grade12diplomae993albe_10
Grade 12 diploma examination.	430	grade12diplomae987albe_15
Grade 12 diploma examination.	430	grade12diplomaex1986albe
Grade 12 diploma examination.	430	grade12diplomae992albe_17
Grade 12 diploma examination.	430	grade12diplomae992albe_11
Grade 12 diploma examination.	430	grade12diplomae000albe_11
Grade 12 diploma examination.	430	grade12diplomae1995albe_7
Grade 12 diploma examination.	430	grade12diplomae1989albe_9
Grade 12 diploma examination.	430	grade12diplomae998albe_21
Grade 12 diploma examination.	430	grade12diplomae1987albe_6
Grade 12 diploma examination.	430	grade12diplomaex1987albe
Grade 12 diploma examination.	430	grade12diplomae2002albe_8
Grade 12 diploma examination.	430	grade12diplomae997albe_15
Grade 12 diploma examination.	430	grade12diplomae1989albe_7
Grade 12 diploma examination.	430	grade12diplomae997albe_16
Grade 12 diploma examination.	430	grade12diplomae1998albe_3
Grade 12 diploma examination.	430	grade12diplomae1990albe_3
Grade 12 diploma examination.	430	grade12diplomae993albe_15
Grade 12 diploma examination.	430	grade12diplomae1988albe_1
Grade 12 diploma examination.	430	grade12diplomae994albe_20
Grade 12 diploma examination.	430	grade12diplomae990albe_15
Grade 12 diploma examination.	430	grade12diplomae2000albe_5
Grade 12 diploma examination.	430	grade12diplomae990albe_16
Grade 12 diploma examination.	430	grade12diplomae998albe_10
Grade 12 diploma examination.	430	grade12diplomae992albe_13
Grade 12 diploma examination.	430	grade12diplomae1997albe_9
Grade 12 diploma examination.	430	grade12diplomae1991albe_1
Grade 12 diploma examination.	430	grade12diplomae999albe_22
Grade 12 diploma examination.	430	grade12diplomae997albe_17
Grade 12 diploma examination.	430	grade12diplomae1997albe_7
Grade 12 diploma examination.	430	grade12diplomae994albe_12
Grade 12 diploma examination.	430	grade12diplomae2000albe_3
Grade 12 diploma examination.	430	grade12diplomae2000albe_4
Grade 12 diploma examination.	430	grade12diplomae000albe_13
Grade 12 diploma examination.	430	grade12diplomae1986albe_9
Grade 12 diploma examination.	430	grade12diplomae996albe_18
Grade 12 diploma examination.	430	grade12diplomae995albe_12
Grade 12 diploma examination.	430	grade12diplomae000albe_24
Grade 12 diploma examination.	430	grade12diplomae1995albe_8
Grade 12 diploma examination.	430	grade12diplomae998albe_17
Grade 12 diploma examination.	430	grade12diplomae1984albe_4
Grade 12 diploma examination.	430	grade12diplomae2002albe_6
Grade 12 diploma examination.	430	grade12diplomae1994albe_2
Grade 12 diploma examination.	430	grade12diplomae1991albe_2
Grade 12 diploma examination.	430	grade12diplomae998albe_14
Grade 12 diploma examination.	430	grade12diplomae985albe_15
Grade 12 diploma examination.	430	grade12diplomae1992albe_4
Grade 12 diploma examination.	430	grade12diplomae1985albe_8
Grade 12 diploma examination.	430	grade12diplomae2002albe_7
Grade 12 diploma examination.	430	grade12diplomae001albe_12
Grade 12 diploma examination.	430	grade12diplomae989albe_10
Grade 12 diploma examination.	430	grade12diplomae1986albe_0
Grade 12 diploma examination.	430	grade12diplomae995albe_15
Grade 12 diploma examination.	430	grade12diplomae1986albe_4
Grade 12 diploma examination.	430	grade12diplomae996albe_17
Grade 12 diploma examination.	430	grade12diplomae987albe_17
Grade 12 diploma examination.	430	grade12diplomae001albe_11
Grade 12 diploma examination.	430	grade12diplomae991albe_14
Grade 12 diploma examination.	430	grade12diplomae1985albe_7
Grade 12 diploma examination.	430	grade12diplomae995albe_14
Grade 12 diploma examination.	430	grade12diplomae1985albe_5
Grade 12 diploma examination.	430	grade12diplomae1996albe_5
Grade 12 diploma examination.	430	grade12diplomae989albe_12
Grade 12 diploma examination.	430	grade12diplomae999albe_24
Grade 12 diploma examination.	430	grade12diplomae002albe_10
Grade 12 diploma examination.	430	grade12diplomae986albe_20
Grade 12 diploma examination.	430	grade12diplomae993albe_18
Grade 12 diploma examination.	430	grade12diplomae000albe_10
Grade 12 diploma examination.	430	grade12diplomae1993albe_4
Grade 12 diploma examination.	430	grade12diplomae997albe_13
Grade 12 diploma examination.	430	grade12diplomae000albe_18
Grade 12 diploma examination.	430	grade12diplomae984albe_10
Grade 12 diploma examination.	430	grade12diplomae985albe_21
Grade 12 diploma examination.	430	grade12diplomae989albe_18
Grade 12 diploma examination.	430	grade12diplomae996albe_13
Grade 12 diploma examination.	430	grade12diplomae1988albe_2
Grade 12 diploma examination.	430	grade12diplomae985albe_20
Grade 12 diploma examination.	430	grade12diplomae996albe_20
Grade 12 diploma examination.	430	grade12diplomae2001albe_5
Grade 12 diploma examination.	430	grade12diplomae989albe_19
Grade 12 diploma examination.	430	grade12diplomae998albe_11
Grade 12 diploma examination.	430	grade12diplomae1992albe_3
Grade 12 diploma examination.	430	grade12diplomae2000albe_9
Grade 12 diploma examination.	430	grade12diplomaex1994albe
Grade 12 diploma examination.	430	grade12diplomae1991albe_8
Grade 12 diploma examination.	430	grade12diplomae1997albe_8
Grade 12 diploma examination.	430	grade12diplomae994albe_15
Grade 12 diploma examination.	430	grade12diplomae1990albe_4
Grade 12 diploma examination.	430	grade12diplomae1993albe_7
Grade 12 diploma examination.	430	grade12diplomae2001albe_0
Grade 12 diploma examination.	430	grade12diplomae988albe_19
Grade 12 diploma examination.	430	grade12diplomae1993albe_5
Grade 12 diploma examination.	430	grade12diplomae985albe_14
Grade 12 diploma examination.	430	grade12diplomae1994albe_3
Grade 12 diploma examination.	430	grade12diplomae1984albe_0
Grade 12 diploma examination.	430	grade12diplomae997albe_22
Grade 12 diploma examination.	430	grade12diplomae1997albe_6
Grade 12 diploma examination.	430	grade12diplomae1988albe_0
Grade 12 diploma examination.	430	grade12diplomae999albe_13
Grade 12 diploma examination.	430	grade12diplomae2001albe_4
Grade 12 diploma examination.	430	grade12diplomaex2000albe
Grade 12 diploma examination.	430	grade12diplomae999albe_23
Grade 12 diploma examination.	430	grade12diplomaex1998albe
Grade 12 diploma examination.	430	grade12diplomae984albe_12
Grade 12 diploma examination.	430	grade12diplomae999albe_18
Grade 12 diploma examination.	430	grade12diplomae989albe_21
Grade 12 diploma examination.	430	grade12diplomae997albe_18
Grade 12 diploma examination.	430	grade12diplomae000albe_16
Grade 12 diploma examination.	430	grade12diplomae1995albe_2
Grade 12 diploma examination.	430	grade12diplomae991albe_20
Grade 12 diploma examination.	430	grade12diplomae1998albe_6
Grade 12 diploma examination.	430	grade12diplomae984albe_16
Grade 12 diploma examination.	430	grade12diplomae985albe_17
Grade 12 diploma examination.	430	grade12diplomaex1997albe
Grade 12 diploma examination.	430	grade12diplomae1988albe_7
Grade 12 diploma examination.	430	grade12diplomae1985albe_3
Grade 12 diploma examination.	430	grade12diplomae999albe_11
Grade 12 diploma examination.	430	grade12diplomae1991albe_9
Grade 12 diploma examination.	430	grade12diplomae988albe_17
Grade 12 diploma examination.	430	grade12diplomae1990albe_0
Grade 12 diploma examination.	430	grade12diplomae999albe_15
Grade 12 diploma examination.	430	grade12diplomae2001albe_1
Grade 12 diploma examination.	430	grade12diplomae2000albe_0
Grade 12 diploma examination.	430	grade12diplomae001albe_10
Grade 12 diploma examination.	430	grade12diplomae1987albe_5
Grade 12 diploma examination.	430	grade12diplomae1993albe_0
Grade 12 diploma examination.	430	grade12diplomae2000albe_6
Grade 12 diploma examination.	430	grade12diplomae1988albe_9
Grade 12 diploma examination.	430	grade12diplomae991albe_12
Grade 12 diploma examination.	430	grade12diplomae1984albe_7
Grade 12 diploma examination.	430	grade12diplomae995albe_10
Grade 12 diploma examination.	430	grade12diplomae988albe_21
Grade 12 diploma examination.	430	grade12diplomae1996albe_4
Grade 12 diploma examination.	430	grade12diplomae2002albe_3
