Search_results_order	ORCID-ID	Family-name	Given-name	NAME_frim_ERA
5	0000-0001-6976-7005	Overkleeft	Herman	Herman-B-
6	0000-0003-2816-6195	Herman	Jonathan	Herman-B-
7	0000-0001-6979-103X	Herman	Mark	Herman-B-
8	0000-0003-0426-5973	Herman	Frederik	Herman-B-
9	0000-0003-3469-6627	Herman	Beno	Herman-B-
10	0000-0001-7246-9113	Guerrini	Marco	Herman-B-
1	0000-0002-8631-2763	Jackman	Charles	Jackman-D-
2	0000-0002-5920-6391	Jackman	Dana	Jackman-D-
3	0000-0003-4344-3672	Jackman	Jennifer	Jackman-D-
4	0000-0003-1188-2355	Jackman	Kyle	Jackman-D-
5	0000-0003-2871-9909	Jackman	Alexis	Jackman-D-
6	0000-0003-0034-4965	Jackman	James	Jackman-D-
7	0000-0003-3935-4060	Jackman	Bill	Jackman-D-
8	0000-0001-7421-4034	Jackman	Simon	Jackman-D-
9	0000-0001-8021-3513	Jackman	Grace-Anne	Jackman-D-
10	0000-0001-7208-9348	Jackman-Murphy	Kathryn	Jackman-D-
1	0000-0002-5357-9912	NE;LSON	RAHILA	lson-J-
2	0000-0002-3915-5056	Hofmeister	Jeňýk	lson-J-
3	0000-0002-6794-4909	Park	Ji Hoon	lson-J-
4	0000-0002-7397-4135	Liang	Jingtao	lson-J-
5	0000-0003-3996-3907	Lupberger	Joachim	lson-J-
6	0000-0002-1521-4453	Hnizda	Ales	lson-J-
7	0000-0003-2249-5668	Jacobs	John J. L.	lson-J-
8	0000-0002-2498-1945	Bayón	J. Carles	lson-J-
9	0000-0002-1089-6766	da Silva	Juliana	lson-J-
10	0000-0002-2363-0406	caillier	bruno	lson-J-
1	0000-0002-9207-735X	Musumadi	Luhanga	Luhanga-F-L-
2	0000-0001-9973-137X	Luhanga	Ulemu	Luhanga-F-L-
3	0000-0003-1540-6102	Luhanga	Edgar	Luhanga-F-L-
4	0000-0001-7767-5231	Luhanga	Andrew	Luhanga-F-L-
5	0000-0003-2036-9123	Souza	Flavio L	Luhanga-F-L-
6	0000-0003-1343-074X	Gao	F.L. 	Luhanga-F-L-
7	0000-0003-1793-2157	Bentivegna	Florian F.L.	Luhanga-F-L-
8	0000-0002-3205-2177	Linda F.L.	Tse	Luhanga-F-L-
9	0000-0003-4262-9555	Pazini	Francis	Luhanga-F-L-
10	0000-0002-9323-5444	Long	Fengli	Luhanga-F-L-
1	0000-0002-7311-6632	Marrie	Ann	Marrie-T-J-
2	0000-0002-8552-975X	Bekker	Marrie	Marrie-T-J-
3	0000-0001-8552-4708	marrie	thomas	Marrie-T-J-
4	0000-0003-3193-7341	Lusher	T.J.	Marrie-T-J-
5	0000-0003-4004-0384	Weber	T.J.	Marrie-T-J-
6	0000-0001-6648-7235	T.J	Kamalanabhan	Marrie-T-J-
7	0000-0002-6303-5425	Ó Ceallaigh	T.J.	Marrie-T-J-
8	0000-0002-2423-2557	Lam	T.J.	Marrie-T-J-
9	0000-0001-8197-5608		RAJESH KUMAR T.J.	Marrie-T-J-
10	0000-0001-8078-1828	T.J.	JITENDRA	Marrie-T-J-
1	0000-0002-9833-6041	Myrick	Rachel	Myrick-F-
2	0000-0002-9328-3999	Myrick	Leila	Myrick-F-
3	0000-0003-2059-3088	Myrick	Darrell	Myrick-F-
4	0000-0003-3163-9643	Myrick	Alissa	Myrick-F-
5	0000-0002-6884-6913	Myrick-West	Angela	Myrick-F-
6	0000-0002-5630-9731	Myrick	Keris	Myrick-F-
7	0000-0001-6262-5848	Myrick	Rebecca	Myrick-F-
8	0000-0002-1737-6659	Myrick	Florence	Myrick-F-
9	0000-0003-4270-2468	Myrick	Timothy	Myrick-F-
10	0000-0003-4900-032X	Arellaga	Richard Myrick	Myrick-F-
1	0000-0002-2673-0170	Kaushik	Mukul	Olson-J-K-
2	0000-0002-8648-4629	Olson	Abigail	Olson-J-K-
3	0000-0001-9710-6079	Olson	Tony	Olson-J-K-
4	0000-0003-4334-464X	Olson	Brian	Olson-J-K-
5	0000-0003-3314-7984	Potter-Witter	Karen	Olson-J-K-
6	0000-0003-3114-1343	Bissing-Olson	Megan	Olson-J-K-
7	0000-0002-9064-2503	Olson	Erin	Olson-J-K-
8	0000-0003-2009-5513	Olson	Clark	Olson-J-K-
9	0000-0002-6799-8552	Olson	Michael 	Olson-J-K-
10	0000-0001-7906-205X	Olson	Thomas	Olson-J-K-
1	0000-0002-8277-3730	Kuijer	P. Paul F.M.	Paul-P-
2	0000-0002-3572-5701	Padley	Paul	Paul-P-
3	0000-0003-3875-5057	Hopper	Paul	Paul-P-
4	0000-0001-5302-6368	Marcom	Paul	Paul-P-
5	0000-0002-6403-6024	Johannes	Paul	Paul-P-
6	0000-0002-5330-6949	Smits	Paul	Paul-P-
7	0000-0002-6397-8781	De Paul	Ana Lucía	Paul-P-
8	0000-0002-9612-8951	de Vrieze	Paul	Paul-P-
9	0000-0002-7829-5318	Jones III	John Paul	Paul-P-
10	0000-0001-5573-312X	Farrar	Paul	Paul-P-
1	0000-0002-4439-5441	Profetto-McGrath	Joanne	Profetto-McGrath-J-
2	0000-0001-8632-218X	McGrath	Melanie	Profetto-McGrath-J-
3	0000-0001-9798-7902	McGrath	John	Profetto-McGrath-J-
4	0000-0003-4152-2422	Profetto	Gina	Profetto-McGrath-J-
5	0000-0002-5020-3813	McGrath	Gavan	Profetto-McGrath-J-
6	0000-0002-0605-4064	McGrath	Robert	Profetto-McGrath-J-
7	0000-0002-6582-0865	McGrath	Timothy	Profetto-McGrath-J-
8	0000-0002-4518-2958	McGrath	William	Profetto-McGrath-J-
9	0000-0002-3488-0945	McGrath	Richard	Profetto-McGrath-J-
10	0000-0001-9605-2224	McGrath	Dominic	Profetto-McGrath-J-
1	0000-0002-6003-1592	Wall	David	Wall-S-
2	0000-0002-8682-0442	Wall-Reinius	Sandra	Wall-S-
3	0000-0001-7297-5753	fiel	luana	Wall-S-
4	0000-0002-5651-8760	MURTY	Dr.M S N	Wall-S-
5	0000-0002-6573-9565	Samitca	Sanda	Wall-S-
6	0000-0003-1526-380X	Smith	Sterling	Wall-S-
7	0000-0002-2525-7377	Masakorala	Rajamali	Wall-S-
8	0000-0002-1372-410X	BESSA	PAULA	Wall-S-
9	0000-0001-8824-4592	Dmitriev	Oleg	Wall-S-
10	0000-0001-8601-323X	Au	Jason S	Wall-S-
1	0000-0002-7715-9007	Williams	Bobby	Williams-B-
2	0000-0003-1043-3806	Williams	George	Williams-B-
3	0000-0002-6588-2353	Williams	Veronica B.	Williams-B-
4	0000-0001-9392-3805	Williams III	Preston	Williams-B-
5	0000-0001-9735-4750	Williams	Charles	Williams-B-
6	0000-0002-0501-1652	Williams	Patrick  B.	Williams-B-
7	0000-0001-9977-6762	Williams	Robert B.	Williams-B-
8	0000-0002-3368-6227	Williams	Scott	Williams-B-
9	0000-0002-1206-5667	Williams	Joseph	Williams-B-
10	0000-0002-3549-4325	Williams	David	Williams-B-
1	0000-0002-3796-6656	Yonge	Lawrence	Yonge-O-
2	0000-0002-8641-2107	Stanton-Yonge	Ashley	Yonge-O-
3	0000-0002-9599-8402	Zhang	Yonge	Yonge-O-
4	0000-0003-1968-7116	Yonge	John	Yonge-O-
5	0000-0002-7778-0020	law	rooz	Yonge-O-
6	0000-0003-2521-2088	SINGHAL	ALKA ASHMITA	Yonge-O-
7	0000-0002-6087-678X	Verbraecken	Johan	Yonge-O-
8	0000-0002-2107-1997	Baptista	José	Yonge-O-
9	0000-0002-5117-4508	Pakhomova	Olga	Yonge-O-
10	0000-0002-2024-3013	Cuadrado-Fernandez	Olga	Yonge-O-
