Column 1	VIAF-ID	score	Column 2	Column 3	Column 4	LCID
Stewart, Sherry H. (Sherry Heather), 1965-	17024306	1	Person		http://example.org/6638281#Agent700-31	
Ray, William J., 1945-	41894507	1	Person		http://example.org/6799091#Agent100-23	http://id.loc.gov/authorities/names/n79087683
Watson, Irene (Irene Margaret)	19048709	1	Person		http://example.org/6755896#Agent100-20	http://id.loc.gov/authorities/names/n2002118953
Watson, Irene (Irene Margaret)	19048709	1	Person		http://example.org/6755896#Agent700-39	http://id.loc.gov/authorities/names/n2002118953
Rohlinger, Deana A	257429603	0.9473684210526315	Person		http://example.org/6785999#Agent100-28	http://id.loc.gov/authorities/names/nb2012016923
Ruurs, Margriet	65697042	1	Person		http://example.org/6803068#Agent100-18	http://id.loc.gov/authorities/names/n94031042
Harrison, Ted, 1926-	2882145857008522920892	0.95	Person		http://example.org/6803068#Agent600-33	http://id.loc.gov/authorities/names/n81038058
Gibson, Katherine, 1951-	8522695	1	Person		http://example.org/6803068#Agent700-36	http://id.loc.gov/authorities/names/n2004089765
Harrison, Ted, 1926-	2882145857008522920892	0.95	Person		http://example.org/6803068#Agent700-37	http://id.loc.gov/authorities/names/n81038058
Fossland, Trine	225177653	1	Person		http://example.org/6808463#Agent700-29	http://id.loc.gov/authorities/names/n2014078661
Mathiasen, Helle	242189466	1	Person		http://example.org/6808463#Agent700-30	
Solberg, Mariann	78145969937532250213	1	Person		http://example.org/6808463#Agent700-31	
Sternberg, Robert J	108476906	0.95	Person		http://example.org/6804063#Agent700-28	http://id.loc.gov/authorities/names/n79081284
Sellers, De			Person		http://example.org/6697636#Agent100-15	http://id.loc.gov/authorities/names/n2004103915
Dochen, Carol W	36314043	0.9375	Person		http://example.org/6697636#Agent700-29	http://id.loc.gov/authorities/names/n2004103936
Hodges, Russ, 1958-	28929763	1	Person		http://example.org/6697636#Agent700-30	http://id.loc.gov/authorities/names/n2004103920
Bailey, Stephen, 1947-	104066245	0.88	Person		http://example.org/6804836#Agent100-20	http://id.loc.gov/authorities/names/nb2004303532
Bottomley, Jane	274039521	1	Person		http://example.org/6665217#Agent100-18	
Herlihy, Barbara	9184607	1	Person		http://example.org/6679338#Agent100-17	http://id.loc.gov/authorities/names/n89650854
American Counseling Association			Organization		http://example.org/6679338#Agent610-29	http://id.loc.gov/authorities/names/no98096675
Corey, Gerald	85649595	1	Person		http://example.org/6679338#Agent700-33	http://id.loc.gov/authorities/names/n50016395
American Counseling Association			Organization		http://example.org/6679338#Agent710-34	http://id.loc.gov/authorities/names/n92079013
