name	ingest key	viaf ID	LC ID
Kresl, Peter Karl,	http://example.org/6710604#Agent100-17	http://viaf.org/viaf/32071958	http://id.loc.gov/authorities/names/n88200623
Putz, Mihai V.,	http://example.org/6712220#Agent700-28	http://viaf.org/viaf/65943564	http://id.loc.gov/authorities/names/n2008039769
Graham, Drummond,	http://example.org/6720337#Agent700-38	http://viaf.org/viaf/273462151	http://id.loc.gov/authorities/names/n2003116167
Grais, Wafik, 1949- ,	http://example.org/6677552#Agent700-37	http://viaf.org/viaf/109362386	http://id.loc.gov/authorities/names/http://id.loc.gov/authorities/names/n78063408
Wentk, Richard.	http://example.org/6659445#Agent100-18	http://viaf.org/viaf/139977650	http://id.loc.gov/authorities/names/no2010169169
Hess, Karl,	http://example.org/6749014#Agent100-14	http://viaf.org/viaf/304984766	http://id.loc.gov/authorities/names/n82082058
Walters, Mark D.,	http://example.org/6759393#Agent700-37	http://viaf.org/viaf/52417222	http://id.loc.gov/authorities/names/n93800695
Derrida, Jacques.	http://example.org/6758811#Agent600-29	http://viaf.org/viaf/88958529	http://id.loc.gov/authorities/names/n79092610
Debboun, Mustapha,	http://example.org/6712182#Agent700-27	http://viaf.org/viaf/14194603	http://id.loc.gov/authorities/names/n2006029729
Pirkle, William C.	http://example.org/6752468#Agent100-18	http://viaf.org/viaf/250742211	http://id.loc.gov/authorities/names/no2012081382
Butow, Eric.	http://example.org/6752509#Agent100-18	http://viaf.org/viaf/275340386	http://id.loc.gov/authorities/names/http://id.loc.gov/authorities/names/n2001005160
Azzone, Giovanni,	http://example.org/6752278#Agent700-39	http://viaf.org/viaf/50897628	http://id.loc.gov/authorities/names/n93049035
Taylor, Marcus (Marcus Edward),	http://example.org/6756588#Agent100-21	http://viaf.org/viaf/15384290	http://id.loc.gov/authorities/names/http://id.loc.gov/authorities/names/n2006088412
Hartung, Paul J.	http://example.org/6741088#Agent700-36	http://viaf.org/viaf/46441533	http://id.loc.gov/authorities/names/no2002114807
Hartung, Paul J.	http://example.org/6741089#Agent700-36	http://viaf.org/viaf/46441533	http://id.loc.gov/authorities/names/no2002114807
Klemens, Ben.	http://example.org/6752591#Agent100-16	http://viaf.org/viaf/33870401	http://id.loc.gov/authorities/names/http://id.loc.gov/authorities/names/n2005069955
Pergament, M. I.,	http://example.org/6748905#Agent100-14	http://viaf.org/viaf/313293854	http://id.loc.gov/authorities/names/no2014166903
Caine, Mark (Mark Eliot),	http://example.org/6710047#Agent700-41	http://viaf.org/viaf/308753718	http://id.loc.gov/authorities/names/http://id.loc.gov/authorities/names/n2014029111
Wagstaff, Bryan.	http://example.org/6659452#Agent700-34	http://viaf.org/viaf/313299952	http://id.loc.gov/authorities/names/ns2014005682
Verma, Ashok Kumar,	http://example.org/6748950#Agent100-14	http://viaf.org/viaf/310709501	http://id.loc.gov/authorities/names/n2014056074
Janssens, Jeroen.	http://example.org/6752504#Agent100-16	http://viaf.org/viaf/69174271	http://id.loc.gov/authorities/names/no2002085513
Misch, Carl E.,	http://example.org/6659768#Agent100-18	http://viaf.org/viaf/74133477	http://id.loc.gov/authorities/names/n92806244
Gishlick, Alan D.,	http://example.org/6748962#Agent700-29	http://viaf.org/viaf/311459331	http://id.loc.gov/authorities/names/http://id.loc.gov/authorities/names/n2014065280
Watson, Irene (Irene Margaret),	http://example.org/6755896#Agent100-20	http://viaf.org/viaf/19048709	http://id.loc.gov/authorities/names/http://id.loc.gov/authorities/names/n2002118953
Bulatovic, Srdjan M.,	http://example.org/6752260#Agent100-23	http://viaf.org/viaf/73286874	http://id.loc.gov/authorities/names/n2006077784
Amin, Moeness G.,	http://example.org/6677744#Agent700-30	http://viaf.org/viaf/140961660	http://id.loc.gov/authorities/names/n2010052826
Lourekas, Peter.	http://example.org/6712486#Agent700-35	http://viaf.org/viaf/51911697	http://id.loc.gov/authorities/names/no94026126
Neal, Andrew W., 1978- ,	http://example.org/6669676#Agent700-32	http://viaf.org/viaf/24070492	http://id.loc.gov/authorities/names/http://id.loc.gov/authorities/names/n2008034013
Milner, Hugh M.,	http://example.org/6657814#Agent700-29	http://viaf.org/viaf/308761903	http://id.loc.gov/authorities/names/no2014066502
Shah, Reshma, 1964-	http://example.org/6659400#Agent700-34	http://viaf.org/viaf/165124656	http://id.loc.gov/authorities/names/n2010040217
Brock, Avril,	http://example.org/6662329#Agent700-29	http://viaf.org/viaf/29028835	http://id.loc.gov/authorities/names/nb99068536
Busch, David D.,	http://example.org/6752469#Agent100-19	http://viaf.org/viaf/84759053	http://id.loc.gov/authorities/names/n83181931
Tejedor, Chon,	http://example.org/6710569#Agent100-17	http://viaf.org/viaf/121998070	http://id.loc.gov/authorities/names/n2010035580
García Soriano, L.,	http://example.org/6748992#Agent700-30	http://viaf.org/viaf/311472866	http://id.loc.gov/authorities/names/no2014140828
Dinsmore, Thomas W.	http://example.org/6659399#Agent700-32	http://viaf.org/viaf/310728526	http://id.loc.gov/authorities/names/no2014130649
Baghdiantz McCabe, Ina,	http://example.org/6679845#Agent100-20	http://viaf.org/viaf/49500753	http://id.loc.gov/authorities/names/n2014016855
Rebay-Salisbury, Katharina.	http://example.org/6710582#Agent700-42	http://viaf.org/viaf/85110176	http://id.loc.gov/authorities/names/n2010035756
Palit, Amitendu.	http://example.org/6620129#Agent100-23	http://viaf.org/viaf/21583326	http://id.loc.gov/authorities/names/n2006208576
Scherer, R. J. (Raimar J.),	http://example.org/6712240#Agent700-30	http://viaf.org/viaf/5517506	http://id.loc.gov/authorities/names/http://id.loc.gov/authorities/names/no97004838
Penoni, Andrea,	http://example.org/6712200#Agent700-29	http://viaf.org/viaf/309819520	http://id.loc.gov/authorities/names/n2014036227
Scoppettuolo, Dion.	http://example.org/6659504#Agent100-18	http://viaf.org/viaf/121218531	http://id.loc.gov/authorities/names/no2010077698
Technical Congress on Resources, Environment and Engineering (2014 : Hong Kong, China)	http://example.org/6712248#Agent111-14	http://viaf.org/viaf/128145857841123020376	http://id.loc.gov/authorities/names/no2014126208
Faruk, Omar,	http://example.org/6752253#Agent700-34	http://viaf.org/viaf/161895296	http://id.loc.gov/authorities/names/nb2014027774
Project Management Institute.	http://example.org/6752564#Agent710-32	http://viaf.org/viaf/154561198	http://id.loc.gov/authorities/names/n80044648
Studt, Felix.	http://example.org/6706345#Agent700-36	http://viaf.org/viaf/309825603	http://id.loc.gov/authorities/names/n2014043751
Carver, Matthew.	http://example.org/6752732#Agent100-16	http://viaf.org/viaf/261931802	http://id.loc.gov/authorities/names/n2012061147
Cao, R.	http://example.org/6716604#Agent700-33	http://viaf.org/viaf/238146462721827772449	http://id.loc.gov/authorities/names/n2014052521
Schlesinger, David J.,	http://example.org/6625681#Agent700-28	http://viaf.org/viaf/306383082	http://id.loc.gov/authorities/names/n2014181735
Snir, Raphael.	http://example.org/6678604#Agent700-34	http://viaf.org/viaf/155541991	http://id.loc.gov/authorities/names/ns2012004737
Craig, David.	http://example.org/6709997#Agent700-33	http://viaf.org/viaf/102486319	http://id.loc.gov/authorities/names/n85194360
Keogh, Damien L., 1969- ,	http://example.org/6712216#Agent700-31	http://viaf.org/viaf/21460872	http://id.loc.gov/authorities/names/http://id.loc.gov/authorities/names/n98091169
Ruckmongathan, Temkar N.,	http://example.org/6679010#Agent100-19	http://viaf.org/viaf/308231311	http://id.loc.gov/authorities/names/n2014023911
Iannone, Eugenio,	http://example.org/6712184#Agent100-14	http://viaf.org/viaf/29637498	http://id.loc.gov/authorities/names/n94024604
Backwell, Ben,	http://example.org/6710594#Agent100-19	http://viaf.org/viaf/307433049	http://id.loc.gov/authorities/names/n2014018289
Donaldson, John B.,	http://example.org/6752326#Agent700-35	http://viaf.org/viaf/270980716	http://id.loc.gov/authorities/names/n91098177
Harbour, Jonathan S.	http://example.org/6659447#Agent100-18	http://viaf.org/viaf/85653098	http://id.loc.gov/authorities/names/n2001012583
Wingate, Lory Mitchell,	http://example.org/6677743#Agent100-15	http://viaf.org/viaf/306381442	http://id.loc.gov/authorities/names/n2014010588
Hawkins, Brian.	http://example.org/6659395#Agent100-18	http://viaf.org/viaf/23406466	http://id.loc.gov/authorities/names/n78089651
Henry, Robert J.,	http://example.org/6657846#Agent700-30	http://viaf.org/viaf/91688231	http://id.loc.gov/authorities/names/n94015638
Moll, Victor H., 1956-	http://example.org/6748996#Agent100-14	http://viaf.org/viaf/42080243	http://id.loc.gov/authorities/names/no2008078639
Shaarawy, Tarek,	http://example.org/6706305#Agent700-34	http://viaf.org/viaf/29197202	http://id.loc.gov/authorities/names/no2002036070
Spitzer, Cary R.,	http://example.org/6748912#Agent700-26	http://viaf.org/viaf/7604637	http://id.loc.gov/authorities/names/n81016507
Aguilar Lugo, Esther,	http://example.org/6712249#Agent700-31	http://viaf.org/viaf/96850250	http://id.loc.gov/authorities/names/no2009125966
Manos, Basil, 1950- ,	http://example.org/6712222#Agent700-31	http://viaf.org/viaf/106770907	http://id.loc.gov/authorities/names/http://id.loc.gov/authorities/names/n2010001194
Regional Studies Association (Seaford, England),	http://example.org/6710604#Agent710-31	http://viaf.org/viaf/154228954	http://id.loc.gov/authorities/names/http://id.loc.gov/authorities/names/n78082132
Haynes, Joanna, 1953-	http://example.org/6756083#Agent100-15	http://viaf.org/viaf/4281447	http://id.loc.gov/authorities/names/n2001084680
Phillips, Adam.	http://example.org/6752562#Agent100-18	http://viaf.org/viaf/54144648276962151330	http://id.loc.gov/authorities/names/nb2010031991
Grabski, Franciszek,	http://example.org/6752239#Agent100-21	http://viaf.org/viaf/101717083	http://id.loc.gov/authorities/names/no2015002423
Baebler, Erin.	http://example.org/6752682#Agent100-18	http://viaf.org/viaf/309818599	http://id.loc.gov/authorities/names/n2014035087
Buisson, Christine,	http://example.org/6712218#Agent700-31	http://viaf.org/viaf/56786691	http://id.loc.gov/authorities/names/n2014013250
Iniewski, Krzysztof, 1960-	http://example.org/6748959#Agent700-30	http://viaf.org/viaf/51135089	http://id.loc.gov/authorities/names/n2007019278
Kopnina, Helen,	http://example.org/6710022#Agent100-21	http://viaf.org/viaf/47054976	http://id.loc.gov/authorities/names/n2005045803
Ratcliffe, Richard,	http://example.org/6669688#Agent700-37	http://viaf.org/viaf/307433318	http://id.loc.gov/authorities/names/n2014018629
Lowe, J. J. (Joseph John), 1946- ,	http://example.org/6713309#Agent100-19	http://viaf.org/viaf/112681975	http://id.loc.gov/authorities/names/http://id.loc.gov/authorities/names/n81066861
Nilsson, Mats, 1964-	http://example.org/6749005#Agent700-31	http://viaf.org/viaf/309847707	http://id.loc.gov/authorities/names/no2014091296
Judge, Tejinder K,	http://example.org/6752365#Agent100-23	http://viaf.org/viaf/309824734	http://id.loc.gov/authorities/names/n2014042701
Holmes, Lisa,	http://example.org/6710609#Agent700-35	http://viaf.org/viaf/90491349	http://id.loc.gov/authorities/names/nb2009015928
Guo, Zizheng,	http://example.org/6752316#Agent700-38	http://viaf.org/viaf/313313695	http://id.loc.gov/authorities/names/no2015021718
Hamstead, Mark,	http://example.org/6694158#Agent700-33	http://viaf.org/viaf/308756853	http://id.loc.gov/authorities/names/n2014033080
Blauvelt, Carolyn Taliaferro, 1933- ,	http://example.org/6706306#Agent700-34	http://viaf.org/viaf/108695752	http://id.loc.gov/authorities/names/http://id.loc.gov/authorities/names/n81037232
Johnson, Timothy P.,	http://example.org/6744112#Agent700-30	http://viaf.org/viaf/16423925	http://id.loc.gov/authorities/names/n92073190
Walker, Mike,	http://example.org/6713309#Agent700-34	http://viaf.org/viaf/304984627	http://id.loc.gov/authorities/names/n82072171
Wirwicz, Deborah C.,	http://example.org/6704133#Agent700-33	http://viaf.org/viaf/307427300	http://id.loc.gov/authorities/names/n2014007272
Meredith, Spencer Barrett, III,	http://example.org/6675696#Agent100-19	http://viaf.org/viaf/307428237	http://id.loc.gov/authorities/names/n2014008655
Grice, Kliti.	http://example.org/6709529#Agent700-48	http://viaf.org/viaf/311466643	http://id.loc.gov/authorities/names/nb2014024829
Freund, Jack,	http://example.org/6709505#Agent100-21	http://viaf.org/viaf/310714140	http://id.loc.gov/authorities/names/n2014061850
Freund, Jack,	http://example.org/6713310#Agent100-16	http://viaf.org/viaf/310714140	http://id.loc.gov/authorities/names/n2014061850
Monden, Masafumi.	http://example.org/6747433#Agent100-17	http://viaf.org/viaf/308755615	http://id.loc.gov/authorities/names/n2014031523
Lee, Garry (Writer on engineering),	http://example.org/6748993#Agent700-29	http://viaf.org/viaf/307442573	http://id.loc.gov/authorities/names/http://id.loc.gov/authorities/names/nb2014007755
Brown, Anthony F. T.,	http://example.org/6744691#Agent700-42	http://viaf.org/viaf/274723938	http://id.loc.gov/authorities/names/n88038139
Joe, Harry,	http://example.org/6677732#Agent100-15	http://viaf.org/viaf/164651546	http://id.loc.gov/authorities/names/nb97043784
Zemel, Assaf,	http://example.org/6748922#Agent700-27	http://viaf.org/viaf/310618300	http://id.loc.gov/authorities/names/n2014188001
Hammond, David,	http://example.org/6752250#Agent100-22	http://viaf.org/viaf/305003281	http://id.loc.gov/authorities/names/n88628842
CSA (Organization),	http://example.org/6752374#Agent710-44	http://viaf.org/viaf/255998634	http://id.loc.gov/authorities/names/http://id.loc.gov/authorities/names/n2014047452
