name	ingest key	viaf ID	LC ID
Data Liberation Initiative (Canada)	http://example.org/3614801#Agent710-31	http://viaf.org/viaf/146539338	http://id.loc.gov/authorities/names/no2006122448
White, James, 1821-1881.	http://example.org/1849720#Agent100-8	http://viaf.org/viaf/64811483	http://id.loc.gov/authorities/names/nr2001005470
White, James, 1821-1881.	http://example.org/1849720#Agent600-19	http://viaf.org/viaf/64811483	http://id.loc.gov/authorities/names/nr2001005470
United States. Bureau of Land Management. Alaska State Office. Branch of Photogrammetry.	http://example.org/1812306#Agent710-29	http://viaf.org/viaf/125550704	http://id.loc.gov/authorities/names/n85088332
Jones, Alonzo Trévier, 1850-1923.	http://example.org/1855939#Agent100-7	http://viaf.org/viaf/46808866	http://id.loc.gov/authorities/names/n87932700
Australian National Antarctic Research Expeditions.	http://example.org/1991892#Agent710-26	http://viaf.org/viaf/149579982	http://id.loc.gov/authorities/names/n50069256
Australian National Antarctic Research Expeditions.	http://example.org/1991893#Agent710-26	http://viaf.org/viaf/149579982	http://id.loc.gov/authorities/names/n50069256
Australian National Antarctic Research Expeditions.	http://example.org/1991895#Agent710-28	http://viaf.org/viaf/149579982	http://id.loc.gov/authorities/names/n50069256
Australian National Antarctic Research Expeditions.	http://example.org/1991903#Agent710-28	http://viaf.org/viaf/149579982	http://id.loc.gov/authorities/names/n50069256
Australian National Antarctic Research Expeditions.	http://example.org/2013221#Agent710-23	http://viaf.org/viaf/149579982	http://id.loc.gov/authorities/names/n50069256
Australian National Antarctic Research Expeditions.	http://example.org/2014261#Agent710-24	http://viaf.org/viaf/149579982	http://id.loc.gov/authorities/names/n50069256
Harvey, Michael J.	http://example.org/2046010#Agent700-31	http://viaf.org/viaf/13918317	http://id.loc.gov/authorities/names/n89640540
Minot, William, 1849-1900.	http://example.org/3128948#Agent700-22	http://viaf.org/viaf/26067642	http://id.loc.gov/authorities/names/n85367671
United States. Bureau of Land Management. Fairbanks District Office. Northwest Resource Area.	http://example.org/1812306#Agent710-28	http://viaf.org/viaf/132575568	http://id.loc.gov/authorities/names/n84137936
Great Lakes Fishery Commission.	http://example.org/1936798#Agent710-24	http://viaf.org/viaf/144901226	http://id.loc.gov/authorities/names/n84166280
Food and Agriculture Organization of the United Nations. Committee for Inland Fisheries of Africa.	http://example.org/3155262#Agent710-33	http://viaf.org/viaf/130971455	http://id.loc.gov/authorities/names/n83235120
Australian Society for Educational Technology.	http://example.org/3118418#Agent710-33	http://viaf.org/viaf/142957708	http://id.loc.gov/authorities/names/no98088962
United States. Environmental Protection Agency. Office of Pesticide Programs.	http://example.org/3435938#Agent710-29	http://viaf.org/viaf/136637923	http://id.loc.gov/authorities/names/n79091225
Australasian Society for Computers in Learning in Tertiary Education.	http://example.org/3118418#Agent710-35	http://viaf.org/viaf/140004454	http://id.loc.gov/authorities/names/nr98012348
Kent, Andrew.	http://example.org/2046010#Agent700-32	http://viaf.org/viaf/48348886	http://id.loc.gov/authorities/names/n88658793
Environmental Studies Revolving Funds (Canada)	http://example.org/1557192#Agent710-24	http://viaf.org/viaf/132450742	http://id.loc.gov/authorities/names/n88626581
Environmental Studies Revolving Funds (Canada)	http://example.org/1557371#Agent710-25	http://viaf.org/viaf/132450742	http://id.loc.gov/authorities/names/n88626581
Environmental Studies Revolving Funds (Canada)	http://example.org/1935247#Agent710-32	http://viaf.org/viaf/132450742	http://id.loc.gov/authorities/names/n88626581
Environmental Studies Revolving Funds (Canada)	http://example.org/1935254#Agent710-30	http://viaf.org/viaf/132450742	http://id.loc.gov/authorities/names/n88626581
Environmental Studies Revolving Funds (Canada)	http://example.org/1935273#Agent710-29	http://viaf.org/viaf/132450742	http://id.loc.gov/authorities/names/n88626581
Environmental Studies Revolving Funds (Canada)	http://example.org/2045962#Agent710-31	http://viaf.org/viaf/132450742	http://id.loc.gov/authorities/names/n88626581
Environmental Studies Revolving Funds (Canada)	http://example.org/2045978#Agent710-41	http://viaf.org/viaf/132450742	http://id.loc.gov/authorities/names/n88626581
Environmental Studies Revolving Funds (Canada)	http://example.org/2045986#Agent710-35	http://viaf.org/viaf/132450742	http://id.loc.gov/authorities/names/n88626581
Environmental Studies Revolving Funds (Canada)	http://example.org/2046010#Agent710-33	http://viaf.org/viaf/132450742	http://id.loc.gov/authorities/names/n88626581
Environmental Studies Revolving Funds (Canada)	http://example.org/2046014#Agent710-29	http://viaf.org/viaf/132450742	http://id.loc.gov/authorities/names/n88626581
Environmental Studies Revolving Funds (Canada)	http://example.org/2060378#Agent710-28	http://viaf.org/viaf/132450742	http://id.loc.gov/authorities/names/n88626581
Environmental Studies Revolving Funds (Canada)	http://example.org/2060801#Agent710-31	http://viaf.org/viaf/132450742	http://id.loc.gov/authorities/names/n88626581
Environmental Studies Revolving Funds (Canada)	http://example.org/2060803#Agent710-31	http://viaf.org/viaf/132450742	http://id.loc.gov/authorities/names/n88626581
University of London. Institute of Advanced Legal Studies.	http://example.org/2716203#Agent710-25	http://viaf.org/viaf/133413661	http://id.loc.gov/authorities/names/n50045491
Ballard, Emerson E., 1865-1935.	http://example.org/3129831#Agent700-27	http://viaf.org/viaf/16054824	http://id.loc.gov/authorities/names/n79118911
Wade, John, 1788-1875.	http://example.org/3129996#Agent100-11	http://viaf.org/viaf/39503062	http://id.loc.gov/authorities/names/n50020662
University of Alaska Fairbanks. Agricultural and Forestry Experiment Station.	http://example.org/2120371#Agent710-29	http://viaf.org/viaf/139612083	http://id.loc.gov/authorities/names/http://id.loc.gov/authorities/names/n85000115
Harris, A. L. (Anthony Leonard)	http://example.org/1928420#Agent700-27	http://viaf.org/viaf/19773130	http://id.loc.gov/authorities/names/n80103922
Denshi Tsūshin Gakkai.	http://example.org/2729365#Agent710-42	http://viaf.org/viaf/124916139	http://id.loc.gov/authorities/names/n80118356
Houck, James P.	http://example.org/3806709#Agent700-19	http://viaf.org/viaf/6216200	http://id.loc.gov/authorities/names/n79107924
Mendell, W. W. (Wendell W.), 1941-	http://example.org/2241647#Agent700-23	http://viaf.org/viaf/16208396	http://id.loc.gov/authorities/names/n85186870
Poli, Bonnie.	http://example.org/3435938#Agent700-27	http://viaf.org/viaf/45921589	http://id.loc.gov/authorities/names/n90642392
Davis, R. A. (Rolph Aubrey), 1942-	http://example.org/1935247#Agent700-31	http://viaf.org/viaf/23557553	http://id.loc.gov/authorities/names/n84237147
Buckley, T. J.	http://example.org/2046014#Agent700-28	http://viaf.org/viaf/29068414	http://id.loc.gov/authorities/names/nb2008025851
Mallis, Michael.	http://example.org/1991893#Agent100-13	http://viaf.org/viaf/13896261	http://id.loc.gov/authorities/names/n89000050
United States. Congress. Office of Technology Assessment.	http://example.org/3533061#Agent710-37	http://viaf.org/viaf/149719131	http://id.loc.gov/authorities/names/n79006671
Society for the Diffusion of Useful Knowledge (Great Britain)	http://example.org/3129574#Agent710-38	http://viaf.org/viaf/259009527	http://id.loc.gov/authorities/names/n50074973
Firestone, Robert.	http://example.org/3692580#Agent100-13	http://viaf.org/viaf/51845403	http://id.loc.gov/authorities/names/n80137277
Centro Nacional de Información de Ciencias Médicas.	http://example.org/3288380#Agent710-34	http://viaf.org/viaf/125507056	http://id.loc.gov/authorities/names/n82025015
Douglas, Robert Sholto.	http://example.org/2131005#Agent700-25	http://viaf.org/viaf/39034120	http://id.loc.gov/authorities/names/no2001095306
Norfolk, Thomas Howard, Duke of, 1538-1572,	http://example.org/3129574#Agent700-33	http://viaf.org/viaf/70364534	http://id.loc.gov/authorities/names/n85144276
BIOMASS Program.	http://example.org/1980286#Agent610-22	http://viaf.org/viaf/150759703	http://id.loc.gov/authorities/names/n93005164
Wotherspoon, P. (Paul)	http://example.org/1557192#Agent700-23	http://viaf.org/viaf/75430605	http://id.loc.gov/authorities/names/n88631357
Winthrop, Robert C. (Robert Charles), 1809-1894.	http://example.org/3129215#Agent100-10	http://viaf.org/viaf/76690634	http://id.loc.gov/authorities/names/n85158382
Canadian Catholic Historical Association.	http://example.org/2716892#Agent710-39	http://viaf.org/viaf/133249253	http://id.loc.gov/authorities/names/n50075261
