name	ingest key	viaf ID	LC ID
Brown, A. J. (Alfred John), 1893-	http://example.org/1030515#Agent100-13	http://viaf.org/viaf/94738948	http://id.loc.gov/authorities/names/no97020291
McConnell, John Wilkinson, 1907-	http://example.org/1034147#Agent100-11	http://viaf.org/viaf/37992732	http://id.loc.gov/authorities/names/n81061404
Dixon, Robert L.	http://example.org/1014942#Agent100-13	http://viaf.org/viaf/304983203	http://id.loc.gov/authorities/names/n81124873
Rice University.	http://example.org/1073590#Agent110-10	http://viaf.org/viaf/133320901	http://id.loc.gov/authorities/names/n80126221
Mason, William, 1725-1797.	http://example.org/1020481#Agent700-18	http://viaf.org/viaf/95718679	http://id.loc.gov/authorities/names/n50044112
Jurjevich, Ratibor-Ray M., 1915-	http://example.org/109482#Agent100-11	http://viaf.org/viaf/165760277	http://id.loc.gov/authorities/names/n85197635
Mullin, Ronald C. (Ronald Cleveland), 1936-	http://example.org/1076783#Agent700-23	http://viaf.org/viaf/109370334	http://id.loc.gov/authorities/names/n82154688
Graeub, Ralph.	http://example.org/1078745#Agent100-13	http://viaf.org/viaf/47293141	http://id.loc.gov/authorities/names/n91070672
Tocqueville, Alexis de, 1805-1859.	http://example.org/1043792#Agent100-11	http://viaf.org/viaf/66474207	http://id.loc.gov/authorities/names/n79099318
Tocqueville, Alexis de, 1805-1859.	http://example.org/1039373#Agent600-18	http://viaf.org/viaf/66474207	http://id.loc.gov/authorities/names/n79099318
Pomerantz, Charlotte.	http://example.org/1040225#Agent100-11	http://viaf.org/viaf/43137943	http://id.loc.gov/authorities/names/n80072542
Oldman, Oliver.	http://example.org/1035726#Agent100-11	http://viaf.org/viaf/30781825	http://id.loc.gov/authorities/names/n50025089
Saint-Gaudens, Augustus, 1848-1907.	http://example.org/1084465#Agent100-10	http://viaf.org/viaf/54944558	http://id.loc.gov/authorities/names/n50030106
Todorovich, Miro,	http://example.org/1021840#Agent700-23	http://viaf.org/viaf/46810415	http://id.loc.gov/authorities/names/n50013854
Stephens, William, 1671-1753.	http://example.org/1006006#Agent100-9	http://viaf.org/viaf/2463972	http://id.loc.gov/authorities/names/no91018400
U.S. Fish and Wildlife Service.	http://example.org/1000348#Agent710-20	http://viaf.org/viaf/133611990	http://id.loc.gov/authorities/names/http://id.loc.gov/authorities/names/n79006435
Walker, Clement, 1595-1651.	http://example.org/1055117#Agent100-12	http://viaf.org/viaf/22485529	http://id.loc.gov/authorities/names/n84212763
Leacock, Stephen, 1869-1944.	http://example.org/1067449#Agent100-10	http://viaf.org/viaf/7392923	http://id.loc.gov/authorities/names/n50042556
Reynolds, Barbara.	http://example.org/1092290#Agent100-10	http://viaf.org/viaf/43513352	http://id.loc.gov/authorities/names/n93058568
Canada. Parliament. House of Commons.	http://example.org/102151#Agent610-19	http://viaf.org/viaf/146199824	http://id.loc.gov/authorities/names/n79142778
Rodale, J. I. (Jerome Irving), 1898-1971.	http://example.org/1013930#Agent100-9	http://viaf.org/viaf/75097057	http://id.loc.gov/authorities/names/n50046619
Turnbull, Harvey.	http://example.org/1043448#Agent100-12	http://viaf.org/viaf/92754384	http://id.loc.gov/authorities/names/no93028268
Berman, Harold J. (Harold Joseph), 1918-2007.	http://example.org/1010049#Agent100-11	http://viaf.org/viaf/108235479	http://id.loc.gov/authorities/names/n80013030
Gandon, James, 1742-1823.	http://example.org/1081095#Agent600-21	http://viaf.org/viaf/51679542	http://id.loc.gov/authorities/names/n85342324
Lem, Stanisław.	http://example.org/1034865#Agent100-12	http://viaf.org/viaf/56612733	http://id.loc.gov/authorities/names/n79100400
Dennison, George, 1925-	http://example.org/1073678#Agent100-20	http://viaf.org/viaf/108734837	http://id.loc.gov/authorities/names/n82272036
Cary, Henry Francis, 1772-1844,	http://example.org/10778#Agent700-24	http://viaf.org/viaf/54579575	http://id.loc.gov/authorities/names/n85224799
Whatmough, Joshua, 1897-1964.	http://example.org/1089854#Agent700-28	http://viaf.org/viaf/17339890	http://id.loc.gov/authorities/names/n87806298
Hanson, Virginia,	http://example.org/1060420#Agent100-11	http://viaf.org/viaf/201085138	http://id.loc.gov/authorities/names/n80034158
Boudreau, Amy.	http://example.org/1056274#Agent100-11	http://viaf.org/viaf/33278670	http://id.loc.gov/authorities/names/n79091404
Miles Laboratories.	http://example.org/1075675#Agent710-28	http://viaf.org/viaf/143699083	http://id.loc.gov/authorities/names/n80073820
Maritain, Jacques, 1882-1973.	http://example.org/1076519#Agent100-11	http://viaf.org/viaf/7393855	http://id.loc.gov/authorities/names/n80067092
Milns, R. D., 1938-	http://example.org/1091264#Agent700-26	http://viaf.org/viaf/67617125	http://id.loc.gov/authorities/names/n84113957
Worden, Blair.	http://example.org/1034331#Agent100-16	http://viaf.org/viaf/32122269	http://id.loc.gov/authorities/names/n81124769
Tuchscherer, Jean-Michel.	http://example.org/1048597#Agent100-12	http://viaf.org/viaf/92751318	http://id.loc.gov/authorities/names/n88619796
Hildebrand, James L.	http://example.org/1019433#Agent100-11	http://viaf.org/viaf/73814095	http://id.loc.gov/authorities/names/nr2006004313
Society of Professionals in Dispute Resolution (U.S.)	http://example.org/1012436#Agent710-23	http://viaf.org/viaf/124424416	http://id.loc.gov/authorities/names/n86853501
Fielding, Mantle, 1865-1941,	http://example.org/1085502#Agent700-25	http://viaf.org/viaf/54239999	http://id.loc.gov/authorities/names/n50023382
Herman, Edward S.	http://example.org/1031#Agent700-31	http://viaf.org/viaf/91720975	http://id.loc.gov/authorities/names/n79135236
Allen, Frederick Lewis, 1890-1954.	http://example.org/1016364#Agent100-12	http://viaf.org/viaf/64800845	http://id.loc.gov/authorities/names/n50034529
Floyd, Gareth, 1940- ,	http://example.org/1043940#Agent700-19	http://viaf.org/viaf/57909903	http://id.loc.gov/authorities/names/http://id.loc.gov/authorities/names/n80045847
Dickens, A. G. (Arthur Geoffrey), 1910-2001.	http://example.org/1045305#Agent100-13	http://viaf.org/viaf/51711347	http://id.loc.gov/authorities/names/n50026947
Blockley, Jennifer,	http://example.org/1046037#Agent700-20	http://viaf.org/viaf/66265753	http://id.loc.gov/authorities/names/no2007155391
Wiese, Kurt, 1887-1974.	http://example.org/1033370#Agent700-18	http://viaf.org/viaf/111673784	http://id.loc.gov/authorities/names/n85026862
University of California, Berkeley. Music Library.	http://example.org/1081950#Agent110-11	http://viaf.org/viaf/132131441	http://id.loc.gov/authorities/names/n83160022
Akin Rabibhadana, M.R.	http://example.org/1026768#Agent100-11	http://viaf.org/viaf/1420827	http://id.loc.gov/authorities/names/n84182172
Sibley, Marilyn McAdams.	http://example.org/1006810#Agent100-12	http://viaf.org/viaf/239356851	http://id.loc.gov/authorities/names/n79018761
Savez komunista Jugoslavije.	http://example.org/1050999#Agent110-11	http://viaf.org/viaf/134595232	http://id.loc.gov/authorities/names/n80066190
Blit, Lucjan.	http://example.org/1051685#Agent100-15	http://viaf.org/viaf/68526340	http://id.loc.gov/authorities/names/no96047139
Currie, H. MacL. (Harry MacLeod)	http://example.org/1012751#Agent100-15	http://viaf.org/viaf/26214184	http://id.loc.gov/authorities/names/n89659426
Seaholm, Charles H.	http://example.org/1057544#Agent100-14	http://viaf.org/viaf/271932686	http://id.loc.gov/authorities/names/no2003101832
Robinson, Rodney Potter, 1890- ,	http://example.org/1091612#Agent700-21	http://viaf.org/viaf/195953079	http://id.loc.gov/authorities/names/http://id.loc.gov/authorities/names/no95037335
Abbey of Farfa.	http://example.org/1000888#Agent610-26	http://viaf.org/viaf/137282486	http://id.loc.gov/authorities/names/n85336376
