;
-----------------------------------------------------------
:
-----------------------------------------------------------
-
-----------------------------------------------------------
/
-----------------------------------------------------------
.
-----------------------------------------------------------
,
Learning Object 	 5	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/f4/75/2h/66/f4752h66p
Report 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b0/86/12/n5/b08612n581
Research Material 	 3	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/ng/45/1h/65/ng451h65t
Image 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bv/d6/6w/00/bvd66w0025
Conference/workshop Presentation 	 2	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bz/60/3q/x5/bz603qx584
Journal Article (Draft-Submitted) 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/2f/75/r8/74/2f75r874m
-----------------------------------------------------------
 
Learning Object 	 6	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/f4/75/2h/66/f4752h66p
Report 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b0/86/12/n5/b08612n581
Image 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bv/d6/6w/00/bvd66w0025
Research Material 	 3	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/ng/45/1h/65/ng451h65t
Conference/workshop Presentation 	 2	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bz/60/3q/x5/bz603qx584
Journal Article (Draft-Submitted) 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/2f/75/r8/74/2f75r874m
-----------------------------------------------------------
