Column 1	uri	test	Column 3	acc	Column 5
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c5/99/9n/34/c5999n348p		| http://purl.org/dc/elements/1.1/creator	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c6/68/2x/40/c6682x4096	None	| http://purl.org/dc/elements/1.1/creator	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c6/68/2x/41/c6682x410p	None	| http://purl.org/dc/elements/1.1/creator	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c6/68/2x/41/c6682x4110	None	| http://purl.org/dc/elements/1.1/creator	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c7/w6/2f/83/c7w62f8361	None	| http://purl.org/dc/elements/1.1/creator	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cc/j8/2k/74/ccj82k743g	None	| http://purl.org/dc/elements/1.1/creator	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cd/50/4r/k4/cd504rk47b	None	| http://purl.org/dc/elements/1.1/creator	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cm/p4/8s/c9/cmp48sc999	None	| http://purl.org/dc/elements/1.1/creator	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cq/52/4j/n9/cq524jn957		| http://purl.org/dc/elements/1.1/creator	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/ct/b0/9j/58/ctb09j588t	None	| http://purl.org/dc/elements/1.1/creator	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cv/x0/21/f2/cvx021f29x	None	| http://purl.org/dc/elements/1.1/creator	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cw/08/92/b0/cw0892b04w	None	| http://purl.org/dc/elements/1.1/creator	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cw/h2/46/s3/cwh246s37g	None	| http://purl.org/dc/elements/1.1/creator	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cw/p9/88/k0/cwp988k01x	None	| http://purl.org/dc/elements/1.1/creator	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/cx/92/0f/x0/cx920fx06h	None	| http://purl.org/dc/elements/1.1/creator	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/br/j4/30/46/brj4304662		| http://purl.org/dc/elements/1.1/subject	None	private in ERA
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c0/86/12/n8/c08612n84n		| http://purl.org/dc/elements/1.1/subject	None	not in ERA
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/br/j4/30/46/brj4304662		| http://purl.org/dc/terms/language	None	private in ERA
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/c2/51/4n/k7/c2514nk75c	None	| http://purl.org/dc/terms/type	None	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/00/00/02/95/00000295z		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/0c/48/3j/62/0c483j623		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/0g/35/4h/97/0g354h97v		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/15/44/br/60/1544br602		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/1g/05/ff/44/1g05ff44p		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
Predicate is not in graph:	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/1j/92/gb/13/1j92gb13w		| http://pcdm.org/models#memberOf	http://terms.library.ualberta.ca/public	
