Column 1	VIAFP	VIAF-ID	score	Cor	VIAFC	score-c	Column 2	Column 3	Column 4	blank
Frank, Benjamin, 1904- 				Frank, Benjamin, 1904- 			Person		http://example.org/1055908#Agent100-15	
Tappan, Paul W. (Paul Wilbur), 1911-	28617232	28617232	1	Tappan, Paul W. (Paul Wilbur), 1911- 			Person		http://example.org/1035635#Agent100-10	
Tidball, Harriet	33404330	33404330	1	Tidball, Harriet			Person		http://example.org/1077179#Agent100-10	
Seliger, Robert Victor, 1900- 				Seliger, Robert Victor, 1900- 			Person		http://example.org/1035296#Agent100-10	
Lukas, Edwin J. (Edwin Jay), 1902-1973	21309597	21309597	1	Lukas, Edwin J. (Edwin Jay), 1902-1973			Person		http://example.org/1035296#Agent700-21	
Lindner, Robert Mitchell, 1914-1956	71668973	71668973	1	Lindner, Robert Mitchell, 1914-1956			Person		http://example.org/1035296#Agent700-22	
Ozmon, Howard	108856489	108856489	1	Ozmon, Howard			Person		http://example.org/1059406#Agent100-15	
Heath, Dwight B	54234445	54234445	0.9375	Heath, Dwight B			Person		http://example.org/1027638#Agent100-15	
Adams, Richard N. (Richard Newbold), 1924-	28356720	28356720	1	Adams, Richard N. (Richard Newbold), 1924-			Person		http://example.org/1027638#Agent700-27	
Gardavský, Čeněk	35440588	35440588	1	Gardavský, Čeněk			Person		http://example.org/1007235#Agent100-12	
Kappel, Vagn	33124076	33124076	0.9230769231	Kappel, Vagn			Person		http://example.org/1082452#Agent100-14	
Krantz, David H., 1938-	111257636	111257636	1	Krantz, David H., 1938- 			Person		http://example.org/1046290#Agent700-25	
University College, Dublin. Academic Staff Association		315669203		University College, Dublin. Academic Staff Association	315669203	0.9818181818	Organization		http://example.org/1069532#Agent110-11	
Johnson, Corwin W. (Corwin Waggoner)	70173988	70173988	1	Johnson, Corwin W. (Corwin Waggoner)			Person		http://example.org/104101#Agent700-23	
Lewis, Susan Hollingsworth	92058167	92058167	1	Lewis, Susan Hollingsworth			Person		http://example.org/104101#Agent700-24	
University of Texas at Austin. School of Law		153534795		University of Texas at Austin. School of Law	153534795	0.9772727273	Organization		http://example.org/104101#Agent710-25	
University of Texas at Austin. Center for Research in Water Resources		167995054		University of Texas at Austin. Center for Research in Water Resources	167995054	1	Organization		http://example.org/104101#Agent710-26	
Klapper, Paul, 1885-1952	187255940	187255940	1	Klapper, Paul, 1885-1952			Person		http://example.org/1060436#Agent100-10	
Hughes, H. Stuart (Henry Stuart), 1916-1999	14784230	14784230	1	Hughes, H. Stuart (Henry Stuart), 1916-1999			Person		http://example.org/102634#Agent100-14	
Cull, John G	38186424	38186424	0.9230769231	Cull, John G			Person		http://example.org/1002907#Agent100-13	
Colvin, Craig R				Colvin, Craig R			Person		http://example.org/1002907#Agent700-24	
United States Military Academy. Dept. of Social Sciences		152526746		United States Military Academy. Dept. of Social Sciences	152526746	1	Organization		http://example.org/1043581#Agent110-10	
Beukema, Herman, 1891-1960	220205697	220205697	1	Beukema, Herman, 1891-1960			Person		http://example.org/1043581#Agent700-21	
United States Military Academy. Dept. of Economics, Government, and History				United States Military Academy. Dept. of Economics, Government, and History			Organization		http://example.org/1043581#Agent710-22	
Gowling, Linda				Gowling, Linda			Person		http://example.org/1028602#Agent100-10	
University of Waterloo. Library. Reference Department		133636807		University of Waterloo. Library. Reference Department	133636807	1	Organization		http://example.org/1028602#Agent710-20	
Pierce, Roy	108946951	108946951	1	Pierce, Roy			Person		http://example.org/1038974#Agent100-11	
Creighton, Thomas Hawk	7295808	7295808	1	Creighton, Thomas Hawk			Person		http://example.org/1081684#Agent100-11	
Ford, Katherine Morrow, 1905-	93894403	93894403	1	Ford, Katherine Morrow, 1905-			Person		http://example.org/1081684#Agent700-21	
Czigány, Gyula	70056405	70056405	0.9333333333	Czigány, Gyula	2.23149366548786E+020	1	Person		http://example.org/104874#Agent700-20	
Srivastava, Ripusudan Prasad	169251384	169251384	1	Srivastava, Ripusudan Prasad			Person		http://example.org/1066602#Agent100-11	
Vivekananda, Swami, 1863-1902	89471868	89471868	0.875	Vivekananda, Swami, 1863-1902			Person		http://example.org/1066602#Agent600-19	
