Column 1	LC-ID	match-ID	score	VIAF-C	VIAF-IDC	score-c	org	Column 3	Column 4	blank
Bolton, George Lewis French, Sir, 1900-	21745858	21745858	1	Bolton, George Lewis French, Sir, 1900-			Person		http://example.org/1019749#Agent700-24	
Federal Trust for Education and Research.		121685901		Federal Trust for Education and Research.	121685901	1	Organization		http://example.org/1019749#Agent710-25	
Federal Trust for Education and Research.		121685901		Federal Trust for Education and Research.	121685901	1	Organization		http://example.org/1019749#Agent810-26	
Armand, Louis, 1905-1971.	110022377	110022377	0.96	Armand, Louis, 1905-1971.			Person		http://example.org/1047844#Agent100-14	
Drancourt, Michel,	172769318	172769318	0.9444444444	Drancourt, Michel,			Person		http://example.org/1047844#Agent700-31	
Camps, Miriam.	79098781	79098781	1	Camps, Miriam.			Person		http://example.org/1010105#Agent100-11	
European Economic Community		135819217		European Economic Community	135819217	0.9642857143	Organization		http://example.org/1010105#Agent610-19	
Camps, Miriam.	79098781	79098781	1	Camps, Miriam.			Person		http://example.org/1010110#Agent100-10	
European Economic Community.		135819217		European Economic Community.	135819217	1	Organization		http://example.org/1010110#Agent610-18	
Committee for Economic Development.				Committee for Economic Development.			Organization		http://example.org/1010114#Agent110-10	
Europe				Europe			Organization		http://example.org/1010114#Agent610-19	
Comité européen pour le progrès économique et social.		129928407		Comité européen pour le progrès économique et social.	129928407	1	Organization		http://example.org/1010114#Agent710-20	
European Economic Community.		135819217		European Economic Community.	135819217	1	Organization		http://example.org/1010114#Agent710-21	
Frank, Isaiah, 1917-2006.	108218959	108218959	0.8	Frank, Isaiah, 1917-2006.			Person		http://example.org/1010139#Agent100-11	
Europe				Europe			Organization		http://example.org/1010139#Agent610-19	
Mally, Gerhard.	111173253	111173253	1	Mally, Gerhard.			Person		http://example.org/1047857#Agent100-13	
Everts, Philip P.,	56638213	56638213	0.9444444444	Everts, Philip P.,			Person		http://example.org/1017729#Agent700-20	
Rijksuniversiteit te Leiden. Institut voor Internationale Studiën.				Rijksuniversiteit te Leiden. Institut voor Internationale Studiën.			Organization		http://example.org/1017729#Agent710-21	
Rijksuniversiteit te Leiden. Europa Instituut.		127898067		Rijksuniversiteit te Leiden. Europa Instituut.	127898067	0.9782608696	Organization		http://example.org/1017729#Agent710-22	
Bailey, Richard.				Bailey, Richard.			Person		http://example.org/1079198#Agent100-12	
European Economic Community.		135819217		European Economic Community.	135819217	1	Organization		http://example.org/1079198#Agent610-20	
Castberg, Frede, 1893-1977.	37828764	37828764	0.962962963	Castberg, Frede, 1893-1977.			Person		http://example.org/1055132#Agent100-12	
Jordan-Bychkov, Terry G., 1938-2003.	2651941	2651941	0.9722222222	Jordan-Bychkov, Terry G., 1938-2003.			Person		http://example.org/10821#Agent100-12	
Bowie, Robert R. (Robert Richardson), 1909-2013.	109111383	109111383	0.8958333333	Bowie, Robert R. (Robert Richardson), 1909-2013.			Person		http://example.org/1010712#Agent100-11	
European Economic Community.		135819217		European Economic Community.	135819217	1	Organization		http://example.org/1010712#Agent610-20	
Geiger, Theodore,				Geiger, Theodore,			Person		http://example.org/1010712#Agent700-23	
United States. Congress. Joint Economic Committee.		126655418		United States. Congress. Joint Economic Committee.	126655418	0.98	Jurisdiction		http://example.org/1010712#Agent710-24	
Meyer, F. V. (Frederick Victor)	264191838	264191838	1	Meyer, F. V. (Frederick Victor)			Person		http://example.org/1010141#Agent100-10	
European Free Trade Association.		132007575		European Free Trade Association.	132007575	1	Organization		http://example.org/1010141#Agent610-18	
