Column 1	VIAFP	VIAF-ID	score	Cor	VIAFC	score-c	Column 2	Column 3	Column 4	blank
Holden, Donald	74411016	74411016	1	Holden, Donald			Person		http://example.org/1080900#Agent100-10	
Clapp, Jane	464584	464584	1	Clapp, Jane			Person		http://example.org/1080973#Agent100-16	
Whittet, George Sorley, 1913-	62078204	62078204	1	Whittet, George Sorley, 1913-			Person		http://example.org/1077488#Agent100-12	
Osman, Randolph E., 1940-	161920310	161920310	1	Osman, Randolph E., 1940-			Person		http://example.org/1077419#Agent100-12	
Watt, Alexander, 1909-	306160570	306160570	1	Watt, Alexander, 1909-			Person		http://example.org/1077526#Agent100-12	
Constable, W. G. (William George), 1887-1976	105070931	105070931	1	Constable, W. G. (William George), 1887-1976			Person		http://example.org/1080943#Agent100-11	
Smith, Solomon Charles Kaines	309877234	309877234	1	Smith, Solomon Charles Kaines			Person		http://example.org/1081326#Agent100-10	
Madden, Betty I., 1915-	92106088	92106088	1	Madden, Betty I., 1915-			Person		http://example.org/1051527#Agent100-12	
Illinois State Museum		153425791		Illinois State Museum	153425791	1	Organization		http://example.org/1051527#Agent710-24	
Rose, Barbara	107534178	107534178	1	Rose, Barbara			Person		http://example.org/1080696#Agent700-20	
Poses Institute of Fine Arts		158021521		Poses Institute of Fine Arts	158021521	1	Organization		http://example.org/1080696#Agent710-21	
University of Chicago. Bergman Gallery				University of Chicago. Bergman Gallery			Organization		http://example.org/101911#Agent710-18	
University of Chicago. Renaissance Society		142969433		University of Chicago. Renaissance Society	142969433	0.976744186	Organization		http://example.org/101911#Agent710-19	
Focillon, Henri, 1881-1943	2470261	2470261	1	Focillon, Henri, 1881-1943			Person		http://example.org/1077689#Agent100-10	
Jahier, Piero, 1884-1966	66469008	66469008	1	Jahier, Piero, 1884-1966			Person		http://example.org/1081344#Agent100-11	
Pita Andrade, José Manuel	113847070	113847070	1	Pita Andrade, José Manuel			Person		http://example.org/1081535#Agent100-10	
Pacheco, Francisco, d 1654?				Pacheco, Francisco, d 1654?			Person		http://example.org/1086447#Agent100-10	
Sánchez Cantón, F. J. (Francisco Javier), 1891-1971	71631480	71631480	1	Sánchez Cantón, F. J. (Francisco Javier), 1891-1971			Person		http://example.org/1086447#Agent700-19	
San Buenaventura, Gabriel de, active 1684	60857952	60857952	1	San Buenaventura, Gabriel de, active 1684			Person		http://example.org/1029578#Agent100-10	
Cossío del Pomar, Felipe, 1889-1981	96552399	96552399	1	Cossío del Pomar, Felipe, 1889-1981			Person		http://example.org/1078065#Agent100-11	
Neruda, Pablo, 1904-1973	95126958	95126958	0.96	Neruda, Pablo, 1904-1973			Person		http://example.org/1059224#Agent100-10	
Trombelli, Giovanni Crisostomo, 1697-1784	50029244	50029244	1	Trombelli, Giovanni Crisostomo, 1697-1784			Person		http://example.org/1036036#Agent100-11	
McCord, David Thompson Watson, 1897-1997	50507949	50507949	1	McCord, David Thompson Watson, 1897-1997			Person		http://example.org/1080733#Agent700-18	
Little, David B	166265969	166265969	0.9375	Little, David B			Person		http://example.org/1080733#Agent700-19	
Hitchings, Sinclair, 1933-	94406013	94406013	1	Hitchings, Sinclair, 1933-			Person		http://example.org/1080733#Agent700-20	
Boston Public Library		133435180		Boston Public Library	133435180	0.9130434783	Organization		http://example.org/1080733#Agent710-21	
Albert H. Wiggin Collection (Boston Public Library)		146671680		Albert H. Wiggin Collection (Boston Public Library)	146671680	1	Organization		http://example.org/1080733#Agent710-22	
Gaitskell, Charles D	72634877	72634877	0.9523809524	Gaitskell, Charles D			Person		http://example.org/1079386#Agent100-10	
Gaitskell, Margaret R	270052894	270052894	0.9545454545	Gaitskell, Margaret R			Person		http://example.org/1079386#Agent700-19	
Nyquist, Fredrik Vickström	305378259	305378259	0.9259259259	Nyquist, Fredrik Vickström			Person		http://example.org/1078227#Agent100-10	
Packwood, Mary M	26776747	26776747	0.9411764706	Packwood, Mary M			Person		http://example.org/1078263#Agent700-20	
National Art Education Association		123144495		National Art Education Association	123144495	1	Organization		http://example.org/1078263#Agent710-21	
National Society for the Study of Education. Committee on Art Education		131861197		National Society for the Study of Education. Committee on Art Education	131861197	1	Organization		http://example.org/1076639#Agent110-15	
Hastie, W. Reid	306346724	306346724	1	Hastie, W. Reid			Person		http://example.org/1076639#Agent700-26	
Touring club italiano		151952602		Touring club italiano	151952602	0.9545454545	Organization		http://example.org/1076872#Agent110-11	
Maiuri, Amedeo, 1886-1963	73977684	73977684	0.9615384615	Maiuri, Amedeo, 1886-1963			Person		http://example.org/1076872#Agent700-21	
Biennale d'arte antica		132622673		Biennale d'arte antica	132622673	1	Meeting		http://example.org/1076891#Agent111-11	
Mansuelli, Guido Achille	14844911	14844911	1	Mansuelli, Guido Achille			Person		http://example.org/1076891#Agent700-21	
Vergnani, Maria				Vergnani, Maria			Person		http://example.org/1076891#Agent700-22	
Morán, Francisco, active 1625				Morán, Francisco, active 1625			Person		http://example.org/1029567#Agent100-10	
Università di Torino. Facoltà di lettre e filosofia				Università di Torino. Facoltà di lettre e filosofia			Organization		http://example.org/1094283#Agent110-10	
Vincenti, Leonello, 1891-1963	2602802	2602802	1	Vincenti, Leonello, 1891-1963			Person		http://example.org/1094283#Agent700-19	
Fondazione Giorgio Cini. Centro di cultura e civiltà		129835072		Fondazione Giorgio Cini. Centro di cultura e civiltà	129835072	0.9433962264	Organization		http://example.org/1080735#Agent110-10	
Leers, Johann von, 1902-1965	78822039	78822039	0.9310344828	Leers, Johann von, 1902-1965			Person		http://example.org/1048817#Agent100-11	
Bellosi, Luciano	120124160	120124160	1	Bellosi, Luciano			Person		http://example.org/1079072#Agent700-20	
Cantelli, Giuseppe	28365935	28365935	0.9473684211	Cantelli, Giuseppe			Person		http://example.org/1079072#Agent700-21	
Lenzini Moriondo, Margherita	113148762	113148762	1	Lenzini Moriondo, Margherita			Person		http://example.org/1079072#Agent700-22	
Epifanova, A. P				Epifanova, A. P			Person		http://example.org/1038741#Agent100-11	
Art͡sikhovskiĭ, Artemiĭ Vladimirovich, 1902-1978				Art͡sikhovskiĭ, Artemiĭ Vladimirovich, 1902-1978			Person		http://example.org/1038741#Agent600-22	
Thiersch, Hermann, 1874-1939	59858714	59858714	0.9655172414	Thiersch, Hermann, 1874-1939			Person		http://example.org/1070863#Agent100-10	
Artemis				Artemis			Person		http://example.org/1070863#Agent600-21	
Fleischer, Robert	73975457	73975457	1	Fleischer, Robert			Person		http://example.org/1012918#Agent100-11	
Hagen, Oscar Frank Leonard				Hagen, Oscar Frank Leonard			Person		http://example.org/1077719#Agent100-10	
Masotta, Oscar, 1930-	114266638	114266638	1	Masotta, Oscar, 1930-			Person		http://example.org/1061350#Agent100-10	
							Organization		http://example.org/1061350#Agent810-22	
Navigliovenezia (Gallery)				Navigliovenezia (Gallery)			Organization		http://example.org/1081751#Agent710-18	
Jellinek, H				Jellinek, H			Person		http://example.org/1044108#Agent100-12	
Moses, Robert, 1888-1981	52866196	52866196	0.96	Moses, Robert, 1888-1981			Person		http://example.org/1083821#Agent100-11	
Andrews &amp; Clark				Andrews &amp; Clark			Organization		http://example.org/1083821#Agent710-21	
Symposium on Arteries and Veins, London, 1973				Symposium on Arteries and Veins, London, 1973			Meeting		http://example.org/101951#Agent111-10	
Harcus, A. W	16713246	16713246	0.8333333333	Harcus, A. W			Person		http://example.org/101951#Agent700-20	
Adamson, L. (Leslie)	4419765	4419765	1	Adamson, L. (Leslie)			Person		http://example.org/101951#Agent700-21	
Balcon, R	48267343	48267343	0.9	Balcon, R			Person		http://example.org/101951#Agent700-22	
Gudiol, José	17261436	17261436	1	Gudiol, José			Person		http://example.org/1087031#Agent100-10	
Ainaud de Lasarte, Juan	29528945	29528945	1	Ainaud de Lasarte, Juan			Person		http://example.org/1086888#Agent100-10	
Berenguer, Magín	111456581	111456581	1	Berenguer, Magín			Person		http://example.org/1079662#Agent100-10	
Navarro, José Gabriel, 1881-1965	53183270	53183270	1	Navarro, José Gabriel, 1881-1965			Person		http://example.org/1078053#Agent100-11	
Mâle, Emile, 1862-1954	22145190	22145190	0.9545454545	Mâle, Emile, 1862-1954			Person		http://example.org/1076972#Agent100-12	
Bourdichon, Jean, 1457?-1521?	79194234	79194234	1	Bourdichon, Jean, 1457?-1521?			Person		http://example.org/1076972#Agent600-20	
Benoît, Fernand, 1892-1969	7492072	7492072	1	Benoît, Fernand, 1892-1969			Person		http://example.org/1076915#Agent100-10	
Du Pont, Gratien, sieur de Drusac				Du Pont, Gratien, sieur de Drusac			Person		http://example.org/1092975#Agent100-10	
Francastel, Pierre	22141794	22141794	1	Francastel, Pierre			Person		http://example.org/1080881#Agent100-10	
Bourgeacq, Jacques	56732507	56732507	1	Bourgeacq, Jacques			Person		http://example.org/109328#Agent100-10	
Marivaux, Pierre Carlet de Chamblain de, 1688-1763	102099473	102099473	0.9607843137	Marivaux, Pierre Carlet de Chamblain de, 1688-1763			Person		http://example.org/109328#Agent600-18	
Boylan, Marie A				Boylan, Marie A			Person		http://example.org/1078191#Agent100-10	
Pile, Naomi F	1.07146937866014E+020	1.07146937866014E+020	0.9285714286	Pile, Naomi F			Person		http://example.org/1025335#Agent100-15	
Berndtson, Arthur, 1913-1997	110420544	110420544	1	Berndtson, Arthur, 1913-1997			Person		http://example.org/1088605#Agent100-11	
Villacañas, Benito de	304090965	304090965	1	Villacañas, Benito de			Person		http://example.org/1029580#Agent100-10	
Mendax, Fritz, pseud				Mendax, Fritz, pseud			Person		http://example.org/1080976#Agent100-10	
Brion, Marcel, 1895-1984	8241	8241	0.96	Brion, Marcel, 1895-1984			Person		http://example.org/1080899#Agent100-10	
Wolf, Janice				Wolf, Janice			Person		http://example.org/1062825#Agent700-18	
Cox, George James, 1884-				Cox, George James, 1884-			Person		http://example.org/1076367#Agent100-10	
Hoyland, Michael	278773306	278773306	1	Hoyland, Michael			Person		http://example.org/1078206#Agent100-13	
L'Orange, Hans Peter, 1903-1983	25816242	25816242	1	L'Orange, Hans Peter, 1903-1983			Person		http://example.org/1076896#Agent100-16	
Discletianus, Emperor of Rome, 245-313				Discletianus, Emperor of Rome, 245-313			Person		http://example.org/1076896#Agent600-25	
Smyth, Peter S				Smyth, Peter S			Person		http://example.org/1078234#Agent100-10	
Lindsay, Zaidee	79297456	79297456	0.9375	Lindsay, Zaidee			Person		http://example.org/1071608#Agent100-11	
Montgomery, Chandler	275566392	275566392	1	Montgomery, Chandler			Person		http://example.org/1078223#Agent100-11	
O'Connor, Francis V	246044146	246044146	0.95	O'Connor, Francis V			Person		http://example.org/1077732#Agent100-13	
Federal Art Project		138341191		Federal Art Project	138341191	1	Organization		http://example.org/1077732#Agent710-24	
Horn, George F	110375903	110375903	0.9333333333	Horn, George F			Person		http://example.org/1078204#Agent100-11	
Heyne, Carl J				Heyne, Carl J			Person		http://example.org/1080729#Agent100-12	
Nicholas, Florence Williams, 1893-	70169680	70169680	1	Nicholas, Florence Williams, 1893-			Person		http://example.org/1080729#Agent700-25	
Gaborit, Jean-René	49225819	49225819	0.9473684211	Gaborit, Jean-René			Person		http://example.org/1058914#Agent100-10	
Musée du Québec		122675243		Musée du Québec	122675243	0.9375	Organization		http://example.org/1058914#Agent710-20	
Montreal Museum of Fine Arts		125405650		Montreal Museum of Fine Arts	125405650	1	Organization		http://example.org/1058914#Agent710-21	
Association française d'action artistique		153057781		Association française d'action artistique	153057781	0.9761904762	Organization		http://example.org/1058914#Agent710-22	
Malcolm, Dorothea C	9478101	9478101	0.95	Malcolm, Dorothea C			Person		http://example.org/1044498#Agent100-11	
Reed, Carl				Reed, Carl			Person		http://example.org/1007764#Agent100-12	
Orze, Joseph				Orze, Joseph			Person		http://example.org/1007764#Agent700-23	
Reed, Carl				Reed, Carl			Person		http://example.org/1078233#Agent100-11	
Orze, Joseph				Orze, Joseph			Person		http://example.org/1078233#Agent700-21	
Charlot, Jean, 1898-1979	109001357	109001357	1	Charlot, Jean, 1898-1979			Person		http://example.org/1080754#Agent100-11	
