2015book1Origbf-stats.tsv was processed in 2:15:41

1751 names were extracted from 2015book1Origbf
1670 unique names  --- 1620 Personal names and 50 Corporate names

API searched	hits	hit_rate
search_api_VFP	1522	91.1377245508982
search_api_VF	22	1.3173652694610778
search_api_LCS	433	25.92814371257485
search_api_LC	161	9.640718562874252
names-enriched	1569	93.95209580838323
search_api_VFC	40	2.3952095808383236


LC_ID
names enriched	average matching score	median matching score	variance of matching score	standard-div of matching score	hit rate
1569	99.9929891650733	100	0.02227224541824378	0.1492388870845792	93.95209580838323	

VIAF_ID
names enriched	average matching score	median matching score	variance of matching score	standard-div of matching score	hit rate
1562	99.9865556978233	100.0	0.04402156928525905	0.20981317710110356	93.53293413173652	

