olac - dc:contributor	olac - dc:identifier
Linguistic Data Consortium	LDC94T5
Higgins, Alan	LDC95S22
Vermilyea, Dave	LDC95S22
Robinson, Tony	LDC95S24
Fransen, Jeroen	LDC95S24
Pye, David	LDC95S24
Foote, Jonathan	LDC95S24
Renals, Steve	LDC95S24
Woodland, Phil	LDC95S24
Young, Steve	LDC95S24
Allen, James	LDC95S25
Heeman, Peter A.	LDC95S25
Dahl, Deborah A.	LDC95S26
Bates, Madeleine	LDC95S26
Brown, Michael	LDC95S26
Fisher, William	LDC95S26
Hunicke-Smith, Kate	LDC95S26
Pallett, David	LDC95S26
Pao, Christing	LDC95S26
Rudnicky, Alexander	LDC95S26
Shriberg, Elizabeth	LDC95S26
Garofolo, John S.	LDC95S26
Fiscus, Jonathan G.	LDC95S26
Danielson, Denise	LDC95S26
Bocchieri, Enrico	LDC95S26
Buntschuh, Bruce	LDC95S26
Schwartz, Beverly	LDC95S26
Peters, Sandra	LDC95S26
Ingria, Robert	LDC95S26
Weide, Robert	LDC95S26
Chang, Yuzong	LDC95S26
Thayer, Eric	LDC95S26
Hirschman, Lynette	LDC95S26
Polifroni, Joe	LDC95S26
Lund, Bruce	LDC95S26
Kawai, Goh	LDC95S26
Kuhn, Tom	LDC95S26
Norton, Lew	LDC95S26
Pitrelli, John F.	LDC95S27
Fong, Cynthia	LDC95S27
Bernstein, Jared	LDC95S28
Grundy, Bill	LDC95S28
Rosenfeld, Elizabeth	LDC95S28
Najmi, Amir	LDC95S28
Mankoski, Psi	LDC95S28
Graff, David	LDC95T11
Wu, Zhibiao	LDC95T13
Roukos, Salim	LDC95T20
Graff, David	LDC95T20
Melamed, Dan	LDC95T20
Graff, David	LDC95T21
Graff, David	LDC95T6
Rosenfeld, Roni	LDC95T6
Paul, Doug	LDC95T6
Marcus, Mitchell P.	LDC95T7
Santorini, Beatrice	LDC95T7
Marcinkiewicz, Mary Ann	LDC95T7
Graff, David	LDC95T8
Wu, Zhibiao	LDC95T8
Graff, David	LDC95T9
Gallegos, Gustavo	LDC95T9
Baayen, R.H.	LDC96L14
Piepenbrock, R.	LDC96L14
Gulikers, L.	LDC96L14
Huang, Shudong	LDC96L15
Bian, Xuejun	LDC96L15
Wu, Grace	LDC96L15
McLemore, Cynthia	LDC96L15
Garrett, Susan	LDC96L16
Morton, Tom	LDC96L16
McLemore, Cynthia	LDC96L16
Kobayashi, Megumi	LDC96L17
Crist, Sean	LDC96L17
Kaneko, Masayo	LDC96L17
McLemore, Cynthia	LDC96L17
Graff, David	LDC96S29
Walker, Kevin	LDC96S29
Miller, David	LDC96S29
George, E. Bryan	LDC96S30
Brown, Kathy L.	LDC96S30
Birnbaum, Martha	LDC96S30
Macon, Michael	LDC96S30
Garofolo, John S.	LDC96S31
Fiscus, Jonathan G.	LDC96S31
Fisher, William	LDC96S31
Pallett, David	LDC96S31
Garofolo, John S.	LDC96S32
Lamel, Lori F.	LDC96S32
Fisher, William M.	LDC96S32
Fiscus, Jonathan G.	LDC96S32
Pallett, David S.	LDC96S32
Dahlgren, Nancy L.	LDC96S32
Zue, Victor	LDC96S32
Fiscus, Jonathan G.	LDC96S33
Garofolo, John S.	LDC96S33
Pallett, David	LDC96S33
Canavan, Alexandra	LDC96S34
Zipperlen, George	LDC96S34
Canavan, Alexandra	LDC96S35
Zipperlen, George	LDC96S35
Ostendorf, Mari	LDC96S36
Price, Patti	LDC96S36
Shattuck-Hufnagel, Stefanie	LDC96S36
Canavan, Alexandra	LDC96S37
Zipperlen, George	LDC96S37
Taylor, Martin	LDC96S38
Bard, Ellen Gurman	LDC96S38
Sotillo, Cathy	LDC96S38
McKelvie, David	LDC96S38
Anderson, Anne	LDC96S38
Flanagan, James	LDC96S40
Muthusamy, Yeshwant K.	LDC96S41
Godfrey, John J.	LDC94S14D
Canavan, Alexandra	LDC96S46
Zipperlen, George	LDC96S46
Canavan, Alexandra	LDC96S47
Zipperlen, George	LDC96S47
Canavan, Alexandra	LDC96S48
Zipperlen, George	LDC96S48
Canavan, Alexandra	LDC96S49
Zipperlen, George	LDC96S49
Canavan, Alexandra	LDC96S50
Zipperlen, George	LDC96S50
Canavan, Alexandra	LDC96S51
Zipperlen, George	LDC96S51
Canavan, Alexandra	LDC96S52
Zipperlen, George	LDC96S52
Canavan, Alexandra	LDC96S53
Zipperlen, George	LDC96S53
Canavan, Alexandra	LDC96S54
Zipperlen, George	LDC96S54
Canavan, Alexandra	LDC96S55
Zipperlen, George	LDC96S55
Canavan, Alexandra	LDC96S56
Zipperlen, George	LDC96S56
Canavan, Alexandra	LDC96S57
Zipperlen, George	LDC96S57
Canavan, Alexandra	LDC96S58
Zipperlen, George	LDC96S58
Canavan, Alexandra	LDC96S59
Zipperlen, George	LDC96S59
Canavan, Alexandra	LDC96S60
Zipperlen, George	LDC96S60
Przybocki, Mark	LDC96S61
Martin, Alvin	LDC96S61
Hamaker, Jonathan	LDC96S64
Duncan, Richard J.	LDC96S64
Picone, Joe	LDC96S64
Itahashi, Shuichi	LDC96S64
Japan Electronic Industry Development Association (JEIDA)	LDC96S64
Hamaker, Jonathan	LDC96S64-1
Duncan, Richard J.	LDC96S64-1
Picone, Joe	LDC96S64-1
Itahashi, Shuichi	LDC96S64-1
Japan Electronic Industry Development Association (JEIDA)	LDC96S64-1
Hamaker, Jonathan	LDC96S64-2
Duncan, Richard J.	LDC96S64-2
Picone, Joe	LDC96S64-2
Itahashi, Shuichi	LDC96S64-2
Japan Electronic Industry Development Association (JEIDA)	LDC96S64-2
Hamaker, Jonathan	LDC96S64-3
Duncan, Richard J.	LDC96S64-3
Picone, Joe	LDC96S64-3
Itahashi, Shuichi	LDC96S64-3
Japan Electronic Industry Development Association (JEIDA)	LDC96S64-3
Hamaker, Jonathan	LDC96S64-4
Duncan, Richard J.	LDC96S64-4
Picone, Joe	LDC96S64-4
Itahashi, Shuichi	LDC96S64-4
Japan Electronic Industry Development Association (JEIDA)	LDC96S64-4
Hamaker, Jonathan	LDC96S64-5
Duncan, Richard J.	LDC96S64-5
Picone, Joe	LDC96S64-5
Itahashi, Shuichi	LDC96S64-5
Japan Electronic Industry Development Association (JEIDA)	LDC96S64-5
Hamaker, Jonathan	LDC96S65
Duncan, Richard J.	LDC96S65
Picone, Joe	LDC96S65
Itahashi, Shuichi	LDC96S65
Japan Electronic Industry Development Association (JEIDA)	LDC96S65
NIST Multimodal Information Group	LDC2013T07
Hamaker, Jonathan	LDC96S65-1
Duncan, Richard J.	LDC96S65-1
Picone, Joe	LDC96S65-1
Itahashi, Shuichi	LDC96S65-1
Japan Electronic Industry Development Association (JEIDA)	LDC96S65-1
Hamaker, Jonathan	LDC96S65-2
Duncan, Richard J.	LDC96S65-2
Picone, Joe	LDC96S65-2
Itahashi, Shuichi	LDC96S65-2
Japan Electronic Industry Development Association (JEIDA)	LDC96S65-2
Hamaker, Jonathan	LDC96S65-3
Duncan, Richard J.	LDC96S65-3
Picone, Joe	LDC96S65-3
Itahashi, Shuichi	LDC96S65-3
Japan Electronic Industry Development Association (JEIDA)	LDC96S65-3
Hamaker, Jonathan	LDC96S65-4
Duncan, Richard J.	LDC96S65-4
Picone, Joe	LDC96S65-4
Itahashi, Shuichi	LDC96S65-4
Japan Electronic Industry Development Association (JEIDA)	LDC96S65-4
Hamaker, Jonathan	LDC96S65-5
Duncan, Richard J.	LDC96S65-5
Picone, Joe	LDC96S65-5
Itahashi, Shuichi	LDC96S65-5
Japan Electronic Industry Development Association (JEIDA)	LDC96S65-5
Chinchor, Nancy	LDC96T10
Sundheim, Beth	LDC96T10
Macleod, Catherine	LDC96T11
Meyers, Adam	LDC96T11
Grishman, Ralph	LDC96T11
Wheatley, Barbara	LDC96T16
Wheatley, Barbara	LDC96T17
Wheatley, Barbara	LDC96T18
Kaneko, Masayo	LDC96T18
Kobayashi, Megumi	LDC96T18
Karins, Krisjanis	LDC97L18
MacIntyre, Robert	LDC97L18
Brandmair, Monika	LDC97L18
Lauscher, Susanne	LDC97L18
McLemore, Cynthia	LDC97L18
Kingsbury, Paul	LDC97L20
Strassel, Stephanie	LDC97L20
McLemore, Cynthia	LDC97L20
MacIntyre, Robert	LDC97L20
Canavan, Alexandra	LDC97S42
Graff, David	LDC97S42
Zipperlen, George	LDC97S42
Canavan, Alexandra	LDC97S43
Graff, David	LDC97S43
Zipperlen, George	LDC97S43
Graff, David	LDC97S44
Garofolo, John S.	LDC97S44
Fiscus, Jonathan G.	LDC97S44
Fisher, William	LDC97S44
Pallett, David	LDC97S44
Canavan, Alexandra	LDC97S45
Zipperlen, George	LDC97S45
Graff, David	LDC97S45
Godfrey, John J.	LDC97S62
Holliman, Edward	LDC97S62
Eskenazi, Maxine	LDC97S63
Mostow, Jack	LDC97S63
Graff, David	LDC97S63
Graff, David	LDC97S66
Alabiso, Jennifer	LDC97S66
Fiscus, Jonathan G.	LDC97S66
Garofolo, John S.	LDC97S66
Fisher, William	LDC97S66
Pallett, David	LDC97S66
Ng, Hwee Tou 	LDC97T12
Lee, Hian Beng	LDC97T12
Kingsbury, Paul	LDC97T14
Strassel, Stephanie	LDC97T14
McLemore, Cynthia	LDC97T14
McIntyre, Robert	LDC97T14
Karins, Krisjanis	LDC97T15
MacIntyre, Robert	LDC97T15
Brandmair, Monika	LDC97T15
Lauscher, Susanne	LDC97T15
McLemore, Cynthia	LDC97T15
Gadalla, Hassan	LDC97T19
Kilany, Hanaa	LDC97T19
Arram, Howaida	LDC97T19
Yacoub, Ashraf	LDC97T19
El-Habashi, Alaa	LDC97T19
Shalaby, Amr	LDC97T19
Karins, Krisjanis	LDC97T19
Rowson, Everett	LDC97T19
MacIntyre, Robert	LDC97T19
Kingsbury, Paul	LDC97T19
Graff, David	LDC97T19
McLemore, Cynthia	LDC97T19
Graff, David	LDC97T22
Alabiso, Jennifer	LDC97T22
Macleod, Catherine	LDC98L21
Meyers, Adam	LDC98L21
Grishman, Ralph	LDC98L21
Reynolds, Douglas	LDC98S67
Reynolds, Douglas	LDC98S68
Fiscus, Jonathan G.	LDC98S71
Garofolo, John S.	LDC98S71
Przybocki, Mark	LDC98S71
Fisher, William	LDC98S71
Pallett, David	LDC98S71
Duanmu, San	LDC98S72
Wakefield, Gregory H.	LDC98S72
Hsu, Yi-ping	LDC98S72
Qui, Shan-ping	LDC98S72
Guevara, Rowena Cristina	LDC98S72
Huang, Shudong	LDC98S73
Liu, Jing	LDC98S73
Wu, Xuling	LDC98S73
Wu, Lei	LDC98S73
Yan, Yongmin	LDC98S73
Qin, Zhoakai	LDC98S73
Linguistic Data Consortium	LDC98S74
Graff, David	LDC98S75
Canavan, Alexandra	LDC98S75
Zipperlen, George	LDC98S75
Przybocki, Mark	LDC98S76
Martin, Alvin	LDC98S76
Padmanabhan, M.	LDC98S77
Ramaswamy, G.	LDC98S77
Ramabhadran, B.	LDC98S77
Gopalakrishnan, P.S.	LDC98S77
Dunn, C.	LDC98S77
Huang, Shudong	LDC98T24
Liu, Jing	LDC98T24
Wu, Xuling	LDC98T24
Wu, Lei	LDC98T24
Yan, Yongmin	LDC98T24
Qin, Zhoakai	LDC98T24
Allan, James	LDC98T25
Yang, Yiming	LDC98T25
Carbonell, Jaime	LDC98T25
Yamron, Jon	LDC98T25
Doddington, George R.	LDC98T25
Wayne, Charles	LDC98T25
Huang, Shudong	LDC98T26
Graff, David	LDC98T26
McIntyre, Robert	LDC98T26
Munoz, Elisa	LDC98T27
Alabiso, Jennifer	LDC98T27
MacIntyre, Robert	LDC98T27
Graff, David	LDC98T27
Alabiso, Jennifer	LDC98T28
MacIntyre, Robert	LDC98T28
Graff, David	LDC98T28
Munoz, Elisa	LDC98T29
Alabiso, Jennifer	LDC98T29
Graff, David	LDC98T29
MacIntyre, Robert	LDC98T30
MacIntyre, Robert	LDC98T31
Canavan, Alexandra	LDC98T32
Morgovsky, Paul	LDC98T32
Kilany, Hanaa	LDC99L22
Gadalla, H.	LDC99L22
Arram, Howaida	LDC99L22
Yacoub, A.	LDC99L22
El-Habashi, Alaa	LDC99L22
McLemore, C.	LDC99L22
Seidl-Friedman, Amanda Hallie	LDC99L23
Kobayashi, Masato	LDC99L23
Cieri, Christopher	LDC99L23
Hansen, John H.L.	LDC99S78
Graff, David	LDC99S79
Walker, Kevin	LDC99S79
Canavan, Alexandra	LDC99S79
Przybocki, Mark	LDC99S80
Martin, Alvin	LDC99S80
Przybocki, Mark	LDC99S81
Martin, Alvin	LDC99S81
Canavan, Alexandra	LDC99S82
Miller, David	LDC99S82
Morgovsky, Paul	LDC99S82
Graff, David	LDC99S83
Reynolds, Douglas	LDC99S83
O'Leary, Gerald C.	LDC99S83
Morgan, John	LDC2006S37
Graff, David	LDC99S84
Hansen, John H.L.	LDC99T33
Kobayashi, Masato	LDC99T34
Walker, Kevin	LDC99T34
Canavan, Alexandra	LDC99T36
Miller, David	LDC99T36
Wright, Jonathan	LDC99T40
Graff, David	LDC99T40
Graff, David	LDC99T41
Gallegos, Gustavo	LDC99T41
Marcus, Mitchell P.	LDC99T42
Santorini, Beatrice	LDC99T42
Marcinkiewicz, Mary Ann	LDC99T42
Taylor, Ann	LDC99T42
Lander, T.	LDC2007S08
Noel, Mike	LDC2007S05
Yang, Yingchun	LDC2007S09
Wu, Zhaohui	LDC2007S09
Wu, Tian	LDC2007S09
Li, Dongdong	LDC2007S09
Fiscus, Jonathan G.	LDC2007S10
Doddington, George R.	LDC2007S10
Le, Audrey	LDC2007S10
Sanders, Greg	LDC2007S10
Przybocki, Mark	LDC2007S10
Pallett, David	LDC2007S10
Clopper, Cynthia G.	LDC2007S15
Pisoni, David B.	LDC2007S15
Maamouri, Mohamed	LDC2005T20
Bies, Ann	LDC2005T20
Buckwalter, Tim	LDC2005T20
Jin, Hubert	LDC2005T20
Mekki, Wigdan	LDC2005T20
Weischedel, Ralph	LDC2005T33
Brunstein, Ada	LDC2005T33
Maamouri, Mohamed	LDC2005S14
Buckwalter, Tim	LDC2005S14
Jin, Hubert	LDC2005S14
Fung, Pascale	LDC2005T32
Huang, Shudong	LDC2005T32
Graff, David	LDC2005T32
Noel, Mike	LDC2007S13
Lee, Haejoong	LDC2005S16
Strassel, Stephanie	LDC2005S16
Walker, Christopher	LDC2005T24
Strassel, Stephanie	LDC2005T24
Shriberg, Elizabeth	LDC2005T24
Liu, Yang	LDC2005T24
Ang, Jeremy	LDC2005T24
Lee, Haejoong	LDC2005T24
Kong, Junbo	LDC2005T28
Graff, David	LDC2005T28
Maeda, Kazuaki	LDC2005T28
Strassel, Stephanie	LDC2005T28
Glenn, Meghan	LDC2006T19
Strassel, Stephanie	LDC2006T19
Kong, Junbo	LDC2006T19
Maeda, Kazuaki	LDC2006T19
Wright, Jonathan	LDC2005S22
Maamouri, Mohamed	LDC2005T30
Bies, Ann	LDC2005T30
Buckwalter, Tim	LDC2005T30
Jin, Hubert	LDC2005T30
Mekki, Wigdan	LDC2005T30
LaRocca, Stephen A.	LDC2005S28
Tomei, Christine	LDC2005S28
Sokolich, Milan	LDC2005S28
Palmer, Martha	LDC2005T23
Xue, Nianwen	LDC2005T23
Jiang, Zixin	LDC2005T23
Chang, Meiyu	LDC2005T23
Morgan, John	LDC2005S30
LaRocca, Stephen	LDC2005S30
Bellinger, Sherri	LDC2005S30
Ruscelli, Charles (Chip)	LDC2005S30
Huang, Shudong	LDC2005T34
Lander, T.	LDC2005S26
Graff, David	LDC2006T02
Chen, Ke	LDC2006T02
Kong, Junbo	LDC2006T02
Maeda, Kazuaki	LDC2006T02
Graff, David	LDC2006T12
Bies, Ann	LDC2006T10
Reppen, Randi	LDC2005T35
Ide, Nancy	LDC2005T35
Suderman, Keith	LDC2005T35
Palmer, Martha	LDC2006T03
Ryu, Shijong	LDC2006T03
Choi, Jinyoung	LDC2006T03
Yoon, Sinwon	LDC2006T03
Jeon, Yeongmi	LDC2006T03
Ma, Xiaoyi	LDC2006T04
Kain, Alexander	LDC2006S01
Walker, Christopher	LDC2006T06
Strassel, Stephanie	LDC2006T06
Medero, Julie	LDC2006T06
Maeda, Kazuaki	LDC2006T06
Pustejovsky, James	LDC2006T08
Verhagen, Marc	LDC2006T08
Sauri, Roser	LDC2006T08
Littman, Jessica	LDC2006T08
Gaizauskas, Robert	LDC2006T08
Katz, Graham	LDC2006T08
Mani, Inderjeet	LDC2006T08
Knippen, Robert	LDC2006T08
Setzer, Andrea	LDC2006T08
Maamouri, Mohamed	LDC2006S29
Buckwalter, Tim	LDC2006S29
Graff, David	LDC2006S29
Jin, Hubert	LDC2006S29
Maamouri, Mohamed	LDC2006T07
Buckwalter, Tim	LDC2006T07
Graff, David	LDC2006T07
Jin, Hubert	LDC2006T07
Cieri, Christopher	LDC2006S30
Miller, David	LDC2006S30
Martey, Nii O.	LDC2006S30
Maeda, Kazuaki	LDC2006S30
Han, Na-Rae	LDC2006T09
Ryu, Shijong	LDC2006T09
Chae, Sook-Hee	LDC2006T09
Yang, Seung-yun	LDC2006T09
Lee, Seunghun	LDC2006T09
Palmer, Martha	LDC2006T09
Cole, Ronald Allan	LDC2006S15
Fanty, Mark	LDC2006S15
Roginski, K.	LDC2006S15
CSLU	LDC2006S26
Schiffman, Harold	LDC2008L01
Renganathan, Vasu	LDC2008L01
Raev, Anrey	LDC2006S34
Koval, Serguei	LDC2006S34
Smirnova, Natalia	LDC2006S34
Khitrova, Daria	LDC2006S34
Stepanov, Vitaly	LDC2006S34
Morgan, John	LDC2006S36
Muthusamy, Yeshwant	LDC2006S35
Cole, Ronald Allan	LDC2006S35
Oshika, Beatrice	LDC2006S35
Grieco, John	LDC2006S13
Benarousse, Laurent	LDC2006S13
Geoffrois, Edouard	LDC2006S13
Series, Robert	LDC2006S13
Steeneken, Herman	LDC2006S13
Stumpf, Hans	LDC2006S13
Swail, Carl	LDC2006S13
Thiel, Dieter	LDC2006S13
Martin, Alvin	LDC2006S31
Pryzbocki, Mark	LDC2006S31
Salor, Ozgul	LDC2006S33
Ciloglu, Tolga	LDC2006S33
Pellom, Bryan	LDC2006S33
Demirekler, Mubeccel	LDC2006S33
Fung, Pascale	LDC2005S15
Huang, Shudong	LDC2005S15
Graff, David	LDC2005S15
Appen Pty Ltd, Sydney, Australia	LDC2007S01
Appen Pty Ltd, Sydney, Australia	LDC2007T01
Bies, Ann	LDC2007T02
Palmer, Martha	LDC2007T02
Mott, Justin	LDC2007T02
Warner, Colin	LDC2007T02
Huang, Chu-Ren	LDC2007T03
Schramm, Mauricio C.	LDC2006S16
Freitas, Luis Felipe R.	LDC2006S16
Zanuz, Adriano	LDC2006S16
Barone, Dante	LDC2006S16
Hladká, Barbora Vidová	LDC2008T22
Hajič, Jan	LDC2008T22
Hana, Jiří	LDC2008T22
Hlaváčová, Jaroslava	LDC2008T22
Mírovský, Jiří	LDC2008T22
Raab, Jan	LDC2008T22
Strassel, Stephanie	LDC2006S42
Martey, Nii	LDC2006S42
Graff, David	LDC2006S42
Brants, Thorsten	LDC2006T13
Franz, Alex	LDC2006T13
Strassel, Stephanie	LDC2006T14
Martey, Nii	LDC2006T14
Graff, David	LDC2006T14
Appen Pty Ltd, Sydney, Australia	LDC2006S43
Martin, Alvin	LDC2006S44
Przybocki, Mark	LDC2006S44
Appen Pty Ltd, Sydney, Australia	LDC2006S45
Appen Pty Ltd, Sydney, Australia	LDC2006T16
Graff, David	LDC2006T17
Maamouri, Mohamed	LDC2007S02
Buckwalter, Tim	LDC2007S02
Graff, David	LDC2007S02
Jin, Hubert	LDC2007S02
Maamouri, Mohamed	LDC2007T04
Buckwalter, Tim	LDC2007T04
Graff, David	LDC2007T04
Jin, Hubert (author)	LDC2007T04
Appen Pty Ltd, Sydney, Australia	LDC2007S03
Graff, David	LDC2007T07
Kong, Junbo	LDC2007T07
Chen, Ke	LDC2007T07
Maeda, Kazuaki	LDC2007T07
Graff, David	LDC2006T18
Kong, Junbo	LDC2006T18
Maeda, Kazuaki	LDC2006T18
Strassel, Stephanie	LDC2006T18
Maamouri, Mohamed	LDC2006S46
Graff, David	LDC2006S46
Cieri, Christopher	LDC2006S46
Maamouri, Mohamed	LDC2006T20
Graff, David	LDC2006T20
Cieri, Christopher	LDC2006T20
Munteanu, Dragos Stefan	LDC2007T08
Marcu, Daniel	LDC2007T08
Munteanu, Dragos Stefan	LDC2007T09
Marcu, Daniel	LDC2007T09
Doran, Christine	LDC2007T19
Henderson, John	LDC2007T19
Palmer, Justin	LDC2007T19
Yeh, Alex	LDC2007T19
Wilkins, Peter	LDC2007V01
Petersohn, Christian	LDC2007V01
Walker, Kevin	LDC2007V01
Berry, Michael W.	LDC2007T22
Browne, Murray	LDC2007T22
Signer, Ben	LDC2007T22
Babko-Malaya, Olga	LDC2007T20
Song, Zhiyi	LDC2007T20
Zakhary, Ramez	LDC2007T20
Medero, Julie	LDC2007T20
Maeda, Kazuaki	LDC2007T20
Strassel, Stephanie	LDC2007T20
Quenot, Georges	LDC2007V02
Over, Paul	LDC2007V02
Walker, Kevin	LDC2007V02
Weischedel, Ralph	LDC2007T21
Pradhan, Sameer	LDC2007T21
Ramshaw, Lance	LDC2007T21
Micciulla, Linnea	LDC2007T21
Palmer, Martha	LDC2007T21
Xue, Nianwen	LDC2007T21
Marcus, Mitchell	LDC2007T21
Taylor, Ann	LDC2007T21
Babko-Malaya, Olga	LDC2007T21
Hovy, Eduard	LDC2007T21
Belvin, Robert	LDC2007T21
Houston, Ann	LDC2007T21
Fiscus, Jonathan G.	LDC2007S11
Garofolo, John S.	LDC2007S11
Le, Audrey	LDC2007S11
Martin, Alvin	LDC2007S11
Sanders, Greg	LDC2007S11
Przybocki, Mark	LDC2007S11
Pallett, David	LDC2007S11
Fiscus, Jonathan G.	LDC2007S12
Garofolo, John S.	LDC2007S12
Le, Audrey	LDC2007S12
Martin, Alvin	LDC2007S12
Sanders, Greg	LDC2007S12
Przybocki, Mark	LDC2007S12
Pallett, David	LDC2007S12
Palmer, Martha	LDC2007T36
Xue, Nianwen	LDC2007T36
Xia, Fei	LDC2007T36
Chiou, Fu-Dong	LDC2007T36
Jiang, Zixin	LDC2007T36
Chang, Meiyu	LDC2007T36
Ma, Xiaoyi	LDC2007T23
Strassel, Stephanie	LDC2007T23
Han, Na-Rae	LDC2003S07
Ko, Eon-Suk	LDC2003S07
Graff, David	LDC2003S07
Strassel, Stephanie	LDC2003S07
Martey, Nii	LDC2003S07
Kim, Myeonchul	LDC2003S07
Canavan, Alexandra	LDC2003S07
Zipperlen, George	LDC2003S07
Graff, David	LDC2007T38
Shobaki, Khaldoun	LDC2007S18
Hosom, John-Paul	LDC2007S18
Cole, Ronald Allan	LDC2007S18
Graff, David	LDC2007T40
Varga, Dániel	LDC2008T01
Németh, László	LDC2008T01
Halácsy, Péter	LDC2008T01
Kornai, András	LDC2008T01
Ma, Xiaoyi	LDC2008T02
Zakhary, Dalal	LDC2008T02
Strassel, Stephanie	LDC2008T02
Mani, Inderjeet	LDC2008T03
Hitzeman, Janet	LDC2008T03
Richer, Justin	LDC2008T03
Harris, David	LDC2008T03
Cole, Ronald Allan	LDC2008S01
Fanty, Mark	LDC2008S01
Noel, M.	LDC2008S01
Lander, T.	LDC2008S01
Cole, Ronald Allan	LDC2008S02
Noel, M.	LDC2008S02
Lander, T.	LDC2008S02
Durham, T.	LDC2008S02
Weischedel, Ralph	LDC2008T04
Pradhan, Sameer	LDC2008T04
Ramshaw, Lance	LDC2008T04
Palmer, Martha	LDC2008T04
Xue, Nianwen	LDC2008T04
Marcus, Mitchell	LDC2008T04
Taylor, Ann	LDC2008T04
Greenberg, Craig	LDC2008T04
Hovy, Eduard	LDC2008T04
Belvin, Robert	LDC2008T04
Houston, Ann	LDC2008T04
Prasad, Rashmi	LDC2008T05
Lee, Alan	LDC2008T05
Dinesh, Nikhil	LDC2008T05
Miltsakaki, Eleni	LDC2008T05
Campion, Geraud	LDC2008T05
Joshi, Aravind	LDC2008T05
Webber, Bonnie	LDC2008T05
Morales, Nicolas	LDC2008S03
Ma, Xiaoyi	LDC2008T06
Strassel, Stephanie	LDC2008T06
Maamouri, Mohamed	LDC2010T08
Bies, Ann	LDC2010T08
Kulick, Seth	LDC2010T08
Krouna, Sondos	LDC2010T08
Gaddeche, Fatma	LDC2010T08
Zaghouani, Wajdi	LDC2010T08
Bhattacharyya, Pushpak	LDC2008L02
Pande, Prabhakar	LDC2008L02
Lupu, Laxmi	LDC2008L02
Xue, Nianwen	LDC2008T07
Palmer, Martha	LDC2008T07
Chang, Meiyu	LDC2008T07
Jiang, Zixin	LDC2008T07
Morgan, John	LDC2008S04
Ackerlind, Sheila	LDC2008S04
Packer, Sterling	LDC2008S04
Ma, Xiaoyi	LDC2008T08
Strassel, Stephanie	LDC2008T08
Ma, Xiaoyi	LDC2008T09
Zakhary, Dalal	LDC2008T09
Strassel, Stephanie	LDC2008T09
Le, Audrey	LDC2008S05
Martin, Alvin	LDC2008S05
Hadfield, Hannah	LDC2008S05
de Villiers, Jacques	LDC2008S05
Hosom, John-Paul	LDC2008S05
van Santen, Jan	LDC2008S05
Cole, Ronald Allan	LDC2008S06
Noel, M.	LDC2008S06
Lander, T.	LDC2008S06
Durham, T.	LDC2008S06
Awoyale, Yiwola	LDC2008L03
Liberman, Mark	LDC2008T20
Mandel, Mark	LDC2008T20
GlaxoSmithKline Pharmaceuticals R&D	LDC2008T20
McClosky, David	LDC2008T13
Charniak, Eugene	LDC2008T13
Johnson, Mark	LDC2008T13
McClosky, David	LDC2008T14
Charniak, Eugene	LDC2008T14
Johnson, Mark	LDC2008T14
Graff, David	LDC2008T15
Graff, David	LDC2008T16
McEnery, Tony	LDC2008T17
Xiao, Richard	LDC2008T17
Ma, Xiaoyi	LDC2008T18
Strassel, Stephanie	LDC2008T18
Cole, Ronald Allan	LDC2008S07
Muthusamy, Y.	LDC2008S07
Fanty, Mark	LDC2008S07
Sandhaus, Evan	LDC2008T19
Liberman, Mark	LDC2008T21
Mandel, Mark	LDC2008T21
White, Peter	LDC2008T21
Meyers, Adam	LDC2008T23
Reeves, Ruth	LDC2008T23
Macleod, Catherine	LDC2008T23
Meyers, Adam	LDC2008T24
Reeves, Ruth	LDC2008T24
Macleod, Catherine	LDC2008T24
Vorhees, Ellen	LDC2008T25
Graff, David	LDC2008T25
Castelletto, Anthony	LDC2008S08
Cole, Ronald Allan	LDC2009S01
Noel, M.	LDC2009S01
Lander, T.	LDC2009S01
Durham, T.	LDC2009S01
Cummins, Fred	LDC2008S09
Grimaldi, Marco	LDC2008S09
Leonard, Thomas	LDC2008S09
Simko, Juraj	LDC2008S09
Ma, Xiaoyi	LDC2009T09
Zakhary, Dalal	LDC2009T09
Strassel, Stephanie	LDC2009T09
Bies, Ann	LDC2009T01
Lee, Haejoong	LDC2009T01
Strassel, Stephanie	LDC2009T01
Walker, Christopher	LDC2009T01
Ma, Xiaoyi	LDC2009T02
Strassel, Stephanie	LDC2009T02
Richie, Carolyn	LDC2009V01
Warburton, Sarah	LDC2009V01
Carter, Megan	LDC2009V01
Ma, Xiaoyi	LDC2009T03
Zakhary, Dalal	LDC2009T03
Strassel, Stephanie	LDC2009T03
Hsu, Wen-Lian	LDC2009T04
Przybocki, Mark	LDC2009T05
Peterson, Kay	LDC2009T05
Bronsart, Sébastien	LDC2009T05
Kudo, Taku	LDC2009T08
Kazawa, Hideto	LDC2009T08
Ma, Xiaoyi	LDC2009T06
Strassel, Stephanie	LDC2009T06
Linguistic Data Consortium	LDC2009T07
Diab, Mona	LDC2009T10
Dorr, Bonnie	LDC2009T10
Levin, Lori	LDC2009T10
Mitamura, Teruko	LDC2009T10
Passonneau, Rebecca	LDC2009T10
Rambow, Owen	LDC2009T10
Ramshaw, Lance	LDC2009T10
Walker, Christopher	LDC2009T11
