olac - dc:contributor	olac - dc:identifier
Xue, Nianwen	LDC2001T11
Chiou, Fu-Dong	LDC2001T11
Graff, David	LDC2001T14
Walker, Kevin	LDC2001T14
Miller, David	LDC2001T14
Graff, David	LDC2001T55
Walker, Kevin	LDC2001T55
Liberman, Mark	LDC2001T57
Alabiso, Jennifer	LDC2001T57
Graff, David	LDC2001T57
Cieri, Christopher	LDC2001T57
Wayne, Charles	LDC2001T57
Doddington, George R.	LDC2001T57
Fiscus, Jonathan G.	LDC2001T57
Graff, David	LDC2001T58
Cieri, Christopher	LDC2001T58
Strassel, Stephanie	LDC2001T58
Fox, Michelle A.	LDC2001T60
Waibel, Alex	LDC2001T61
Lavie, Alon	LDC2001T61
Levin, Lori	LDC2001T61
Ries, Klaus	LDC2001T61
Valle-Argueta, Liza	LDC2001T61
Santos, Diana	LDC2001T62
Rocha, Paulo	LDC2001T62
Huang, Shudong	LDC2002L27
Graff, David	LDC2002L27
Buckwalter, Tim	LDC2002L49
LaRocca, Stephen A.	LDC2002S02
Chouairi, Rajaa	LDC2002S02
Kipp, A.	LDC2002S04
Lamel, L.	LDC2002S04
Mariani, J.	LDC2002S04
Schiel, F.	LDC2002S04
Graff, David	LDC2002S06
Miller, David	LDC2002S06
Walker, Kevin	LDC2002S06
Linguistic Data Consortium	LDC2002S09
Graff, David	LDC2002S10
Martin, Alvin	LDC2002S10
Miller, David	LDC2002S10
Graff, David	LDC2002S11
Fiscus, Jonathan G.	LDC2002S11
Garofolo, John S.	LDC2002S11
Graff, David	LDC2002S12
Martin, Alvin	LDC2002S12
Miller, David	LDC2002S12
Przybocki, Mark	LDC2002S12
Walker, Kevin	LDC2002S12
Graff, David	LDC2002S13
Martin, Alvin	LDC2002S13
Miller, David	LDC2002S13
Przybocki, Mark	LDC2002S13
Walker, Kevin	LDC2002S13
Graff, David	LDC2002S22
Martin, Alvin	LDC2002S22
Miller, David	LDC2002S22
Przybocki, Mark	LDC2002S22
Walker, Kevin	LDC2002S22
NIST Multimodal Information Group	LDC2002S23
Liberman, Mark	LDC2002S28
Davis, Kelly	LDC2002S28
Grossman, Murray	LDC2002S28
Martey, Nii	LDC2002S28
Bell, John	LDC2002S28
Przybocki, Mark	LDC2002S34
Martin, Alvin	LDC2002S34
Padmanabhan, Mukund	LDC2002S35
Kingsbury, Brian	LDC2002S35
Ramabhadran, Bhuvana	LDC2002S35
Huang, Jing	LDC2002S35
Chen, Stanley	LDC2002S35
Saon, George	LDC2002S35
Mangu, Lidia	LDC2002S35
Walker, Marilyn	LDC2002S56
Aberdeen, John	LDC2002S56
Sanders, Gregory	LDC2002S56
Huang, Shudong	LDC2002T01
Graff, David	LDC2002T01
Doddington, George R.	LDC2002T01
Kipp, A.	LDC2002T03
Lamel, L.	LDC2002T03
Mariani, J.	LDC2002T03
Schiel, F.	LDC2002T03
Martey, N.	LDC2002T03
Miller, D.A.	LDC2002T03
Jones, K.T.	LDC2002T03
Dunn, S.	LDC2002T03
Markoff, R.	LDC2002T03
