olac	olac - dc:language	olac - dcterms:language	olac - dc:identifier
"
      "	English	eng	LDC2011V01
"
      "	English	eng	LDC2011V02
"
      "	English	eng	LDC2011T06
"
      "	English	eng	LDC2011V03
"
      "	Spanish	spa	LDC2011S01
"
      "	Russian	rus	LDC2011S01
"
      "	English	eng	LDC2011S01
"
      "	Mandarin Chinese	cmn	LDC2011S01
"
      "	Arabic	ara	LDC2011S01
"
      "	English	eng	LDC2011T07
"
      "	English	eng	LDC2011T08
"
      "	English	eng	LDC2011S02
"
      "	Mandarin Chinese	cmn	LDC2011S02
"
      "	Standard Arabic	arb	LDC2011S02
"
      "	Arabic	ara	LDC2011S02
"
      "	English	eng	LDC2011S03
"
      "	Mandarin Chinese	cmn	LDC2011S03
"
      "	Standard Arabic	arb	LDC2011S03
"
      "	Arabic	ara	LDC2011S03
"
      "	English	eng	LDC2011V04
"
      "	Spanish	spa	LDC2011S04
"
      "	Russian	rus	LDC2011S04
"
      "	English	eng	LDC2011S04
"
      "	Mandarin Chinese	cmn	LDC2011S04
"
      "	Arabic	ara	LDC2011S04
"
      "	Standard Arabic	arb	LDC2011T09
"
      "	Arabic	ara	LDC2011T09
"
      "	Yue Chinese	yue	LDC2011S07
"
      "	Wu Chinese	wuu	LDC2011S07
"
      "	Vietnamese	vie	LDC2011S07
"
      "	Uzbek	uzb	LDC2011S07
"
      "	Urdu	urd	LDC2011S07
"
      "	Tigrinya	tir	LDC2011S07
"
      "	Thai	tha	LDC2011S07
"
      "	Tagalog	tgl	LDC2011S07
"
      "	Spanish	spa	LDC2011S07
"
      "	Russian	rus	LDC2011S07
"
      "	Panjabi	pan	LDC2011S07
"
      "	Min Nan Chinese	nan	LDC2011S07
"
      "	Lao	lao	LDC2011S07
"
      "	Korean	kor	LDC2011S07
"
      "	Central Khmer	khm	LDC2011S07
"
      "	Georgian	kat	LDC2011S07
"
      "	Japanese	jpn	LDC2011S07
"
      "	Italian	ita	LDC2011S07
"
      "	Hindi	hin	LDC2011S07
"
      "	Persian	fas	LDC2011S07
"
      "	English	eng	LDC2011S07
"
      "	Mandarin Chinese	cmn	LDC2011S07
"
      "	Bengali	ben	LDC2011S07
"
      "	Egyptian Arabic	arz	LDC2011S07
"
      "	Moroccan Arabic	ary	LDC2011S07
"
      "	Northern Khmer	kxm	LDC2011S07
"
      "	Dari	prs	LDC2011S07
"
      "	Iranian Persian	pes	LDC2011S07
"
      "	Chinese	zho	LDC2011S07
"
      "	Arabic	ara	LDC2011S07
"
      "	English	eng	LDC2011V06
"
      "	French	fra	LDC2011T10
"
      "	English	eng	LDC2011V05
"
      "	Spanish	spa	LDC2012T01
"
      "	Yue Chinese	yue	LDC2011S08
"
      "	Wu Chinese	wuu	LDC2011S08
"
      "	Vietnamese	vie	LDC2011S08
"
      "	Uzbek	uzb	LDC2011S08
"
      "	Urdu	urd	LDC2011S08
"
      "	Thai	tha	LDC2011S08
"
      "	Tagalog	tgl	LDC2011S08
"
      "	Tamil	tam	LDC2011S08
"
      "	Russian	rus	LDC2011S08
"
      "	Panjabi	pan	LDC2011S08
"
      "	Min Nan Chinese	nan	LDC2011S08
"
      "	Lao	lao	LDC2011S08
"
      "	Korean	kor	LDC2011S08
"
      "	Japanese	jpn	LDC2011S08
"
      "	Italian	ita	LDC2011S08
"
      "	Hindi	hin	LDC2011S08
"
      "	Persian	fas	LDC2011S08
"
      "	Mandarin Chinese	cmn	LDC2011S08
"
      "	Bengali	ben	LDC2011S08
"
      "	Egyptian Arabic	arz	LDC2011S08
"
      "	Moroccan Arabic	ary	LDC2011S08
"
      "	Dari	prs	LDC2011S08
"
      "	Iranian Persian	pes	LDC2011S08
"
      "	English	eng	LDC2011S08
"
      "	Chinese	zho	LDC2011S08
"
      "	Arabic	ara	LDC2011S08
"
      "	Standard Arabic	arb	LDC2011T11
"
      "	Arabic	ara	LDC2011T11
"
      "	Spanish	spa	LDC2011T12
"
      "	Yue Chinese	yue	LDC2011S09
"
      "	Urdu	urd	LDC2011S09
"
      "	Thai	tha	LDC2011S09
"
      "	Russian	rus	LDC2011S09
"
      "	Korean	kor	LDC2011S09
"
      "	Hindi	hin	LDC2011S09
"
      "	English	eng	LDC2011S09
"
      "	Mandarin Chinese	cmn	LDC2011S09
"
      "	Bengali	ben	LDC2011S09
"
      "	Standard Arabic	arb	LDC2011S09
"
      "	Chinese	zho	LDC2011S09
"
      "	Arabic	ara	LDC2011S09
"
      "	Mandarin Chinese	cmn	LDC2011T13
"
      "	Yue Chinese	yue	LDC2011S10
"
      "	Urdu	urd	LDC2011S10
"
      "	Thai	tha	LDC2011S10
"
      "	Spanish	spa	LDC2011S10
"
      "	Russian	rus	LDC2011S10
"
      "	Korean	kor	LDC2011S10
"
      "	Hindi	hin	LDC2011S10
"
      "	Persian	fas	LDC2011S10
"
      "	English	eng	LDC2011S10
"
      "	Mandarin Chinese	cmn	LDC2011S10
"
      "	Bengali	ben	LDC2011S10
"
      "	Standard Arabic	arb	LDC2011S10
"
      "	Dari	prs	LDC2011S10
"
      "	Iranian Persian	pes	LDC2011S10
"
      "	Chinese	zho	LDC2011S10
"
      "	Arabic	ara	LDC2011S10
"
      "	English	eng	LDC2011S11
"
      "	English	eng	LDC2012S02
"
      "	English	eng	LDC2012S03
"
      "	Mal Paharia	mkb	LDC2012S04
"
      "	Sauria Paharia	mjt	LDC2012S04
"
      "	Kumarbhag Paharia	kmj	LDC2012S04
"
      "	English	eng	LDC2012T02
"
      "	English	eng	LDC2012S05
"
      "	English	eng	LDC2012V01
"
      "	Spanish	spa	LDC2012T03
"
      "	German	deu	LDC2012T03
"
      "	Czech	ces	LDC2012T03
"
      "	Catalan	cat	LDC2012T03
"
      "	English	eng	LDC2012T04
"
      "	Mandarin Chinese	cmn	LDC2012T04
"
      "	Chinese	zho	LDC2012T04
"
      "	Mandarin Chinese	cmn	LDC2012T05
"
      "	Chinese	zho	LDC2012T05
"
      "	English	eng	LDC2012T06
"
      "	Standard Arabic	arb	LDC2012T06
"
      "	Turkish	tur	LDC2012S06
"
      "	Standard Arabic	arb	LDC2012T07
"
      "	Arabic	ara	LDC2012T07
"
      "	English	eng	LDC2012T08
"
      "	Czech	ces	LDC2012T08
"
      "	English	eng	LDC2012T09
"
      "	Egyptian Arabic	arz	LDC2012T09
"
      "	North Levantine Arabic	apc	LDC2012T09
"
      "	South Levantine Arabic	ajp	LDC2012T09
"
      "	Catalan	cat	LDC2012T10
"
      "	English	eng	LDC2012T11
"
      "	Spanish	spa	LDC2012T12
"
      "	English	eng	LDC2012T13
"
      "	English	eng	LDC2012T14
"
      "	Standard Arabic	arb	LDC2012T14
"
      "	English	eng	LDC2012T16
"
      "	Mandarin Chinese	cmn	LDC2012T16
"
      "	Chinese	zho	LDC2012T16
"
      "	English	eng	LDC2014S03
"
      "	Arabic	ara	LDC2012T15
"
      "	French	fra	LDC2013L01
"
      "	English	eng	LDC2013L01
"
      "	Eastern Maninkakan	emk	LDC2013L01
"
      "	English	eng	LDC2012T17
"
      "	Standard Arabic	arb	LDC2012T17
"
      "	English	eng	LDC2012T18
"
      "	Standard Arabic	arb	LDC2012T18
"
      "	Standard Arabic	arb	LDC2013T04
"
      "	English	eng	LDC2013T01
"
      "	Standard Arabic	arb	LDC2013T01
"
      "	English	eng	LDC2012T20
"
      "	Mandarin Chinese	cmn	LDC2012T20
"
      "	Chinese	zho	LDC2012T20
"
      "	English	eng	LDC2013T05
"
      "	Mandarin Chinese	cmn	LDC2013T05
"
      "	Chinese	zho	LDC2013T05
"
      "	English	eng	LDC2013T03
"
      "	Mandarin Chinese	cmn	LDC2013T03
"
      "	Chinese	zho	LDC2013T03
"
      "	Standard Arabic	arb	LDC2013S02
"
      "	English	eng	LDC2012T21
"
      "	English	eng	LDC2012T24
"
      "	Mandarin Chinese	cmn	LDC2012T24
"
      "	Chinese	zho	LDC2012T24
"
      "	English	eng	LDC2012T22
"
      "	Mandarin Chinese	cmn	LDC2012T22
"
      "	Chinese	zho	LDC2012T22
"
      "	Russian	rus	LDC2012T23
"
      "	English	eng	LDC2012T23
"
      "	English	eng	LDC2013T02
"
      "	Mandarin Chinese	cmn	LDC2013T02
"
      "	Chinese	zho	LDC2013T02
"
      "	Spanish	spa	LDC2013T06
"
      "	Russian	rus	LDC2013T06
"
      "	French	fra	LDC2013T06
"
      "	English	eng	LDC2013T06
"
      "	Mandarin Chinese	cmn	LDC2013T06
"
      "	Arabic	ara	LDC2013T06
"
      "	Chinese	zho	LDC2013T06
"
      "	English	eng	LDC2013S03
"
      "	Mandarin Chinese	cmn	LDC2013T08
"
      "	Chinese	zho	LDC2013T08
"
      "	Mandarin Chinese	cmn	LDC2013S04
"
      "	Chinese	zho	LDC2013S04
"
      "	Arabic	ara	LDC2013T09
"
      "	English	eng	LDC2013T10
"
      "	Standard Arabic	arb	LDC2013T10
"
      "	Arabic	ara	LDC2013T10
"
      "	English	eng	LDC2013S05
"
      "	English	eng	LDC2013T11
"
      "	Mandarin Chinese	cmn	LDC2013T11
"
      "	Chinese	zho	LDC2013T11
"
      "	English	eng	LDC2013T12
"
      "	English	eng	LDC2013T16
"
      "	Mandarin Chinese	cmn	LDC2013T16
"
      "	Chinese	zho	LDC2013T16
"
      "	Arabic	ara	LDC2013T15
"
      "	Standard Arabic	arb	LDC2013S07
"
      "	Standard Arabic	arb	LDC2013T17
"
      "	English	eng	LDC2013T18
"
      "	Mandarin Chinese	cmn	LDC2013T20
"
      "	Chinese	zho	LDC2013T20
"
      "	Mandarin Chinese	cmn	LDC2013S08
"
      "	Chinese	zho	LDC2013S08
"
      "	English	eng	LDC2013T19
"
      "	Mandarin Chinese	cmn	LDC2013T19
"
      "	Arabic	ara	LDC2013T19
"
      "	Chinese	zho	LDC2013T19
"
      "	Iranian Persian	pes	LDC2014T01
"
      "	Iranian Persian	pes	LDC2014S01
"
      "	English	eng	LDC2014T03
"
      "	Standard Arabic	arb	LDC2014T03
"
      "	Arabic	ara	LDC2014T03
"
      "	Dari	prs	LDC2014T02
"
      "	Korean	kor	LDC2014T02
"
      "	Persian	fas	LDC2014T02
"
      "	English	eng	LDC2014T02
"
      "	Mandarin Chinese	cmn	LDC2014T02
"
      "	Arabic	ara	LDC2014T02
"
      "	Iranian Persian	pes	LDC2014T02
"
      "	Chinese	zho	LDC2014T02
"
      "	Arabic	ara	LDC2014S02
"
      "	English	eng	LDC2014T04
"
      "	Mandarin Chinese	cmn	LDC2014T04
"
      "	Chinese	zho	LDC2014T04
"
      "	English	eng	LDC2014T05
"
      "	Standard Arabic	arb	LDC2014T05
"
      "	Arabic	ara	LDC2014T05
"
      "	English	eng	LDC2014T06
"
      "	English	eng	LDC2014T07
"
      "	Czech	ces	LDC2014S04
"
      "	English	eng	LDC2014T08
"
      "	Standard Arabic	arb	LDC2014T08
"
      "	Arabic	ara	LDC2014T08
"
      "	English	eng	LDC2014T09
"
      "	Mandarin Chinese	cmn	LDC2014T09
"
      "	Arabic	ara	LDC2014T09
"
      "	Chinese	zho	LDC2014T09
"
      "	English	eng	LDC2014T10
"
      "	Standard Arabic	arb	LDC2014T10
"
      "	Arabic	ara	LDC2014T10
"
      "	Spanish	spa	LDC2014S05
"
      "	English	eng	LDC2014S05
"
      "	Mandarin Chinese	cmn	LDC2014T11
"
      "	English	eng	LDC2014T11
"
      "	Chinese	zho	LDC2014T11
"
      "	English	eng	LDC2014T12
"
      "	Mandarin Chinese	cmn	LDC2014T13
"
      "	Amharic	amh	LDC2014S06
"
      "	Haitian	hat	LDC2014S06
"
      "	English	eng	LDC2014S06
"
      "	French	fra	LDC2014S06
"
      "	Hindi	hin	LDC2014S06
"
      "	Spanish	spa	LDC2014S06
"
      "	Urdu	urd	LDC2014S06
"
      "	Bosnian	bos	LDC2014S06
"
      "	Croatian	hrv	LDC2014S06
"
      "	Georgian	kat	LDC2014S06
"
      "	Korean	kor	LDC2014S06
"
      "	Portuguese	por	LDC2014S06
"
      "	Turkish	tur	LDC2014S06
"
      "	Vietnamese	vie	LDC2014S06
"
      "	Yue Chinese	yue	LDC2014S06
"
      "	Dari	prs	LDC2014S06
"
      "	Persian	fas	LDC2014S06
"
      "	Hausa	hau	LDC2014S06
"
      "	Mandarin Chinese	cmn	LDC2014S06
"
      "	Russian	rus	LDC2014S06
"
      "	Ukrainian	ukr	LDC2014S06
"
      "	Pushto	pus	LDC2014S06
"
      "	Arabic	ara	LDC2014T14
"
      "	Standard Arabic	arb	LDC2014T14
"
      "	English	eng	LDC2014T14
"
      "	Mandarin Chinese	cmn	LDC2014T15
"
      "	English	eng	LDC2014T15
"
      "	Chinese	zho	LDC2014T15
"
      "	English	eng	LDC2014T16
"
      "	Standard Arabic	arb	LDC2014T17
"
      "	Standard Arabic	arb	LDC2014S07
"
      "	Spanish	spa	LDC2014T18
"
      "	Standard Arabic	arb	LDC2014T18
"
      "	Mandarin Chinese	cmn	LDC2014T20
"
      "	English	eng	LDC2014T20
"
      "	Chinese	zho	LDC2014T20
"
      "	Standard Arabic	arb	LDC2014T19
"
      "	Arabic	ara	LDC2014T19
"
      "	English	eng	LDC2014T19
"
      "	Mandarin Chinese	cmn	LDC2014T21
"
      "	Chinese	zho	LDC2014T21
"
      "	English	eng	LDC2014S08
"
      "	Mandarin Chinese	cmn	LDC2014S08
"
      "	Standard Arabic	arb	LDC2014S08
"
      "	French	fra	LDC2014S08
"
      "	Russian	rus	LDC2014S08
"
      "	Spanish	spa	LDC2014S08
"
      "	Standard Arabic	arb	LDC2014T22
"
      "	Arabic	ara	LDC2014T22
"
      "	English	eng	LDC2014T22
"
      "	Spanish	spa	LDC2014T23
"
      "	English	eng	LDC2014T23
"
      "	English	eng	LDC2014T24
"
      "	Mandarin Chinese	cmn	LDC2014T25
"
      "	English	eng	LDC2014T25
"
      "	Chinese	zho	LDC2014T25
"
      "	Mandarin Chinese	cmn	LDC2014T26
"
      "	English	eng	LDC2014T26
"
      "	Chinese	zho	LDC2014T26
"
      "	English	eng	LDC2014T27
"
      "	Mandarin Chinese	cmn	LDC2014S09
"
      "	Chinese	zho	LDC2014S09
"
      "	Mandarin Chinese	cmn	LDC2014T28
"
      "	Chinese	zho	LDC2014T28
"
      "	Spanish	spa	LDC2015T02
"
      "	Catalan	cat	LDC2015T02
"
      "	Standard Arabic	arb	LDC2015T01
"
      "	Standard Arabic	arb	LDC2015S01
"
      "	English	eng	LDC2015T03
"
      "	Mandarin Chinese	cmn	LDC2015T04
"
      "	English	eng	LDC2015T04
"
      "	Chinese	zho	LDC2015T04
"
      "	South Levantine Arabic	ajp	LDC2015S02
"
      "	North Levantine Arabic	apc	LDC2015S02
"
      "	English	eng	LDC2015S02
"
      "	Persian	fas	LDC2015S02
"
      "	Pushto	pus	LDC2015S02
"
      "	Urdu	urd	LDC2015S02
"
      "	Mandarin Chinese	cmn	LDC2015S04
"
      "	English	eng	LDC2015S04
"
      "	Standard Arabic	arb	LDC2015T05
"
      "	English	eng	LDC2015T05
"
      "	Mandarin Chinese	cmn	LDC2015T06
"
      "	Chinese	zho	LDC2015T06
"
      "	English	eng	LDC2015T06
"
      "	Mandarin Chinese	cmn	LDC2015S05
"
      "	English	eng	LDC2015S03
"
      "	Standard Arabic	arb	LDC2015T07
"
      "	English	eng	LDC2015T07
"
      "	Catalan	cat	LDC2015L01
"
      "	Spanish	spa	LDC2015L01
"
      "	English	eng	LDC2015T08
"
      "	Mandarin Chinese	cmn	LDC2015T09
"
      "	Chinese	zho	LDC2015T09
"
      "	Mandarin Chinese	cmn	LDC2015S06
"
      "	Chinese	zho	LDC2015S06
"
      "	Spanish	spa	LDC2015S07
"
      "	English	eng	LDC2015T10
"
      "	Bulgarian	bul	LDC2015T11
"
      "	Danish	dan	LDC2015T11
"
      "	Dutch	nld	LDC2015T11
"
      "	German	deu	LDC2015T11
"
      "	Japanese	jpn	LDC2015T11
"
      "	Portuguese	por	LDC2015T11
"
      "	Slovenian	slv	LDC2015T11
"
      "	Spanish	spa	LDC2015T11
"
      "	Swedish	swe	LDC2015T11
"
      "	Turkish	tur	LDC2015T11
"
      "	Czech	ces	LDC2015T12
"
      "	Standard Arabic	arb	LDC2015T12
"
      "	English	eng	LDC2015T13
"
      "	Mandarin Chinese	cmn	LDC2015T14
"
      "	English	eng	LDC2015T14
"
      "	Chinese	zho	LDC2015T14
"
      "	English	eng	LDC2015S08
"
      "	Turkish	tur	LDC2015T15
"
      "	Mandarin Chinese	cmn	LDC2015T21
"
      "	English	eng	LDC2015T21
"
      "	Chinese	zho	LDC2015T21
"
      "	Standard Arabic	arb	LDC2015S10
"
      "	Standard Arabic	arb	LDC2015S11
"
      "	Standard Arabic	arb	LDC2015T16
"
      "	Spanish	spa	LDC2015T20
"
      "	Spanish	spa	LDC2015T17
"
      "	Catalan	cat	LDC2015T17
"
      "	Portuguese	por	LDC2015T17
"
      "	Mandarin Chinese	cmn	LDC2015T18
"
      "	English	eng	LDC2015T18
"
      "	Chinese	zho	LDC2015T18
"
      "	Standard Arabic	arb	LDC2015T19
"
      "	English	eng	LDC2015T19
"
      "	German	deu	LDC2015T22
"
      "	English	eng	LDC2015S12
"
      "	Arabic	ara	LDC2015T23
"
      "	Mandarin Chinese	cmn	LDC2015T24
"
      "	English	eng	LDC2015T24
"
      "	Chinese	zho	LDC2015T24
"
      "	Mandarin Chinese	cmn	LDC2015T25
"
      "	Chinese	zho	LDC2015T25
"
      "	Mandarin Chinese	cmn	LDC2015S13
"
      "	Chinese	zho	LDC2015S13
"
      "	German	deu	LDC2016T01
"
      "	English	eng	LDC2016T03
"
      "	Spanish	spa	LDC2016T03
"
      "	Arabic	ara	LDC2016T02
"
      "	Standard Arabic	arb	LDC2016T02
"
      "	Mandarin Chinese	cmn	LDC2016T04
"
      "	English	eng	LDC2016T04
"
      "	Chinese	zho	LDC2016T04
"
      "	Mandarin Chinese	cmn	LDC2016T05
"
      "	Chinese	zho	LDC2016T05
"
      "	Standard Arabic	arb	LDC2016T06
"
      "	Standard Arabic	arb	LDC2016S01
"
      "	Yue Chinese	yue	LDC2016S02
"
      "	English	eng	LDC2016T07
"
      "	Standard Arabic	arb	LDC2016T08
"
      "	English	eng	LDC2016T08
"
      "	Mandarin Chinese	cmn	LDC2016T09
"
      "	Chinese	zho	LDC2016T09
"
      "	English	eng	LDC2016T09
"
      "	English	eng	LDC2016T10
"
      "	Chinese	zho	LDC2016T10
"
      "	Czech	ces	LDC2016T10
"
      "	Standard Arabic	arb	LDC2016T11
"
      "	Arabic	ara	LDC2016T11
"
      "	English	eng	LDC2016T11
"
      "	English	eng	LDC2016V01
"
      "	Mandarin Chinese	cmn	LDC2016T12
"
      "	Chinese	zho	LDC2016T12
"
      "	Mandarin Chinese	cmn	LDC2016S03
"
      "	Chinese	zho	LDC2016S03
"
      "	Chinese	zho	LDC2016T13
"
      "	Mandarin Chinese	cmn	LDC2016T13
"
      "	Spanish	spa	LDC2016S04
"
      "	Arabic	ara	LDC2016T14
"
      "	Standard Arabic	arb	LDC2016T14
"
      "	Mandarin Chinese	cmn	LDC2016T15
"
      "	English	eng	LDC2016T15
"
      "	Chinese	zho	LDC2016T15
"
      "	English	eng	LDC2016T16
"
      "	English	eng	LDC2016S05
"
      "	Assamese	asm	LDC2016S06
"
      "	Bengali	ben	LDC2016S08
"
      "	Standard Arabic	arb	LDC2016T17
"
      "	Standard Arabic	arb	LDC2016S07
"
      "	Standard Arabic	arb	LDC2016T18
"
      "	English	eng	LDC2016T18
"
      "	Mandarin Chinese	cmn	LDC2016T19
"
      "	English	eng	LDC2016T19
"
      "	Chinese	zho	LDC2016T19
"
      "	Arabic	ara	LDC2016T20
"
      "	Standard Arabic	arb	LDC2016T20
"
      "	English	eng	LDC2016T20
"
      "	Pushto	pus	LDC2016S09
"
      "	English	eng	LDC2016T23
"
      "	Turkish	tur	LDC2016S10
"
      "	Arabic	ara	LDC2016T21
"
      "	Georgian	kat	LDC2016S12
"
      "	Polish	pol	LDC2016S11
"
      "	Russian	rus	LDC2016S11
"
      "	Ukrainian	ukr	LDC2016S11
"
      "	Chinese	zho	LDC2016T25
"
      "	Mandarin Chinese	cmn	LDC2016T25
"
      "	English	eng	LDC2016T25
"
      "	Arabic	ara	LDC2016T27
"
      "	Standard Arabic	arb	LDC2016T27
"
      "	English	eng	LDC2016T27
"
      "	Tagalog	tgl	LDC2016S13
"
      "	Spanish	spa	LDC2016T26
"
      "	English	eng	LDC2016T26
"
      "	Bambara	bam	LDC2016L01
"
      "	English	eng	LDC2016L01
"
      "	French	fra	LDC2016L01
"
      "	English	eng	LDC2017T01
"
      "	Arabic	ara	LDC2017L01
"
      "	Standard Arabic	arb	LDC2017L01
"
      "	Vietnamese	vie	LDC2017S01
"
      "	Chinese	zho	LDC2017T02
"
      "	Mandarin Chinese	cmn	LDC2017T02
"
      "	English	eng	LDC2017T02
"
      "	English	eng	LDC2017T03
"
      "	English	eng	LDC2016T22
"
      "	Chinese	zho	LDC2016T22
"
      "	Arabic	ara	LDC2016T24
"
      "	Egyptian Arabic	arz	LDC2016T24
"
      "	Standard Arabic	arb	LDC2017S02
"
      "	Standard Arabic	arb	LDC2017T04
"
      "	Haitian	hat	LDC2017S03
"
      "	English	eng	LDC2017S04
"
      "	Swahili (individual language)	swh	LDC2017S05
"
      "	Swahili	swa	LDC2017S05
"
      "	Mandarin Chinese	cmn	LDC2017T05
"
      "	English	eng	LDC2017T05
"
      "	Chinese	zho	LDC2017T05
"
      "	English	eng	LDC2017T06
"
      "	Mandarin Chinese	cmn	LDC2017T06
"
      "	Chinese	zho	LDC2017T06
"
      "	Lao	lao	LDC2017S08
"
      "	English	eng	LDC2017S06
"
      "	English	eng	LDC2017S07
"
      "	Egyptian Arabic	arz	LDC2017T07
"
      "	Arabic	ara	LDC2017T07
"
      "	English	eng	LDC2017T08
"
      "	English	eng	LDC2017T09
"
      "	Spanish	spa	LDC2017T09
"
      "	Turkish	tur	LDC2017S09
"
      "	English	eng	LDC2017V01
"
      "	Chinese	zho	LDC2017V01
"
      "	English	eng	LDC2017S10
"
      "	English	eng	LDC2017T10
"
      "	English	eng	LDC2017S11
"
      "	Standard Arabic	arb	LDC2017S12
"
      "	Arabic	ara	LDC2017S12
"
      "	English	eng	LDC2017T11
"
      "	Tamil	tam	LDC2017S13
"
      "	Bengali	ben	LDC2017S14
"
      "	Hindi	hin	LDC2017S14
"
      "	Western Panjabi	pnb	LDC2017S14
"
      "	Tamil	tam	LDC2017S14
"
      "	Urdu	urd	LDC2017S14
"
      "	Arabic	ara	LDC2017S15
"
      "	Standard Arabic	arb	LDC2017S15
"
      "	Arabic	ara	LDC2017T12
"
      "	Standard Arabic	arb	LDC2017T12
"
      "	English	eng	LDC2017S17
"
      "	English	eng	LDC2017T13
"
      "	Chinese	zho	LDC2017T13
"
      "	Mandarin Chinese	cmn	LDC2017T13
"
      "	English	eng	LDC2017S18
"
      "	Zulu	zul	LDC2017S19
"
      "	German	deu	LDC2018T05
"
      "	Literary Chinese	lzh	LDC2017T14
"
      "	South Levantine Arabic	ajp	LDC2017S20
"
      "	North Levantine Arabic	apc	LDC2017S20
"
      "	Persian	fas	LDC2017S20
"
      "	English	eng	LDC2017T15
"
      "	English	eng	LDC2017T16
"
      "	English	eng	LDC2017S21
"
      "	Northern Kurdish	kmr	LDC2017S22
"
      "	English	eng	LDC2017T17
"
      "	Chinese	zho	LDC2017T17
"
      "	Mandarin Chinese	cmn	LDC2017T17
"
      "	Spanish	spa	LDC2017S23
"
      "	English	eng	LDC2017S24
"
      "	Mandarin Chinese	cmn	LDC2017T18
"
      "	Chinese	zho	LDC2017T18
"
      "	Mandarin Chinese	cmn	LDC2017S25
"
      "	Chinese	zho	LDC2017S25
"
      "	Basque	eus	LDC2018T06
"
      "	Catalan	cat	LDC2018T06
"
      "	Czech	ces	LDC2018T06
"
      "	Turkish	tur	LDC2018T06
"
      "	Modern Greek (1453-)	ell	LDC2018T07
"
      "	Hungarian	hun	LDC2018T07
"
      "	Italian	ita	LDC2018T07
"
      "	Standard Arabic	arb	LDC2018T08
"
      "	English	eng	LDC2018T08
"
      "	English	eng	LDC2018S01
"
      "	Spanish	spa	LDC2018T01
"
      "	Mandarin Chinese	cmn	LDC2018T02
"
      "	French	fra	LDC2018T02
"
      "	Tok Pisin	tpi	LDC2018S02
"
      "	Dari	prs	LDC2018S03
"
      "	Persian	fas	LDC2018S03
"
      "	Pushto	pus	LDC2018S03
"
      "	English	eng	LDC2018T03
"
      "	Amharic	amh	LDC2018T04
"
      "	English	eng	LDC2018T04
"
      "	English	eng	LDC2018T09
"
      "	Somali	som	LDC2018T11
"
      "	English	eng	LDC2018T11
"
      "	Egyptian Arabic	arz	LDC2018T10
"
      "	English	eng	LDC2018T12
"
      "	Arabic	ara	LDC2018T13
"
      "	Standard Arabic	arb	LDC2018T13
"
      "	French	fra	LDC2018T13
