PerformerNum,CompositionNum,RecitalNum,PerformanceNum,PerformanceIndex,PerformanceRole,PerformanceLabel,InstrumentURL,RCode,RecitalType,RecitalName,DateRecorded,Location,CompositionTitle,ComposerName,ComposerNum,ComposerURL,ComposerVerified,PerformerName
S381,8581,969,974,5,conductor,conductor,,esw,Symphonic Wind Ensemble,Symphonic Wind Ensemble,2006-10-29,Convocation Hall,"Lollapalooza, for orchestra / transcribed for wind ensemble by Spinazzola","Adams, John, 1947-",,http://www.musicbrainz.org/artist/94f46f90-f220-458d-acd6-5f14c55ab9b2,Gate,"Schroeder, Angela"
A887,13477,1041,1042,1,conductor,conductor,,eas,Academy Strings,Academy Strings,2008-10-05,Convocation Hall,"Shaker Loops, for string orchestra","Adams, John, 1947-",,http://www.musicbrainz.org/artist/94f46f90-f220-458d-acd6-5f14c55ab9b2,Gate,"Au, Aaron"
S381,13519,1004,1005,1,conductor,conductor,,esw,Symphonic Wind Ensemble,Symphonic Wind Ensemble,2007-11-09,Convocation Hall,"Short ride on a fast machine, for orchestra / transcribed for band by Lawrence T. Odom","Adams, John, 1947-",,http://www.musicbrainz.org/artist/94f46f90-f220-458d-acd6-5f14c55ab9b2,Gate,"Schroeder, Angela"
C137,15383,170,173,3,tenor,tenor,,ecc,Concert Choir,Concert Choir,1996-03-29,Convocation Hall,Sydney dreaming,"Adams, Stephen",,http://www.musicbrainz.org/artist/f7e4efcd-8891-47a6-8979-f1862d69dfee,Prog. 29 Mar 1996,"Caister, Michael"
K32,15383,170,173,3,conductor,conductor,,ecc,Concert Choir,Concert Choir,1996-03-29,Convocation Hall,Sydney dreaming,"Adams, Stephen",,http://www.musicbrainz.org/artist/f7e4efcd-8891-47a6-8979-f1862d69dfee,Prog. 29 Mar 1996,"Kempster, William"
S719,10262,460,465,5,electroacoustic music,electroacoustic music,,ccp,Composition class,"Student Composers, New Music Concert",1993-01-11,Convocation Hall,"Nocturne, piano and tape","Admiral, Roger",19,,Gate,Sound Recording
B493,12978,26,39,13,conductor,conductor,,ecc,Concert Choir,Concert Choir,1997-11-23,Convocation Hall,Salmo 150,"Aguiar, Ernani",27,,LCMARC,"Berg, Joy"
C136,12980,718,728,10,conductor,conductor,,ecc,Concert Choir,Concert Choir,2001-04-06,Convocation Hall,"Salmo 150, for mixed voices","Aguiar, Ernani",27,,LCMARC,"Cairns, Debra"
W314,6484,1085,1102,17,conductor,conductor,,v,Visiting artist recital,"Visiting Artist Recital, Vancouver Chamber Choir",2007-03-10,Convocation Hall,"Huella Argentina, for piano / arranged for mixed chorus by Fabiana Katz","Aguirre, Julian, 1868-1924",,http://www.musicbrainz.org/artist/3709ea5a-69c7-4e22-8990-c0adfea0db31,LCAUTH,"Washburn, Jon"
C136,13765,718,733,15,conductor,conductor,,ecc,Concert Choir,Concert Choir,2001-04-06,Convocation Hall,"Sommarpsalm, for mixed voices","Åhlén, Waldemar, 1894-1982",,http://www.musicbrainz.org/artist/68b20edd-5a80-4a6e-b163-f29d01faac1b,"LCAUTH, Gaylord","Cairns, Debra"
E68,13765,389,403,14,guest conductor,guest conductor,,v,Visiting artist recital,"TriBach Artist-in-Residence, Eric Ericson, conductor",1994-11-25,Convocation Hall,"Sommarpsalm, for mixed voices","Åhlén, Waldemar, 1894-1982",,http://www.musicbrainz.org/artist/68b20edd-5a80-4a6e-b163-f29d01faac1b,"LCAUTH, Gaylord","Ericson, Eric"
G626,2978,791,792,1,conductor,conductor,,dm,MMus recital,"MMus Recital, James Chilton, trombone",2003-03-25,Convocation Hall,"Concerto, trombone and string orchestra, B flat major","Albrechtsberger, Johann Georg, 1736-1809",,http://www.musicbrainz.org/artist/879fccb4-44e2-4865-9eed-1f4163557c33,Gate,"Golias, Ondrej"
N684,15645,506,507,1,percusssion,percussion,,o,Other,Sonor Borealis,1990-01-20,Convocation Hall,"Take that, for percussion ensemble","Albright, William, 1944-",,http://www.musicbrainz.org/artist/3fe17bfd-df10-4068-8ea5-e045299d4741,Gate,"Nigam, Raj"
P615,14976,573,577,4,conductor,conductor,,ecb,Concert Band,Concert Band,1988-03-27,Convocation Hall,"Standard of St. George, for band","Alford, Kenneth J.",91,,LC81,"Pier, Fordyce"
G767,16272,1037,1038,1,conductor,conductor,,ecb,Concert Band,Concert Band,2008-11-30,Convocation Hall,"TheStandard of St. George, for band","Alford, Kenneth J.",91,,LC81,"Grasdahl, Wendy"
C136,530,858,871,13,conductor,conductor,,ecc,Concert Choir,Concert Choir,2003-11-28,Convocation Hall,"Aftonen, for mixed voices","Alfvén, Hugo, 1872-1960",,http://www.musicbrainz.org/artist/ad65ae55-a3c3-4e49-b7fd-93525462f892,Gate,"Cairns, Debra"
C136,530,55,62,7,conductor,conductor,,ecc,Concert Choir,Concert Choir,1998-11-22,Convocation Hall,"Aftonen, for mixed voices","Alfvén, Hugo, 1872-1960",,http://www.musicbrainz.org/artist/ad65ae55-a3c3-4e49-b7fd-93525462f892,Gate,"Cairns, Debra"
E68,530,389,401,12,guest conductor,guest conductor,,v,Visiting artist recital,"TriBach Artist-in-Residence, Eric Ericson, conductor",1994-11-25,Convocation Hall,"Aftonen, for mixed voices","Alfvén, Hugo, 1872-1960",,http://www.musicbrainz.org/artist/ad65ae55-a3c3-4e49-b7fd-93525462f892,Gate,"Ericson, Eric"
H747,530,440,455,15,conductor,conductor,,dm,MMus recital,"MMus Recital, Thomas Holm, conductor",1993-04-16,West End Christian Reformed Church,"Aftonen, for mixed voices","Alfvén, Hugo, 1872-1960",,http://www.musicbrainz.org/artist/ad65ae55-a3c3-4e49-b7fd-93525462f892,Gate,"Holm, Thomas"
S957,530,977,995,18,conductor,conductor,,v,Visiting artist recital,"Visiting Artist, Robert Sund, conductor",2006-11-09,West End Christian Reformed Church,"Aftonen, for mixed voices","Alfvén, Hugo, 1872-1960",,http://www.musicbrainz.org/artist/ad65ae55-a3c3-4e49-b7fd-93525462f892,Gate,"Sund, Robert"
C136,10462,718,732,14,conductor,conductor,,ecc,Concert Choir,Concert Choir,2001-04-06,Convocation Hall,"Och, jungfrun hon går I ringen, for mixed voices","Alfvén, Hugo, 1872-1960",,http://www.musicbrainz.org/artist/ad65ae55-a3c3-4e49-b7fd-93525462f892,Gate,"Cairns, Debra"
E68,10464,389,402,13,guest conductor,guest conductor,,v,Visiting artist recital,"TriBach Artist-in-Residence, Eric Ericson, conductor",1994-11-25,Convocation Hall,"Och jungfrun ho går i ringen, for mixed voices","Alfvén, Hugo, 1872-1960",,http://www.musicbrainz.org/artist/ad65ae55-a3c3-4e49-b7fd-93525462f892,Gate,"Ericson, Eric"
S957,10467,977,996,19,conductor,conductor,,v,Visiting artist recital,"Visiting Artist, Robert Sund, conductor",2006-11-09,West End Christian Reformed Church,"Och jungfrun hon går I ringen, for mixed voices","Alfvén, Hugo, 1872-1960",,http://www.musicbrainz.org/artist/ad65ae55-a3c3-4e49-b7fd-93525462f892,Gate,"Sund, Robert"
C678,2602,857,859,2,clarinet,clarinet,,esw,Symphonic Wind Ensemble,Northern Alberta Honour Band and UofA Symphonic Wind Ensemble,2004-03-27,Convocation Hall,"Clarinet candy, for band","Anderson, Leroy, 1908-1975",,http://www.musicbrainz.org/artist/a50d7e6f-009d-413f-aabe-72d7b544aaa6,Greene,"Cohen, Lyndsey"
D2555,2602,857,859,2,clarinet,clarinet,,esw,Symphonic Wind Ensemble,Northern Alberta Honour Band and UofA Symphonic Wind Ensemble,2004-03-27,Convocation Hall,"Clarinet candy, for band","Anderson, Leroy, 1908-1975",,http://www.musicbrainz.org/artist/a50d7e6f-009d-413f-aabe-72d7b544aaa6,Greene,"Davies, Michelle"
H425,2602,857,859,2,clarinet,clarinet,,esw,Symphonic Wind Ensemble,Northern Alberta Honour Band and UofA Symphonic Wind Ensemble,2004-03-27,Convocation Hall,"Clarinet candy, for band","Anderson, Leroy, 1908-1975",,http://www.musicbrainz.org/artist/a50d7e6f-009d-413f-aabe-72d7b544aaa6,Greene,"Hays, Karly"
M968,2602,857,859,2,clarinet,clarinet,,esw,Symphonic Wind Ensemble,Northern Alberta Honour Band and UofA Symphonic Wind Ensemble,2004-03-27,Convocation Hall,"Clarinet candy, for band","Anderson, Leroy, 1908-1975",,http://www.musicbrainz.org/artist/a50d7e6f-009d-413f-aabe-72d7b544aaa6,Greene,"Munro, Ian"
S915,2602,857,859,2,conductor,conductor,,esw,Symphonic Wind Ensemble,Northern Alberta Honour Band and UofA Symphonic Wind Ensemble,2004-03-27,Convocation Hall,"Clarinet candy, for band","Anderson, Leroy, 1908-1975",,http://www.musicbrainz.org/artist/a50d7e6f-009d-413f-aabe-72d7b544aaa6,Greene,"Street, William H."
P615,13605,587,589,2,conductor,conductor,,esw,Symphonic Wind Ensemble,Symphonic Wind Ensemble,1987-11-22,Convocation Hall,"Sinfonietta, winds and percussion","Andrews, James, 1945-",135,,"Heritage, OCLC WorldCat","Pier, Fordyce"
P615,2957,213,218,5,conductor,conductor,,ecw,Chamber (Orchestral) Winds,"North American Saxophone Alliance, Region 9 Conference, Session 4",1996-03-01,Convocation Hall,"Concerto, saxophone quartet and wind orchestra","Andriessen, Jurriaan",,http://www.musicbrainz.org/artist/e2f27fae-6cfb-466e-b7a4-fc008f43f554,Gate,"Pier, Fordyce"
M4158,2301,1070,1072,2,soprano,saprano,,dd,DMus recital,"DMus Chamber Music recital, Sandra Joy Friesen, piano",2009-04-14,Convocation Hall,"Chansons d'aurore, for soprano, flute and piano","Anhalt, Istvan",,http://www.musicbrainz.org/artist/073fa4bd-114b-4430-8df6-422069375200,ILINK,"Massey, Amanda"
K628,10540,594,606,12,"director, mixed consorts","director, mixed consorts",,ecm,Collegium Musicum,Collegium Musicum,1988-03-18,Convocation Hall,O death rock me asleep,"Anne Boleyn, Queen, consort of Henry VII, King of England, 1507-1536",145,,"LCAUTH, OCLC WorldCat","Klakowich, Robert"
M1578,10540,594,606,12,soprano,saprano,,ecm,Collegium Musicum,Collegium Musicum,1988-03-18,Convocation Hall,O death rock me asleep,"Anne Boleyn, Queen, consort of Henry VII, King of England, 1507-1536",145,,"LCAUTH, OCLC WorldCat","McKinley, Barbara"
R599,10540,594,606,12,celtic harp,celtic harp,,ecm,Collegium Musicum,Collegium Musicum,1988-03-18,Convocation Hall,O death rock me asleep,"Anne Boleyn, Queen, consort of Henry VII, King of England, 1507-1536",145,,"LCAUTH, OCLC WorldCat","Ritchie, Gordon"
G455,357,613,625,12,director,director,,ecm,Collegium Musicum,Collegium Musicum,1989-11-24,Convocation Hall,[Treble and ground (Bergamasca) duet (Board lute book),Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Giesbrecht, Marnie"
O49,357,613,625,12,director,director,,ecm,Collegium Musicum,Collegium Musicum,1989-11-24,Convocation Hall,[Treble and ground (Bergamasca) duet (Board lute book),Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Ollikkala, Debra"
G455,721,626,637,11,director,director,,ecm,Collegium Musicum,Collegium Musicum,1989-03-17,Convocation Hall,Alma redemptoris mater,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Giesbrecht, Marnie"
K628,930,594,608,14,"director, mixed consorts","director, mixed consorts",,ecm,Collegium Musicum,Collegium Musicum,1988-03-18,Convocation Hall,Antailliur,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Klakowich, Robert"
M1578,930,594,608,14,soprano,saprano,,ecm,Collegium Musicum,Collegium Musicum,1988-03-18,Convocation Hall,Antailliur,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"McKinley, Barbara"
R599,930,594,608,14,celtic harp,celtic harp,,ecm,Collegium Musicum,Collegium Musicum,1988-03-18,Convocation Hall,Antailliur,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Ritchie, Gordon"
C1362,1167,463,464,1,conductor,conductor,,ems,Madrigal Singers,Madrigal Singers,1993-11-26,Convocation Hall,Ave regina coelorum (12th century),Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Cairns-Ollikkala, Debra"
R523,1216,692,710,18,soprano,saprano,,o,Other,"Faculty & Friends, Judith Richardson, soprano and Janet Scott-Hoyt, piano",2001-01-26,Convocation Hall,Aye fond kiss,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Richardson, Judith"
G876,1450,167,168,1,alto,alto,,dm,MMus recital,"MMus Recital, Joy-Anne Murphy, mezzo soprano",1996-09-14,Convocation Hall,Bele Doette (Medieval chanson de toile),Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Grønnestad, Wendy"
M9778,1450,167,168,1,mezzo-soprano,mezzo-soprano,,dm,MMus recital,"MMus Recital, Joy-Anne Murphy, mezzo soprano",1996-09-14,Convocation Hall,Bele Doette (Medieval chanson de toile),Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Murphy, Joy-Anne"
P618,1450,167,168,1,soprano,saprano,,dm,MMus recital,"MMus Recital, Joy-Anne Murphy, mezzo soprano",1996-09-14,Convocation Hall,Bele Doette (Medieval chanson de toile),Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Pierce, Susan"
W191,1450,167,168,1,soprano,saprano,,dm,MMus recital,"MMus Recital, Joy-Anne Murphy, mezzo soprano",1996-09-14,Convocation Hall,Bele Doette (Medieval chanson de toile),Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Wallace, Kathy"
L2615,1492,854,862,8,soprano,saprano,,f,Faculty recital,"Faculty Recital, Alan Ord, bass; Cathryn Landreth, soprano",2004-08-06,Convocation Hall,Black is the color of my true love's hair / arranged by Clifford Shaw,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Landreth, Cathryn"
L866,2241,1105,1109,4,conductor,conductor,,dm,MMus recital,"MMus Recital, Brendan Lord, conductor",2008-06-22,All Saints Anglican Cathedral,Change the world / arranged for mixed voices by Caleb Nelson,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Lord, Brendan"
B8248,2661,593,603,10,director,director,,ecm,Collegium Musicum,Collegium Musicum,1987-03-06,Convocation Hall,"Come away (Come againe sweet love doth now invite) (Lute manuscript, Cambridge University, ca. 1615)",Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Brauner, Mitchell P."
D718,2661,593,603,10,director,director,,ecm,Collegium Musicum,Collegium Musicum,1987-03-06,Convocation Hall,"Come away (Come againe sweet love doth now invite) (Lute manuscript, Cambridge University, ca. 1615)",Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Dorsey, Paul"
K628,2661,593,603,10,director,director,,ecm,Collegium Musicum,Collegium Musicum,1987-03-06,Convocation Hall,"Come away (Come againe sweet love doth now invite) (Lute manuscript, Cambridge University, ca. 1615)",Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Klakowich, Robert"
G455,3319,613,620,7,director,director,,ecm,Collegium Musicum,Collegium Musicum,1989-11-24,Convocation Hall,Coventry carol,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Giesbrecht, Marnie"
O49,3319,613,620,7,director,director,,ecm,Collegium Musicum,Collegium Musicum,1989-11-24,Convocation Hall,Coventry carol,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Ollikkala, Debra"
C136,3322,972,988,16,conductor,conductor,,ecc,Concert Choir,Concert Choir,2006-12-01,Convocation Hall,Coventry carol / arranged for mixed voices by Martin Shaw,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Cairns, Debra"
D718,3445,594,604,10,"director, recorder consort","director, recorder",,ecm,Collegium Musicum,Collegium Musicum,1988-03-18,Convocation Hall,Dances published by Pierre Attaingnant,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Dorsey, Paul"
L866,3452,1105,1110,5,conductor,conductor,,dm,MMus recital,"MMus Recital, Brendan Lord, conductor",2008-06-22,All Saints Anglican Cathedral,Danny boy / arranged for mixed voices by Vox One,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Lord, Brendan"
G455,3547,616,619,3,director,director,,ecm,Collegium Musicum,Collegium Musicum,1990-03-23,Convocation Hall,Deo gracias Anglia,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Giesbrecht, Marnie"
O49,3547,616,619,3,director,director,,ecm,Collegium Musicum,Collegium Musicum,1990-03-23,Convocation Hall,Deo gracias Anglia,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Ollikkala, Debra"
C136,4027,972,990,18,conductor,conductor,,ecc,Concert Choir,Concert Choir,2006-12-01,Convocation Hall,Ding dong! Merrily on high / arranged for mixed voices by Charles Wood,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Cairns, Debra"
N563,4345,836,842,6,voice,voice,,dm,MMus recital,"MMus Recital, Shelagh Scott, piano",2004-03-28,Studio 27,"Draherin-o-Machree, for voice and piano",Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Newton, Geoff"
K628,5141,594,607,13,"director, mixed consorts","director, mixed consorts",,ecm,Collegium Musicum,Collegium Musicum,1988-03-18,Convocation Hall,Fear an bhata,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Klakowich, Robert"
M1578,5141,594,607,13,soprano,saprano,,ecm,Collegium Musicum,Collegium Musicum,1988-03-18,Convocation Hall,Fear an bhata,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"McKinley, Barbara"
R599,5141,594,607,13,celtic harp,celtic harp,,ecm,Collegium Musicum,Collegium Musicum,1988-03-18,Convocation Hall,Fear an bhata,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Ritchie, Gordon"
D395,5545,966,973,7,conductor,conductor,,dm,MMus recital,"MMus Recital, Kimberley Denis, conductor",2006-04-02,Convocation Hall,Gaelic Folk Songs.  My faithful fair one / arranged for mixed chorus and piano by Eric Robertson,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Denis, Kimberly"
B8248,5955,593,604,11,director,director,,ecm,Collegium Musicum,Collegium Musicum,1987-03-06,Convocation Hall,"Goe, nightly cares",Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Brauner, Mitchell P."
D718,5955,593,604,11,director,director,,ecm,Collegium Musicum,Collegium Musicum,1987-03-06,Convocation Hall,"Goe, nightly cares",Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Dorsey, Paul"
J32,5955,593,604,11,bass viol,bass viol,,ecm,Collegium Musicum,Collegium Musicum,1987-03-06,Convocation Hall,"Goe, nightly cares",Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Jamieson, Tom"
K628,5955,593,604,11,director,director,,ecm,Collegium Musicum,Collegium Musicum,1987-03-06,Convocation Hall,"Goe, nightly cares",Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Klakowich, Robert"
M1528,5955,593,604,11,soprano,saprano,,ecm,Collegium Musicum,Collegium Musicum,1987-03-06,Convocation Hall,"Goe, nightly cares",Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"McIntosh, Sally"
F735,6061,785,794,9,conductor,conductor,,f,Faculty recital,Faculty & Friends,2003-10-26,Convocation Hall,Greensleeves / arranged for brass ensemble by Elgar Howarth,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Forsyth, Malcolm"
C867,6254,695,696,1,bagpipes,bagpipes,,o,Other,Pipes Spectacular! The World's Largest Organ Concert II,2000-10-15,Convocation Hall,Hector the hero (traditional) / arranged for organ and bagpipes by Gayle Martin and Ian McKinnon,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Cousins, Brett"
U65,7429,253,265,12,conductor,conductor,,v,Visiting artist recital,"Visiting Artists, The Vienna and Graz University Choirs",1996-09-15,Convocation Hall,"Kimt's lei, eina in sie Stubn (Austrian folk song)",Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Upadhyaya, Vijay"
G455,7776,646,655,9,director,director,,ecm,Collegium Musicum,Collegium Musicum,1988-11-25,Convocation Hall,"Lamento di Tristan, e rotta (14th century Estampie)",Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Giesbrecht, Marnie"
G455,8166,613,624,11,director,director,,ecm,Collegium Musicum,Collegium Musicum,1989-11-24,Convocation Hall,Lerossignol:  an almand for two lutes (Board lute book),Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Giesbrecht, Marnie"
O49,8166,613,624,11,director,director,,ecm,Collegium Musicum,Collegium Musicum,1989-11-24,Convocation Hall,Lerossignol:  an almand for two lutes (Board lute book),Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Ollikkala, Debra"
U65,8202,253,264,11,conductor,conductor,,v,Visiting artist recital,"Visiting Artists, The Vienna and Graz University Choirs",1996-09-15,Convocation Hall,"Liab' i di, kriag' i di (Austrian folk song)",Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Upadhyaya, Vijay"
W225,8583,882,887,5,conductor,conductor,,eas,Academy Strings,Academy Strings,2002-03-03,Convocation Hall,Londonderry air / arranged by Chrissie-Jane Cronjé,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Walsh, Jim"
C867,9716,695,707,12,bagpipes,bagpipes,,o,Other,Pipes Spectacular! The World's Largest Organ Concert II,2000-10-15,Convocation Hall,Morag of Dunvegan set (traditional) / arranged for organ and bagpipes by Gayle Martin and Ian McKinnon,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Cousins, Brett"
R523,10116,692,711,19,soprano,saprano,,o,Other,"Faculty & Friends, Judith Richardson, soprano and Janet Scott-Hoyt, piano",2001-01-26,Convocation Hall,"My love is like a red, red rose",Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Richardson, Judith"
G455,10322,626,636,10,director,director,,ecm,Collegium Musicum,Collegium Musicum,1989-03-17,Convocation Hall,Nowell sing we,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Giesbrecht, Marnie"
U65,10450,253,266,13,conductor,conductor,,v,Visiting artist recital,"Visiting Artists, The Vienna and Graz University Choirs",1996-09-15,Convocation Hall,Oberöstrreichisches Landlaliad (Austrian folk song),Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Upadhyaya, Vijay"
R238,10472,581,598,17,conductor,conductor,,ecc,Concert Choir,Concert Choir,1987-12-04,All Saints' Anglican Cathedral,"O come, all ye faithful.  Verses 1, 2, 3 and 5 / arranged for mixed voices and organ by David Willcocks",Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Ratzlaff, Leonard"
G455,11739,613,621,8,director,director,,ecm,Collegium Musicum,Collegium Musicum,1989-11-24,Convocation Hall,Pray for us: in this valey,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Giesbrecht, Marnie"
M1528,11739,613,621,8,soprano,saprano,,ecm,Collegium Musicum,Collegium Musicum,1989-11-24,Convocation Hall,Pray for us: in this valey,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"McIntosh, Sally"
M552,11739,613,621,8,tenor,tenor,,ecm,Collegium Musicum,Collegium Musicum,1989-11-24,Convocation Hall,Pray for us: in this valey,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Meraw, Michael"
O49,11739,613,621,8,director,director,,ecm,Collegium Musicum,Collegium Musicum,1989-11-24,Convocation Hall,Pray for us: in this valey,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Ollikkala, Debra"
R238,12572,895,905,10,conductor,conductor,,ems,Madrigal Singers,Madrigal Singers,2005-04-08,Convocation Hall,Rakes of mallow / arranged for mixed chorus by David Mooney,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Ratzlaff, Leonard"
G455,12742,613,622,9,director,director,,ecm,Collegium Musicum,Collegium Musicum,1989-11-24,Convocation Hall,"Ríu, ríu, chíu",Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Giesbrecht, Marnie"
O49,12742,613,622,9,director,director,,ecm,Collegium Musicum,Collegium Musicum,1989-11-24,Convocation Hall,"Ríu, ríu, chíu",Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Ollikkala, Debra"
D395,12746,847,861,14,conductor,conductor,,ecc,Concert Choir,Concert Choir,2004-12-03,Convocation Hall,"Riu, Riu, Chiu, for mixed voices",Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Denis, Kimberly"
G455,14590,646,647,1,director,director,,ecm,Collegium Musicum,Collegium Musicum,1988-11-25,Convocation Hall,Song of the ass (12th century),Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Giesbrecht, Marnie"
G455,15331,626,627,1,director,director,,ecm,Collegium Musicum,Collegium Musicum,1989-03-17,Convocation Hall,Summer is icumen,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Giesbrecht, Marnie"
G455,15376,646,658,12,director,director,,ecm,Collegium Musicum,Collegium Musicum,1988-11-25,Convocation Hall,Sweet was the song the maiden sung / arranged for recorders and gamba,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Giesbrecht, Marnie"
L866,15838,1105,1111,6,conductor,conductor,,dm,MMus recital,"MMus Recital, Brendan Lord, conductor",2008-06-22,All Saints Anglican Cathedral,Thebook of love / arranged for mixed voices by Kyle Carter,Anonymous,,http://www.musicbrainz.org/artist/f731ccc4-e22a-43af-a747-64213329e088,-0-,"Lord, Brendan"
