Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	org	Column 3	Column 4	VIAF-ID
Wotherspoon, P. (Paul)	n88631357		Wotherspoon, P. (Paul)	n88631357	n88631357	1	Wotherspoon, P. (Paul)			Person		http://example.org/1557192#Agent700-23	75430605
Environmental Studies Revolving Funds (Canada)	n88626581		Environmental Studies Revolving Funds (Canada)		n88626581		Environmental Studies Revolving Funds (Canada)	n88626581	1	Organization		http://example.org/1557192#Agent710-24	132450742
Tidmarsh, W. Gordon	n88655768		Tidmarsh, W. Gordon	n88655768	n88655768	1	Tidmarsh, W. Gordon			Person		http://example.org/1557371#Agent700-24	36035858
Environmental Studies Revolving Funds (Canada)	n88626581		Environmental Studies Revolving Funds (Canada)		n88626581		Environmental Studies Revolving Funds (Canada)	n88626581	1	Organization		http://example.org/1557371#Agent710-25	132450742
New Brunswick (N.J.)			New Brunswick (N.J.)				New Brunswick (N.J.)			Jurisdiction		http://example.org/1770742#Agent110-12	
Valentich, Mary	n80092425		Valentich, Mary	n80092425	n80092425	1	Valentich, Mary			Person		http://example.org/1806609#Agent700-31	28375610
Gripton, James	n85016421		Gripton, James	n85016421	n85016421	1	Gripton, James			Person		http://example.org/1806609#Agent700-32	35873618
Miller, Melanie			Miller, Melanie				Miller, Melanie			Person		http://example.org/1812247#Agent100-12	
Robinson, Scott			Robinson, Scott				Robinson, Scott			Person		http://example.org/1812247#Agent700-28	
United States. Bureau of Land Management. Alaska State Office	n80165362		United States. Bureau of Land Management. Alaska State Office		n80165362		United States. Bureau of Land Management. Alaska State Office	n80165362	1	Jurisdiction		http://example.org/1812247#Agent710-29	155828908
United States. Dept. of the Interior			United States. Dept. of the Interior				United States. Dept. of the Interior			Jurisdiction		http://example.org/1812247#Agent710-30	
Van Waggoner, K			Van Waggoner, K				Van Waggoner, K			Person		http://example.org/1812283#Agent100-11	
See, Marianne			See, Marianne				See, Marianne			Person		http://example.org/1812283#Agent700-27	
United States. Bureau of Land Management. Alaska State Office	n80165362		United States. Bureau of Land Management. Alaska State Office		n80165362		United States. Bureau of Land Management. Alaska State Office	n80165362	1	Jurisdiction		http://example.org/1812283#Agent710-28	155828908
United States. Dept. of the Interior			United States. Dept. of the Interior				United States. Dept. of the Interior			Jurisdiction		http://example.org/1812283#Agent710-29	
Robinson, Scott R			Robinson, Scott R				Robinson, Scott R			Person		http://example.org/1812304#Agent100-11	
United States. Dept. of the Interior			United States. Dept. of the Interior				United States. Dept. of the Interior			Jurisdiction		http://example.org/1812304#Agent710-26	
United States. Bureau of Land Management. Alaska State Office	n80165362		United States. Bureau of Land Management. Alaska State Office		n80165362		United States. Bureau of Land Management. Alaska State Office	n80165362	1	Jurisdiction		http://example.org/1812304#Agent710-27	155828908
Miller, Melanie			Miller, Melanie				Miller, Melanie			Person		http://example.org/1812306#Agent100-11	
United States. Dept. of the Interior			United States. Dept. of the Interior				United States. Dept. of the Interior			Jurisdiction		http://example.org/1812306#Agent710-26	
United States. Bureau of Land Management. Alaska State Office	n80165362		United States. Bureau of Land Management. Alaska State Office		n80165362		United States. Bureau of Land Management. Alaska State Office	n80165362	1	Jurisdiction		http://example.org/1812306#Agent710-27	155828908
United States. Bureau of Land Management. Fairbanks District Office. Northwest Resource Area	n84137936		United States. Bureau of Land Management. Fairbanks District Office. Northwest Resource Area		n84137936		United States. Bureau of Land Management. Fairbanks District Office. Northwest Resource Area	n84137936	1	Jurisdiction		http://example.org/1812306#Agent710-28	132575568
United States. Bureau of Land Management. Alaska State Office. Branch of Photogrammetry	n85088332		United States. Bureau of Land Management. Alaska State Office. Branch of Photogrammetry		n85088332		United States. Bureau of Land Management. Alaska State Office. Branch of Photogrammetry	n85088332	1	Jurisdiction		http://example.org/1812306#Agent710-29	125550704
Robinson, Scott R			Robinson, Scott R				Robinson, Scott R			Person		http://example.org/1812307#Agent100-12	
United States. Bureau of Land Management. Alaska State Office	n80165362		United States. Bureau of Land Management. Alaska State Office		n80165362		United States. Bureau of Land Management. Alaska State Office	n80165362	1	Jurisdiction		http://example.org/1812307#Agent710-28	155828908
