Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	org	Column 3	Column 4	VIAF-ID
Heinrich, Torsten			Heinrich, Torsten				Heinrich, Torsten			Person		http://example.org/6606878#Agent700-32	
Schwardt, Henning	no2013009891		Schwardt, Henning	no2013009891	no2013009891	0.9444444444444444	Schwardt, Henning			Person		http://example.org/6606878#Agent700-33	295240833
Walker, Stuart, 1955-	n2006008639		Walker, Stuart, 1955-	n2006008639	n2006008639	0.84	Walker, Stuart, 1955-			Person		http://example.org/6614292#Agent100-26	26485947
Groesen, Michiel van	n2007090807		Groesen, Michiel van	n2007090807	n2007090807	1	Groesen, Michiel van			Person		http://example.org/6620069#Agent700-35	68389784
Palit, Amitendu	n2006208576		Palit, Amitendu	n2006208576	n2006208576	1	Palit, Amitendu			Person		http://example.org/6620129#Agent100-23	21583326
Busch, David D			Busch, David D				Busch, David D			Person		http://example.org/6620835#Agent100-16	
Ferri, Fred F	n86063459		Ferri, Fred F	n86063459	n86063459	0.9285714285714286	Ferri, Fred F			Person		http://example.org/6622208#Agent100-17	276144928062254340291
Harriet Lane Service (Johns Hopkins Hospital)	n2014180988		Harriet Lane Service (Johns Hopkins Hospital)		n2014180988		Harriet Lane Service (Johns Hopkins Hospital)	n2014180988	1	Organization		http://example.org/6622211#Agent110-19	144819798
Flerlage, Jamie	n2014180931		Flerlage, Jamie	n2014180931	n2014180931	1	Flerlage, Jamie			Person		http://example.org/6622211#Agent700-36	306382687
Engorn, Branden	n2014180932		Engorn, Branden	n2014180932	n2014180932	1	Engorn, Branden			Person		http://example.org/6622211#Agent700-37	307434599
Raby, Nigel	nb2005000837		Raby, Nigel	nb2005000837	nb2005000837	0.9166666666666666	Raby, Nigel			Person		http://example.org/6622213#Agent100-16	314914871
Polska Akademia Nauk. Instytut Podstaw Informatyki	n79100610		Polska Akademia Nauk. Instytut Podstaw Informatyki		n79100610		Polska Akademia Nauk. Instytut Podstaw Informatyki	n79100610	0.9803921568627451	Organization		http://example.org/6625580#Agent710-30	131137693
Benedict, Stanley H	n2014181734		Benedict, Stanley H	n2014181734	n2014181734	0.95	Benedict, Stanley H			Person		http://example.org/6625681#Agent700-27	306383081
Schlesinger, David J	n2014181735		Schlesinger, David J	n2014181735	n2014181735	0.9523809523809523	Schlesinger, David J			Person		http://example.org/6625681#Agent700-28	306383082
Goetsch, Steven J	n94803639		Goetsch, Steven J	n94803639	n94803639	0.9444444444444444	Goetsch, Steven J			Person		http://example.org/6625681#Agent700-29	9085985
Kavanagh, Brian D	n2004121323		Kavanagh, Brian D	n2004121323	n2004121323	0.9444444444444444	Kavanagh, Brian D			Person		http://example.org/6625681#Agent700-30	16625420
Marcu, Laura	n2014180812		Marcu, Laura	n2014180812	n2014180812	1	Marcu, Laura			Person		http://example.org/6625683#Agent700-29	307434527
French, Paul M. W			French, Paul M. W				French, Paul M. W			Person		http://example.org/6625683#Agent700-30	
Elson, Daniel S	n2014180814		Elson, Daniel S	n2014180814	n2014180814	0.9375	Elson, Daniel S			Person		http://example.org/6625683#Agent700-31	307434529
Brey, Eric M	n2014182198		Brey, Eric M	n2014182198	n2014182198	0.9230769230769231	Brey, Eric M			Person		http://example.org/6625704#Agent700-32	307434901
Sánchez Vázquez, F. Javier (Francisco Javier)	n2014008257		Sánchez Vázquez, F. Javier (Francisco Javier)	n2014008257	n2014008257	0.9148936170212766	Sánchez Vázquez, F. Javier (Francisco Javier)			Person		http://example.org/6625716#Agent700-27	306380026
Muñoz-Cueto, José A. (José Antonio)	n2014008245		Muñoz-Cueto, José A. (José Antonio)	n2014008245	n2014008245	0.8421052631578947	Muñoz-Cueto, José A. (José Antonio)			Person		http://example.org/6625716#Agent700-28	
Chown, Alison	n2014030394		Chown, Alison	n2014030394	n2014030394	1	Chown, Alison			Person		http://example.org/6625799#Agent100-20	308754735
Sweitzer, Letitia	n88004521		Sweitzer, Letitia	n88004521	n88004521	1	Sweitzer, Letitia			Person		http://example.org/6625804#Agent100-20	5570491
Chown, Alison	n2014030394		Chown, Alison	n2014030394	n2014030394	1	Chown, Alison			Person		http://example.org/6628345#Agent100-20	308754735
Sweitzer, Letitia	n88004521		Sweitzer, Letitia	n88004521	n88004521	1	Sweitzer, Letitia			Person		http://example.org/6629534#Agent100-20	5570491
Ashmore, Sondra	n2014026266		Ashmore, Sondra	n2014026266	n2014026266	1	Ashmore, Sondra			Person		http://example.org/6630201#Agent100-18	308233132
Runyan, Kristin	n2014026271		Runyan, Kristin	n2014026271	n2014026271	1	Runyan, Kristin			Person		http://example.org/6630201#Agent700-31	308233137
Childs, G. W	n88081085		Childs, G. W	n88081085	n88081085	0.9230769230769231	Childs, G. W			Person		http://example.org/6630245#Agent100-34	63092606
Busch, David D			Busch, David D				Busch, David D			Person		http://example.org/6630260#Agent100-18	
Harwani, B. M	no2010063388		Harwani, B. M	no2010063388	no2010063388	0.8461538461538461	Harwani, B. M			Person		http://example.org/6630295#Agent100-32	120560946
Austin, Charles Michael	no2015142316		Austin, Charles Michael	no2015142316	no2015142316	1	Austin, Charles Michael			Person		http://example.org/6630311#Agent100-36	315246437
Busch, David D			Busch, David D				Busch, David D			Person		http://example.org/6630347#Agent100-18	
Asher, Jay	n2011028245		Asher, Jay	n2011028245	n2011028245	1	Asher, Jay			Person		http://example.org/6630407#Agent100-33	88581904
Thorn, Alan	n2003014900		Thorn, Alan	n2003014900	n2003014900	0.9166666666666666	Thorn, Alan			Person		http://example.org/6630418#Agent100-20	109146462554127771200
Karlins, David	n97028934		Karlins, David	n97028934	n97028934	0.9333333333333333	Karlins, David			Person		http://example.org/6630441#Agent100-20	201006662
Fletcher, Luke			Fletcher, Luke				Fletcher, Luke			Person		http://example.org/6630441#Agent700-35	7864150382224713500004
Garvey, Sam			Garvey, Sam				Garvey, Sam			Person		http://example.org/6630441#Agent700-36	
Shock, Sharon			Shock, Sharon				Shock, Sharon			Person		http://example.org/6630441#Agent700-37	291712463
Busch, David D			Busch, David D				Busch, David D			Person		http://example.org/6630442#Agent100-18	
Simmon, Dan			Simmon, Dan				Simmon, Dan			Person		http://example.org/6630442#Agent700-32	
Hiebner, Gary			Hiebner, Gary				Hiebner, Gary			Person		http://example.org/6630443#Agent100-33	
Hiebner, Simone			Hiebner, Simone				Hiebner, Simone			Person		http://example.org/6630443#Agent700-47	
Tanamachi, Mike			Tanamachi, Mike				Tanamachi, Mike			Person		http://example.org/6630443#Agent700-48	
Boshers, Sue			Boshers, Sue				Boshers, Sue			Person		http://example.org/6630443#Agent700-49	
Valk, Laurens	n2010015270		Valk, Laurens	n2010015270	n2010015270	0.9285714285714286	Valk, Laurens			Person		http://example.org/6630444#Agent100-16	276607586
Harrington, John, 1966-	n2002106937		Harrington, John, 1966-	n2002106937	n2002106937	1	Harrington, John, 1966-			Person		http://example.org/6630460#Agent100-18	46127990
Cavanagh, Leo, 1951-	n2003082834		Cavanagh, Leo, 1951-	n2003082834	n2003082834	1	Cavanagh, Leo, 1951-			Person		http://example.org/6630461#Agent100-18	6771743
Ford, Jerry Lee			Ford, Jerry Lee				Ford, Jerry Lee			Person		http://example.org/6630462#Agent100-19	100860252
Parker, Ian, 1956- 	n88163180		Parker, Ian, 1956- 	n88163180	n88163180	0.8181818181818182	Parker, Ian, 1956- 			Person		http://example.org/6637768#Agent100-21	27148576
Parker, Ian, 1956- 	n88163180		Parker, Ian, 1956- 	n88163180	n88163180	0.8181818181818182	Parker, Ian, 1956- 			Person		http://example.org/6637872#Agent100-22	27148576
Preedy, Victor R	n95802455		Preedy, Victor R	n95802455	n95802455	0.9411764705882353	Preedy, Victor R			Person		http://example.org/6638076#Agent700-37	37066408
Ellobody, Ehab	no2013131622		Ellobody, Ehab	no2013131622	no2013131622	0.9333333333333333	Ellobody, Ehab			Person		http://example.org/6638091#Agent100-21	305456376
Quilter, J. David			Quilter, J. David				Quilter, J. David			Person		http://example.org/6638265#Agent100-25	
Scuderi, Giles R	n94802371		Scuderi, Giles R	n94802371	n94802371	0.9411764705882353	Scuderi, Giles R			Person		http://example.org/6651169#Agent100-19	17477437
Tria, Alfred J., Jr	n88211232		Tria, Alfred J., Jr	n88211232	n88211232	0.95	Tria, Alfred J., Jr			Person		http://example.org/6651169#Agent700-40	
Long, William J. (William John)	n2014182631		Long, William J. (William John)	n2014182631	n2014182631	1	Long, William J. (William John)			Person		http://example.org/6651169#Agent700-41	307435181
Kang, Michael N. (Michael Naejung), 1973- 	n2014182632		Kang, Michael N. (Michael Naejung), 1973-	n2014182632	n2014182632	1	Kang, Michael N. (Michael Naejung), 1973- 			Person		http://example.org/6651169#Agent700-42	307435182
Miller, Mark D	n92800299		Miller, Mark D	n92800299	n92800299	0.9333333333333333	Miller, Mark D			Person		http://example.org/6651171#Agent700-40	44532190
Thompson, Stephen R	no2012151053		Thompson, Stephen R	no2012151053	no2012151053	0.95	Thompson, Stephen R			Person		http://example.org/6651171#Agent700-41	300044160
Gorod, Alex	n2014013354		Gorod, Alex	n2014013354	n2014013354	1	Gorod, Alex			Person		http://example.org/6657799#Agent700-28	307429187
White, Brian E			White, Brian E				White, Brian E			Person		http://example.org/6657799#Agent700-29	
Ireland, Vernon			Ireland, Vernon				Ireland, Vernon			Person		http://example.org/6657799#Agent700-30	188486062
Gandhi, S. Jimmy			Gandhi, S. Jimmy				Gandhi, S. Jimmy			Person		http://example.org/6657799#Agent700-31	
Sauser, Brian	n2007058897		Sauser, Brian	n2007058897	n2007058897	1	Sauser, Brian			Person		http://example.org/6657799#Agent700-32	11759896
Chen, Tuhao	n2014028316		Chen, Tuhao	n2014028316	n2014028316	1	Chen, Tuhao			Person		http://example.org/6657803#Agent100-14	308753072
West, Brady T	n2006027230		West, Brady T	n2006027230	n2006027230	0.9285714285714286	West, Brady T			Person		http://example.org/6657805#Agent100-14	70813934
Welch, Kathleen B	n2006027235		Welch, Kathleen B	n2006027235	n2006027235	0.9444444444444444	Welch, Kathleen B			Person		http://example.org/6657805#Agent700-29	270894623
Gałecki, Andrzej T	n2006027240		Gałecki, Andrzej T	n2006027240	n2006027240	0.9473684210526315	Gałecki, Andrzej T			Person		http://example.org/6657805#Agent700-30	273258977
