Column 1	VIAFP	VIAF-ID	score	Cor	VIAFC	score-c	Column 2	Column 3	Column 4	blank
Drovetti, Bernardino, 1776-1852	39399994	39399994	1	Drovetti, Bernardino, 1776-1852			Person		http://example.org/1000231#Agent100-13	
Drovetti, Bernardino, 1776-1852	39399994	39399994	1	Drovetti, Bernardino, 1776-1852			Person		http://example.org/1000231#Agent600-25	
Curto, Silvio	79046945	79046945	1	Curto, Silvio			Person		http://example.org/1000231#Agent700-29	
Donatelli, Laura	194376566	194376566	1	Donatelli, Laura			Person		http://example.org/1000231#Agent700-30	
Ghiazza, Silvana	299698228	299698228	1	Ghiazza, Silvana			Person		http://example.org/1000458#Agent100-9	
Leopardi, Giacomo, 1798-1837	12311353	12311353	0.9655172414	Leopardi, Giacomo, 1798-1837			Person		http://example.org/1000458#Agent600-19	
Franck, Irene M	109331534	109331534	0.9375	Franck, Irene M			Person		http://example.org/1000802#Agent100-12	
Brownstone, David M	273533020	273533020	1	Brownstone, David M			Person		http://example.org/1000802#Agent700-29	
Franck, Irene M	109331534	109331534	0.9375	Franck, Irene M			Person		http://example.org/1000809#Agent100-12	
Brownstone, David M	273533020	273533020	1	Brownstone, David M			Person		http://example.org/1000809#Agent700-28	
Lalewicz, Janusz	9871085	9871085	1	Lalewicz, Janusz			Person		http://example.org/1000839#Agent100-11	
Kuhn, Annette	100213103	100213103	1	Kuhn, Annette			Person		http://example.org/1000867#Agent100-15	
Castellanos, Rosario	97344364	97344364	1	Castellanos, Rosario			Person		http://example.org/1001086#Agent100-11	
Huber, Sallie Craig	6205997	6205997	1	Huber, Sallie Craig			Person		http://example.org/1001181#Agent700-19	
Social Marketing International Association				Social Marketing International Association			Organization		http://example.org/1001181#Agent710-20	
William &amp; Flora Hewlett Foundation				William &amp; Flora Hewlett Foundation			Organization		http://example.org/1001181#Agent710-21	
Alberta. Alberta Municipal Affairs. Planning Services Division				Alberta. Alberta Municipal Affairs. Planning Services Division			Jurisdiction		http://example.org/1001198#Agent710-18	
Alberta. Alberta Municipal Affairs. Planning Services Division				Alberta. Alberta Municipal Affairs. Planning Services Division			Jurisdiction		http://example.org/1001199#Agent710-18	
Alberta. Alberta Municipal Affairs. Planning Services Division				Alberta. Alberta Municipal Affairs. Planning Services Division			Jurisdiction		http://example.org/1001202#Agent710-18	
Gallop, Jane, 1952-	97833756	97833756	0.8260869565	Gallop, Jane, 1952-			Person		http://example.org/1001292#Agent100-15	
Lacan, Jacques, 1901-1981	36920510	36920510	0.9615384615	Lacan, Jacques, 1901-1981			Person		http://example.org/1001292#Agent600-25	
Conomos, Dimitri E	7441475	7441475	0.9473684211	Conomos, Dimitri E			Person		http://example.org/1001305#Agent100-15	
Orthodox Eastern Church		122708852		Orthodox Eastern Church	122708852	1	Organization		http://example.org/1001305#Agent610-26	
Elisseeff, Danielle				Elisseeff, Danielle			Person		http://example.org/1001312#Agent100-15	
Elisseeff, Vadime	27064035	27064035	0.9444444444	Elisseeff, Vadime			Person		http://example.org/1001312#Agent700-29	
Centre national des lettres		129610359		Centre national des lettres	129610359	0.9642857143	Organization		http://example.org/1001312#Agent710-30	
Goria, Wade R	110932342	110932342	0.9285714286	Goria, Wade R			Person		http://example.org/1001338#Agent100-14	
Noel, Keith				Noel, Keith			Person		http://example.org/1001365#Agent700-22	
Mintz, Morton	12838687	12838687	1	Mintz, Morton			Person		http://example.org/1001376#Agent100-13	
A.H. Robins Company		150028354		A.H. Robins Company	150028354	1	Organization		http://example.org/1001376#Agent610-24	
Tinè Bertocchi, Fernanda	3.69146997397019E+020	3.69146997397019E+020	1	Tinè Bertocchi, Fernanda			Person		http://example.org/1001379#Agent100-13	
Delorenzo, Anthony	48241931	48241931	1	Delorenzo, Anthony			Person		http://example.org/1001385#Agent100-13	
Dunand, Jean, 1877-1942	39429002	39429002	1	Dunand, Jean, 1877-1942			Person		http://example.org/1001385#Agent600-22	
Dunand, Jean, 1877-1942	39429002	39429002	1	Dunand, Jean, 1877-1942			Person		http://example.org/1001385#Agent700-26	
Caplan, Jay	134719	134719	1	Caplan, Jay			Person		http://example.org/1001394#Agent100-15	
Diderot, Denis, 1713-1784	54146831	54146831	0.9615384615	Diderot, Denis, 1713-1784			Person		http://example.org/1001394#Agent600-26	
Diderot, Denis, 1713-1784	54146831	54146831	0.9615384615	Diderot, Denis, 1713-1784			Person		http://example.org/1001394#Agent600-27	
Birds Australia		134762098		Birds Australia	134762098	0.9375	Organization		http://example.org/1001399#Agent610-22	
Keast, Allen	44387223	44387223	0.9230769231	Keast, Allen			Person		http://example.org/1001399#Agent700-25	
Royal Australasian Ornithologists' Union		154258242		Royal Australasian Ornithologists' Union	154258242	1	Organization		http://example.org/1001399#Agent710-26	
Seabrook, Jeremy, 1939-	108785222	108785222	0.8518518519	Seabrook, Jeremy, 1939-			Person		http://example.org/1001415#Agent100-11	
Mosconi, Davide	22769081	22769081	1	Mosconi, Davide			Person		http://example.org/1001500#Agent100-9	
Villarosa, Riccardo, 1950-	32585740	32585740	1	Villarosa, Riccardo, 1950-			Person		http://example.org/1001500#Agent700-19	
Joslin, Mary Coker, 1922-	14896572	14896572	0.8928571429	Joslin, Mary Coker, 1922-			Person		http://example.org/1001558#Agent700-26	
Beisner, Monika	22681418	22681418	1	Beisner, Monika			Person		http://example.org/1001609#Agent100-13	
Wooster, Warren S. (Warren Scriver), 1921-	105808317	105808317	1	Wooster, Warren S. (Warren Scriver), 1921-			Person		http://example.org/1001639#Agent700-23	
Fluharty, David L., 1946-	35876454	35876454	1	Fluharty, David L., 1946-			Person		http://example.org/1001639#Agent700-24	
Washington Sea Grant Program		156566314		Washington Sea Grant Program	156566314	1	Organization		http://example.org/1001639#Agent710-25	
International Recruitment Investigations in the Subarctic (Group)		134806383		International Recruitment Investigations in the Subarctic (Group)	134806383	1	Organization		http://example.org/1001639#Agent710-26	
Tremain, Rose	49285360	49285360	1	Tremain, Rose			Person		http://example.org/1001721#Agent100-13	
Marks, Alan				Marks, Alan			Person		http://example.org/1001721#Agent700-24	
Pilling, Ann	9.79214906843216E+021	9.79214906843216E+021	1	Pilling, Ann			Person		http://example.org/1001724#Agent100-13	
Clifford, Rowan	73007598	73007598	1	Clifford, Rowan			Person		http://example.org/1001724#Agent700-23	
Institute on Legal Aspects of Doing Business in Canada and the United States (1985 : Toronto, Ont.)				Institute on Legal Aspects of Doing Business in Canada and the United States (1985 : Toronto, Ont.)			Meeting		http://example.org/1001976#Agent111-11	
Law Society of Upper Canada		135899225		Law Society of Upper Canada	135899225	1	Organization		http://example.org/1001976#Agent710-27	
Law Society of Upper Canada. Dept. of Education		148860160		Law Society of Upper Canada. Dept. of Education	148860160	1	Organization		http://example.org/1001976#Agent710-28	
Sydenham, P. H	108496773	108496773	0.9333333333	Sydenham, P. H			Person		http://example.org/1001983#Agent100-12	
Laster, Janet F	110832021	110832021	0.9375	Laster, Janet F			Person		http://example.org/1001985#Agent100-9	
National Center for Research in Vocational Education (U.S.)		123889238		National Center for Research in Vocational Education (U.S.)	123889238	1	Organization		http://example.org/1001985#Agent710-23	
Peyton, K. M	40116635	40116635	0.8333333333	Peyton, K. M			Person		http://example.org/1001989#Agent100-13	
Smith, Lesley				Smith, Lesley			Person		http://example.org/1001989#Agent700-24	
Bultmann, Rudolf, 1884-1976	34464958	34464958	0.9642857143	Bultmann, Rudolf, 1884-1976			Person		http://example.org/1002074#Agent600-21	
Bultmann, Rudolf, 1884-1976	34464958	34464958	0.9642857143	Bultmann, Rudolf, 1884-1976			Person		http://example.org/1002074#Agent700-22	
Thyen, Hartwig	275027839	275027839	1	Thyen, Hartwig			Person		http://example.org/1002074#Agent700-23	
Oldenburg (Germany). Kulturdezernat		156486251		Oldenburg (Germany). Kulturdezernat	156486251	1	Jurisdiction		http://example.org/1002074#Agent710-24	
Katz, Jacob, 1904-1998	39388434	39388434	1	Katz, Jacob, 1904-1998			Person		http://example.org/1002112#Agent100-11	
Wagner, Richard, 1813-1883	29732107	29732107	0.962962963	Wagner, Richard, 1813-1883			Person		http://example.org/1002112#Agent600-21	
Grass, Günter, 1927-	102319859	102319859	1	Grass, Günter, 1927-			Person		http://example.org/1002120#Agent600-21	
Grass, Günter, 1927-	102319859	102319859	1	Grass, Günter, 1927-			Person		http://example.org/1002120#Agent700-22	
Wolff, Rudolf				Wolff, Rudolf			Person		http://example.org/1002120#Agent700-23	
Lindemann, Andreas	109980584	109980584	0.9473684211	Lindemann, Andreas			Person		http://example.org/1002122#Agent100-11	
Miller, James, 1949-				Miller, James, 1949-			Person		http://example.org/1002124#Agent100-13	
Miller, James, 1949-				Miller, James, 1949-			Person		http://example.org/1002124#Agent600-23	
Jones, Aubrey B	28400515	28400515	0.9375	Jones, Aubrey B			Person		http://example.org/1002313#Agent100-12	
Jones, Aubrey, 1965-	6356393	6356393	1	Jones, Aubrey, 1965-			Person		http://example.org/1002313#Agent700-26	
Payne, Darwin Reid	75151094	75151094	1	Payne, Darwin Reid			Person		http://example.org/1002335#Agent100-14	
Payne, Darwin Reid	75151094	75151094	1	Payne, Darwin Reid			Person		http://example.org/1002335#Agent700-28	
Moore, Larry F., 1934-	17338249	17338249	1	Moore, Larry F., 1934-			Person		http://example.org/1002352#Agent700-24	
Vancouver Volunteer Centre		154702905		Vancouver Volunteer Centre	154702905	1	Organization		http://example.org/1002352#Agent710-25	
Johansson, Boo	276463123	276463123	1	Johansson, Boo			Person		http://example.org/1002380#Agent100-10	
International Symposium on Moisture and Humidity (1985 : Washington, D.C.)				International Symposium on Moisture and Humidity (1985 : Washington, D.C.)			Meeting		http://example.org/1002435#Agent111-12	
American Meteorological Society		147081574		American Meteorological Society	147081574	0.935483871	Organization		http://example.org/1002435#Agent710-23	
International Symposium on Moisture and Humidity		8.81449287351544E+019		International Symposium on Moisture and Humidity	8.81449287351544E+019	1	Meeting		http://example.org/1002435#Agent711-24	
Franks, Julian R	27127132	27127132	0.9411764706	Franks, Julian R			Person		http://example.org/1002457#Agent100-12	
Broyles, J. E	307202352	307202352	0.9285714286	Broyles, J. E			Person		http://example.org/1002457#Agent700-22	
Carleton, Willard T	45707453	45707453	0.95	Carleton, Willard T			Person		http://example.org/1002457#Agent700-23	
Safir, Marilyn	26009897	26009897	1	Safir, Marilyn			Person		http://example.org/1002490#Agent700-27	
Society for the Psychological Study of Social Issues		131184348		Society for the Psychological Study of Social Issues	131184348	0.9230769231	Organization		http://example.org/1002490#Agent710-28	
International Interdisciplinary Congress on Women. (1st : 1982 : University of Haifa)				International Interdisciplinary Congress on Women. (1st : 1982 : University of Haifa)			Meeting		http://example.org/1002490#Agent711-29	
International Interdisciplinary Congress on Women		129057151		International Interdisciplinary Congress on Women	129057151	1	Meeting		http://example.org/1002490#Agent711-30	
Thomson, Peter, 1938-	64020126	64020126	0.84	Thomson, Peter, 1938-			Person		http://example.org/1002689#Agent100-12	
Salgādo, Gāmini, 1929-1985	108264711	108264711	0.8461538462	Salgādo, Gāmini, 1929-1985			Person		http://example.org/1002689#Agent700-22	
Allen, W. B. (William Barclay), 1944-	97618156	97618156	0.972972973	Allen, W. B. (William Barclay), 1944-			Person		http://example.org/1002694#Agent700-23	
Lloyd, Gordon, 1942-	281806686	281806686	1	Lloyd, Gordon, 1942-			Person		http://example.org/1002694#Agent700-24	
Lloyd, Margie	3885686	3885686	0.9285714286	Lloyd, Margie			Person		http://example.org/1002694#Agent700-25	
Eldin, Peter, 1939-	102164037	102164037	1	Eldin, Peter, 1939-			Person		http://example.org/1002712#Agent100-11	
Rutland, Peter	61644459	61644459	1	Rutland, Peter			Person		http://example.org/1002793#Agent100-13	
Gastech LNG &amp; LPG Conference. (10th : 1984 : Amsterdam, Holland)				Gastech LNG &amp; LPG Conference. (10th : 1984 : Amsterdam, Holland)			Meeting		http://example.org/1002810#Agent111-10	
Gastech Ltd		125525772		Gastech Ltd	125525772	0.9166666667	Organization		http://example.org/1002810#Agent710-25	
Kilner, Geoffrey	87836070	87836070	1	Kilner, Geoffrey			Person		http://example.org/1002852#Agent100-13	
Omar Khayyam	100210377	100210377	0.9166666667	Omar Khayyam			Person		http://example.org/1295856#Agent100-11	
FitzGerald, Edward				FitzGerald, Edward			Person		http://example.org/1295856#Agent700-21	
Ram, Bali	4102761	4102761	1	Ram, Bali			Person		http://example.org/1295879#Agent100-16	
Romani͡uk, A				Romani͡uk, A			Person		http://example.org/1295879#Agent700-30	
Canada. Indian and Northern Affairs Canada. Corporate Policy. Research Branch		132448137		Canada. Indian and Northern Affairs Canada. Corporate Policy. Research Branch	132448137	1	Jurisdiction		http://example.org/1295879#Agent710-31	
Canada. Dept. of Indian Affairs and Northern Development		149638204		Canada. Dept. of Indian Affairs and Northern Development	149638204	0.9016393443	Jurisdiction		http://example.org/1295879#Agent710-32	
Statistics Canada		132440675		Statistics Canada	132440675	1	Organization		http://example.org/1295879#Agent710-33	
Rowe, G				Rowe, G			Person		http://example.org/1295882#Agent100-16	
Norris, M. J				Norris, M. J			Person		http://example.org/1295882#Agent700-30	
Statistics Canada		132440675		Statistics Canada	132440675	1	Organization		http://example.org/1295882#Agent710-31	
Canada. Indian and Northern Affairs Canada. Corporate Policy. Research Branch		132448137		Canada. Indian and Northern Affairs Canada. Corporate Policy. Research Branch	132448137	1	Jurisdiction		http://example.org/1295882#Agent710-32	
Canada. Dept. of Indian Affairs and Northern Development		149638204		Canada. Dept. of Indian Affairs and Northern Development	149638204	0.9016393443	Jurisdiction		http://example.org/1295882#Agent710-33	
Riley, Philip	88924	88924	1	Riley, Philip			Person		http://example.org/1296421#Agent700-24	
Université de Nancy II. Centre de recherches et d'applications pédagogiques en langues		142660131		Université de Nancy II. Centre de recherches et d'applications pédagogiques en langues	142660131	1	Organization		http://example.org/1296421#Agent710-25	
Grahn, Judy, 1940-	108422923	108422923	0.8181818182	Grahn, Judy, 1940-			Person		http://example.org/1296705#Agent100-13	
Freedman, Estelle B., 1947-	72554614	72554614	0.8709677419	Freedman, Estelle B., 1947-			Person		http://example.org/1296772#Agent700-22	
Obichere, Boniface I	112660849	112660849	0.9523809524	Obichere, Boniface I			Person		http://example.org/1297008#Agent700-20	
Norris, M. J				Norris, M. J			Person		http://example.org/1297108#Agent100-12	
Canada. Indian and Northern Affairs Canada		149638204		Canada. Indian and Northern Affairs Canada	149638204	1	Jurisdiction		http://example.org/1297108#Agent710-26	
Canada. Indian and Northern Affairs Canada. Corporate Policy. Research Branch		132448137		Canada. Indian and Northern Affairs Canada. Corporate Policy. Research Branch	132448137	1	Jurisdiction		http://example.org/1297108#Agent710-27	
Statistics Canada. Demography Division		155434403		Statistics Canada. Demography Division	155434403	1	Organization		http://example.org/1297108#Agent710-28	
Jean Renart, 12th/13th century	315946341	315946341	1	Jean Renart, 12th/13th century			Person		http://example.org/1297264#Agent100-14	
Levy, B. J. (Brian Joseph)	93341232	93341232	1	Levy, B. J. (Brian Joseph)			Person		http://example.org/1297264#Agent700-28	
Hindley, A				Hindley, A			Person		http://example.org/1297264#Agent700-29	
Langley, Frederick William, 1938-	117238189	117238189	1	Langley, Frederick William, 1938-			Person		http://example.org/1297264#Agent700-30	
Lancaster, David				Lancaster, David			Person		http://example.org/1297397#Agent100-11	
Unesco. Regional Office for Education in Asia and the Pacific		139040330		Unesco. Regional Office for Education in Asia and the Pacific	139040330	1	Organization		http://example.org/1297397#Agent710-25	
Singh, Tejvir, 1930-	111454584	111454584	1	Singh, Tejvir, 1930-			Person		http://example.org/1298015#Agent700-25	
Jagdish Kaur	77638497	77638497	1	Jagdish Kaur			Person		http://example.org/1298015#Agent700-26	
Québec (Province). Assemblée nationale. Commission permanente de la culture		122820914		Québec (Province). Assemblée nationale. Commission permanente de la culture	122820914	1	Jurisdiction		http://example.org/1298184#Agent710-24	
Flores, Romeo M	24690566	24690566	0.9375	Flores, Romeo M			Person		http://example.org/1298245#Agent700-26	
Society of Economic Paleontologists and Mineralogists		136621217		Society of Economic Paleontologists and Mineralogists	136621217	0.9814814815	Organization		http://example.org/1298245#Agent710-27	
Ashley, Gail Mowry				Ashley, Gail Mowry			Person		http://example.org/1298265#Agent700-21	
Shaw, John, M.D				Shaw, John, M.D			Person		http://example.org/1298265#Agent700-22	
Smith, Norman Kemp, 1872-1958	51772529	51772529	1	Smith, Norman Kemp, 1872-1958			Person		http://example.org/1298265#Agent700-23	
Society of Economic Paleontologists and Mineralogists		136621217		Society of Economic Paleontologists and Mineralogists	136621217	0.9814814815	Organization		http://example.org/1298265#Agent710-24	
Gautier, Donald L	94491167	94491167	0.9444444444	Gautier, Donald L			Person		http://example.org/1298278#Agent100-10	
Kharaka, Yousif K	1585071	1585071	0.9444444444	Kharaka, Yousif K			Person		http://example.org/1298278#Agent700-26	
Surdam, Ronald C	91798334	91798334	0.9411764706	Surdam, Ronald C			Person		http://example.org/1298278#Agent700-27	
Society of Economic Paleontologists and Mineralogists		136621217		Society of Economic Paleontologists and Mineralogists	136621217	0.9814814815	Organization		http://example.org/1298278#Agent710-28	
Austria. Bundespressedienst		149011246		Austria. Bundespressedienst	149011246	0.9642857143	Jurisdiction		http://example.org/1298369#Agent710-22	
Austria. Bundespressedienst		149011246		Austria. Bundespressedienst	149011246	0.9642857143	Jurisdiction		http://example.org/1298371#Agent710-19	
Minnick, William H	167045729	167045729	0.9473684211	Minnick, William H			Person		http://example.org/1298603#Agent100-12	
Koniecko, Edward S., 1913-	72809275	72809275	1	Koniecko, Edward S., 1913-			Person		http://example.org/1298993#Agent100-12	
Koniecko, Edward S., 1913-	72809275	72809275	1	Koniecko, Edward S., 1913-			Person		http://example.org/1298993#Agent700-25	
Institution of Civil Engineers (Great Britain)		127265858		Institution of Civil Engineers (Great Britain)	127265858	1	Organization		http://example.org/1298995#Agent710-22	
Miller, Donald L., 1944-	57810088	57810088	0.8571428571	Miller, Donald L., 1944-			Person		http://example.org/1299076#Agent100-13	
Sharpless, Richard E	18640999	18640999	0.9523809524	Sharpless, Richard E			Person		http://example.org/1299076#Agent700-26	
Yoshioka, Minoru, 1919-1990	108779235	108779235	1	Yoshioka, Minoru, 1919-1990			Person		http://example.org/1299746#Agent100-13	
Onuma, Tadayoshi, 1943-	306071724	306071724	1	Onuma, Tadayoshi, 1943-			Person		http://example.org/1299746#Agent700-28	
Ōoka, Makoto, 1931-	83446120	83446120	1	Ōoka, Makoto, 1931-			Person		http://example.org/1299746#Agent700-29	
Tsuruoka, Yoshihisa, 1936-	75175640	75175640	1	Tsuruoka, Yoshihisa, 1936-			Person		http://example.org/1299746#Agent700-30	
Iijima, Kōichi, 1930-2013	108132705	108132705	0.96	Iijima, Kōichi, 1930-2013			Person		http://example.org/1299746#Agent700-31	
Smith, Godfrey, 1926-	110539505	110539505	1	Smith, Godfrey, 1926-			Person		http://example.org/1299782#Agent100-12	
Veltruský, Jarmila F	246005456	246005456	0.8636363636	Veltruský, Jarmila F			Person		http://example.org/1300143#Agent100-13	
Wotke, Herbert				Wotke, Herbert			Person		http://example.org/1300365#Agent700-22	
Austria. Bundespressedienst		149011246		Austria. Bundespressedienst	149011246	0.9642857143	Jurisdiction		http://example.org/1300365#Agent710-23	
Québec (Province). Ministère de l'énergie et des ressources				Québec (Province). Ministère de l'énergie et des ressources			Jurisdiction		http://example.org/1300857#Agent710-20	
Gordon, Bonnie Bilyeu	37510462	37510462	1	Gordon, Bonnie Bilyeu			Person		http://example.org/1301307#Agent700-22	
Bose, N. K. (Nirmal K.), 1940-	108149097	108149097	0.9666666667	Bose, N. K. (Nirmal K.), 1940-			Person		http://example.org/1301767#Agent700-21	
Guiver, J. P	306071207	306071207	0.9230769231	Guiver, J. P			Person		http://example.org/1301767#Agent700-22	
Rouillard, Jacques, 1945-	73875064	73875064	0.8620689655	Rouillard, Jacques, 1945-			Person		http://example.org/1301789#Agent100-13	
Wright, R. Thomas				Wright, R. Thomas			Person		http://example.org/1301987#Agent100-12	
Henak, Richard M	271615280	271615280	0.9411764706	Henak, Richard M			Person		http://example.org/1301987#Agent700-26	
Henak, Richard M	271615280	271615280	0.9411764706	Henak, Richard M			Person		http://example.org/1301990#Agent100-12	
World Sanskrit Conference. (5th : 1981 : Varanasi, India)				World Sanskrit Conference. (5th : 1981 : Varanasi, India)			Meeting		http://example.org/1302126#Agent111-10	
Dandekar, Ramchandra Narayan	95224129	95224129	1	Dandekar, Ramchandra Narayan			Person		http://example.org/1302126#Agent700-22	
Navathe, P. D	110229721	110229721	0.9285714286	Navathe, P. D			Person		http://example.org/1302126#Agent700-23	
World Sanskrit Conference		153690091		World Sanskrit Conference	153690091	0.96	Meeting		http://example.org/1302126#Agent711-24	
Nimmo, A. P	104289823	104289823	1	Nimmo, A. P			Person		http://example.org/1302280#Agent100-14	
British Columbia Provincial Museum		151927875		British Columbia Provincial Museum	151927875	0.9714285714	Organization		http://example.org/1302280#Agent710-26	
Harrington, Marie	38153258	38153258	0.85	Harrington, Marie			Person		http://example.org/1302626#Agent100-11	
Harrington, M. R. (Mark Raymond), 1882-1971	9959893	9959893	0.976744186	Harrington, M. R. (Mark Raymond), 1882-1971			Person		http://example.org/1302626#Agent600-19	
Pears, Nigel	56672288	56672288	0.9230769231	Pears, Nigel			Person		http://example.org/1302718#Agent100-12	
Maugham, W. Somerset (William Somerset), 1874-1965	66470937	66470937	0.9615384615	Maugham, W. Somerset (William Somerset), 1874-1965			Person		http://example.org/1302800#Agent100-15	
McQuillen, Michael J., 1944-	262985836	262985836	0.875	McQuillen, Michael J., 1944-			Person		http://example.org/1303604#Agent100-13	
Hammermill Paper Company		137173562		Hammermill Paper Company	137173562	1	Organization		http://example.org/1303604#Agent610-21	
Garvey, William P., 1935-	268539958	268539958	0.8620689655	Garvey, William P., 1935-			Person		http://example.org/1303604#Agent700-23	
Yale Center for British Art		155449049		Yale Center for British Art	155449049	0.9642857143	Organization		http://example.org/1303635#Agent110-13	
Yale Center for British Art		155449049		Yale Center for British Art	155449049	0.9642857143	Organization		http://example.org/1303635#Agent610-21	
Cormack, Malcolm	79104484	79104484	0.9411764706	Cormack, Malcolm			Person		http://example.org/1303635#Agent700-25	
Pytlik, Edward C	274217462	274217462	1	Pytlik, Edward C			Person		http://example.org/1303930#Agent100-12	
Lauda, Donald P	48227548	48227548	0.9375	Lauda, Donald P			Person		http://example.org/1303930#Agent700-23	
Johnson, David L				Johnson, David L			Person		http://example.org/1303930#Agent700-24	
World Eagle, Inc		155859751		World Eagle, Inc	155859751	0.9411764706	Organization		http://example.org/1303935#Agent110-14	
Kamat, A. R., 1912-	91922092	91922092	0.8260869565	Kamat, A. R., 1912-			Person		http://example.org/1303997#Agent100-13	
Grob, Gerald N., 1931-	14854091	14854091	0.8461538462	Grob, Gerald N., 1931-			Person		http://example.org/1304257#Agent100-14	
Hall, Marion	100310351	100310351	1	Hall, Marion			Person		http://example.org/1304336#Agent100-13	
Macintyre, Sally	53154451	53154451	1	Macintyre, Sally			Person		http://example.org/1304336#Agent700-25	
Porter, Maureen	50690323	50690323	1	Porter, Maureen			Person		http://example.org/1304336#Agent700-26	
Koel, Leonard	1449162	1449162	1	Koel, Leonard			Person		http://example.org/1304554#Agent100-13	
Giachino, Joseph William, 1906-2000	1255583	1255583	1	Giachino, Joseph William, 1906-2000			Person		http://example.org/1304572#Agent100-16	
Weeks, William R	279585155	279585155	0.9411764706	Weeks, William R			Person		http://example.org/1304572#Agent700-27	
Leeds, Anthony R	72966112	72966112	0.9411764706	Leeds, Anthony R			Person		http://example.org/1305090#Agent700-24	
Avenell, Alison	70503299	70503299	1	Avenell, Alison			Person		http://example.org/1305090#Agent700-25	
Burley, Victoria J				Burley, Victoria J			Person		http://example.org/1305090#Agent700-26	
Nizon, Paul	39391021	39391021	1	Nizon, Paul			Person		http://example.org/1305141#Agent100-11	
Nizon, Paul	39391021	39391021	1	Nizon, Paul			Person		http://example.org/1305141#Agent600-22	
Petro-Canada		123074457		Petro-Canada	123074457	0.9166666667	Organization		http://example.org/1305389#Agent110-10	
Environmental Law Centre (Alta.)		168489965		Environmental Law Centre (Alta.)	168489965	1	Organization		http://example.org/1305389#Agent710-21	
Živković, Dragiša	71429410	71429410	1	Živković, Dragiša			Person		http://example.org/1305393#Agent100-9	
Kostić, Laza, 1841-1910	61653423	61653423	1	Kostić, Laza, 1841-1910			Person		http://example.org/1305393#Agent600-19	
Grümmer, Gerhard	71433073	71433073	1	Grümmer, Gerhard			Person		http://example.org/1305544#Agent100-12	
Institution of Civil Engineers (Great Britain)		127265858		Institution of Civil Engineers (Great Britain)	127265858	1	Organization		http://example.org/1306027#Agent710-18	
Great Britain. Manpower Services Commission		138899986		Great Britain. Manpower Services Commission	138899986	1	Jurisdiction		http://example.org/1306027#Agent710-19	
