Veksner, Simon,	Person		http://example.org/6815285#Agent100-13
Trompenaars, Alfons,	Person		http://example.org/6815638#Agent100-19
Coebergh, Piet Hein, 1966-	Person		http://example.org/6815638#Agent700-31
Hawley, Casey Fitts.	Person		http://example.org/6849493#Agent100-14
Silvis, Carol A.	Person		http://example.org/6784064#Agent100-15
Austin, Charles Michael,	Person		http://example.org/6630311#Agent100-36
Johns, Beverley H. (Beverley Holden),	Person		http://example.org/6803415#Agent100-16
Rabaté, Jean-Michel,	Person		http://example.org/6849270#Agent700-27
Jackson, Andrew Grant, 1969-	Person		http://example.org/6815465#Agent100-17
Covell, Alice,	Person		http://example.org/6861337#Agent100-13
Chaudhry, Asif,	Person		http://example.org/6797111#Agent700-32
Schaub, Grace,	Person		http://example.org/6784467#Agent700-32
Schaub, George,	Person		http://example.org/6784467#Agent700-33
Klemens, Ben.	Person		http://example.org/6752591#Agent100-16
Heine, Jorge,	Person		http://example.org/6773611#Agent100-20
Organization of American States.	Organization		http://example.org/6773611#Agent610-33
Weiffen, Brigitte,	Person		http://example.org/6773611#Agent700-37
Collins, George (George Benjamin), 1989-	Person		http://example.org/6766249#Agent100-19
Davis, James (James Stephen), 1989- ,	Person		http://example.org/6766249#Agent700-32
Swift, Oscar, 1988- ,	Person		http://example.org/6766249#Agent700-33
Beynon, H. L. C.,	Person		http://example.org/6766249#Agent700-34
Gansky, Alton,	Person		http://example.org/6815374#Agent100-15
Caffee, Marc W.,	Person		http://example.org/6720301#Agent700-37
King, R. (Roger), 1942-	Person		http://example.org/6809086#Agent100-24
East, Bob (Conflict researcher)	Person		http://example.org/6775553#Agent100-24
Rodwell, Warren.	Person		http://example.org/6775553#Agent600-36
Abu Sayyaf (Organization)	Organization		http://example.org/6775553#Agent610-37
Schwartz, Pepper,	Person		http://example.org/6797112#Agent100-20
Kempner, Martha,	Person		http://example.org/6797112#Agent700-36
Obenchain, Kathryn M.	Person		http://example.org/6520899#Agent100-16
Morris, Ronald V.	Person		http://example.org/6520899#Agent700-29
International Symposium on High-Temperature Metallurgical Processing (6th : 2015 : Orlando, Florida)	Meeting		http://example.org/6855804#Agent111-23
Jiang, Tao,	Person		http://example.org/6855804#Agent700-41
Minerals, Metals and Materials Society,	Organization		http://example.org/6855804#Agent710-42
Lutchman, Chitram,	Person		http://example.org/6812765#Agent100-14
Evans, Douglas,	Person		http://example.org/6812765#Agent700-29
Ghanem, Waddah,	Person		http://example.org/6812765#Agent700-30
Maharaj, Rohanie,	Person		http://example.org/6812765#Agent700-31
Grenier, Robert (Robert L.),	Person		http://example.org/6815424#Agent100-19
Grenier, Robert (Robert L.)	Person		http://example.org/6815424#Agent600-32
United States. Central Intelligence Agency	Jurisdiction		http://example.org/6815424#Agent610-33
Duckworth, Cheryl Lynn,	Person		http://example.org/6783898#Agent100-29
Low, Adam, 1982-	Person		http://example.org/6774241#Agent700-36
Hulme, Jonathan, 1974-	Person		http://example.org/6774241#Agent700-37
Morgan, Adam.	Person		http://example.org/6802859#Agent100-20
