;
-----------------------------------------------------------
:
-----------------------------------------------------------
-
-----------------------------------------------------------
/
2016/1/8 	 4	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/d7/91/sj/88/d791sj88c
2016/4/7 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/dr/26/z1/27/dr26z127d
2016/2/6 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/mw/22/v7/98/mw22v7981
2016/8/3 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/pr/76/f6/28/pr76f628x
2014/01/ 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/r7/81/wg/70/r781wg708
2013/09/ 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/qj/72/p8/81/qj72p8814
-----------------------------------------------------------
.
-----------------------------------------------------------
,
-----------------------------------------------------------
 
1954 [?] 	 3	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/b8/s4/5q/88/b8s45q884d
May 2012 	 2	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/2b/88/qd/25/2b88qd25n
May 2015 	 13	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/bg/m8/0h/v3/bgm80hv391
May 2016 	 1	http://gillingham.library.ualberta.ca:8080/fedora/rest/prod/gh/93/h2/22/gh93h222w
-----------------------------------------------------------
