001	024	100$a	245	246	605	651$a	652$a	520$a	501	544$c	556$b	557$a	544$d	555$l	544$b	556$a	008
"uab51171124\"		"Buhr, Michael David."	"10$aUltraviolet laser pulse amplification in Ce:LLF$h[electronic resource] /$cby Michael David Buhr."														"140319s2001\\\\xx\ad\\\obm\\\000\0\eng\d"
"uab689007792"		"Cuny, Robert."	"10$aEffects of mammalian pituitary hormone preparations on the cultured newt iris$h[electronic resource] :$bstimulation of lens regeneration by some thyrotropin preparations /$cby Robert Cuny."														"140319s1982\\\\xx\ad\\\obm\\\000\0\eng\d"
"uab417275108"		"Mahadoo, Balwanth."	"10$aRomain Rolland, India and Vedanta$h[electronic resource] /$cby Balwanth Mahadoo."			"India"											"140319s1982\\\\xx\\\\\\obm\\\000\0\eng\d"
"uab46863349\"		"Hayes, Brad James Richard,"	"10$aUpper Jurassic and Lower Cretaceous stratigraphy of southern Alberta and north-central Montana$h[electronic resource] /$cby Brad James Richard Hayes."														"140319s1982\\\\xx\abf\\obm\\\000\0\eng\d"
"uab12339770\"		"Moazzami, Bakhtiar,"	"12$aA Monte Carlo study of the small sample properties of simultaneous equation estimators in the presence of autocorrelated disturbances$h[electronic resource] /$cby Bakhtiar Moazzami."														"140319r1984uuuuxx\\\\\\obm\\\000\0\eng\d"
"uab16043081\"		"Alves, Teresinha do M. J."	"10$aPrestressed concrete beams with large web openings$h[electronic resource] /$cby Teresinha do Menino Jesus."														"140319s1984\\\\xx\a\\\\obm\\\000\0\eng\d"
"uab70523066\"		"Bombin, Miguel."	"10$aOn phytoliths, late Quaternary ecology of Beringia, and information evolutionary theory$h[electronic resource] /$cby Miguel Bombin."														"140319s1984\\\\xx\a\\\\obm\\\000\0\eng\d"
"uab16762371\"		"Miller, Brian"	"10$aIdentity conflict and resolution$h[electronic resource] :$ba social psychological model of gay familymen's adaptations /$cby Brian Miller."														"140319s1983\\\\xx\a\\\\obm\\\000\0\eng\d"
"uab150635923"		"Iwuagwu, Chukurima Julian,"	"10$aLithofacies analysis depositional environment and diagenesis of the basal Belly River Formation, Southern and Central Foothills, Alberta, Canada$h[electronic resource] /$cby Chukwumaeze Julian Iwuagwu."														"140319s1983\\\\xx\ab\\\obm\\\000\0\eng\d"
"uab20860829\"		"Rumrill, Steven Seward,"	"10$aDifferential predation upon embryos and larvae of temperate Pacific echinoderms$h[electronic resource] /$cby Steven Seward Rumrill."														"140319s1987\\\\xx\ad\\\obm\\\000\0\eng\d"
"uab70503291\"		"Stewart, Harold."	"12$aA case study of a methods program in English as a second language in St. Vincent, West Indies$h[electronic resource] /$cby Harold Stewart."	"18$aStudy of ESL methods program in St. Vincent"													"140319s1993\\\\xx\a\\\\obm\\\000\0\eng\d"
"uab56279363\"		"Binnema, Theodore,"	"14$aThe common and contested ground$h[electronic resource] :$ba history of the northwestern plains from A.D. 200 to 1806 /$cby Theodore Binnema."														"140319s1998\\\\xx\ab\\\obm\\\000\0\eng\d"
"uab768129848"		"Pickard, Richard William,"	"10$aAugustan ecology$h[electronic resource] :$benvironmental attitudes in eighteenth-century poetry /$cby Richard Pickard."														"140319s1998\\\\xx\\\\\\obm\\\000\0\eng\d"
"uab16019975\"		"Stefan, Larry,"	"10$aFacilitated within-compound learning as a function of US presentation in taste-aversion$h[electronic resource] /$cby Larry Stefan."														"140319s1983\\\\xx\a\\\\obm\\\000\0\eng\d"
"uab16019184\"		"Giles, Clinton Randy,"	"10$aStimulated Brillouin scattering in a CO[subscript 2] laser-plasma interaction$h[electronic resource] /$cby Clinton Randy Giles."														"140319s1983\\\\xx\a\\\\obm\\\000\0\eng\d"
"uab09195168"		"James, David B.,"	"10$aManual soft tissue manipulation of traumatized skeletal rabbit muscle$h[electronic resource] /$cby David B. James."														"140319s1981\\\\xx\af\\\obm\\\000\0\eng\d"
"uab09195175"		"Krstic, Dragan,"	"10$aGeochronology of the Charlebois Lake area, northeastern Saskatchewan$h[electronic resource] /$cby Dragan Krstic."														"140319s1981\\\\xx\abdf\obm\\\000\0\eng\d"
"uab09195218"		"Pike-Glover, Deborah,"	"10$aHydrochemical variations through saturated overburden deposits beneath an irrigated site in south central Alberta$h[electronic resource] /$cby Deborah Pike-Glover."														"140319s1982\\\\xx\abdf\obm\\\000\0\eng\d"
"uab09195247"		"Coleman, Shirley Jean."	"10$aCorrelates of acceptability for selected foods among Edmonton householders$h[electronic resource] /$cby Shirley Jean Coleman."														"140319s1982\\\\xx\ad\\\obm\\\000\0\eng\d"
"uab09195264"		"Fahner, Lewis G."	"10$aApplications of a finite-difference model for aquifer simulation to an area in east central Alberta$h[electronic resource] /$cby Lewis G. Fahner."														"140319s1982\\\\xx\abdf\obm\\\000\0\eng\d"
"uab09195288"		"Festa-Bianchet, Marco,"	"10$aBehavioral ecology of Columbian ground squirrels$h[electronic resource] /$cby Marco Festa-Bianchet."														"140319s1982\\\\xx\abdf\obm\\\000\0\eng\d"
"uab09195292"		"Jamieson, Ian G."	"10$aSpatial patterns and behavior of yearling male blue grouse and their relation to recruitment into the breeding population$h[electronic resource] /$cby Ian G. Jamieson."														"140319s1982\\\\xx\bdf\\obm\\\000\0\eng\d"
"uab09195296"		"Gainer, Anita Lillian,"	"12$aA biochemical study of human leukocyte alkaline phosphatase$h[electronic resource] /$cby Anita Lillian Gainer."														"140319s1982\\\\xx\df\\\obm\\\000\0\eng\d"
