Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	Column 2	Column 3	Column 4	blank
Ranulf, Svend, 1894-1953	no95054108	100	Ranulf, Svend, 1894-1953	no95054108	no95054108	1	Ranulf, Svend, 1894-1953			Person		http://example.org/1036493#Agent100-10	
Laptenok, S. D. (Sergeĭ Danilovich)	n83237854	98	Laptenok, S. D. (Sergeĭ Danilovich)	n83237854	n83237854	0.9444444444	Laptenok, S. D. (Sergeĭ Danilovich)			Person		http://example.org/1029642#Agent100-11	
Appleby, Paul Henson, 1891-	no95024327	80	Appleby, Paul Henson, 1891-				Appleby, Paul Henson, 1891-			Person		http://example.org/1044517#Agent100-10	
Louisiana State University and Agricultural and Mechanical College	n80020541	100	Louisiana State University and Agricultural and Mechanical College				Louisiana State University and Agricultural and Mechanical College			Organization		http://example.org/1044517#Agent810-21	
Wirtenberger, Henry J			Wirtenberger, Henry J				Wirtenberger, Henry J			Person		http://example.org/1009759#Agent100-10	
De Valk, Alphonse, 1924-	no2002013073	100	De Valk, Alphonse, 1924-	no2002013073	no2002013073	1	De Valk, Alphonse, 1924-			Person		http://example.org/1047866#Agent100-18	
Roberts, Warren E., 1933-	n99047821		Roberts, Warren E., 1933-	n99047821	n99047821	0.88	Roberts, Warren E., 1933-			Person		http://example.org/1023028#Agent100-11	
Marlin, Randal, 1938-	no2002103048	100	Marlin, Randal, 1938-	no2002103048	no2002103048	1	Marlin, Randal, 1938-			Person		http://example.org/107377#Agent100-10	
Haselden, Kyle	n50027428	100	Haselden, Kyle	n50027428	n50027428	1	Haselden, Kyle			Person		http://example.org/1089167#Agent100-14	
Hygen, Johan Bernitz, 1911-	n82024769	100	Hygen, Johan Bernitz, 1911-	n82024769	n82024769	1	Hygen, Johan Bernitz, 1911-			Person		http://example.org/1076537#Agent100-10	
Alekseev, N. I.	n2010066163	100	Alekseev, N. I				Alekseev, N. I			Person		http://example.org/1012325#Agent100-10	
Zhuravkov, M. K			Zhuravkov, M. K				Zhuravkov, M. K			Person		http://example.org/1001533#Agent700-23	
Lee, Orlan	n87813046	100	Lee, Orlan				Lee, Orlan			Person		http://example.org/1014911#Agent100-12	
Robertson, T. A., 1909-1973	n93020850	100	Robertson, T. A., 1909-1973	n93020850	n93020850	0.9259259259	Robertson, T. A., 1909-1973			Person		http://example.org/1014911#Agent700-22	
Glickman, Jack	n97870441	100	Glickman, Jack	n97870441	n97870441	1	Glickman, Jack			Person		http://example.org/103241#Agent700-19	
Dewey, John, 1859-1952	n79060532	100	Dewey, John, 1859-1952	n79060532	n79060532	0.9565217391	Dewey, John, 1859-1952			Person		http://example.org/1070379#Agent100-10	
Dewey, John, 1859-1952	n79060532	100	Dewey, John, 1859-1952	n79060532	n79060532	0.9565217391	Dewey, John, 1859-1952			Person		http://example.org/1070381#Agent100-16	
Gorovitz, Samuel	n82032474	100	Gorovitz, Samuel	n82032474	n82032474	0.9411764706	Gorovitz, Samuel			Person		http://example.org/104418#Agent700-33	
Fletcher, Joseph F.	n79126825	100	Fletcher, Joseph F	n79126825	n79126825	0.9473684211	Fletcher, Joseph F			Person		http://example.org/108716#Agent100-11	
Connell, Francis J. (Francis Jeremiah), 1888-1967	n97088987	100	Connell, Francis J. (Francis Jeremiah), 1888-1967	n97088987	n97088987	1	Connell, Francis J. (Francis Jeremiah), 1888-1967			Person		http://example.org/1024871#Agent100-13	
Holberg, Ludvig, 1684-1754	n79042001	100	Holberg, Ludvig, 1684-1754	n79042001	n79042001	0.962962963	Holberg, Ludvig, 1684-1754			Person		http://example.org/1024295#Agent100-9	
Højby, Sigurd	n86845626	100	Højby, Sigurd	n86845626	n86845626	1	Højby, Sigurd			Person		http://example.org/1024295#Agent700-17	
Corbett, Percy Ellwood, 1892-1983	n50020415	100	Corbett, Percy Ellwood, 1892-1983	n50020415	n50020415	1	Corbett, Percy Ellwood, 1892-1983			Person		http://example.org/1053626#Agent100-11	
Heard, Gerald, 1889-1971	n50025601	100	Heard, Gerald, 1889-1971				Heard, Gerald, 1889-1971			Person		http://example.org/1057987#Agent100-11	
Patterson, Charles Henry, 1897-	no2005022799	100	Patterson, Charles Henry, 1897-	no2005022799	no2005022799	1	Patterson, Charles Henry, 1897-			Person		http://example.org/1055381#Agent100-11	
Edgeworth, Maria, 1768-1849	n79061006	100	Edgeworth, Maria, 1768-1849	n79061006	n79061006	1	Edgeworth, Maria, 1768-1849			Person		http://example.org/1067033#Agent100-11	
Gehlen, Arnold, 1904-1976	n79133811	100	Gehlen, Arnold, 1904-1976	n79133811	n79133811	0.9615384615	Gehlen, Arnold, 1904-1976			Person		http://example.org/1058318#Agent100-9	
Dewey, Orville, 1794-1882	n87851745	100	Dewey, Orville, 1794-1882	n87851745	n87851745	1	Dewey, Orville, 1794-1882			Person		http://example.org/1009760#Agent100-12	
Murtagh, William J.	n88020737	100	Murtagh, William J	n88020737	n88020737	0.9473684211	Murtagh, William J			Person		http://example.org/109588#Agent100-12	
Montes, Arturo Humberto			Montes, Arturo Humberto				Montes, Arturo Humberto			Person		http://example.org/1063835#Agent100-12	
Morazán, Francisco, 1792-1842	n83051296	98	Morazán, Francisco, 1792-1842	n83051296	n83051296	0.9666666667	Morazán, Francisco, 1792-1842			Person		http://example.org/1063835#Agent600-20	
Arcangeli, Francesco, 1915-1974	n82230824	100	Arcangeli, Francesco, 1915-1974	n82230824	n82230824	1	Arcangeli, Francesco, 1915-1974			Person		http://example.org/1047223#Agent100-11	
