Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	Column 2	Column 3	Column 4	blank
Holden, Donald	n83002118	100	Holden, Donald	n83002118	n83002118	1	Holden, Donald			Person		http://example.org/1080900#Agent100-10	
Clapp, Jane	n50041891	100	Clapp, Jane	n50041891	n50041891	1	Clapp, Jane			Person		http://example.org/1080973#Agent100-16	
Whittet, George Sorley, 1913-	n50016187	100	Whittet, George Sorley, 1913-	n50016187	n50016187	1	Whittet, George Sorley, 1913-			Person		http://example.org/1077488#Agent100-12	
Osman, Randolph E., 1940-	no2014122577	100	Osman, Randolph E., 1940-	no2014122577	no2014122577	1	Osman, Randolph E., 1940-			Person		http://example.org/1077419#Agent100-12	
Watt, Alexander, 1909-			Watt, Alexander, 1909-				Watt, Alexander, 1909-			Person		http://example.org/1077526#Agent100-12	
Constable, W. G. (William George), 1887-1976	n80007765	100	Constable, W. G. (William George), 1887-1976	n80007765	n80007765	1	Constable, W. G. (William George), 1887-1976			Person		http://example.org/1080943#Agent100-11	
Smith, Solomon Charles Kaines			Smith, Solomon Charles Kaines				Smith, Solomon Charles Kaines			Person		http://example.org/1081326#Agent100-10	
Madden, Betty I., 1915-	nr99036963	100	Madden, Betty I., 1915-	nr99036963	nr99036963	1	Madden, Betty I., 1915-			Person		http://example.org/1051527#Agent100-12	
Illinois State Museum	n80008780	100	Illinois State Museum		n80008780		Illinois State Museum	n80008780	1	Organization		http://example.org/1051527#Agent710-24	
Rose, Barbara	n79122477	100	Rose, Barbara	n79122477	n79122477	1	Rose, Barbara			Person		http://example.org/1080696#Agent700-20	
Poses Institute of Fine Arts	no96037299	100	Poses Institute of Fine Arts		no96037299		Poses Institute of Fine Arts	no96037299	1	Organization		http://example.org/1080696#Agent710-21	
University of Chicago. Bergman Gallery			University of Chicago. Bergman Gallery				University of Chicago. Bergman Gallery			Organization		http://example.org/101911#Agent710-18	
University of Chicago. Renaissance Society	n83022665	100	University of Chicago. Renaissance Society		n83022665		University of Chicago. Renaissance Society	n83022665	0.976744186	Organization		http://example.org/101911#Agent710-19	
Focillon, Henri, 1881-1943	n82072902	100	Focillon, Henri, 1881-1943	n82072902	n82072902	1	Focillon, Henri, 1881-1943			Person		http://example.org/1077689#Agent100-10	
Jahier, Piero, 1884-1966	n50037115	100	Jahier, Piero, 1884-1966	n50037115	n50037115	1	Jahier, Piero, 1884-1966			Person		http://example.org/1081344#Agent100-11	
Pita Andrade, José Manuel	n50011000	98	Pita Andrade, José Manuel	n50011000	n50011000	0.9615384615	Pita Andrade, José Manuel			Person		http://example.org/1081535#Agent100-10	
Pacheco, Francisco, d 1654?			Pacheco, Francisco, d 1654?				Pacheco, Francisco, d 1654?			Person		http://example.org/1086447#Agent100-10	
Sánchez Cantón, F. J. (Francisco Javier), 1891-1971	no95011236	98	Sánchez Cantón, F. J. (Francisco Javier), 1891-1971	no95011236	no95011236	1	Sánchez Cantón, F. J. (Francisco Javier), 1891-1971			Person		http://example.org/1086447#Agent700-19	
San Buenaventura, Gabriel de, active 1684	n98044273	100	San Buenaventura, Gabriel de, active 1684	n98044273	n98044273	1	San Buenaventura, Gabriel de, active 1684			Person		http://example.org/1029578#Agent100-10	
Cossío del Pomar, Felipe, 1889-1981	n80150402	98	Cossío del Pomar, Felipe, 1889-1981	n80150402	n80150402	1	Cossío del Pomar, Felipe, 1889-1981			Person		http://example.org/1078065#Agent100-11	
Neruda, Pablo, 1904-1973	n79046560	100	Neruda, Pablo, 1904-1973	n79046560	n79046560	0.96	Neruda, Pablo, 1904-1973			Person		http://example.org/1059224#Agent100-10	
Trombelli, Giovanni Crisostomo, 1697-1784	n92042539	100	Trombelli, Giovanni Crisostomo, 1697-1784	n92042539	n92042539	1	Trombelli, Giovanni Crisostomo, 1697-1784			Person		http://example.org/1036036#Agent100-11	
McCord, David Thompson Watson, 1897-1997	n79109946	100	McCord, David Thompson Watson, 1897-1997	n79109946	n79109946	1	McCord, David Thompson Watson, 1897-1997			Person		http://example.org/1080733#Agent700-18	
Little, David B.	n2003001690	100	Little, David B	n2003001690	n2003001690	0.9375	Little, David B			Person		http://example.org/1080733#Agent700-19	
Hitchings, Sinclair, 1933-	n83044751	100	Hitchings, Sinclair, 1933-	n83044751	n83044751	1	Hitchings, Sinclair, 1933-			Person		http://example.org/1080733#Agent700-20	
Boston Public Library	n79117036	100	Boston Public Library		n79117036		Boston Public Library	n79117036	0.9130434783	Organization		http://example.org/1080733#Agent710-21	
Albert H. Wiggin Collection (Boston Public Library)	no94005223	100	Albert H. Wiggin Collection (Boston Public Library)		no94005223		Albert H. Wiggin Collection (Boston Public Library)	no94005223	1	Organization		http://example.org/1080733#Agent710-22	
Gaitskell, Charles D.	n50015472	100	Gaitskell, Charles D	n50015472	n50015472	0.9523809524	Gaitskell, Charles D			Person		http://example.org/1079386#Agent100-10	
Gaitskell, Margaret R.	no2004071159	100	Gaitskell, Margaret R	no2004071159	no2004071159	0.9545454545	Gaitskell, Margaret R			Person		http://example.org/1079386#Agent700-19	
Nyquist, Fredrik Vickström	no2013123042	98	Nyquist, Fredrik Vickström	no2013123042	no2013123042	0.9259259259	Nyquist, Fredrik Vickström			Person		http://example.org/1078227#Agent100-10	
Packwood, Mary M.	no2004060346	100	Packwood, Mary M	no2004060346	no2004060346	0.9411764706	Packwood, Mary M			Person		http://example.org/1078263#Agent700-20	
National Art Education Association	n79086276	100	National Art Education Association		n79086276		National Art Education Association	n79086276	1	Organization		http://example.org/1078263#Agent710-21	
National Society for the Study of Education. Committee on Art Education	no2011140641	100	National Society for the Study of Education. Committee on Art Education		no2011140641		National Society for the Study of Education. Committee on Art Education	no2011140641	1	Organization		http://example.org/1076639#Agent110-15	
Hastie, W. Reid	n78020847		Hastie, W. Reid	n78020847	n78020847	0.8	Hastie, W. Reid			Person		http://example.org/1076639#Agent700-26	
Touring club italiano	n79068441	100	Touring club italiano		n79068441		Touring club italiano	n79068441	0.9545454545	Organization		http://example.org/1076872#Agent110-11	
Maiuri, Amedeo, 1886-1963	n85175811	100	Maiuri, Amedeo, 1886-1963	n85175811	n85175811	0.9615384615	Maiuri, Amedeo, 1886-1963			Person		http://example.org/1076872#Agent700-21	
Biennale d'arte antica	n80046618	100	Biennale d'arte antica		n80046618		Biennale d'arte antica	n80046618	1	Meeting		http://example.org/1076891#Agent111-11	
Mansuelli, Guido Achille	n80067360	100	Mansuelli, Guido Achille	n80067360	n80067360	1	Mansuelli, Guido Achille			Person		http://example.org/1076891#Agent700-21	
Vergnani, Maria			Vergnani, Maria				Vergnani, Maria			Person		http://example.org/1076891#Agent700-22	
Morán, Francisco, active 1625			Morán, Francisco, active 1625				Morán, Francisco, active 1625			Person		http://example.org/1029567#Agent100-10	
Università di Torino. Facoltà di lettre e filosofia			Università di Torino. Facoltà di lettre e filosofia				Università di Torino. Facoltà di lettre e filosofia			Organization		http://example.org/1094283#Agent110-10	
Vincenti, Leonello, 1891-1963	nr99008586	100	Vincenti, Leonello, 1891-1963	nr99008586	nr99008586	1	Vincenti, Leonello, 1891-1963			Person		http://example.org/1094283#Agent700-19	
"Fondazione ""Giorgio Cini."" Centro di cultura e civiltà"	n79046151	99	Fondazione Giorgio Cini. Centro di cultura e civiltà		n79046151		Fondazione Giorgio Cini. Centro di cultura e civiltà	n79046151	0.9433962264	Organization		http://example.org/1080735#Agent110-10	
Leers, Johann von, 1902-1965	no97044544	100	Leers, Johann von, 1902-1965	no97044544	no97044544	0.9310344828	Leers, Johann von, 1902-1965			Person		http://example.org/1048817#Agent100-11	
Bellosi, Luciano	n84080750	100	Bellosi, Luciano	n84080750	n84080750	1	Bellosi, Luciano			Person		http://example.org/1079072#Agent700-20	
Cantelli, Giuseppe	n80028507	100	Cantelli, Giuseppe	n80028507	n80028507	0.9473684211	Cantelli, Giuseppe			Person		http://example.org/1079072#Agent700-21	
