Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	Column 2	Column 3	Column 4
Gance, Abel	n82080740	100	Gance, Abel	n82080740	n82080740	0.9166666666666666	Gance, Abel			Person		http://example.org/1048395#Agent600-19
Ford, Charles, 1908-1989	n50024810	100	Ford, Charles, 1908-1989	n50024810	n50024810	1	Ford, Charles, 1908-1989			Person		http://example.org/1048395#Agent700-20
Popescu, Nicolae	n83214098	100	Popescu, Nicolae	n84235077	n84235077	0.8421052631578947	Popescu, Nicolae			Person		http://example.org/106320#Agent100-11
Hazewinkel, Michiel	n81068587	100	Hazewinkel, Michiel	n81068587	n81068587	0.95	Hazewinkel, Michiel			Person		http://example.org/1010875#Agent100-10
Auslander, Louis	n79053899	100	Auslander, Louis	n79053899	n79053899	1	Auslander, Louis			Person		http://example.org/1075536#Agent100-11
Tolimieri, Richard, 1940-	n88164030	100	Tolimieri, Richard, 1940- 	n88164030	n88164030	0.8620689655172413	Tolimieri, Richard, 1940- 			Person		http://example.org/1075536#Agent700-24
Tasman, Abel Janszoon, 1603?-1659	n85114957	100	Tasman, Abel Janszoon, 1603?-1659	n85114957	n85114957	1	Tasman, Abel Janszoon, 1603?-1659			Person		http://example.org/1010132#Agent100-10
Curnow, Allen, 1911-2001	n50018549	100	Curnow, Allen, 1911-2001	n50018549	n50018549	1	Curnow, Allen, 1911-2001			Person		http://example.org/1010132#Agent700-22
Beaglehole, J. C. (John Cawte)	n50005709	100	Beaglehole, J. C. (John Cawte)	n50005709	n50005709	0.9666666666666667	Beaglehole, J. C. (John Cawte)			Person		http://example.org/1010132#Agent700-23
Anderson, William Dickson			Anderson, William Dickson				Anderson, William Dickson			Person		http://example.org/1005737#Agent100-10
Bibb Manufacturing Company	no91019712	100	Bibb Manufacturing Company		no91019712		Bibb Manufacturing Company	no91019712	1	Organization		http://example.org/1005737#Agent610-18
Boar, Bernard H., 1947-	n83175250	100	Boar, Bernard H., 1947-	n83175250	n83175250	1	Boar, Bernard H., 1947-			Person		http://example.org/104511#Agent100-11
Österreichische Nationalbibliothek	n79068404	99	Österreichische Nationalbibliothek		n79068404		Österreichische Nationalbibliothek	n79068404	1	Organization		http://example.org/1087071#Agent110-11
Unterkircher, Franz	n50046265	100	Unterkircher, Franz				Unterkircher, Franz			Person		http://example.org/1087071#Agent700-20
Verdross, Alfred, 1890-1980	n50014356	100	Verdross, Alfred, 1890-1980	n50014356	n50014356	1	Verdross, Alfred, 1890-1980			Person		http://example.org/1043705#Agent100-10
Messner, Stephen D.	n50036941	100	Messner, Stephen D	n50036941	n50036941	0.9473684210526315	Messner, Stephen D			Person		http://example.org/1030489#Agent100-11
Miller, Joan B	n79067189	87	Miller, Joan B				Miller, Joan B			Person		http://example.org/1069291#Agent100-12
Seixas, Carlos, 1704-1742	n79150264	100	Seixas, Carlos, 1704-1742	n79150264	n79150264	1	Seixas, Carlos, 1704-1742			Person		http://example.org/1053039#Agent100-10
Salzmann, Pierre	no92003919	100	Salzmann, Pierre	no92003919	no92003919	1	Salzmann, Pierre			Person		http://example.org/1053039#Agent700-21
Reid, John Phillip	n79144624	100	Reid, John Phillip	n79144624	n79144624	1	Reid, John Phillip			Person		http://example.org/105001#Agent100-11
Herodian	n50068736	100	Herodian	n50068736	n50068736	1	Herodian			Person		http://example.org/1090485#Agent100-11
Marcus Aurelius, Emperor of Rome, 121-180	n80051702	100	Marcus Aurelius, Emperor of Rome, 121-180	n80051702	n80051702	1	Marcus Aurelius, Emperor of Rome, 121-180			Person		http://example.org/1090485#Agent600-19
Stavenhagen, Kurt, 1885-1951	nr96035947	96	Stavenhagen, Kurt, 1884-1951	nr96035947	nr96035947	0.9642857142857143	Stavenhagen, Kurt, 1884-1951			Person		http://example.org/1090485#Agent700-21
Heisler, Philipp Jakob, 1718-1781			Heisler, Philipp Jakob, 1718-1781				Heisler, Philipp Jakob, 1718-1781			Person		http://example.org/1061163#Agent100-10
Biener, Friedrich August, 1787-1861	no2006115909	100	Biener, Friedrich August, 1787-1861	no2006115909	no2006115909	1	Biener, Friedrich August, 1787-1861			Person		http://example.org/1047472#Agent100-11
Dernburg, Heinrich, 1829-1907	no94043863	100	Dernburg, Heinrich, 1829-1907	no94043863	no94043863	1	Dernburg, Heinrich, 1829-1907			Person		http://example.org/1057816#Agent100-11
Glaser, Julius Anton, 1831-1885	nr98025785		Glaser, Julius Anton, 1831-1885	nr98025785	nr98025785	0.8064516129032258	Glaser, Julius Anton, 1831-1885			Person		http://example.org/10538#Agent100-11
Lustkandl, Wenzel, 1832-1906			Lustkandl, Wenzel, 1832-1906				Lustkandl, Wenzel, 1832-1906			Person		http://example.org/1048250#Agent100-9
Juridisch-Politischer Leseverein (Vienna, Austria)			Juridisch-Politischer Leseverein (Vienna, Austria)				Juridisch-Politischer Leseverein (Vienna, Austria)			Organization		http://example.org/1048250#Agent710-22
Gspan, Peter Erasmus			Gspan, Peter Erasmus				Gspan, Peter Erasmus			Person		http://example.org/1056645#Agent100-9
Heisler, Philipp Jakob, 1718-1781			Heisler, Philipp Jakob, 1718-1781				Heisler, Philipp Jakob, 1718-1781			Person		http://example.org/1061155#Agent100-9
Büsch, Johann Georg, 1728-1800	n80125244	98	Büsch, Johann Georg, 1728-1800	n80125244	n80125244	1	Büsch, Johann Georg, 1728-1800			Person		http://example.org/1017381#Agent100-10
Hamburg (Germany) Handlungs-akademie			Hamburg (Germany) Handlungs-akademie				Hamburg (Germany) Handlungs-akademie			Jurisdiction		http://example.org/1017381#Agent610-18
Zerener, Friedrich Nikolaus, 1760-			Zerener, Friedrich Nikolaus, 1760-				Zerener, Friedrich Nikolaus, 1760-			Person		http://example.org/1073871#Agent100-10
Schrank, Franz von Paula, 1747-1835	n82120686	100	Schrank, Franz von Paula, 1747-1835	n82120686	n82120686	1	Schrank, Franz von Paula, 1747-1835			Person		http://example.org/1076267#Agent100-9
Auersperg, Johann, Graf von, active 1781			Auersperg, Johann, Graf von, active 1781				Auersperg, Johann, Graf von, active 1781			Person		http://example.org/1076267#Agent700-20
Apelt, Friedrich	no2008140615	100	Apelt, Friedrich				Apelt, Friedrich			Person		http://example.org/1055456#Agent100-10
Vasubandhu	n80121194	100	Vasubandhu	n80121194	n80121194	1	Vasubandhu			Person		http://example.org/1062996#Agent100-9
Yaśomitra	n87861982	94	Yaśomitra	n87861982	n87861982	1	Yaśomitra			Person		http://example.org/1062996#Agent700-18
Dwarikadas Shastri, Swami	n82077021	100	Dwarikadas Shastri, Swami	n82077021	n82077021	0.96	Dwarikadas Shastri, Swami			Person		http://example.org/1062996#Agent700-19
Hyde, Douglas, 1860-1949	n80046065	100	Hyde, Douglas, 1860-1949	n80046065	n80046065	1	Hyde, Douglas, 1860-1949			Person		http://example.org/1092619#Agent100-16
Schoolcraft, Henry Rowe, 1793-1864	n50002814	100	Schoolcraft, Henry Rowe, 1793-1864	n50002814	n50002814	1	Schoolcraft, Henry Rowe, 1793-1864			Person		http://example.org/1043554#Agent100-9
Palfrey, Thomas Rossman, 1895-1973	no2010205822	100	Palfrey, Thomas Rossman, 1895-1973	no2010205822	no2010205822	1	Palfrey, Thomas Rossman, 1895-1973			Person		http://example.org/1093034#Agent100-11
Fucilla, Joseph Guerin, 1897-1981	n50023739	100	Fucilla, Joseph Guerin, 1897-1981	n50023739	n50023739	1	Fucilla, Joseph Guerin, 1897-1981			Person		http://example.org/1093034#Agent700-22
Holbrook, William Collar, 1899-	no2011198729	100	Holbrook, William Collar, 1899-	no2011198729	no2011198729	1	Holbrook, William Collar, 1899- 			Person		http://example.org/1093034#Agent700-23
Wise, Thomas James, 1859-1937	n79059345	100	Wise, Thomas James, 1859-1937	n79059345	n79059345	1	Wise, Thomas James, 1859-1937			Person		http://example.org/101394#Agent100-9
Swinburne, Algernon Charles, 1837-1909	n79047585	100	Swinburne, Algernon Charles, 1837-1909	n79047585	n79047585	0.9743589743589743	Swinburne, Algernon Charles, 1837-1909			Person		http://example.org/101394#Agent600-19
Morley, William F. E.	n50006139	100	Morley, William F. E	n50006139	n50006139	0.9	Morley, William F. E			Person		http://example.org/1044324#Agent100-10
Richardson, Major (John), 1796-1852	n50044692	100	Richardson, Major (John), 1796-1852	n50044692	n50044692	1	Richardson, Major (John), 1796-1852			Person		http://example.org/1044324#Agent600-18
Hopkinson, Cecil	n50028478	100	Hopkinson, Cecil	n50028478	n50028478	0.9411764705882353	Hopkinson, Cecil			Person		http://example.org/1082003#Agent100-10
Field, John, 1782-1837	n50005195	100	Field, John, 1782-1837	n50005195	n50005195	1	Field, John, 1782-1837			Person		http://example.org/1082003#Agent600-18
Schwartz, Eugene S., 1917-	no00064655	100	Schwartz, Eugene S., 1917-	no00064655	no00064655	1	Schwartz, Eugene S., 1917-			Person		http://example.org/1013237#Agent100-9
Illinois Library Materials Processing Center			Illinois Library Materials Processing Center				Illinois Library Materials Processing Center			Organization		http://example.org/1013237#Agent610-18
Saxe, Henry I			Saxe, Henry I				Saxe, Henry I			Person		http://example.org/1013237#Agent700-20
Shaw, Robert Baldwin, 1945-			Shaw, Robert Baldwin, 1945-				Shaw, Robert Baldwin, 1945-			Person		http://example.org/1025841#Agent100-11
Sklar, Richard L.	n83071469	100	Sklar, Richard L	n83071469	n83071469	0.9411764705882353	Sklar, Richard L			Person		http://example.org/1025841#Agent700-24
Cowley, J. D. (John Duncan), 1897-1944	n92048732	100	Cowley, J. D. (John Duncan), 1897-1944	n92048732	n92048732	0.9736842105263158	Cowley, J. D. (John Duncan), 1897-1944			Person		http://example.org/105738#Agent100-11
Selden Society	n50068712	100	Selden Society		n50068712		Selden Society	n50068712	1	Organization		http://example.org/105738#Agent710-21
International African Institute	n79118123	100	International African Institute		n79118123		International African Institute	n79118123	0.96875	Organization		http://example.org/1081267#Agent110-11
Gaskin, L. J. P			Gaskin, L. J. P				Gaskin, L. J. P			Person		http://example.org/1081267#Agent700-21
Matthes, H. (Hubert)	n86852359	100	Matthes, H. (Hubert)	n86852359	n86852359	1	Matthes, H. (Hubert)			Person		http://example.org/107676#Agent100-12
Food and Agriculture Organization of the United Nations	n80004214	100	Food and Agriculture Organization of the United Nations		n80004214		Food and Agriculture Organization of the United Nations	n80004214	0.9821428571428571	Organization		http://example.org/107676#Agent710-22
Cordasco, Francesco, 1920-2001	n78093726	100	Cordasco, Francesco, 1920-2001	n78093726	n78093726	1	Cordasco, Francesco, 1920-2001			Person		http://example.org/109852#Agent700-20
Brickman, William W.	n82094552	100	Brickman, William W	n82094552	n82094552	0.95	Brickman, William W			Person		http://example.org/109852#Agent700-21
Binder, Frederick M.	n87944338	100	Binder, Frederick M	n87944338	n87944338	0.95	Binder, Frederick M			Person		http://example.org/109852#Agent700-22
Aristotle	n79004182	100	Aristotle	n79004182	n79004182	1	Aristotle			Person		http://example.org/1090047#Agent600-23
Cranz, F. Edward (Ferdinand Edward)	n82271239	100	Cranz, F. Edward (Ferdinand Edward)	n82271239	n82271239	1	Cranz, F. Edward (Ferdinand Edward)			Person		http://example.org/1090047#Agent700-24
Dotan, Uri			Dotan, Uri				Dotan, Uri			Person		http://example.org/1051012#Agent100-13
Crew, Vernon	no2003072028	100	Crew, Vernon	no2003072028	no2003072028	1	Crew, Vernon			Person		http://example.org/1071019#Agent100-13
National Library of Australia	n80077871	100	National Library of Australia		n80077871		National Library of Australia	n80077871	0.9666666666666667	Organization		http://example.org/1071019#Agent710-22
Australian Association of Adult Education	n50061166	100	Australian Association of Adult Education		n50061166		Australian Association of Adult Education	n50061166	0.926829268292683	Organization		http://example.org/1071019#Agent710-23
Barden, E. S			Barden, E. S				Barden, E. S			Person		http://example.org/1077821#Agent700-17
Shields, Allan	n93035875	100	Shields, Allan	n93035875	n93035875	0.9333333333333333	Shields, Allan			Person		http://example.org/105890#Agent100-9
Lowther, Barbara J	no2016164982	87	Lowther, Barbara J				Lowther, Barbara J			Person		http://example.org/104218#Agent100-13
Gross, Charles, 1857-1909	n50032820	100	Gross, Charles, 1857-1909	n50032820	n50032820	1	Gross, Charles, 1857-1909			Person		http://example.org/1070508#Agent100-12
Ottley, George	n83825190	100	Ottley, George	n83825190	n83825190	1	Ottley, George			Person		http://example.org/1007138#Agent100-14
Delancey, Virginia H. (Virginia Helen)	n84111325	100	Delancey, Virginia H. (Virginia Helen)	n84111325	n84111325	1	Delancey, Virginia H. (Virginia Helen)			Person		http://example.org/1026518#Agent100-11
DeLancey, Mark	n89619747	84	DeLancey, Mark				DeLancey, Mark			Person		http://example.org/1026518#Agent700-21
African Studies Association. Literature Committee	n86035574	100	African Studies Association. Literature Committee		n86035574		African Studies Association. Literature Committee	n86035574	0.9183673469387755	Organization		http://example.org/1026518#Agent810-22
Smith, Albert Henry, 1909-			Smith, Albert Henry, 1909-				Smith, Albert Henry, 1909-			Person		http://example.org/1055789#Agent100-11
Monty, Vivienne	n89603159	100	Monty, Vivienne	n89603159	n89603159	1	Monty, Vivienne			Person		http://example.org/1054762#Agent100-12
Canada. Taxation	n83203666	100	Canada. Taxation		n83203666		Canada. Taxation	n83203666	1	Jurisdiction		http://example.org/1054762#Agent610-21
Marantz, Kenneth A.	n88033314	100	Marantz, Kenneth A	n88033314	n88033314	0.9473684210526315	Marantz, Kenneth A			Person		http://example.org/1076675#Agent100-11
Hammer, John H.	no00065479	100	Hammer, John H	no00065479	no00065479	0.9333333333333333	Hammer, John H			Person		http://example.org/1089108#Agent100-12
