Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	Column 2	Column 3	Column 4	blank
Millares Carlo, Agustín, 1893-1980	n79100746	98	Millares Carlo, Agustín, 1893-1980	n79100746	n79100746	0.9714285714	Millares Carlo, Agustín, 1893-1980			Person		http://example.org/1091421#Agent100-10	
Subirá, José, 1882-1980	n79060806	95	Subirá, José, 1882-1980				Subirá, José, 1882-1980			Person		http://example.org/1082378#Agent100-11	
Torrent, Joan, 1893-1977	no2011125395	100	Torrent, Joan, 1893-1977	no2011125395	no2011125395	1	Torrent, Joan, 1893-1977			Person		http://example.org/1039166#Agent100-11	
Tasis i Marca, Rafael, 1906-1966	n79054567	100	Tasis i Marca, Rafael, 1906-1966	n79054567	n79054567	1	Tasis i Marca, Rafael, 1906-1966			Person		http://example.org/1039166#Agent700-20	
Franco, José Luciano, 1891-	n82004354	88	Franco, José Luciano, 1891-	n82004354	n82004354	0.8709677419	Franco, José Luciano, 1891-			Person		http://example.org/1079572#Agent100-9	
Portilla, Anselmo de la, 1816-1879	n92053658	100	Portilla, Anselmo de la, 1816-1879	n92053658	n92053658	1	Portilla, Anselmo de la, 1816-1879			Person		http://example.org/1015524#Agent100-12	
Santa Anna, Antonio López de, 1794?-1876	n50080405	99	Santa Anna, Antonio López de, 1794?-1876	n50080405	n50080405	0.8780487805	Santa Anna, Antonio López de, 1794?-1876			Person		http://example.org/1015524#Agent600-21	
Lozoya, Juan Contreras y López de Ayala, marqués de	n50054921	83	Lozoya, Juan Contreras y López de Ayala, marqués de	n50054921	n50054921	0.8793103448	Lozoya, Juan Contreras y López de Ayala, marqués de			Person		http://example.org/1079652#Agent100-11	
O'Gorman, Edmundo, 1906-1995	n50034058	100	O'Gorman, Edmundo, 1906-1995	n50034058	n50034058	1	O'Gorman, Edmundo, 1906-1995			Person		http://example.org/1046061#Agent100-11	
Carrillo Batalla, Tomás Enrique	n83187780	98	Carrillo Batalla, Tomás Enrique	n83187780	n83187780	1	Carrillo Batalla, Tomás Enrique			Person		http://example.org/1020194#Agent100-13	
Grases, Pedro, 1909-2004	n50032028	100	Grases, Pedro, 1909-2004	n50032028	n50032028	1	Grases, Pedro, 1909-2004			Person		http://example.org/1020194#Agent700-24	
García Venero, Maximiano	n81021873	98	García Venero, Maximiano	n81021873	n81021873	1	García Venero, Maximiano			Person		http://example.org/1065203#Agent100-12	
International Workingmen's Association	n85048550	88	International Workingmen's Association		nr90022726		International Workingmen's Association	nr90022726	0.8421052632	Organization		http://example.org/1065203#Agent610-21	
International Socialist Congress	n2004075056	100	International Socialist Congress		n2004075056		International Socialist Congress	n2004075056	1	Meeting		http://example.org/1065203#Agent611-22	
