Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	Column 2	Column 3	Column 4	blank
Laporte, Jean Louis			Laporte, Jean Louis				Laporte, Jean Louis			Person		http://example.org/1012324#Agent100-10	
Pinches, Theophilus G. (Theophilus Goldridge), 1856-1934	no99025185	100	Pinches, Theophilus G. (Theophilus Goldridge), 1856-1934	no99025185	no99025185	1	Pinches, Theophilus G. (Theophilus Goldridge), 1856-1934			Person		http://example.org/1097633#Agent100-10	
Strassmaier, J. N. (Johann Nepomuk), 1846-1920	no99049850	100	Strassmaier, J. N. (Johann Nepomuk), 1846-1920	no99049850	no99049850	1	Strassmaier, J. N. (Johann Nepomuk), 1846-1920			Person		http://example.org/1097633#Agent700-20	
Mandel, Ernest	n80067110	100	Mandel, Ernest	n80067110	n80067110	1	Mandel, Ernest			Person		http://example.org/106110#Agent100-11	
Stanley, C. John (Charles Johnson), 1914-	no2002070159	100	Stanley, C. John (Charles Johnson), 1914-	no2002070159	no2002070159	1	Stanley, C. John (Charles Johnson), 1914-			Person		http://example.org/1017300#Agent100-11	
Hu, Kuang-yung, 1825 (ca.)-1885			Hu, Kuang-yung, 1825 (ca.)-1885				Hu, Kuang-yung, 1825 (ca.)-1885			Person		http://example.org/1017300#Agent600-19	
Laureys, Henry			Laureys, Henry				Laureys, Henry			Person		http://example.org/1007456#Agent100-10	
Goulinat, Jean-Gabriel, 1883-1972	nr95029296	100	Goulinat, Jean-Gabriel, 1883-1972	nr95029296	nr95029296	1	Goulinat, Jean-Gabriel, 1883-1972			Person		http://example.org/1086496#Agent100-10	
Logié, Paul			Logié, Paul				Logié, Paul			Person		http://example.org/1092968#Agent100-10	
Mouchez, Philippe	no95010089	100	Mouchez, Philippe	no95010089	no95010089	1	Mouchez, Philippe			Person		http://example.org/1092968#Agent700-19	
Weitzmann, Kurt, 1904-1993	n50002420	100	Weitzmann, Kurt, 1904-1993	n50002420	n50002420	1	Weitzmann, Kurt, 1904-1993			Person		http://example.org/1077005#Agent100-10	
Mann, Wolfgang	n92041838	84	Mann, Wolfgang				Mann, Wolfgang			Person		http://example.org/1092528#Agent100-10	
Schnur, Harry C.	n85818842	100	Schnur, Harry C	n85818842	n85818842	0.9375	Schnur, Harry C			Person		http://example.org/1092563#Agent100-10	
Hilgers, Werner, 1939-	no2009090057	100	Hilgers, Werner, 1939-	no2009090057	no2009090057	1	Hilgers, Werner, 1939-			Person		http://example.org/1089851#Agent100-10	
Hartke, Wilhelm, 1879-	no2007033548	100	Hartke, Wilhelm, 1879-	no2007033548	no2007033548	0.8461538462	Hartke, Wilhelm, 1879-			Person		http://example.org/1018016#Agent100-9	
Salomon, G.	n84800023	100	Salomon, G				Salomon, G			Person		http://example.org/1018016#Agent700-20	
Walde, Alois, 1869-1924	n88617356	100	Walde, Alois, 1869-1924	n88617356	n88617356	1	Walde, Alois, 1869-1924			Person		http://example.org/1089827#Agent100-10	
