Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	Column 2	Column 3	Column 4	blabnk
Frank, Benjamin, 1904- 			Frank, Benjamin, 1904- 				Frank, Benjamin, 1904- 			Person		http://example.org/1055908#Agent100-15	
Tappan, Paul W. (Paul Wilbur), 1911- 	n88071145	92	Tappan, Paul W. (Paul Wilbur), 1911- 	n88071145	n88071145	0.9	Tappan, Paul W. (Paul Wilbur), 1911- 			Person		http://example.org/1035635#Agent100-10	
Tidball, Harriet	n84155788	100	Tidball, Harriet	n84155788	n84155788	1	Tidball, Harriet			Person		http://example.org/1077179#Agent100-10	
Seliger, Robert Victor, 1900- 			Seliger, Robert Victor, 1900- 				Seliger, Robert Victor, 1900- 			Person		http://example.org/1035296#Agent100-10	
Lukas, Edwin J. (Edwin Jay), 1902-1973	n90720577	100	Lukas, Edwin J. (Edwin Jay), 1902-1973	n90720577	n90720577	1	Lukas, Edwin J. (Edwin Jay), 1902-1973			Person		http://example.org/1035296#Agent700-21	
Lindner, Robert Mitchell, 1914-1956	n82050709	100	Lindner, Robert Mitchell, 1914-1956	n82050709	n82050709	1	Lindner, Robert Mitchell, 1914-1956			Person		http://example.org/1035296#Agent700-22	
Ozmon, Howard	n50051546	100	Ozmon, Howard	n50051546	n50051546	0.9285714286	Ozmon, Howard			Person		http://example.org/1059406#Agent100-15	
Heath, Dwight B.	n50025635	100	Heath, Dwight B	n50025635	n50025635	0.9375	Heath, Dwight B			Person		http://example.org/1027638#Agent100-15	
Adams, Richard N. (Richard Newbold), 1924-	n79115926	100	Adams, Richard N. (Richard Newbold), 1924-	n79115926	n79115926	1	Adams, Richard N. (Richard Newbold), 1924-			Person		http://example.org/1027638#Agent700-27	
Gardavský, Čeněk	nr2001047679	89	Gardavský, Čeněk	nr2001047679	nr2001047679	1	Gardavský, Čeněk			Person		http://example.org/1007235#Agent100-12	
Kappel, Vagn	no97027584	100	Kappel, Vagn	no97027584	no97027584	0.9230769231	Kappel, Vagn			Person		http://example.org/1082452#Agent100-14	
Krantz, David H., 1938-	n88120447	100	Krantz, David H., 1938-	n88120447	n88120447	1	Krantz, David H., 1938- 			Person		http://example.org/1046290#Agent700-25	
University College, Dublin. Academic Staff Association			University College, Dublin. Academic Staff Association				University College, Dublin. Academic Staff Association			Organization		http://example.org/1069532#Agent110-11	
Johnson, Corwin W. (Corwin Waggoner)	n50038951	100	Johnson, Corwin W. (Corwin Waggoner)	n50038951	n50038951	1	Johnson, Corwin W. (Corwin Waggoner)			Person		http://example.org/104101#Agent700-23	
Lewis, Susan Hollingsworth			Lewis, Susan Hollingsworth				Lewis, Susan Hollingsworth			Person		http://example.org/104101#Agent700-24	
University of Texas at Austin. School of Law	n82159216	100	University of Texas at Austin. School of Law		n82159216		University of Texas at Austin. School of Law	n82159216	0.9772727273	Organization		http://example.org/104101#Agent710-25	
University of Texas at Austin. Center for Research in Water Resources	n79006869	100	University of Texas at Austin. Center for Research in Water Resources		n79006869		University of Texas at Austin. Center for Research in Water Resources	n79006869	1	Organization		http://example.org/104101#Agent710-26	
Klapper, Paul, 1885-1952	no2002062837	100	Klapper, Paul, 1885-1952	no2002062837	no2002062837	1	Klapper, Paul, 1885-1952			Person		http://example.org/1060436#Agent100-10	
Hughes, H. Stuart (Henry Stuart), 1916-1999	n79055744	100	Hughes, H. Stuart (Henry Stuart), 1916-1999	n79055744	n79055744	1	Hughes, H. Stuart (Henry Stuart), 1916-1999			Person		http://example.org/102634#Agent100-14	
Cull, John G.	n79018373	100	Cull, John G	n79018373	n79018373	0.9230769231	Cull, John G			Person		http://example.org/1002907#Agent100-13	
Colvin, Craig R			Colvin, Craig R				Colvin, Craig R			Person		http://example.org/1002907#Agent700-24	
United States Military Academy. Dept. of Social Sciences	n86053451	95	United States Military Academy. Dept. of Social Sciences		n86053451		United States Military Academy. Dept. of Social Sciences	n86053451	0.9016393443	Organization		http://example.org/1043581#Agent110-10	
Beukema, Herman, 1891-1960	no2012083317	100	Beukema, Herman, 1891-1960	no2012083317	no2012083317	1	Beukema, Herman, 1891-1960			Person		http://example.org/1043581#Agent700-21	
United States Military Academy. Dept. of Economics, Government, and History			United States Military Academy. Dept. of Economics, Government, and History				United States Military Academy. Dept. of Economics, Government, and History			Organization		http://example.org/1043581#Agent710-22	
Gowling, Linda			Gowling, Linda				Gowling, Linda			Person		http://example.org/1028602#Agent100-10	
University of Waterloo. Library. Reference Department			University of Waterloo. Library. Reference Department				University of Waterloo. Library. Reference Department			Organization		http://example.org/1028602#Agent710-20	
Pierce, Roy	n83006779	100	Pierce, Roy	n83006779	n83006779	0.9166666667	Pierce, Roy			Person		http://example.org/1038974#Agent100-11	
Creighton, Thomas Hawk			Creighton, Thomas Hawk				Creighton, Thomas Hawk			Person		http://example.org/1081684#Agent100-11	
Ford, Katherine Morrow, 1905-	n88012529	100	Ford, Katherine Morrow, 1905-	n88012529	n88012529	1	Ford, Katherine Morrow, 1905-			Person		http://example.org/1081684#Agent700-21	
Czigány, Gyula	n00075864	96	Czigány, Gyula	n00075864	n00075864	0.9333333333	Czigány, Gyula			Person		http://example.org/104874#Agent700-20	
Srivastava, Ripusudan Prasad	no2011049173	100	Srivastava, Ripusudan Prasad	no2011049173	no2011049173	1	Srivastava, Ripusudan Prasad			Person		http://example.org/1066602#Agent100-11	
Vivekananda, Swami, 1863-1902	n80032751	100	Vivekananda, Swami, 1863-1902	n80032751	n80032751	0.875	Vivekananda, Swami, 1863-1902			Person		http://example.org/1066602#Agent600-19	
Ghose, Aurobindo, 1872-1950	n79071149	100	Ghose, Aurobindo, 1872-1950	n79071149	n79071149	0.9642857143	Ghose, Aurobindo, 1872-1950			Person		http://example.org/1066602#Agent600-20	
Radhakrishnan, Sarvepalii, Sir, 1888-			Radhakrishnan, Sarvepalii, Sir, 1888-				Radhakrishnan, Sarvepalii, Sir, 1888-			Person		http://example.org/1066602#Agent600-21	
Sahitya Akademi	n50071934	100	Sahitya Akademi		n50071934		Sahitya Akademi	n50071934	1	Organization		http://example.org/1098805#Agent110-10	
Chatterjee, Margaret, 1925-	n50036218	100	Chatterjee, Margaret, 1925-	n50036218	n50036218	0.8709677419	Chatterjee, Margaret, 1925-			Person		http://example.org/1043318#Agent100-11	
Lal, Basant Kumar	no2009023961	100	Lal, Basant Kumar	no2009023961	no2009023961	1	Lal, Basant Kumar			Person		http://example.org/1068537#Agent100-12	
Evans, Ellis D.	n50009123	100	Evans, Ellis D	n50009123	n50009123	0.9333333333	Evans, Ellis D			Person		http://example.org/1071943#Agent100-18	
Read, Gardner, 1913-2005	n50043923	100	Read, Gardner, 1913-2005	n50043923	n50043923	1	Read, Gardner, 1913-2005			Person		http://example.org/108445#Agent100-18	
Wright, Quincy, 1890-1970	n80056647	100	Wright, Quincy, 1890-1970	n80056647	n80056647	0.9615384615	Wright, Quincy, 1890-1970			Person		http://example.org/1055369#Agent100-13	
Sanders, Bruce L., 1935-	n94049103	100	Sanders, Bruce L., 1935- 	n94049103	n94049103	0.8571428571	Sanders, Bruce L., 1935- 			Person		http://example.org/1053502#Agent100-11	
Durbin, Alan C.	n87864904	100	Durbin, Alan C	n87864904	n87864904	0.9333333333	Durbin, Alan C			Person		http://example.org/1053502#Agent700-21	
Rienow, Robert, 1907-1989	n50044251	100	Rienow, Robert, 1907-1989	n50044251	n50044251	1	Rienow, Robert, 1907-1989			Person		http://example.org/1053492#Agent100-10	
Frankel, Joseph, 1913-	n50025724	100	Frankel, Joseph, 1913-	n50025724	n50025724	0.8461538462	Frankel, Joseph, 1913-			Person		http://example.org/1054446#Agent100-12	
Paulsen, Frank Robert	n50052114	100	Paulsen, Frank Robert	n50052114	n50052114	1	Paulsen, Frank Robert			Person		http://example.org/1056968#Agent100-12	
Good, Shirley Ruth, 1930-	n79099031	100	Good, Shirley Ruth, 1930-	n79099031	n79099031	1	Good, Shirley Ruth, 1930-			Person		http://example.org/1028230#Agent100-11	
Kerr, Janet C., 1940-	n87859133	100	Kerr, Janet C., 1940-	n87859133	n87859133	1	Kerr, Janet C., 1940- 			Person		http://example.org/1028230#Agent700-21	
Jain, Harish C., 1936-			Jain, Harish C., 1936-				Jain, Harish C., 1936-			Person		http://example.org/1053205#Agent100-15	
Clarizio, Harvey F., 1934-	n79126800	100	Clarizio, Harvey F., 1934-	n79126800	n79126800	1	Clarizio, Harvey F., 1934- 			Person		http://example.org/1044189#Agent100-10	
Craig, Robert C.	n50018793	100	Craig, Robert C				Craig, Robert C			Person		http://example.org/1044189#Agent700-20	
Mehrens, William A.	n79145863	100	Mehrens, William A	n79145863	n79145863	0.9473684211	Mehrens, William A			Person		http://example.org/1044189#Agent700-21	
Lass, Norman J.	n80034462	100	Lass, Norman J	n80034462	n80034462	0.9333333333	Lass, Norman J			Person		http://example.org/102820#Agent700-22	
Howells, John G.	n80032724	100	Howells, John G	n80032724	n80032724	0.9375	Howells, John G			Person		http://example.org/1037149#Agent700-18	
Society of Clinical Psychiatrists	no2006091862	100	Society of Clinical Psychiatrists		no2006091862		Society of Clinical Psychiatrists	no2006091862	1	Organization		http://example.org/1037149#Agent710-19	
Kawakita, Michiaki, 1914-1995	n81084234	100	Kawakita, Michiaki, 1914-1995	n81084234	n81084234	1	Kawakita, Michiaki, 1914-1995			Person		http://example.org/1087123#Agent100-14	
Ko, Wŏn, 1925- 	n86129597	95	Ko, Wŏn, 1925- 				Ko, Wŏn, 1925- 			Person		http://example.org/102960#Agent100-15	
Kreps, Juanita Morris			Kreps, Juanita Morris				Kreps, Juanita Morris			Person		http://example.org/1040191#Agent100-13	
Somers, Gerald George	n50013091	100	Somers, Gerald George	n50013091	n50013091	1	Somers, Gerald George			Person		http://example.org/1040191#Agent700-23	
Perlman, Richard	n50009700	100	Perlman, Richard	n50009700	n50009700	0.9411764706	Perlman, Richard			Person		http://example.org/1040191#Agent700-24	
Fogel, Walter A.	n50003616	100	Fogel, Walter A	n50003616	n50003616	0.9375	Fogel, Walter A			Person		http://example.org/1002198#Agent100-11	
Kleengartner, Archie			Kleengartner, Archie				Kleengartner, Archie			Person		http://example.org/1002198#Agent700-23	
Spencer, Jean Elizabeth, 1933-			Spencer, Jean Elizabeth, 1933-				Spencer, Jean Elizabeth, 1933-			Person		http://example.org/1052106#Agent100-11	
McGuire, Joseph William	n82117587	100	McGuire, Joseph William	n82117587	n82117587	1	McGuire, Joseph William			Person		http://example.org/1005519#Agent100-14	
Segal, Harold, 1941-	n2003128496	100	Segal, Harold, 1941-	n2003128496	n2003128496	1	Segal, Harold, 1941-			Person		http://example.org/1045217#Agent100-12	
Boone, Louis E.	n79053909	100	Boone, Louis E	n79053909	n79053909	0.9333333333	Boone, Louis E			Person		http://example.org/1045217#Agent700-21	
Kurtz, David L.	n79053903	100	Kurtz, David L	n79053903	n79053903	0.9333333333	Kurtz, David L			Person		http://example.org/1045217#Agent700-22	
Govoni, Norman A. P.	n78016646	100	Govoni, Norman A. P	n78016646	n78016646	0.8947368421	Govoni, Norman A. P			Person		http://example.org/1010985#Agent100-12	
Boone, Louis E.	n79053909	100	Boone, Louis E	n79053909	n79053909	0.9333333333	Boone, Louis E			Person		http://example.org/1064244#Agent100-11	
Kurtz, David L.	n79053903	100	Kurtz, David L	n79053903	n79053903	0.9333333333	Kurtz, David L			Person		http://example.org/1064244#Agent700-20	
Velázquez Chávez, Agustín	n81111903	93	Velázquez Chávez, Agustín				Velázquez Chávez, Agustín			Person		http://example.org/1085258#Agent100-11	
Canadian Music Council	n50042522	100	Canadian Music Council		n50042522		Canadian Music Council	n50042522	1	Organization		http://example.org/1083868#Agent110-13	
Hamm, Charles	n82025098	100	Hamm, Charles				Hamm, Charles			Person		http://example.org/1070406#Agent100-17	
Nettl, Bruno, 1930-	n50003035	100	Nettl, Bruno, 1930-	n50003035	n50003035	0.8260869565	Nettl, Bruno, 1930-			Person		http://example.org/1070406#Agent700-27	
Byrnside, Ronald L., 1933-	n85011278	100	Byrnside, Ronald L., 1933-	n85011278	n85011278	1	Byrnside, Ronald L., 1933-			Person		http://example.org/1070406#Agent700-28	
Reeser, Eduard, 1908-2002	n84234879	100	Reeser, Eduard, 1908-2002	n84234879	n84234879	1	Reeser, Eduard, 1908-2002			Person		http://example.org/1073388#Agent100-11	
Paap, Wouter, 1908-1981	n81066553	100	Paap, Wouter, 1908-1981	n81066553	n81066553	1	Paap, Wouter, 1908-1981			Person		http://example.org/1073388#Agent700-21	
Music Educators' National Conference Committee on Contemporary Music			Music Educators' National Conference Committee on Contemporary Music				Music Educators' National Conference Committee on Contemporary Music			Meeting		http://example.org/1074126#Agent111-10	
Romulo, Carlos P. (Carlos Peña), 1899-1985	n50048292	99	Romulo, Carlos P. (Carlos Peña), 1899-1985	n50048292	n50048292	0.9318181818	Romulo, Carlos P. (Carlos Peña), 1899-1985			Person		http://example.org/1041693#Agent100-10	
Indian Council for Cultural Relations	n50063106	100	Indian Council for Cultural Relations		n50063106		Indian Council for Cultural Relations	n50063106	0.9189189189	Organization		http://example.org/1041693#Agent710-19	
American Society of Contemporary Ophthalmology	n83007226	100	American Society of Contemporary Ophthalmology		n83007226		American Society of Contemporary Ophthalmology	n83007226	1	Organization		http://example.org/102811#Agent110-11	
Guibor, Pierre	n50018323	100	Guibor, Pierre	n50018323	n50018323	1	Guibor, Pierre			Person		http://example.org/102811#Agent700-21	
Smith, Byron C., 1908-	n81062230	100	Smith, Byron C., 1908-	n81062230	n81062230	0.8461538462	Smith, Byron C., 1908-			Person		http://example.org/102811#Agent700-22	
Diamond, Malcolm Luria			Diamond, Malcolm Luria				Diamond, Malcolm Luria			Person		http://example.org/1024421#Agent100-15	
Kijowski, Andrzej, 1928-1985	n82024903	100	Kijowski, Andrzej, 1928-1985	n82024903	n82024903	1	Kijowski, Andrzej, 1928-1985			Person		http://example.org/1097185#Agent100-12	
Matuszewski, Ryszard	n82119384	100	Matuszewski, Ryszard	n82119384	n82119384	1	Matuszewski, Ryszard			Person		http://example.org/1097184#Agent100-11	
Charlesworth, James C. (James Clyde), 1900-1974	n50036375	100	Charlesworth, James C. (James Clyde), 1900-1974	n50036375	n50036375	1	Charlesworth, James C. (James Clyde), 1900-1974			Person		http://example.org/1041074#Agent700-24	
Sargent, Lyman Tower, 1940-	n50019293	100	Sargent, Lyman Tower, 1940-	n50019293	n50019293	0.8709677419	Sargent, Lyman Tower, 1940-			Person		http://example.org/1038944#Agent100-13	
Rouček, Joseph S. (Joseph Slabey), 1902-1984	n50049959	99	Rouček, Joseph S. (Joseph Slabey), 1902-1984	n50049959	n50049959	1	Rouček, Joseph S. (Joseph Slabey), 1902-1984			Person		http://example.org/1040125#Agent100-12	
Pool, Ithiel de Sola, 1917-1984	n50023977	100	Pool, Ithiel de Sola, 1917-1984	n50023977	n50023977	1	Pool, Ithiel de Sola, 1917-1984			Person		http://example.org/1041077#Agent700-23	
American Political Science Association	n79066255	100	American Political Science Association		n79066255		American Political Science Association	n79066255	0.9210526316	Organization		http://example.org/1041077#Agent710-24	
De Crespigny, Anthony	n50036777	100	De Crespigny, Anthony	n50036777	n50036777	0.9545454545	De Crespigny, Anthony			Person		http://example.org/1040970#Agent100-13	
Wertheimer, Alan	n87853189	100	Wertheimer, Alan	n87853189	n87853189	0.9411764706	Wertheimer, Alan			Person		http://example.org/1040970#Agent700-24	
Meehan, Eugene J.	n50009959	100	Meehan, Eugene J	n50009959	n50009959	0.9411764706	Meehan, Eugene J			Person		http://example.org/1041022#Agent100-16	
Gould, James A., 1922-	n79107967	100	Gould, James A., 1922-	n79107967	n79107967	1	Gould, James A., 1922- 			Person		http://example.org/1038918#Agent100-16	
Thursby, Vincent V.	n88002241	100	Thursby, Vincent V	n88002241	n88002241	0.9473684211	Thursby, Vincent V			Person		http://example.org/1038918#Agent700-27	
Ottawa (Ont.) National Gallery of Canada			Ottawa (Ont.) National Gallery of Canada				Ottawa (Ont.) National Gallery of Canada			Jurisdiction		http://example.org/1087342#Agent110-13	
Šefčáková, Eva	n84051050		Šefčáková, Eva	n84051050	n84051050	0.9285714286	Šefčáková, Eva			Person		http://example.org/1087342#Agent700-26	
Petrová, Eva	n50010672	95	Petrová, Eva	n50010672	n50010672	0.8461538462	Petrová, Eva			Person		http://example.org/1087342#Agent700-27	
Rees, Alan M., 1929-			Rees, Alan M., 1929-				Rees, Alan M., 1929-			Person		http://example.org/1075528#Agent700-22	
American Society for Information Science	n80096531	100	American Society for Information Science		n80096531		American Society for Information Science	n80096531	0.9756097561	Organization		http://example.org/1075528#Agent710-23	
Levin, Peter A	n95115284	83	Levin, Peter A				Levin, Peter A			Person		http://example.org/1033145#Agent700-26	
American Bar Association	n78083441	100	American Bar Association		n78083441		American Bar Association	n78083441	0.9166666667	Organization		http://example.org/1033145#Agent710-27	
American Medical Association	n50000652	100	American Medical Association		n50000652		American Medical Association	n50000652	0.9285714286	Organization		http://example.org/1033145#Agent710-28	
Lovett Doust, John			Lovett Doust, John				Lovett Doust, John			Person		http://example.org/104133#Agent100-10	
Coleman, James C. (James Covington)	n79092544	100	Coleman, James C. (James Covington)	n79092544	n79092544	1	Coleman, James C. (James Covington)			Person		http://example.org/1033917#Agent100-13	
Hammen, Constance L.	n89225011	100	Hammen, Constance L	n89225011	n89225011	0.95	Hammen, Constance L			Person		http://example.org/1033917#Agent700-24	
Harlan, Gene			Harlan, Gene				Harlan, Gene			Person		http://example.org/1024385#Agent100-10	
Scott, Alan, 1912-2001	n80067599	100	Scott, Alan, 1912-2001	n80067599	n80067599	1	Scott, Alan, 1912-2001			Person		http://example.org/1024385#Agent700-19	
Phillips, Jordan Blake	n90654469	100	Phillips, Jordan Blake	n90654469	n90654469	1	Phillips, Jordan Blake			Person		http://example.org/1010513#Agent100-11	
Gregor, A. James (Anthony James), 1929-	n78096130	100	Gregor, A. James (Anthony James), 1929-	n78096130	n78096130	1	Gregor, A. James (Anthony James), 1929-			Person		http://example.org/1042349#Agent100-12	
O'Keefe, Cyril B			O'Keefe, Cyril B				O'Keefe, Cyril B			Person		http://example.org/1047681#Agent100-12	
Nelson, Gideon E.	n79083289	100	Nelson, Gideon E	n79083289	n79083289	0.9411764706	Nelson, Gideon E			Person		http://example.org/1007484#Agent100-11	
Ray, James Davis, 1918-	no2004069951	100	Ray, James Davis, 1918-	no2004069951	no2004069951	1	Ray, James Davis, 1918-			Person		http://example.org/1007484#Agent700-20	
Luthans, Fred	n79055781	100	Luthans, Fred	n79055781	n79055781	0.9285714286	Luthans, Fred			Person		http://example.org/1013838#Agent100-13	
Petry, Ray C., 1903-1992	n89646269	100	Petry, Ray C., 1903-1992	n89646269	n89646269	1	Petry, Ray C., 1903-1992			Person		http://example.org/1032314#Agent600-20	
Petry, Ray C., 1903-1992	n89646269	100	Petry, Ray C., 1903-1992	n89646269	n89646269	1	Petry, Ray C., 1903-1992			Person		http://example.org/1032314#Agent600-21	
Petry, Ray C., 1903-1992	n89646269	100	Petry, Ray C., 1903-1992	n89646269	n89646269	1	Petry, Ray C., 1903-1992			Person		http://example.org/1032314#Agent700-23	
Shriver, George H.	n86080115	100	Shriver, George H	n86080115	n86080115	0.9444444444	Shriver, George H			Person		http://example.org/1032314#Agent700-24	
Zinnes, Dina A.	n50013570	100	Zinnes, Dina A	n50013570	n50013570	0.9333333333	Zinnes, Dina A			Person		http://example.org/103582#Agent100-11	
Lindgren, Henry Clay, 1914-	n79056657	100	Lindgren, Henry Clay, 1914-	n79056657	n79056657	1	Lindgren, Henry Clay, 1914- 			Person		http://example.org/1025131#Agent100-19	
Montagu-Nathan, M. (Montagu), 1877-1958	n50016832	100	Montagu-Nathan, M. (Montagu), 1877-1958	n50016832	n50016832	1	Montagu-Nathan, M. (Montagu), 1877-1958			Person		http://example.org/1082456#Agent100-13	
Herron, William G.	n81058905	100	Herron, William G	n81058905	n81058905	0.9444444444	Herron, William G			Person		http://example.org/1069986#Agent700-24	
Reginald, R.	n79060657	100	Reginald, R				Reginald, R			Person		http://example.org/1066555#Agent100-12	
Baldwin, John, 1922-	no00050993	100	Baldwin, John, 1922-	no00050993	no00050993	1	Baldwin, John, 1922-			Person		http://example.org/1084540#Agent100-13	
Lee, Raymond Lawrence, 1911-	n50039713	100	Lee, Raymond Lawrence, 1911- 	n50039713	n50039713	0.875	Lee, Raymond Lawrence, 1911- 			Person		http://example.org/1027131#Agent100-10	
Nordskog, John Eric, 1893-1974	no2005037971	100	Nordskog, John Eric, 1893-1974	no2005037971	no2005037971	1	Nordskog, John Eric, 1893-1974			Person		http://example.org/1025141#Agent100-11	
Sorokin, Pitirim Aleksandrovich, 1889-1968	n50000868	100	Sorokin, Pitirim Aleksandrovich, 1889-1968	n50000868	n50000868	0.976744186	Sorokin, Pitirim Aleksandrovich, 1889-1968			Person		http://example.org/1023465#Agent100-12	
Katz, Fred E.	n97015679	100	Katz, Fred E	n97015679	n97015679	0.9230769231	Katz, Fred E			Person		http://example.org/1024687#Agent100-12	
Rouček, Joseph S. (Joseph Slabey), 1902-1984	n50049959	99	Rouček, Joseph S. (Joseph Slabey), 1902-1984	n50049959	n50049959	1	Rouček, Joseph S. (Joseph Slabey), 1902-1984			Person		http://example.org/1023461#Agent100-10	
Ablin, Fred	no2003125912	100	Ablin, Fred	no2003125912	no2003125912	1	Ablin, Fred			Person		http://example.org/1058931#Agent100-13	
Churchward, L. G.	n50041187	100	Churchward, L. G	n50041187	n50041187	0.875	Churchward, L. G			Person		http://example.org/1050750#Agent100-18	
Sala Gaspar	n80073652	100	Sala Gaspar		n80073652		Sala Gaspar	n80073652	1	Organization		http://example.org/1079675#Agent710-24	
National Gallery of Canada	n79043161	100	National Gallery of Canada		n79043161		National Gallery of Canada	n79043161	0.962962963	Organization		http://example.org/1079675#Agent710-25	
Meilach, Dona Z.	n79066123	100	Meilach, Dona Z	n79066123	n79066123	0.9375	Meilach, Dona Z			Person		http://example.org/1084557#Agent100-14	
Bertocci, Peter Anthony	n79089082	100	Bertocci, Peter Anthony	n79089082	n79089082	1	Bertocci, Peter Anthony			Person		http://example.org/109284#Agent600-20	
Bertocci, Peter Anthony	n79089082	100	Bertocci, Peter Anthony	n79089082	n79089082	1	Bertocci, Peter Anthony			Person		http://example.org/109284#Agent600-21	
Howie, John	n80159062	80	Howie, John				Howie, John			Person		http://example.org/109284#Agent700-24	
Buford, Thomas O., 1932-	n80065750	100	Buford, Thomas O., 1932-	n80065750	n80065750	1	Buford, Thomas O., 1932-			Person		http://example.org/109284#Agent700-25	
Bertocci, Peter Anthony	n79089082	100	Bertocci, Peter Anthony	n79089082	n79089082	1	Bertocci, Peter Anthony			Person		http://example.org/109284#Agent700-26	
Hald, Arthur	n89648177	100	Hald, Arthur	n89648177	n89648177	1	Hald, Arthur			Person		http://example.org/1088395#Agent100-11	
Skawonius, Sven-Erik	n97873616	100	Skawonius, Sven-Erik	n97873616	n97873616	1	Skawonius, Sven-Erik			Person		http://example.org/1088395#Agent700-25	
Kampf, Avram	n83138050	100	Kampf, Avram	n83138050	n83138050	1	Kampf, Avram			Person		http://example.org/1077445#Agent100-11	
Perkins, Geoffrey	n85175079	100	Perkins, Geoffrey	n85175079	n85175079	1	Perkins, Geoffrey			Person		http://example.org/1052104#Agent100-13	
Gellner, Ernest	n80016936	100	Gellner, Ernest	n80016936	n80016936	1	Gellner, Ernest			Person		http://example.org/1035242#Agent100-12	
Short, Edmund C.	n84027465	100	Short, Edmund C	n84027465	n84027465	0.9375	Short, Edmund C			Person		http://example.org/1063200#Agent100-16	
Marconnit, George D.	n90600384	100	Marconnit, George D	n90600384	n90600384	0.95	Marconnit, George D			Person		http://example.org/1063200#Agent700-27	
Hyman, Ronald T.	n79022861	100	Hyman, Ronald T	n79022861	n79022861	0.9375	Hyman, Ronald T			Person		http://example.org/1059702#Agent100-15	
Symposia on Contemporary Topics in the Study of Diabetes and Metabolic Endocrinology, Jerusalem, 1974			Symposia on Contemporary Topics in the Study of Diabetes and Metabolic Endocrinology, Jerusalem, 1974				Symposia on Contemporary Topics in the Study of Diabetes and Metabolic Endocrinology, Jerusalem, 1974			Meeting		http://example.org/104495#Agent111-11	
Shafrir, Eleazar	n85055666	100	Shafrir, Eleazar	n85055666	n85055666	1	Shafrir, Eleazar			Person		http://example.org/104495#Agent700-23	
Agudah ha-Yiśreʼelit le-sukeret	no2004118718	98	Agudah ha-Yiśreʼelit le-sukeret		no2004118718		Agudah ha-Yiśreʼelit le-sukeret	no2004118718	0.9375	Organization		http://example.org/104495#Agent710-24	
Agudah ha-Yisreʻelit le-endokrinologyah			Agudah ha-Yisreʻelit le-endokrinologyah				Agudah ha-Yisreʻelit le-endokrinologyah			Organization		http://example.org/104495#Agent710-25	
European Association for the Study of Diabetes	n84069026	100	European Association for the Study of Diabetes		n84069026		European Association for the Study of Diabetes	n84069026	0.9787234043	Organization		http://example.org/104495#Agent710-26	
Ostrowski, Wacław	n81063322	100	Ostrowski, Wacław	n81063322	n81063322	1	Ostrowski, Wacław			Person		http://example.org/1032903#Agent100-12	
Iparraguirre, Ignacio	n89651382	100	Iparraguirre, Ignacio	n89651382	n89651382	1	Iparraguirre, Ignacio			Person		http://example.org/1067301#Agent100-12	
Ignatius, of Loyola, Saint, 1491-1556	n79049329	100	Ignatius, of Loyola, Saint, 1491-1556	n79049329	n79049329	1	Ignatius, of Loyola, Saint, 1491-1556			Person		http://example.org/1067301#Agent600-22	
Jesuits	n79046634	100	Jesuits		n79046634		Jesuits	n79046634	1	Organization		http://example.org/1067301#Agent610-23	
Jesuits	n79046634	100	Jesuits		n79046634		Jesuits	n79046634	1	Organization		http://example.org/1067301#Agent610-24	
Jesuits	n79046634	100	Jesuits		n79046634		Jesuits	n79046634	1	Organization		http://example.org/1067301#Agent710-25	
Rusalem, Herbert	n50022259	100	Rusalem, Herbert	n50022259	n50022259	0.9411764706	Rusalem, Herbert			Person		http://example.org/104645#Agent700-21	
Malikin, David, 1913-1980	no2014058491	100	Malikin, David, 1913-1980	no2014058491	no2014058491	1	Malikin, David, 1913-1980			Person		http://example.org/104645#Agent700-22	
Arts Council of Great Britain	n80001187	100	Arts Council of Great Britain		n80001187		Arts Council of Great Britain	n80001187	0.9655172414	Organization		http://example.org/1084932#Agent110-14	
Yugoslavia. Komisija za kulturne veze sa inostranstvom	n50071271	100	Yugoslavia. Komisija za kulturne veze sa inostranstvom		n50071271		Yugoslavia. Komisija za kulturne veze sa inostranstvom	n50071271	1	Jurisdiction		http://example.org/1084932#Agent710-25	
Hayward Gallery	n80004174	100	Hayward Gallery		n80004174		Hayward Gallery	n80004174	0.9375	Organization		http://example.org/1084932#Agent710-26	
Contenotte, Bruno, 1922-			Contenotte, Bruno, 1922-				Contenotte, Bruno, 1922-			Person		http://example.org/1088440#Agent100-10	
Galleria d'arte Cortina	n50064183	100	Galleria d'arte Cortina		n50064183		Galleria d'arte Cortina	n50064183	1	Organization		http://example.org/1088440#Agent710-18	
North, Robert C., 1914-2002	n50022808	100	North, Robert C., 1914-2002				North, Robert C., 1914-2002			Person		http://example.org/1054424#Agent100-11	
Berelson, Bernard, 1912-1979	n79107832	100	Berelson, Bernard, 1912-1979	n79107832	n79107832	1	Berelson, Bernard, 1912-1979			Person		http://example.org/1088851#Agent100-10	
Epstein, A. L. (Arnold Leonard)	n50010003	100	Epstein, A. L. (Arnold Leonard)	n50010003	n50010003	1	Epstein, A. L. (Arnold Leonard)			Person		http://example.org/1078714#Agent700-22	
Antal, László, 1930-1993	n83062852	95	Antal, László, 1930-1993	n83062852	n83062852	1	Antal, László, 1930-1993			Person		http://example.org/1089421#Agent100-12	
Roelke, Patricia Lynn			Roelke, Patricia Lynn				Roelke, Patricia Lynn			Person		http://example.org/1018484#Agent100-9	
