Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	Column 2	Column 3	Column 4	blabnk
Smith, Thomas, Sir, 1513-1577	n79021971		Smith, Thomas, Sir, 1513-1577	n79021971	n79021971	0.8275862069	Smith, Thomas, Sir, 1513-1577			Person		http://example.org/1047222#Agent100-13	
Cicero, Marcus Tullius	n79032166	100	Cicero, Marcus Tullius	n79032166	n79032166	0.9565217391	Cicero, Marcus Tullius			Person		http://example.org/1091950#Agent100-10	
Keyes, Clinton Walker, 1888-1943	nr97004158	100	Keyes, Clinton Walker, 1888-1943	nr97004158	nr97004158	1	Keyes, Clinton Walker, 1888-1943			Person		http://example.org/1091950#Agent700-18	
Büttemeyer, Wilhelm	n81117251	97	Büttemeyer, Wilhelm	n81117251	n81117251	1	Büttemeyer, Wilhelm			Person		http://example.org/1008683#Agent100-10	
Ardigò, Roberto, 1828-1920	n88016605	98	Ardigò, Roberto, 1828-1920	n88016605	n88016605	0.9615384615	Ardigò, Roberto, 1828-1920			Person		http://example.org/1008683#Agent600-19	
Ranke, Friedrich, 1882-1950	n83011227	100	Ranke, Friedrich, 1882-1950	n83011227	n83011227	1	Ranke, Friedrich, 1882-1950			Person		http://example.org/108464#Agent100-10	
Wach, Joachim, 1898-1955	n50019525	100	Wach, Joachim, 1898-1955	n50019525	n50019525	0.96	Wach, Joachim, 1898-1955			Person		http://example.org/109777#Agent100-9	
Leipzig (Germany) Forschungsinstitut für vergleichende Religionsgeschichte			Leipzig (Germany) Forschungsinstitut für vergleichende Religionsgeschichte				Leipzig (Germany) Forschungsinstitut für vergleichende Religionsgeschichte			Jurisdiction		http://example.org/109777#Agent810-19	
Congress of the Toilers of the Far East. 1st Moscow, 1922			Congress of the Toilers of the Far East. 1st Moscow, 1922				Congress of the Toilers of the Far East. 1st Moscow, 1922			Meeting		http://example.org/1035856#Agent111-11	
Comenius, Johann Amos, 1592-1670	n80044770	100	Comenius, Johann Amos, 1592-1670	n80044770	n80044770	1	Comenius, Johann Amos, 1592-1670			Person		http://example.org/1061377#Agent100-10	
Chlup, Otokar, 1875-1965	n85122606	100	Chlup, Otokar, 1875-1965	n85122606	n85122606	1	Chlup, Otokar, 1875-1965			Person		http://example.org/1061377#Agent700-20	
Miskovská Kozáková, Vlasta Taijana, 1908- 			Miskovská Kozáková, Vlasta Taijana, 1908- 				Miskovská Kozáková, Vlasta Taijana, 1908- 			Person		http://example.org/1061377#Agent700-21	
Comenius, Johann Amos, 1592-1670	n80044770	100	Comenius, Johann Amos, 1592-1670	n80044770	n80044770	1	Comenius, Johann Amos, 1592-1670			Person		http://example.org/1061377#Agent700-22	
Červenka. Jaromir, ed			Červenka. Jaromir, ed				Červenka. Jaromir, ed			Organization		http://example.org/1061377#Agent710-23	
Československá akademie věd	n79097408	94	Československá akademie věd		n79097408		Československá akademie věd	n79097408	0.9642857143	Organization		http://example.org/1061377#Agent710-24	
Lucretius Carus, Titus	n79033010	100	Lucretius Carus, Titus	n79033010	n79033010	0.9565217391	Lucretius Carus, Titus			Person		http://example.org/1091558#Agent100-10	
Giussani, Carlo, 1840-1900	no2014150702	100	Giussani, Carlo, 1840-1900	no2014150702	no2014150702	1	Giussani, Carlo, 1840-1900			Person		http://example.org/1091558#Agent700-18	
Lucretius Carus, Titus	n79033010	100	Lucretius Carus, Titus	n79033010	n79033010	0.9565217391	Lucretius Carus, Titus			Person		http://example.org/1091563#Agent100-15	
Kenney, E. J.	n82130593	100	Kenney, E. J	n82130593	n82130593	0.8333333333	Kenney, E. J			Person		http://example.org/1091563#Agent700-27	
Lucretius Carus, Titus	n79033010	100	Lucretius Carus, Titus	n79033010	n79033010	0.9565217391	Lucretius Carus, Titus			Person		http://example.org/1091560#Agent100-10	
Büchner, Karl, 1910-1981	n50041057	98	Büchner, Karl, 1910-1981	n50041057	n50041057	1	Büchner, Karl, 1910-1981			Person		http://example.org/1091560#Agent600-18	
Schwarz, Wilhelm Johannes, 1929-	nr91024926	100	Schwarz, Wilhelm Johannes, 1929-	nr91024926	nr91024926	1	Schwarz, Wilhelm Johannes, 1929-			Person		http://example.org/1041954#Agent100-11	
