Column 1	match-ID-F	score-lc	LC	LC-ID	match_ID	score	LC-C	LC-ID-C	score-c	org	Column 3	Column 4	blank
Middlesex Polytechnic. Programmed Instruction Centre			Middlesex Polytechnic. Programmed Instruction Centre				Middlesex Polytechnic. Programmed Instruction Centre			Organization		http://example.org/1051732#Agent710-23	
Gordon, George N.	n79132020	100	Gordon, George N				Gordon, George N			Person		http://example.org/1062069#Agent100-13	
Falk, Irving A.	n50011577	100	Falk, Irving A	n50011577	n50011577	0.9333333333	Falk, Irving A			Person		http://example.org/1062069#Agent700-23	
Muc, A. M.	n99803857	100	Muc, A. M	n99803857	n99803857	0.9	Muc, A. M			Person		http://example.org/1000655#Agent100-10	
National Research Council of Canada. Associate Committee on Scientific Criteria for Environmental Quality	n77014504	100	National Research Council of Canada. Associate Committee on Scientific Criteria for Environmental Quality		n77014504		National Research Council of Canada. Associate Committee on Scientific Criteria for Environmental Quality	n77014504	1	Organization		http://example.org/1000655#Agent710-21	
National Center for State Courts	n79129627	100	National Center for State Courts		n79129627		National Center for State Courts	n79129627	1	Organization		http://example.org/1074051#Agent710-23	
Robinson, J. F. (Joseph F.)	n88079741	100	Robinson, J. F. (Joseph F.)				Robinson, J. F. (Joseph F.)			Person		http://example.org/1059160#Agent100-11	
Plutarch	n79026763	100	Plutarch	n79026763	n79026763	1	Plutarch			Person		http://example.org/1074514#Agent100-11	
Riba, Carles, 1893-1959	n79071386	100	Riba, Carles, 1893-1959				Riba, Carles, 1893-1959			Person		http://example.org/1074514#Agent700-24	
Knysh, Irena	n81056961	100	Knysh, Irena	n81056961	n81056961	1	Knysh, Irena			Person		http://example.org/1026461#Agent100-11	
Lastivka, Kornylo			Lastivka, Kornylo				Lastivka, Kornylo			Person		http://example.org/1096000#Agent100-10	
Anisov, Vasylʹ Fedorovych			Anisov, Vasylʹ Fedorovych				Anisov, Vasylʹ Fedorovych			Person		http://example.org/1086848#Agent100-10	
Shevchenko, Taras, 1814-1861	n79119044	100	Shevchenko, Taras, 1814-1861	n79119044	n79119044	1	Shevchenko, Taras, 1814-1861			Person		http://example.org/1086848#Agent600-19	
Sereda, I͡Elyzaveta Omeli͡anivna			Sereda, I͡Elyzaveta Omeli͡anivna				Sereda, I͡Elyzaveta Omeli͡anivna			Person		http://example.org/1086848#Agent700-20	
Melʹnychenko, Oleksa Dmytrovych			Melʹnychenko, Oleksa Dmytrovych				Melʹnychenko, Oleksa Dmytrovych			Person		http://example.org/1062891#Agent100-9	
Brazdžionis, Bernardas, 1907-2002	n85058597	98	Brazdžionis, Bernardas, 1907-2002	n85058597	n85058597	0.9090909091	Brazdžionis, Bernardas, 1907-2002			Person		http://example.org/1098531#Agent100-10	
Venclova, Antanas, 1906-1971	n82081682	100	Venclova, Antanas, 1906-1971	n82081682	n82081682	1	Venclova, Antanas, 1906-1971			Person		http://example.org/1097468#Agent100-10	
Vidyāpati Ṭhākura, 15th century	n79046092	84	Vidyāpati Ṭhākura, 15th century	n79046092	n79046092	0.8157894737	Vidyāpati Ṭhākura, 15th century			Person		http://example.org/1098975#Agent100-10	
Jhā, Subhadra, 1909-2001	n85108428	98	Jhā, Subhadra, 1909-2001	n85108428	n85108428	0.92	Jhā, Subhadra, 1909-2001			Person		http://example.org/1098975#Agent700-19	
Davydov, Vasiliĭ Vasilʹevich	n81136849	91	Davydov, Vasiliĭ Vasilʹevich				Davydov, Vasiliĭ Vasilʹevich			Person		http://example.org/1062901#Agent100-10	
Association de la jeunesse canadienne			Association de la jeunesse canadienne				Association de la jeunesse canadienne			Organization		http://example.org/102671#Agent110-9	
