Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	org	Column 3	Column 4	blank
Bernaut, Roman			Bernaut, Roman				Bernaut, Roman			Person		http://example.org/1005412#Agent100-9	
Bernaut, Roman			Bernaut, Roman				Bernaut, Roman			Person		http://example.org/1005426#Agent100-9	
Turgeon, Lynn, 1920-1999	n80057336	100	Turgeon, Lynn, 1920-1999	n80057336	n80057336	1	Turgeon, Lynn, 1920-1999			Person		http://example.org/1014848#Agent100-9	
Bernaut, Roman			Bernaut, Roman				Bernaut, Roman			Person		http://example.org/1004945#Agent100-9	
Bergson, Abram, 1914-2003	n50007493	100	Bergson, Abram, 1914-2003	n50007493	n50007493	0.9615384615	Bergson, Abram, 1914-2003			Person		http://example.org/1004347#Agent100-11	
Turgeon, Lynn, 1920-1999	n80057336	100	Turgeon, Lynn, 1920-1999	n80057336	n80057336	1	Turgeon, Lynn, 1920-1999			Person		http://example.org/1004347#Agent700-21	
Rand Corporation	n78083407	100	Rand Corporation		n78083407		Rand Corporation	n78083407	0.9375	Organization		http://example.org/1004347#Agent810-22	
Turgeon, Lynn, 1920-1999	n80057336	100	Turgeon, Lynn, 1920-1999	n80057336	n80057336	1	Turgeon, Lynn, 1920-1999			Person		http://example.org/1004761#Agent100-11	
Turgeon, Lynn, 1920-1999	n80057336	100	Turgeon, Lynn, 1920-1999	n80057336	n80057336	1	Turgeon, Lynn, 1920-1999			Person		http://example.org/1002782#Agent100-9	
United States. Congress. Senate. Committee on Government Operations. Subcommittee on Executive Reorganization	no99077815	100	United States. Congress. Senate. Committee on Government Operations. Subcommittee on Executive Reorganization		n2006084037		United States. Congress. Senate. Committee on Government Operations. Subcommittee on Executive Reorganization	n2006084037	0.8195488722	Jurisdiction		http://example.org/107065#Agent110-10	
Turgeon, Lynn, 1920-1999	n80057336	100	Turgeon, Lynn, 1920-1999	n80057336	n80057336	1	Turgeon, Lynn, 1920-1999			Person		http://example.org/1004406#Agent100-9	
Bergson, Abram, 1914-2003	n50007493	100	Bergson, Abram, 1914-2003	n50007493	n50007493	0.9615384615	Bergson, Abram, 1914-2003			Person		http://example.org/1004344#Agent100-9	
Bergson, Abram, 1914-2003	n50007493	100	Bergson, Abram, 1914-2003	n50007493	n50007493	0.9615384615	Bergson, Abram, 1914-2003			Person		http://example.org/1006428#Agent100-9	
Moorsteen, Richard Harris, 1926-	no96036575	85	Moorsteen, Richard Harris, 1926-				Moorsteen, Richard Harris, 1926-			Person		http://example.org/1011578#Agent100-11	
Bergson, Abram, 1914-2003	n50007493	100	Bergson, Abram, 1914-2003	n50007493	n50007493	0.9615384615	Bergson, Abram, 1914-2003			Person		http://example.org/1004328#Agent100-9	
Moorsteen, Richard Harris, 1926-	no96036575	85	Moorsteen, Richard Harris, 1926-				Moorsteen, Richard Harris, 1926-			Person		http://example.org/1021424#Agent100-11	
Nimitz, Nancy, 1919-	n92109500	100	Nimitz, Nancy, 1919-				Nimitz, Nancy, 1919-			Person		http://example.org/1003891#Agent100-9	
Leasure, James William			Leasure, James William				Leasure, James William			Person		http://example.org/1023328#Agent100-13	
Turner, Marjorie Shepherd, 1921-	n88099221	100	Turner, Marjorie Shepherd, 1921-	n88099221	n88099221	1	Turner, Marjorie Shepherd, 1921- 			Person		http://example.org/1023328#Agent700-24	
Hardy, Charles O. (Charles Oscar), 1884-1948	n83044469	100	Hardy, Charles O. (Charles Oscar), 1884-1948	n83044469	n83044469	1	Hardy, Charles O. (Charles Oscar), 1884-1948			Person		http://example.org/1033135#Agent100-11	
Williams, Kenneth Breck, 1902- 			Williams, Kenneth Breck, 1902- 				Williams, Kenneth Breck, 1902- 			Person		http://example.org/1033135#Agent700-23	
Ellis, Howard Sylvester, 1898-1992	n50008890	100	Ellis, Howard Sylvester, 1898-1992				Ellis, Howard Sylvester, 1898-1992			Person		http://example.org/1033135#Agent700-24	
Streyffert, Thorsten, 1892-	no97009550	100	Streyffert, Thorsten, 1892-	no97009550	no97009550	1	Streyffert, Thorsten, 1892-			Person		http://example.org/1004952#Agent100-11	
Brainard, Calvin H.	no2014116841	100	Brainard, Calvin H	no2014116841	no2014116841	0.9473684211	Brainard, Calvin H			Person		http://example.org/1055274#Agent100-11	
Carbine, Stephen A			Carbine, Stephen A				Carbine, Stephen A			Person		http://example.org/1055274#Agent700-20	
United States. Federal Trade Commission. Division of Industry Analysis	n82116456	100	United States. Federal Trade Commission. Division of Industry Analysis		n82116456		United States. Federal Trade Commission. Division of Industry Analysis	n82116456	1	Jurisdiction		http://example.org/1055274#Agent710-21	
United States. Dept. of Transportation			United States. Dept. of Transportation				United States. Dept. of Transportation			Jurisdiction		http://example.org/1055274#Agent710-22	
Kudri︠a︡vt︠s︡ev, V. N. (Vladimir Nikolaevich), 1923-2007	n81055502	100	Kudri͡avt͡sev, V. N. (Vladimir Nikolaevich), 1923-2007	n81055502	n81055502	0.9285714286	Kudri͡avt͡sev, V. N. (Vladimir Nikolaevich), 1923-2007			Person		http://example.org/1035302#Agent100-10	
Rosentein-Rodan, P. N			Rosentein-Rodan, P. N				Rosentein-Rodan, P. N			Person		http://example.org/1020496#Agent100-11	
Palda, Kristian S.	n83069546	100	Palda, Kristian S	n83069546	n83069546	0.9444444444	Palda, Kristian S			Person		http://example.org/1011432#Agent100-13	
Alpert, Mark I.	n84034807	100	Alpert, Mark I	n84034807	n84034807	0.9333333333	Alpert, Mark I			Person		http://example.org/1009782#Agent100-12	
Lere, John C., 1945-	n90644646	100	Lere, John C., 1945-	n90644646	n90644646	1	Lere, John C., 1945-			Person		http://example.org/1030849#Agent100-11	
Raddall, Thomas H., 1903-1994	n50052424	100	Raddall, Thomas H., 1903-1994	n50052424	n50052424	1	Raddall, Thomas H., 1903-1994			Person		http://example.org/1014234#Agent100-10	
Ross, Malcolm Mackenzie	n50046303	100	Ross, Malcolm Mackenzie	n50046303	n50046303	1	Ross, Malcolm Mackenzie			Person		http://example.org/1014234#Agent700-19	
Kruchenykh, A. (Alekseĭ), 1886-1968	n84047047	98	Kruchenykh, A. (Alekseĭ), 1886-1968	n84047047	n84047047	0.9444444444	Kruchenykh, A. (Alekseĭ), 1886-1968			Person		http://example.org/1063607#Agent100-9	
Lenin, Vladimir Ilʹich, 1870-1924	n80067085	100	Lenin, Vladimir Ilʹich, 1870-1924	n80067085	n80067085	0.9428571429	Lenin, Vladimir Ilʹich, 1870-1924			Person		http://example.org/1063607#Agent600-19	
Catholic Church	n79041716	100	Catholic Church				Catholic Church			Organization		http://example.org/1049063#Agent110-10	
Caplan, A. Patricia	n85073621	94	Caplan, A. Patricia				Caplan, A. Patricia			Person		http://example.org/1026789#Agent100-16	
Crunican, Paul Eugene, 1928-			Crunican, Paul Eugene, 1928-				Crunican, Paul Eugene, 1928-			Person		http://example.org/1017786#Agent100-26	
Canada. Parliament	n79058471	100	Canada. Parliament				Canada. Parliament			Jurisdiction		http://example.org/1017786#Agent610-36	
Cherni︠a︡k, E. B. (Efim Borisovich)	n84142888	100	Cherni͡ak, E. B. (Efim Borisovich)	n84142888	n84142888	0.9428571429	Cherni͡ak, E. B. (Efim Borisovich)			Person		http://example.org/1034908#Agent100-10	
Blekhman, Ilʹi͡a Izrailevich	n81142274	93	Blekhman, Ilʹi͡a Izrailevich				Blekhman, Ilʹi͡a Izrailevich			Person		http://example.org/101998#Agent100-9	
Myshkis, A. D. (Anatoliĭ Dmitrievich)	n84802167	98	Myshkis, A. D. (Anatoliĭ Dmitrievich)	n84802167	n84802167	0.9473684211	Myshkis, A. D. (Anatoliĭ Dmitrievich)			Person		http://example.org/101998#Agent700-19	
Panovko, I︠A︡. G. (I︠A︡kov Gilelevich)	n83828873	100	Panovko, I͡A. G. (I͡Akov Gilelevich)	n83828873	n83828873	0.8947368421	Panovko, I͡A. G. (I͡Akov Gilelevich)			Person		http://example.org/101998#Agent700-20	
Kapidžić, Hamdija	n88617286	93	Kapidžić, Hamdija	n88617286	n88617286	1	Kapidžić, Hamdija			Person		http://example.org/107601#Agent100-12	
Naučno društvo NR Bosne i Hercegovine. Odjeljenje istorijsko-filoloških nauka	n84055403	93	Naučno društvo NR Bosne i Hercegovine. Odjeljenje istorijsko-filoloških nauka		n84055403		Naučno društvo NR Bosne i Hercegovine. Odjeljenje istorijsko-filoloških nauka	n84055403	0.925	Organization		http://example.org/107601#Agent810-23	
Janov, Arthur	n50036715	100	Janov, Arthur	n50036715	n50036715	0.9285714286	Janov, Arthur			Person		http://example.org/104907#Agent100-12	
Holden, Edward Michael, 1941- 			Holden, Edward Michael, 1941- 				Holden, Edward Michael, 1941- 			Person		http://example.org/104907#Agent700-21	
Association for Childhood Education International	n80075910	100	Association for Childhood Education International		n80075910		Association for Childhood Education International	n80075910	0.98	Organization		http://example.org/1065105#Agent110-10	
Weber, Evelyn	n78083625	100	Weber, Evelyn				Weber, Evelyn			Person		http://example.org/1065105#Agent700-19	
Ewing, Cortez Arthur Milton, 1896-1962	n80034383	100	Ewing, Cortez Arthur Milton, 1896-1962	n80034383	n80034383	1	Ewing, Cortez Arthur Milton, 1896-1962			Person		http://example.org/1046614#Agent100-12	
Merriam, Charles Edward, 1874-1953	n50035979	100	Merriam, Charles Edward, 1874-1953	n50035979	n50035979	1	Merriam, Charles Edward, 1874-1953			Person		http://example.org/1046615#Agent100-11	
Overacker, Louise, 1891-	n50049946	100	Overacker, Louise, 1891- 	n50049946	n50049946	0.8571428571	Overacker, Louise, 1891- 			Person		http://example.org/1046615#Agent700-22	
International Association of Assessing Officers	n79054711	100	International Association of Assessing Officers		n79054711		International Association of Assessing Officers	n79054711	1	Organization		http://example.org/1072217#Agent110-11	
International Association of Assessing Officers	n79054711	100	International Association of Assessing Officers		n79054711		International Association of Assessing Officers	n79054711	1	Organization		http://example.org/1072217#Agent810-22	
Marram, Gwen D., 1942-	n79007002	100	Marram, Gwen D., 1942-	n79007002	n79007002	1	Marram, Gwen D., 1942-			Person		http://example.org/1058265#Agent100-11	
Barrett, Margaret W., 1941-	n79007060	100	Barrett, Margaret W., 1941-	n79007060	n79007060	1	Barrett, Margaret W., 1941- 			Person		http://example.org/1058265#Agent700-20	
Bevis, Em Olivia	n79011187	100	Bevis, Em Olivia	n79011187	n79011187	0.9411764706	Bevis, Em Olivia			Person		http://example.org/1058265#Agent700-21	
Lieth, Helmut	n81070508	100	Lieth, Helmut	n81070508	n81070508	1	Lieth, Helmut			Person		http://example.org/101621#Agent100-11	
Whittaker, Robert Harding, 1920- 	n50016195	81	Whittaker, Robert Harding, 1920- 				Whittaker, Robert Harding, 1920- 			Person		http://example.org/101621#Agent700-21	
Seaborne, Malcolm Vivian John, 1927-	n50004896	100	Seaborne, Malcolm Vivian John, 1927-	n50004896	n50004896	1	Seaborne, Malcolm Vivian John, 1927-			Person		http://example.org/1070092#Agent100-14	
Geddes, Norman	nb2011020178	100	Geddes, Norman	nb2011020178	nb2011020178	1	Geddes, Norman			Person		http://example.org/1011459#Agent100-9	
Hann, Russell	nr95000034	92	Hann, Russell	nr95000034	nr95000034	0.8125	Hann, Russell			Person		http://example.org/1023645#Agent700-22	
International Bureau of Education	n79040151	100	International Bureau of Education		n79040151		International Bureau of Education	n79040151	1	Organization		http://example.org/1077324#Agent110-10	
International Conference on Public Education. (16th : 1953 : Geneva, Switzerland)			International Conference on Public Education. (16th : 1953 : Geneva, Switzerland)				International Conference on Public Education. (16th : 1953 : Geneva, Switzerland)			Meeting		http://example.org/1077324#Agent711-21	
International Conference on Public Education	n50055868	100	International Conference on Public Education		n50055868		International Conference on Public Education	n50055868	1	Meeting		http://example.org/1077324#Agent711-22	
International Bureau of Education	n79040151	100	International Bureau of Education		n79040151		International Bureau of Education	n79040151	1	Organization		http://example.org/1059862#Agent110-10	
International Conference on Public Education. (16th : 1953 : Geneva, Switzerland)			International Conference on Public Education. (16th : 1953 : Geneva, Switzerland)				International Conference on Public Education. (16th : 1953 : Geneva, Switzerland)			Meeting		http://example.org/1059862#Agent711-21	
International Conference on Public Education	n50055868	100	International Conference on Public Education		n50055868		International Conference on Public Education	n50055868	1	Meeting		http://example.org/1059862#Agent711-22	
Škvorecký, Josef, 1924-2012	n50012994	96	Škvorecký, Josef, 1924-2012	n50012994	n50012994	0.9642857143	Škvorecký, Josef, 1924-2012			Person		http://example.org/105867#Agent100-11	
Holloway, Ralph	n83159387	100	Holloway, Ralph	n83159387	n83159387	1	Holloway, Ralph			Person		http://example.org/1037059#Agent100-11	
Jenkins, Farish A., 1940-	n90725938	84	Jenkins, Farish A., 1940-				Jenkins, Farish A., 1940-			Person		http://example.org/1036321#Agent100-11	
Martínez Ferrando, Jesús Ernesto	n80149551	97	Martínez Ferrando, Jesús Ernesto	n80149551	n80149551	1	Martínez Ferrando, Jesús Ernesto			Person		http://example.org/1094933#Agent100-10	
Mitin, Sergeĭ Tihkonovich			Mitin, Sergeĭ Tihkonovich				Mitin, Sergeĭ Tihkonovich			Person		http://example.org/1012107#Agent100-10	
Nazarov, Valeriĭ Vasilʹevich			Nazarov, Valeriĭ Vasilʹevich				Nazarov, Valeriĭ Vasilʹevich			Person		http://example.org/1012107#Agent700-20	
Gerasimov, Matveĭ Dmitrievich			Gerasimov, Matveĭ Dmitrievich				Gerasimov, Matveĭ Dmitrievich			Person		http://example.org/1012107#Agent700-21	
Mikheev, I︠U︡. I︠A︡. (I︠U︡riĭ I︠A︡kovlevich)	n83063134	98	Mikheev, I͡U. I͡A. (I͡Uriĭ I͡Akovlevich)				Mikheev, I͡U. I͡A. (I͡Uriĭ I͡Akovlevich)			Person		http://example.org/1054965#Agent100-10	
United Nations	n79021345	100	United Nations		n79021345		United Nations	n79021345	0.9333333333	Organization		http://example.org/1054965#Agent610-19	
Kiselev, Radii Petrovych			Kiselev, Radii Petrovych				Kiselev, Radii Petrovych			Person		http://example.org/1041521#Agent100-9	
Egorov, Mikhail Borisovich			Egorov, Mikhail Borisovich				Egorov, Mikhail Borisovich			Person		http://example.org/1041521#Agent700-21	
