Val	match-ID-F	score-lc	Column 1	LCP	match-ID	score	Cor	LCC	score-c	org	Column 3	Column 4	blank
Traxler, Arthur E. (Arthur Edwin), 1900-	no95013061	100	Traxler, Arthur E. (Arthur Edwin), 1900-	no95013061	no95013061	1	Traxler, Arthur E. (Arthur Edwin), 1900-			Person		http://example.org/1061031#Agent100-11	
Rosenthal, Morris Sigmund, 1897-	no2003094318	81	Rosenthal, Morris Sigmund, 1897-				Rosenthal, Morris Sigmund, 1897-			Person		http://example.org/1007479#Agent100-10	
Hill, Richard M. (Richard Marvin), 1922-	n82226983	100	Hill, Richard M. (Richard Marvin), 1922-	n82226983	n82226983	1	Hill, Richard M. (Richard Marvin), 1922-			Person		http://example.org/1009974#Agent100-10	
Illinois. University. Bureau of Business Management			Illinois. University. Bureau of Business Management				Illinois. University. Bureau of Business Management			Jurisdiction		http://example.org/1009974#Agent810-20	
Grosbayne, Benjamin, 1893-1976	no93015676	100	Grosbayne, Benjamin, 1893-1976	no93015676	no93015676	1	Grosbayne, Benjamin, 1893-1976			Person		http://example.org/1076157#Agent100-11	
Aschheim, Joseph	n80079727	100	Aschheim, Joseph	n80079727	n80079727	1	Aschheim, Joseph			Person		http://example.org/1017362#Agent100-13	
Farrell, Roger H., 1929-	n84044147	100	Farrell, Roger H., 1929-	n84044147	n84044147	0.8571428571	Farrell, Roger H., 1929-			Person		http://example.org/102007#Agent100-11	
Bogue, Donald J., 1918-2014	n50010098	100	Bogue, Donald J., 1918-2014	n50010098	n50010098	1	Bogue, Donald J., 1918-2014			Person		http://example.org/1073847#Agent100-11	
Bogue, Elizabeth J.	n50010100	100	Bogue, Elizabeth J	n50010100	n50010100	0.9473684211	Bogue, Elizabeth J			Person		http://example.org/1073847#Agent700-24	
Eary, Donald F.	no2002016650	100	Eary, Donald F	no2002016650	no2002016650	0.9333333333	Eary, Donald F			Person		http://example.org/1008388#Agent100-11	
Reed, Edward A.	no2002016649	100	Reed, Edward A	no2002016649	no2002016649	0.9333333333	Reed, Edward A			Person		http://example.org/1008388#Agent700-22	
Goodman, Sam R., 1930-	n82033062	100	Goodman, Sam R., 1930-	n82033062	n82033062	1	Goodman, Sam R., 1930-			Person		http://example.org/1018764#Agent100-12	
Wingate, John Williams, 1899-	n50015890	100	Wingate, John Williams, 1899-	n50015890	n50015890	0.8787878788	Wingate, John Williams, 1899-			Person		http://example.org/1012667#Agent100-11	
Schaller, Elmer O. (Elmer Otto)	n82254204	100	Schaller, Elmer O. (Elmer Otto)	n82254204	n82254204	1	Schaller, Elmer O. (Elmer Otto)			Person		http://example.org/1012667#Agent700-21	
Swain, Dwight V.	n82238464	100	Swain, Dwight V				Swain, Dwight V			Person		http://example.org/1033848#Agent100-13	
Meyer, John Robert	n80032111	100	Meyer, John Robert				Meyer, John Robert			Person		http://example.org/1009403#Agent700-24	
Straszheim, Mahlon R., 1939-	n50010935	100	Straszheim, Mahlon R., 1939-	n50010935	n50010935	1	Straszheim, Mahlon R., 1939-			Person		http://example.org/1009403#Agent700-25	
Kresge, David T.	n50043953	100	Kresge, David T	n50043953	n50043953	0.9375	Kresge, David T			Person		http://example.org/1009403#Agent700-26	
Roberts, Paul O.	n50049002	100	Roberts, Paul O	n50049002	n50049002	0.9375	Roberts, Paul O			Person		http://example.org/1009403#Agent700-27	
Brookings Institution. Transport Research Program	no92010911	100	Brookings Institution. Transport Research Program		no92010911		Brookings Institution. Transport Research Program	no92010911	1	Organization		http://example.org/1009403#Agent710-28	
Gaines, Tilford C			Gaines, Tilford C				Gaines, Tilford C			Person		http://example.org/1022278#Agent100-11	
United States. Department of the Treasury	n78096864	100	United States. Department of the Treasury		n78096864		United States. Department of the Treasury	n78096864	1	Jurisdiction		http://example.org/1022278#Agent610-19	
Columbia University. Graduate School of Business	n81013492	100	Columbia University. Graduate School of Business		n81013492		Columbia University. Graduate School of Business	n81013492	0.9166666667	Organization		http://example.org/1022278#Agent810-21	
Borgeson, Gertrude M. (Preische), Mrs., 1889-			Borgeson, Gertrude M. (Preische), Mrs., 1889-				Borgeson, Gertrude M. (Preische), Mrs., 1889-			Person		http://example.org/1063055#Agent100-10	
Pawsey, Rosa K.	n87141577	100	Pawsey, Rosa K	n87141577	n87141577	0.9333333333	Pawsey, Rosa K			Person		http://example.org/1047630#Agent100-14	
Fulker, Wilber H			Fulker, Wilber H				Fulker, Wilber H			Person		http://example.org/1032800#Agent100-12	
Fulker, Mary			Fulker, Mary				Fulker, Mary			Person		http://example.org/1032800#Agent700-22	
Zach, Franz	n88018254	100	Zach, Franz				Zach, Franz			Person		http://example.org/1017125#Agent100-11	
Sanger, Chesley W.	nb2005010164	100	Sanger, Chesley W	nb2005010164	nb2005010164	0.9444444444	Sanger, Chesley W			Person		http://example.org/1038952#Agent100-11	
Cottrell, Fred, 1903-1979	n50018194	100	Cottrell, Fred, 1903-1979	n50018194	n50018194	1	Cottrell, Fred, 1903-1979			Person		http://example.org/1002005#Agent100-11	
Hattery, Lowell H. (Lowell Harold), 1916-	no00003880	100	Hattery, Lowell H. (Lowell Harold), 1916-	no00003880	no00003880	1	Hattery, Lowell H. (Lowell Harold), 1916-			Person		http://example.org/1033792#Agent100-11	
Bush, George Pollock, 1892-	n80015718	100	Bush, George Pollock, 1892-	n80015718	n80015718	1	Bush, George Pollock, 1892-			Person		http://example.org/1033792#Agent700-21	
Ker, Sin Tze, 1944-			Ker, Sin Tze, 1944-				Ker, Sin Tze, 1944-			Person		http://example.org/1033035#Agent100-11	
Mesthene, Emmanuel G.	n88088602	100	Mesthene, Emmanuel G	n88088602	n88088602	0.9523809524	Mesthene, Emmanuel G			Person		http://example.org/1024945#Agent100-13	
Canadian National Railways	n80020631	100	Canadian National Railways		n80020631		Canadian National Railways	n80020631	1	Organization		http://example.org/1000551#Agent610-22	
Canada. Advisory Committee on Technological Change			Canada. Advisory Committee on Technological Change				Canada. Advisory Committee on Technological Change			Jurisdiction		http://example.org/1000551#Agent710-25	
